YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION
2021,1,1,0,29.4,18.4,65,3,40
2021,1,2,0,31.5,20,66,2,40
2021,1,3,0,34.7,24,65,2,40
2021,1,4,0,34.4,21.5,63,2,40
2021,1,5,0,30.2,23.6,78,4,20
2021,1,6,0,31.3,22,72,3,20
2021,1,7,0,30.2,22.3,74,4,20
2021,1,8,0,27.3,21,72,5,20
2021,1,9,0,27.3,20.6,66,4,40
2021,1,10,0,30.1,17,60,2,40
2021,1,11,0,28.6,21,63,3,40
2021,1,12,0,25.4,16.8,75,4,20
2021,1,13,0,28.9,20.2,72,2,360
2021,1,14,0,29.4,21.7,73,2,40
2021,1,15,0,29.2,22.3,73,3,40
2021,1,16,0,32.2,21,60,2,40
2021,1,17,0,26.6,22.4,74,6,20
2021,1,18,0,29,24.3,61,3,40
2021,1,19,0,33.2,23.5,59,3,90
2021,1,20,-1,34.5,25.1,64,4,70
2021,1,21,10.4,31.7,24.5,82,2,220
2021,1,22,9.7,29,24,88,2,20
2021,1,23,5.7,25.5,24.1,90,2,40
2021,1,24,0,32.1,22.5,74,2,40
2021,1,25,0,31.6,23.6,74,3,40
2021,1,26,0,30.8,21.2,74,3,360
2021,1,27,0,31.6,22,73,3,90
2021,1,28,0,32,19.2,66,3,40
2021,1,29,0,30.6,17.6,64,3,40
2021,1,30,0,28.6,17.6,56,3,90
2021,1,31,0,29.3,17.7,65,3,90
2021,2,1,0,29.8,18,70,2,320
2021,2,2,0,29.2,21.3,71,4,40
2021,2,3,0,30.6,18.8,62,3,40
2021,2,4,0,30.8,18.6,68,3,40
2021,2,5,0,31,20,69,3,90
2021,2,6,0,30,21.5,72,2,320
2021,2,7,-1,32,23.1,73,2,90
2021,2,8,0,33.8,24.5,65,3,40
2021,2,9,0,32,24.4,58,4,40
2021,2,10,-1,31.8,23.7,73,3,110
2021,2,11,2.9,28.6,22,81,4,340
2021,2,12,0,25.8,19.7,78,1,70
2021,2,13,0,29.5,20.3,72,2,40
2021,2,14,0,28.6,19.4,74,3,40
2021,2,15,0,29.8,21,68,2,340
2021,2,16,0,29.8,20.5,73,2,340
2021,2,17,0,29.4,22.6,71,3,320
2021,2,18,0,28.2,19.4,60,4,40
2021,2,19,0,29.6,15,58,2,40
2021,2,20,0,28.3,16.8,60,2,40
2021,2,21,0,28.4,18.6,66,2,110
2021,2,22,0,29.5,21.4,72,2,90
2021,2,23,0,30.8,24,79,2,160
2021,2,24,0,31.6,25.4,73,1,360
2021,2,25,0,31.2,23.3,81,2,270
2021,2,26,0,30,24.4,81,2,40
2021,2,27,0,30.5,22.9,79,2,340
2021,2,28,0,32.6,23.6,72,2,320
2021,3,1,0,30.8,23.7,80,2,360
2021,3,2,0,30.5,24.8,78,4,20
2021,3,3,0,32.9,23.9,66,3,340
2021,3,4,0,30.8,22.8,76,2,90
2021,3,5,0,31,23.4,80,2,320
2021,3,6,0,29.9,22.5,81,2,270
2021,3,7,0,32.6,22.1,69,2,110
2021,3,8,0,31.8,21.6,72,2,320
2021,3,9,0,33.2,21.3,64,2,360
2021,3,10,0,33,22.4,58,3,340
2021,3,11,0,33.2,21.2,60,3,140
2021,3,12,0,33.6,21.9,58,2,40
2021,3,13,0,35.4,22.8,54,2,40
2021,3,14,0,34.1,22.8,56,3,70
2021,3,15,-1,32.8,26,68,2,360
2021,3,16,1.2,31,24.1,81,2,90
2021,3,17,-1,31.8,24.5,79,2,360
2021,3,18,0,33.2,25.3,75,2,360
2021,3,19,0,32.6,25.6,76,2,360
2021,3,20,0,31.4,26.1,76,2,360
2021,3,21,0,31.8,26.6,72,2,40
2021,3,22,0,32.2,24.8,64,5,360
2021,3,23,0,33.6,23.3,56,2,360
2021,3,24,0,32,24.4,67,2,290
2021,3,25,0,32,22.9,73,2,360
2021,3,26,0,31.5,23.2,70,2,110
2021,3,27,0,31.5,23.8,76,2,360
2021,3,28,0,31.6,22.9,78,2,340
2021,3,29,0,30.6,22.9,80,3,360
2021,3,30,0,30.8,22.4,75,2,320
2021,3,31,0,32.4,24.2,75,2,250
2021,4,1,0,31.2,24.1,81,3,320
2021,4,2,0,32,24,80,2,340
2021,4,3,0,31.5,24.1,77,2,360
2021,4,4,0,32.6,24.2,76,2,290
2021,4,5,0,35,24.4,64,3,40
2021,4,6,0,32.8,21.9,62,3,360
2021,4,7,0,33,23,63,2,360
2021,4,8,0,31.8,23.1,64,2,40
2021,4,9,0,32.8,23.4,62,2,20
2021,4,10,0,33.2,22.8,58,2,360
2021,4,11,0,34,22.4,59,2,360
2021,4,12,0,32,22.6,66,2,340
2021,4,13,0,32.2,24.9,73,2,290
2021,4,14,0,32,25.3,74,2,320
2021,4,15,0,32.2,23.3,77,2,290
2021,4,16,0,32.6,24.2,71,2,290
2021,4,17,0,33.7,23.4,59,3,360
2021,4,18,0,33,23.9,59,5,40
2021,4,19,0,32,24.3,59,5,20
2021,4,20,0,32.2,25,69,6,20
2021,4,21,-1,29.2,25.6,82,5,20
2021,4,22,0,29.5,22.9,84,3,360
2021,4,23,0,29.6,22,77,2,290
2021,4,24,0,30.1,20.9,75,3,340
2021,4,25,0,31,23.2,69,3,360
2021,4,26,0,33,24.1,63,2,340
2021,4,27,0,32.1,22.9,73,3,90
2021,4,28,0,31.3,23.1,74,2,290
2021,4,29,0,31.3,22.1,75,2,270
2021,4,30,0,31.6,22.5,73,2,40
2021,5,1,0,31.7,24.8,73,2,360
2021,5,2,0,32.4,25.2,72,3,360
2021,5,3,0,32.6,24.8,77,3,270
2021,5,4,0,33,25,75,3,110
2021,5,5,0,32.4,25.7,80,2,360
2021,5,6,0,32.8,25.1,77,2,290
2021,5,7,0,33.4,27,75,2,360
2021,5,8,0,33.2,26.1,74,2,340
2021,5,9,0,33.4,26,73,3,340
2021,5,10,0,33.3,25.8,76,3,110
2021,5,11,0,32.6,25.6,77,2,290
2021,5,12,0,33.2,25.7,77,2,320
2021,5,13,0,33,26.1,79,2,270
2021,5,14,0,33.8,26.7,76,2,340
2021,5,15,0,33.1,26.8,75,2,290
2021,5,16,0,33.8,26.6,76,3,360
2021,5,17,0,33.7,26.3,78,2,220
2021,5,18,0,33.8,26.2,74,2,270
2021,5,19,0,33.2,27.3,74,2,320
2021,5,20,0,33.8,26.5,73,2,340
2021,5,21,0.4,33.6,25.4,78,3,270
2021,5,22,-1,33.4,25.5,77,2,360
2021,5,23,0,34,25.8,72,3,340
2021,5,24,69.5,33.2,24,80,3,270
2021,5,25,0,32.4,26.7,78,3,110
2021,5,26,-1,33.4,26,73,2,110
2021,5,27,0,33.6,25.6,72,2,320
2021,5,28,0,33.5,25.8,72,2,340
2021,5,29,0,33.4,26.3,75,2,340
2021,5,30,0,33.2,26.2,75,2,270
2021,5,31,0,33.8,26.3,74,3,90
2021,6,1,0,33.6,26,75,3,90
2021,6,2,0,34.1,27.5,64,2,290
2021,6,3,0.7,34.6,25,72,5,220
2021,6,4,22.4,29.8,24.4,85,2,110
2021,6,5,0.6,32.4,26.8,78,3,220
2021,6,6,0.8,30.7,26.1,85,2,180
2021,6,7,36.8,32.7,24.2,83,2,250
2021,6,8,-1,32.1,25.6,80,2,270
2021,6,9,12.3,31.4,24.6,84,2,70
2021,6,10,6.1,31.2,24.1,84,3,290
2021,6,11,10,32.9,24.1,89,3,110
2021,6,12,0.5,32.4,26.1,80,2,90
2021,6,13,27.8,31.4,24.2,87,3,320
2021,6,14,9.4,30.5,23.6,86,3,220
2021,6,15,0.1,32,24.8,80,4,250
2021,6,16,0,32.4,25,74,4,220
2021,6,17,0,32.5,24.4,77,3,250
2021,6,18,-1,32.2,26.8,74,4,220
2021,6,19,1.4,32,25.9,73,4,220
2021,6,20,25.8,32.2,25.6,79,4,200
2021,6,21,2.4,32,24.3,89,4,220
2021,6,22,0.6,31.9,24.8,78,5,220
