YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION
2021,1,1,50.4,27.2,24.2,94,3,30
2021,1,2,25.9,29.2,25.5,86,3,40
2021,1,3,28.1,29,25.1,90,2,50
2021,1,4,23.8,29.2,24.7,91,2,40
2021,1,5,24.8,30.9,25.1,80,3,50
2021,1,6,17.4,30,25.2,86,2,50
2021,1,7,30.3,31.1,24.4,81,3,40
2021,1,8,82.2,27.2,24.4,94,3,40
2021,1,9,34.9,25,23,91,5,40
2021,1,10,1.3,25.2,23.1,91,6,30
2021,1,11,0.3,25.6,23.8,83,4,30
2021,1,12,-1,27.4,24,78,5,30
2021,1,13,35,27.9,25,81,4,40
2021,1,14,24.2,27.3,24,91,2,30
2021,1,15,0.1,30,24.5,83,3,30
2021,1,16,0.4,27.6,24.4,85,4,30
2021,1,17,25.4,30,25.5,85,3,40
2021,1,18,28.6,29.3,24.2,88,3,30
2021,1,19,19.4,25.9,24,91,2,360
2021,1,20,0.5,29.2,25.2,89,2,60
2021,1,21,6.6,31.2,25,88,2,20
2021,1,22,0,29.2,24.4,92,1,360
2021,1,23,0,31.9,24.4,88,1,360
2021,1,24,0,31.9,26,83,2,360
2021,1,25,0,32.1,22.6,81,2,360
2021,1,26,0,31.7,24,76,2,50
2021,1,27,30.8,31.1,25.5,85,2,20
2021,1,28,2,27.9,24.7,79,4,20
2021,1,29,0,29.4,24,78,5,30
2021,1,30,-1,28,24,79,4,360
2021,1,31,6.4,29,24.4,82,3,20
2021,2,1,4.4,29.8,24.6,82,3,30
2021,2,2,2.1,29.5,24.4,85,3,40
2021,2,3,52.4,31.2,23.9,86,4,40
2021,2,4,4.9,29.3,24.7,88,4,360
2021,2,5,40.8,29,24.5,92,2,20
2021,2,6,5,31.5,26,83,3,10
2021,2,7,11.6,30.9,24,81,3,30
2021,2,8,87.1,28,21.8,89,3,40
2021,2,9,106.6,27.3,23.2,90,3,40
2021,2,10,0.8,29,24.3,89,1,360
2021,2,11,1.2,29.6,25,89,1,360
2021,2,12,9.6,30.9,25.5,85,2,360
2021,2,13,0,30.4,25.7,84,3,360
2021,2,14,0,28.8,24,85,2,20
2021,2,15,-1,30.3,24.5,80,3,360
2021,2,16,0,30.9,23.5,73,3,40
2021,2,17,-1,30.5,25,76,4,40
2021,2,18,0.4,30.6,24.2,74,4,40
2021,2,19,0,29.7,23.5,65,6,40
2021,2,20,1.9,28.1,23.2,81,4,40
2021,2,21,25.8,27.9,24,85,3,40
2021,2,22,42.2,27.2,24,93,1,360
2021,2,23,0,31.5,26.1,85,2,50
2021,2,24,0,31.1,24,82,2,360
2021,2,25,0,31.9,25,78,2,50
2021,2,26,0,31,26.6,81,2,80
2021,2,27,1.2,31.5,25.4,82,2,30
2021,2,28,2.8,31.1,25.5,81,3,40
2021,3,1,0,32.3,22.7,79,2,360
2021,3,2,1.3,31.6,25.4,73,2,80
2021,3,3,7.4,30.6,25.1,86,3,40
2021,3,4,0,31.9,25.8,78,3,30
2021,3,5,7.6,30,25.2,88,3,40
2021,3,6,0,31,24.1,84,2,40
2021,3,7,-1,31.1,25,76,2,60
2021,3,8,76.8,31.3,23.7,82,2,40
2021,3,9,5.2,30.6,24,80,3,70
2021,3,10,5.2,31.4,25.4,81,3,50
2021,3,11,60.6,26.8,23.5,91,3,50
2021,3,12,46,28.8,24,93,2,60
2021,3,13,11.8,28.3,23.6,90,3,40
2021,3,14,1,30.1,24.4,89,1,360
2021,3,15,1.4,31.6,24.4,87,1,360
2021,3,16,0,32.7,26,81,1,90
2021,3,17,0,32.4,26,82,2,20
2021,3,18,10.1,32.2,26.1,81,2,70
2021,3,19,6.2,32.5,26,82,2,80
2021,3,20,11.5,31.6,25.7,82,2,40
2021,3,21,24.5,30.1,25,89,2,40
2021,3,22,12.8,31.6,25.7,86,2,50
2021,3,23,49.6,28.2,25.5,91,3,40
2021,3,24,1,31.3,25.2,81,3,40
2021,3,25,3.4,32.2,25.5,80,2,40
2021,3,26,5,32,25.8,87,2,40
2021,3,27,1.4,32,25.5,80,2,40
2021,3,28,5.6,31.8,25.8,83,2,30
2021,3,29,0,32.2,25.6,81,2,360
2021,3,30,-1,32.4,26.5,80,2,40
2021,3,31,0,32.2,25.8,79,3,90
2021,4,1,-1,32.4,25,78,2,50
2021,4,2,-1,32.1,26,75,3,40
2021,4,3,-1,32.6,25.1,80,2,60
2021,4,4,0,32.9,25.9,77,3,40
2021,4,5,0,32.4,26.5,75,2,50
2021,4,6,0,32.6,25.9,73,4,40
2021,4,7,0,32.8,26.6,68,3,50
2021,4,8,0,32.1,25,73,3,50
2021,4,9,0,32,26,77,3,40
2021,4,10,0,31.6,26,74,3,50
2021,4,11,0,32.9,23.2,70,3,50
2021,4,12,5.6,33.7,24.6,77,3,40
2021,4,13,-1,32.7,25,81,2,360
2021,4,14,0.4,33,26.8,79,2,60
2021,4,15,6.2,30.3,24.6,87,1,90
2021,4,16,0.8,31.2,25.7,83,2,30
2021,4,17,0,31.9,26.2,78,3,30
2021,4,18,79.4,28.6,23,80,4,250
2021,4,19,35.8,25.3,23,89,4,270
2021,4,20,-1,28.6,25.3,86,2,230
2021,4,21,0,31,26.2,84,3,230
2021,4,22,3.8,32.2,26.2,84,2,230
2021,4,23,71.8,30,25.3,92,1,220
2021,4,24,0,33.4,25.1,83,2,360
2021,4,25,22.2,31.9,24.5,89,2,50
2021,4,26,-1,31.5,25.1,77,2,60
2021,4,27,5.4,30,24.1,86,2,40
2021,4,28,0,31.7,22.8,76,2,60
2021,4,29,0,32.1,23,79,1,360
2021,4,30,0,32.5,24.5,79,1,360
2021,5,1,0,32.3,25.9,78,2,90
2021,5,2,1.4,32.7,27.4,78,2,60
2021,5,3,12.9,32.5,26.8,81,3,60
2021,5,4,0.8,31.8,27.2,84,3,40
2021,5,5,21.8,31.3,26.6,85,3,50
2021,5,6,32.1,32.5,26,82,3,50
2021,5,7,0,32.5,27,82,2,90
2021,5,8,12.2,31.4,26,85,1,360
2021,5,9,6.4,31.9,25.9,82,2,50
2021,5,10,4.6,31,26.5,86,2,60
2021,5,11,21.9,32.5,26,82,2,40
2021,5,12,3.7,32,26.2,87,2,50
2021,5,13,9.9,32.5,26.5,83,2,40
2021,5,14,10.1,31.2,27,87,2,60
2021,5,15,15.5,31.8,25.6,86,2,60
2021,5,16,1.7,32.9,27,83,2,20
2021,5,17,22.7,31.7,26.1,86,2,40
2021,5,18,9.6,31.7,27.1,83,2,40
2021,5,19,1.8,32.7,27,83,2,70
2021,5,20,19.3,31.5,25.4,86,1,360
2021,5,21,1,33,25.3,85,1,360
2021,5,22,0,33.4,25.7,81,1,360
2021,5,23,0,32.5,26.3,82,2,80
2021,5,24,0,33.3,26,80,2,30
2021,5,25,16.4,33.4,26.5,79,1,360
2021,5,26,0,33.9,27,84,1,360
2021,5,27,2.8,33.2,27.6,77,2,30
2021,5,28,11.6,33.8,27.2,81,1,360
2021,5,29,0,34.8,26.8,82,1,360
