YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION
2021,1,1,5.2,31.2,23.8,83,2,360
2021,1,2,19.2,26.6,24,90,1,360
2021,1,3,13,28.8,24,88,2,90
2021,1,4,0.8,29.6,23.5,83,3,90
2021,1,5,4.4,30,23.5,91,2,360
2021,1,6,25.6,27.5,23,93,1,360
2021,1,7,56.2,25,23,96,1,360
2021,1,8,-1,28,23.2,92,2,20
2021,1,9,-1,29,24,83,2,350
2021,1,10,34.6,28.6,23,91,2,360
2021,1,11,42,27.8,23,90,2,320
2021,1,12,52.6,24,22,97,1,360
2021,1,13,0.6,27,23.5,93,1,320
2021,1,14,0.2,28.5,23.8,91,1,360
2021,1,15,0,30,23.8,85,2,360
2021,1,16,30,30,24.2,84,2,340
2021,1,17,0.4,29,24,92,2,90
2021,1,18,41.4,25.8,23,94,1,360
2021,1,19,1.4,29,24,88,1,360
2021,1,20,3.6,29,23.8,87,1,360
2021,1,21,0,30,24,88,2,360
2021,1,22,0,30.4,24.4,83,3,90
2021,1,23,0,30,23.6,82,1,360
2021,1,24,0,30.6,24,79,2,90
2021,1,25,0,30,23,82,2,360
2021,1,26,12.8,30,23,86,1,360
2021,1,27,0.4,29.5,23,85,3,90
2021,1,28,3.4,28,24,89,1,360
2021,1,29,3.2,30,23,80,2,360
2021,1,30,8,25,23,80,3,40
2021,1,31,6.2,28.2,23,87,2,320
2021,2,1,46.6,25.8,22.5,95,1,360
2021,2,2,5,28,22.5,90,1,360
2021,2,3,4.6,28,22.8,84,2,40
2021,2,4,1.4,30,23.4,83,2,360
2021,2,5,2.8,29,23.4,82,3,60
2021,2,6,13.2,30.8,23,82,2,20
2021,2,7,101,27.6,22.6,90,2,110
2021,2,8,26.4,25,22.6,94,1,360
2021,2,9,0,30,24,86,1,360
2021,2,10,0,31,25.5,86,3,90
2021,2,11,0,32,24.4,82,3,90
2021,2,12,0,31,24,81,2,200
2021,2,13,20.4,30,24.6,86,1,360
2021,2,14,11,29,23.6,86,2,360
2021,2,15,2.8,28.8,23,84,1,40
2021,2,16,13.4,30,23.5,84,2,340
2021,2,17,29.6,29.5,22.5,87,1,360
2021,2,18,0,29.2,24.2,80,3,360
2021,2,19,0,28.2,23,68,3,40
2021,2,20,3.8,24.2,22.6,89,4,350
2021,2,21,66.2,24.6,22.4,89,2,360
2021,2,22,0,30,24,81,1,360
2021,2,23,0,31,25,82,2,360
2021,2,24,0,31.5,24.5,77,2,90
2021,2,25,0,32.2,25.6,78,2,360
2021,2,26,-1,30,25,83,2,360
2021,2,27,0,30.6,25.4,79,1,360
2021,2,28,8,30,23.6,83,2,20
2021,3,1,0.2,30,25,81,2,290
2021,3,2,0,30,24.6,79,1,360
2021,3,3,0,30.4,22,74,3,60
2021,3,4,0,32,24.8,79,1,90
2021,3,5,1.4,31,23,71,3,90
2021,3,6,0,31.2,24,77,3,90
2021,3,7,9.2,31,23.8,75,3,40
2021,3,8,11.8,28.6,23.5,86,1,360
2021,3,9,0,29.8,23,85,1,360
2021,3,10,44.4,28,22.8,91,1,360
2021,3,11,15,26,23,94,1,360
2021,3,12,3,27,24.2,91,2,90
2021,3,13,0.2,30.4,24,82,2,140
2021,3,14,2,31,25,84,2,360
2021,3,15,0,31,25,80,2,180
2021,3,16,0,31.8,23.5,83,1,360
2021,3,17,0,30.5,25,82,1,360
2021,3,18,0,32.5,24.8,78,3,90
2021,3,19,0,33,25,75,2,40
2021,3,20,0,32.2,25.2,79,1,90
2021,3,21,3.2,31,25,84,2,60
2021,3,22,0,33,24.5,74,4,90
2021,3,23,29.6,32,24,77,4,90
2021,3,24,21.4,30,23.5,88,3,90
2021,3,25,0.6,31.5,25.4,82,3,90
2021,3,26,0,32,24,77,2,90
2021,3,27,8.6,29,24.2,84,3,40
2021,3,28,1.6,30,24.7,80,2,360
2021,3,29,0,32,24,80,2,90
2021,3,30,15.8,28.4,24,91,1,360
2021,3,31,19.2,27,23,90,2,40
2021,4,1,4.4,28,24,89,2,360
2021,4,2,6,30.2,23.8,77,2,310
2021,4,3,1.2,30.6,23,82,2,360
2021,4,4,0,30.6,24.8,86,2,330
2021,4,5,0,31.6,24,79,2,240
2021,4,6,0,31,24,80,2,360
2021,4,7,0,30,24,81,1,360
2021,4,8,0,31,25,80,1,360
2021,4,9,-1,30.8,26,73,1,360
2021,4,10,1.6,30.4,25,84,2,360
2021,4,11,0,30.2,22.8,78,2,330
2021,4,12,0,32,24,76,3,320
2021,4,13,3,30,23.5,86,2,360
2021,4,14,35,31,24,86,1,360
2021,4,15,31.4,30,24.4,91,2,360
2021,4,16,43.4,30,23.4,86,2,360
2021,4,17,7.2,29,25.6,88,5,320
2021,4,18,11.8,27,24.8,80,6,270
2021,4,19,0,30,26,81,4,270
2021,4,20,0.4,29.8,25.8,85,4,240
