YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION
2021,1,1,1.1,26.8,18,90,1,360
2021,1,2,3.2,29,16.2,84,1,360
2021,1,3,5.4,29,14.9,86,1,360
2021,1,4,6,28.5,19,88,1,360
2021,1,5,0,27.5,19,86,1,360
2021,1,6,0.6,27,19.1,89,1,360
2021,1,7,4.1,28.1,18.6,93,1,360
2021,1,8,0,32,20,83,1,360
2021,1,9,0.8,30,19.6,82,1,360
2021,1,10,9.8,29.5,19,86,1,360
2021,1,11,7.1,23.2,18.5,96,1,360
2021,1,12,30.2,27.5,19,93,1,360
2021,1,13,0,31.5,19.6,82,1,360
2021,1,14,69.8,29.6,18.5,94,0,0
2021,1,15,0.8,28.1,19,92,1,360
2021,1,16,5.6,32.1,19,86,1,360
2021,1,17,3.6,28.5,18.6,88,1,360
2021,1,18,3.9,24.5,19.2,94,1,360
2021,1,19,0.2,31.2,19.8,87,1,360
2021,1,20,89.6,28.9,19.2,90,1,360
2021,1,21,2,29.5,19,82,1,360
2021,1,22,6.4,28.5,19,90,1,360
2021,1,23,7,28.5,19.6,88,1,360
2021,1,24,0,32,17.6,80,1,360
2021,1,25,0,31.6,16.5,77,1,360
2021,1,26,0,31,16,75,1,360
2021,1,27,0,29.5,14.6,80,1,360
2021,1,28,5.7,30.6,18.7,85,0,0
2021,1,29,0,29.5,17,85,1,360
2021,1,30,0.2,29.5,16,85,1,360
2021,1,31,12.8,30,15.5,82,1,360
2021,2,1,2.2,27.5,15,88,1,360
2021,2,2,8,27.5,14.5,90,1,360
2021,2,3,0.6,28,16.6,82,1,360
2021,2,4,1.1,29.1,18.1,86,1,360
2021,2,5,3.1,31.2,15.4,84,1,360
2021,2,6,0,33,17.5,81,1,360
2021,2,7,20.9,28.5,17,89,1,360
2021,2,8,0,26.5,15,91,1,360
2021,2,9,1.2,31.4,19,80,1,360
2021,2,10,31.2,33,19,76,1,360
2021,2,11,0,29.5,18.7,83,1,360
2021,2,12,23.6,30,17.5,86,1,360
2021,2,13,42,30.5,18,85,1,360
2021,2,14,97.5,30,18.2,84,1,360
2021,2,15,-1,32.8,18,81,1,360
2021,2,16,3.2,31,17.5,86,1,360
2021,2,17,2.6,30,10.4,78,1,360
2021,2,18,-1,28.6,17.2,83,2,70
2021,2,19,-1,28.8,19,85,2,360
2021,2,20,2,23.3,16,94,1,360
2021,2,21,11.2,22,16,95,1,360
2021,2,22,0,30,18,81,1,360
2021,2,23,36.6,34,15,75,1,360
2021,2,24,0,30,16.5,85,1,360
2021,2,25,0,33.3,19,79,1,360
2021,2,26,21,33.3,18,77,1,360
2021,2,27,0,33,19,84,1,360
2021,2,28,4.6,29.5,17.5,86,1,360
2021,3,1,0,33.4,16,78,1,360
2021,3,2,0,33.5,16,69,1,360
2021,3,3,0,31,17,72,1,360
2021,3,4,0,31.5,17.5,76,1,360
2021,3,5,0,30.5,18,76,1,360
2021,3,6,0,31.5,15,71,1,360
2021,3,7,0,29.5,14.8,83,1,360
2021,3,8,0,31.8,17.5,81,1,360
2021,3,9,1,29.5,17,78,1,360
2021,3,10,32.8,29,16,83,1,360
2021,3,11,0.4,27.2,16.4,92,0,0
2021,3,12,1.2,27.5,17.5,90,1,360
2021,3,13,7.8,31.5,19.5,82,1,360
2021,3,14,5,29,18.4,83,1,360
2021,3,15,3.6,33.6,17.9,78,1,360
2021,3,16,0,31.5,18.5,78,1,360
2021,3,17,0.2,32.8,18.5,74,1,360
2021,3,18,0,33,16.2,77,1,360
2021,3,19,0,32.7,18,80,1,360
2021,3,20,0.8,32,19,85,1,360
2021,3,21,4.7,31.5,18,82,1,360
2021,3,22,0,33,16,76,1,360
2021,3,23,3,32,18,74,1,360
2021,3,24,1.8,30,16,78,1,360
2021,3,25,0,31.5,17.5,77,1,360
2021,3,26,0,32.5,19,74,1,360
2021,3,27,1.2,31.5,18.8,78,1,360
2021,3,28,0.6,32,19.5,76,1,360
2021,3,29,4.2,33.6,20,79,1,360
2021,3,30,2.4,33,19.8,80,1,360
2021,3,31,5.9,30,19,89,1,360
2021,4,1,8.5,31.2,18.8,90,1,360
2021,4,2,3.1,32,19.2,84,1,360
2021,4,3,0,32,16.5,78,1,360
2021,4,4,0,33.5,18.6,76,1,360
2021,4,5,0,34,17,72,1,360
2021,4,6,19,33.2,18.5,75,1,360
2021,4,7,21.2,32,18,78,1,360
2021,4,8,10.9,30.5,18,85,1,360
2021,4,9,9.4,30.1,18,84,1,360
2021,4,10,11.3,32,20,85,1,360
2021,4,11,0.1,31.2,16.8,81,1,360
2021,4,12,0,31.6,17,86,1,360
2021,4,13,0,33,18.5,74,1,360
2021,4,14,6,32,18,85,1,360
2021,4,15,5.5,29.5,19,83,1,360
2021,4,16,0,29.6,19,79,1,360
2021,4,17,3.5,28,19,83,2,340
2021,4,18,0,28,18,86,1,360
2021,4,19,0,26.5,17.8,87,1,360
2021,4,20,13.5,28.8,17.5,92,1,360
2021,4,21,20.4,31.5,17.1,83,1,360
2021,4,22,1,30.3,16.8,86,1,360
2021,4,23,22,29,19,89,1,360
2021,4,24,1.2,28.5,18.5,83,1,360
2021,4,25,1.2,29,18.2,86,1,360
2021,4,26,-1,28.4,18.6,87,1,360
2021,4,27,1.6,27.2,19,94,1,360
2021,4,28,-1,31.1,17.8,78,1,360
2021,4,29,4.2,33.6,16,81,1,360
