YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION
2021,1,1,5.8,27.3,24,91,2,360
2021,1,2,36.2,30.5,24,91,2,340
2021,1,3,20.8,30.4,24.3,89,1,90
2021,1,4,6.8,30.4,23.7,91,1,40
2021,1,5,10,31.4,24.5,82,2,70
2021,1,6,1.6,29,25,86,2,20
2021,1,7,17.6,30,24.5,87,2,360
2021,1,8,34.4,28,23.5,91,2,340
2021,1,9,3.2,28,23.5,89,3,360
2021,1,10,1.2,26.5,23,87,3,20
2021,1,11,0.2,26.5,23,85,3,360
2021,1,12,0,28,23.5,82,3,360
2021,1,13,5.4,28.5,24,83,2,340
2021,1,14,0,28,24,90,2,320
2021,1,15,3.2,31.5,24,84,2,340
2021,1,16,8.2,28,23.5,88,3,360
2021,1,17,3.8,28.5,23.5,89,2,20
2021,1,18,20.6,27.5,23.5,91,1,20
2021,1,19,2.8,26.3,23,94,2,360
2021,1,20,0,29,24.5,91,1,110
2021,1,21,18.2,31,24,91,1,110
2021,1,22,-1,30.2,23.2,89,1,90
2021,1,23,0.2,30,23.5,91,1,360
2021,1,24,0,31.8,24.8,86,1,360
2021,1,25,0,32.5,22.8,84,1,90
2021,1,26,0,32,24.2,81,1,20
2021,1,27,48,31.7,23.8,86,1,340
2021,1,28,8.2,28,23.7,86,2,20
2021,1,29,0,29,23.4,79,2,20
2021,1,30,0.4,28.5,23,78,2,20
2021,1,31,0,30,23,78,2,360
2021,2,1,3.2,30,24,85,2,360
2021,2,2,12.6,29.5,22.8,88,2,20
2021,2,3,16,30.8,23.5,83,2,20
2021,2,4,29.2,29.5,23,92,2,360
2021,2,5,8.6,30.6,24.5,89,1,320
2021,2,6,8.6,30,24,86,2,340
2021,2,7,60.8,28,22.5,96,1,340
2021,2,8,34,26,22.5,95,1,70
2021,2,9,1,29,23.5,89,2,70
2021,2,10,18.8,29,24,92,2,90
2021,2,11,0,29.8,23.5,91,1,90
2021,2,12,0,31,24.5,84,1,360
2021,2,13,1,31.2,23.6,85,1,70
2021,2,14,0,29.9,24.2,85,1,20
2021,2,15,-1,30.5,23.4,84,1,20
2021,2,16,-1,31.9,24.4,73,1,40
2021,2,17,0.6,30,24.2,76,1,20
2021,2,18,-1,31,23.3,71,2,20
2021,2,19,0,29.5,23,69,2,20
2021,2,20,0,27.5,23.5,77,2,360
2021,2,21,38.6,26.5,23.5,89,2,340
2021,2,22,14.6,26,23,94,1,320
2021,2,23,-1,31,24,89,1,90
2021,2,24,0,31.2,23.5,82,1,110
2021,2,25,0,31.2,24.5,80,1,110
2021,2,26,0,32,25.4,82,1,90
2021,2,27,0,33,25.4,83,1,90
2021,2,28,0,33.2,24.8,81,2,90
2021,3,1,-1,32.5,24.4,80,2,90
2021,3,2,0,32.2,24,80,1,110
2021,3,3,-1,32.5,24.8,78,2,70
2021,3,4,9.4,28,24,90,1,110
2021,3,5,0,32,24.5,80,1,70
2021,3,6,0,32.8,23.5,80,1,70
2021,3,7,2.2,32.5,24,77,1,20
2021,3,8,1.2,31.2,24,84,1,40
2021,3,9,0,32.5,24,78,2,20
2021,3,10,16.8,33.5,23.5,73,2,40
2021,3,11,59.8,26.5,22.5,95,2,70
2021,3,12,4.6,29,24,91,2,90
2021,3,13,0.2,31.5,24,85,1,340
2021,3,14,-1,30.4,24,87,1,340
2021,3,15,0,31,24,89,1,90
2021,3,16,-1,32,24.3,89,1,110
2021,3,17,0,33.3,25.5,85,1,90
2021,3,18,2.2,33,25.2,84,2,110
2021,3,19,0,32.9,25.3,81,1,110
2021,3,20,2,32.8,25.5,79,2,90
2021,3,21,0,33.5,25.7,85,2,90
2021,3,22,0,32.8,25.8,82,2,70
2021,3,23,23.4,32,24,89,2,90
2021,3,24,8,30.5,24.5,88,2,90
2021,3,25,0.2,31.5,24.4,85,1,90
2021,3,26,3.4,32,24.5,84,1,90
2021,3,27,0,33,25,82,1,90
2021,3,28,0,32.5,25.5,81,1,90
2021,3,29,0,32,24.5,83,1,110
2021,3,30,0,33,25.5,79,1,360
2021,3,31,0,34,25.4,78,1,90
2021,4,1,0,34,24.8,74,1,70
2021,4,2,-1,33,25.5,79,1,90
2021,4,3,-1,33.5,25,76,2,90
2021,4,4,0,33.5,24.3,80,1,70
2021,4,5,-1,32.8,25.4,77,1,110
2021,4,6,0,33.2,24.5,78,1,40
2021,4,7,0,33.8,24.5,70,1,360
2021,4,8,0,32.5,24.5,73,1,90
2021,4,9,0,32.5,25.2,74,1,40
2021,4,10,-1,33.5,25,72,1,70
2021,4,11,0,33.5,24.7,71,1,360
2021,4,12,0,33,25.6,76,2,340
2021,4,13,0,32.5,25,79,1,360
2021,4,14,0,34,25.6,79,1,340
2021,4,15,25.6,32.5,24.6,85,1,360
2021,4,16,0,33.2,26.2,79,2,340
2021,4,17,-1,33,26.5,75,3,320
2021,4,18,46.6,29,22.5,83,3,270
2021,4,19,16.2,28.2,23.2,85,2,270
2021,4,20,0,31.8,25,73,2,270
2021,4,21,0,33,26,75,2,200
2021,4,22,0,33.5,26,77,2,200
2021,4,23,0,33.8,26.3,77,2,220
2021,4,24,0,33.8,25,75,2,270
2021,4,25,13.8,32.3,24.7,82,1,340
2021,4,26,0,32.5,24,76,1,110
2021,4,27,0,31,24.4,80,1,90
2021,4,28,0,32.8,23.6,79,1,70
2021,4,29,0,32.8,23.5,75,2,240
2021,4,30,0,33,25.5,78,1,90
2021,5,1,0,33.5,25.5,78,2,90
2021,5,2,3.2,34.5,25.6,77,2,110
2021,5,3,23.2,33.5,25,86,2,70
2021,5,4,0,33,26.4,88,2,70
2021,5,5,0.4,34.5,26.4,80,2,70
2021,5,6,0.6,34.5,26,80,2,70
2021,5,7,0,33.2,26.5,80,1,90
2021,5,8,0,32.8,26.5,82,1,20
2021,5,9,0,33,26.5,80,2,110
2021,5,10,0,32.8,26,82,2,110
2021,5,11,13.2,32,24.6,84,1,90
2021,5,12,0,32.2,26,81,2,90
2021,5,13,0,33.2,26.2,82,2,90
2021,5,14,-1,32.8,25.8,83,2,90
2021,5,15,0,34.2,26.2,80,2,90
2021,5,16,0,33.8,26,80,1,70
2021,5,17,-1,33.8,26.6,79,1,70
2021,5,18,0,33,26.3,82,2,90
2021,5,19,0,33,26.2,80,2,110
2021,5,20,17.2,33.2,23.7,80,2,110
2021,5,21,0,31.5,25.3,84,1,360
2021,5,22,0,33.3,25.5,79,1,90
2021,5,23,0,33.7,26.5,78,2,110
2021,5,24,0,34,26,77,2,110
2021,5,25,0,33.5,26.5,80,1,90
2021,5,26,0,34,26,79,1,90
2021,5,27,0,34,27,78,2,90
2021,5,28,0,35,27,77,2,90
2021,5,29,0,34,27,79,2,90
2021,5,30,0,34,26.8,78,1,90
2021,5,31,0,34,26.8,76,1,90
2021,6,1,9.6,32,25,86,3,340
2021,6,2,0.4,29.5,24.8,84,2,180
2021,6,3,0,33,26,79,1,200
2021,6,4,0,33.5,26.5,80,1,180
2021,6,5,8.8,33.5,24.5,83,1,250
2021,6,6,11,32.5,25.5,82,1,270
2021,6,7,1.8,33,24.9,87,1,220
2021,6,8,7,31.8,24.8,85,1,360
2021,6,9,19.2,31.8,24.2,84,1,90
2021,6,10,12.3,31,24.5,87,1,90
2021,6,11,10.4,31.8,24.8,88,1,110
2021,6,12,4.8,30.4,23.5,84,1,110
2021,6,13,-1,32.3,24.3,86,2,110
2021,6,14,0,33,24.9,83,1,90
2021,6,15,0,33.7,26,79,1,90
2021,6,16,0.2,33.3,26,84,1,90
2021,6,17,7.4,33.5,25.5,83,1,90
2021,6,18,1,33.3,26,85,1,200
2021,6,19,0,35,26,74,2,220
2021,6,20,4.8,34.5,24.8,74,2,200
2021,6,21,-1,33.8,25.9,73,2,220
2021,6,22,0,34,25.6,76,2,220
2021,6,23,0,33,25,80,1,360
2021,6,24,0,32,24.2,83,1,90
2021,6,25,-1,33.2,25,84,1,360
2021,6,26,0,34,26,78,1,70
2021,6,27,0,33.5,25.5,81,1,110
2021,6,28,4.4,34,24.5,83,1,90
2021,6,29,0,34.5,25.4,76,1,90
2021,6,30,0,34,26.4,76,1,90
2021,7,1,43.4,34,24,77,1,250
2021,7,2,16.8,33.9,24.1,78,2,200
2021,7,3,23.2,31.2,24.3,86,1,250
2021,7,4,6,33.5,24.6,80,2,180
2021,7,5,0.6,33.3,24.9,77,2,200
2021,7,6,0,33,24.6,82,1,180
2021,7,7,0,33.3,26,77,1,90
2021,7,8,2,33.5,26.2,82,2,90
2021,7,9,0,33.2,26.5,77,2,90
2021,7,10,1,33,26,82,1,90
2021,7,11,0,33.8,26.8,80,1,90
2021,7,12,0,33.5,26.8,80,2,90
2021,7,13,4.4,32.8,25.2,83,2,110
2021,7,14,0,32.7,25,81,2,110
2021,7,15,20.2,32.8,25.5,89,2,90
2021,7,16,0,32.4,26.2,86,2,220
2021,7,17,0,33,26.2,79,2,200
2021,7,18,-1,33,26.5,74,2,220
2021,7,19,19.2,33,25.8,79,2,200
2021,7,20,0.2,32.2,26,74,2,220
2021,7,21,4,33.4,26,76,3,220
2021,7,22,6.4,33,25,68,3,200
2021,7,23,7.4,32.5,25,76,3,220
2021,7,24,4.8,32.5,25,75,2,200
2021,7,25,0,33.7,27,69,3,220
2021,7,26,0,34.5,27.5,69,3,220
2021,7,27,3,33.3,27,78,3,200
2021,7,28,0.4,34.2,27,75,2,200
2021,7,29,0,34,27,75,2,200
2021,7,30,0,34.2,27,72,2,200
2021,7,31,0,33.8,26.8,70,2,220
2021,8,1,0,35.2,27.3,65,3,220
2021,8,2,0,34.4,27.2,68,3,200
2021,8,3,-1,33,26.5,73,2,200
2021,8,4,0,34,27.3,70,2,200
2021,8,5,0,33.5,27,74,2,200
2021,8,6,2,34.5,26.5,72,2,200
2021,8,7,0,34.5,26.5,71,2,220
2021,8,8,0,34.5,25.5,75,2,220
2021,8,9,22.2,31.7,24,85,1,220
2021,8,10,-1,29.5,24.5,84,1,220
2021,8,11,2.2,32.5,24.5,83,1,90
2021,8,12,0,33.5,25.8,83,1,90
2021,8,13,-1,34.5,25.8,77,1,90
2021,8,14,2.8,32.5,24.5,84,1,360
2021,8,15,0,32.5,25.5,80,1,360
2021,8,16,0,34,26.8,75,1,90
2021,8,17,0,33.2,26.5,78,2,110
2021,8,18,11.8,33.6,25,85,1,270
2021,8,19,24.2,33,24.2,80,1,340
2021,8,20,8,33,24.5,91,1,90
2021,8,21,0,32.5,24.6,80,1,110
2021,8,22,2,32.5,24,82,1,90
2021,8,23,26,33,23.5,83,1,200
2021,8,24,5.6,31,24.5,85,1,270
2021,8,25,0.4,32,24.8,83,1,90
2021,8,26,4.6,32.2,24.5,83,1,90
