YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION
2021,1,1,3.7,24.1,22.9,87,5,40
2021,1,2,44,24.4,23.2,86,4,40
2021,1,3,9.3,25.9,23.9,86,2,40
2021,1,4,0.7,27,24,84,2,40
2021,1,5,16,27.6,22.7,85,3,40
2021,1,6,0.2,25.8,23.7,86,3,60
2021,1,7,0.5,26.9,23,84,3,40
2021,1,8,1,25.1,23,86,4,40
2021,1,9,0.7,23.9,22.3,86,5,40
2021,1,10,0.7,24,22,86,4,40
2021,1,11,-1,23.2,22,86,5,40
2021,1,12,0,25.1,22.9,84,4,40
2021,1,13,0,27.1,23.2,84,4,40
2021,1,14,4.4,24.5,23,87,4,40
2021,1,15,4.5,23.9,22.8,88,3,40
2021,1,16,-1,24.2,23.3,85,4,40
2021,1,17,17,25.8,22.6,86,3,40
2021,1,18,5.2,25.6,23,86,4,40
2021,1,19,12,23.6,22.3,86,3,40
2021,1,20,0,26.2,23.2,84,1,40
2021,1,21,2.2,26.8,23.5,85,1,360
2021,1,22,3.4,27,23.8,84,1,360
2021,1,23,0,29.9,24.2,82,1,180
2021,1,24,0.5,29,24.2,82,2,30
2021,1,25,0,28.6,23.2,83,1,40
2021,1,26,0,27.4,23.6,84,2,40
2021,1,27,86.5,28.1,23,87,2,40
2021,1,28,0.5,24.9,23.1,86,3,40
2021,1,29,0.2,25.9,22.1,83,4,40
2021,1,30,0,25.2,22.7,85,5,40
2021,1,31,0,26,22.1,84,3,40
2021,2,1,0,26.9,23.4,84,3,40
2021,2,2,5,27.4,23,84,4,40
2021,2,3,2.6,27.4,22.9,85,3,40
2021,2,4,16.1,23.9,22.1,87,3,40
2021,2,5,12.7,23.8,22.3,88,3,40
2021,2,6,0,27.2,23.7,83,3,40
2021,2,7,14.3,28,23.9,84,2,40
2021,2,8,20.5,24.9,23,86,3,40
2021,2,9,32,26.3,22.7,89,3,40
2021,2,10,13.5,25.9,23,86,1,40
2021,2,11,0,29.3,24.4,82,1,210
2021,2,12,34,28.8,24,84,1,60
2021,2,13,0.7,27.1,23.6,83,2,40
2021,2,14,0,27.4,23.4,83,1,40
2021,2,15,15,27.8,22.7,84,1,40
2021,2,16,0,27.2,23.2,84,2,40
2021,2,17,0,27.9,23.3,82,3,40
2021,2,18,2.5,27.6,22,84,4,40
2021,2,19,0,25.9,22.2,85,5,40
2021,2,20,0,23.9,22.3,84,4,40
2021,2,21,0,25,23,85,4,40
2021,2,22,14.5,24.9,23,86,3,40
2021,2,23,2.5,27.2,24.1,84,1,40
2021,2,24,0,28.7,24,82,1,360
2021,2,25,0,28.9,23.7,82,1,60
2021,2,26,0,28.8,24.1,82,1,40
2021,2,27,21,28.3,24.2,82,1,40
2021,2,28,0,29.4,23.8,81,2,40
2021,3,1,1,28.8,24,82,1,60
2021,3,2,1.5,28.8,23.6,81,1,60
2021,3,3,6,28.4,24.1,82,1,60
2021,3,4,0,28,24.1,82,2,60
2021,3,5,0,29,24.2,81,2,60
2021,3,6,0,28.3,23.7,82,1,40
2021,3,7,0,28.2,24,82,2,60
2021,3,8,1,27.8,23.9,83,2,40
2021,3,9,11,27.3,23.7,83,2,60
2021,3,10,0,28.2,24.3,82,3,60
2021,3,11,25.7,26,22.4,87,3,60
2021,3,12,50,27,22.3,86,2,60
2021,3,13,0.2,25.6,23.6,85,4,40
2021,3,14,7.7,26.7,23.1,84,2,40
2021,3,15,0,29.1,24.7,81,1,360
2021,3,16,0,28.3,25,82,1,30
2021,3,17,0,29.3,24.8,81,1,60
2021,3,18,0.5,29.2,24.9,81,1,60
2021,3,19,0,30,24.8,81,1,60
2021,3,20,0,29.7,25.2,81,1,40
2021,3,21,0,30.2,25.1,81,2,60
2021,3,22,1.5,29.1,24.8,81,2,60
2021,3,23,28,26.8,23.7,87,3,60
2021,3,24,9.2,28,24.2,83,2,60
2021,3,25,1.5,28.8,23.9,82,2,60
2021,3,26,0,28.5,23.9,82,2,60
2021,3,27,0,29.7,25,80,1,60
2021,3,28,1,30,25.6,80,2,60
2021,3,29,0,29.5,24.4,81,1,60
2021,3,30,0,29,24.7,81,2,60
2021,3,31,0,29,24.9,81,2,60
2021,4,1,0,29.8,24.1,80,2,80
2021,4,2,0,29.5,24.8,81,2,80
2021,4,3,0,30,24.3,79,1,60
2021,4,4,-1,29.5,24.2,81,2,60
2021,4,5,0,29.4,25.2,80,2,60
2021,4,6,0,29.3,24.8,80,3,60
2021,4,7,0,29.2,25,81,2,60
2021,4,8,0,29.9,24.5,81,2,60
2021,4,9,0,29.3,24.9,81,2,60
2021,4,10,0,29.2,24.6,81,2,60
2021,4,11,3.1,28.8,24.6,83,2,60
2021,4,12,0,29.2,24.9,80,2,60
2021,4,13,0,29.9,25,79,2,60
2021,4,14,0,29.7,25,79,2,60
2021,4,15,0.2,29.8,25.5,80,2,60
2021,4,16,0,29.8,25.7,80,2,40
2021,4,17,0.2,29.1,25.5,81,2,40
2021,4,18,1,28.1,26,80,2,340
2021,4,19,0,28.2,24.9,84,2,320
2021,4,20,0,29.2,25.2,-999,1,210
2021,4,21,0,29.9,25,-999,2,210
2021,4,22,-999,-999,-999,-999,-999,-999
2021,4,23,-999,-999,-999,-999,-999,-999
2021,4,24,-999,-999,-999,-999,-999,-999
2021,4,25,-999,-999,-999,-999,-999,-999
2021,4,26,-999,-999,-999,-999,-999,-999
2021,4,27,-999,-999,-999,-999,-999,-999
2021,4,28,-999,-999,-999,-999,-999,-999
2021,4,29,-999,-999,-999,-999,-999,-999
2021,4,30,-999,-999,-999,-999,-999,-999
2021,5,1,-999,-999,-999,-999,-999,-999
2021,5,2,-999,-999,-999,-999,-999,-999
2021,5,3,-999,-999,-999,-999,-999,-999
2021,5,4,-999,-999,-999,-999,-999,-999
2021,5,5,-999,-999,-999,-999,-999,-999
2021,5,6,-999,-999,-999,-999,-999,-999
2021,5,7,-999,-999,-999,-999,-999,-999
2021,5,8,-999,-999,-999,-999,-999,-999
2021,5,9,-999,-999,-999,-999,-999,-999
2021,5,10,-999,-999,-999,-999,-999,-999
2021,5,11,-999,-999,-999,-999,-999,-999
2021,5,12,-999,-999,-999,-999,-999,-999
2021,5,13,-999,-999,-999,-999,-999,-999
2021,5,14,-999,-999,-999,-999,-999,-999
2021,5,15,-999,-999,-999,-999,-999,-999
2021,5,16,-999,-999,-999,-999,-999,-999
2021,5,17,-999,-999,-999,-999,-999,-999
2021,5,18,-999,-999,-999,-999,-999,-999
2021,5,19,-999,-999,-999,-999,-999,-999
2021,5,20,-999,-999,-999,-999,-999,-999
2021,5,21,-999,-999,-999,-999,-999,-999
2021,5,22,-999,-999,-999,-999,-999,-999
2021,5,23,-999,-999,-999,-999,-999,-999
2021,5,24,-999,-999,-999,-999,-999,-999
2021,5,25,-999,-999,-999,-999,-999,-999
2021,5,26,-999,-999,-999,-999,-999,-999
2021,5,27,-999,-999,-999,-999,-999,-999
2021,5,28,-999,-999,-999,-999,-999,-999
2021,5,29,-999,-999,-999,-999,-999,-999
2021,5,30,-999,-999,-999,-999,-999,-999
2021,5,31,13,32,24.9,75,1,180
2021,6,1,64.5,31.3,24.8,78,2,60
2021,6,2,40,27.5,23.3,89,6,210
2021,6,3,2.5,30,25.7,81,2,190
2021,6,4,0,30.6,26,80,2,210
2021,6,5,0,32.1,26.5,77,2,210
2021,6,6,0,30.8,26,80,2,190
2021,6,7,1.5,30.8,25.1,79,2,190
2021,6,8,0,30.4,25.5,79,2,190
2021,6,9,5,28,25.2,85,2,190
2021,6,10,0,29.6,25.9,82,2,190
2021,6,11,0,31.3,26.1,80,2,190
2021,6,12,13.5,28.7,24.3,83,1,360
2021,6,13,1.2,27.9,25.3,84,2,180
2021,6,14,0,30.8,25.9,78,2,210
2021,6,15,0,31,25.8,78,2,210
2021,6,16,0,32.1,26.6,76,2,190
2021,6,17,0,32,26.6,76,1,210
2021,6,18,0,32,26.7,78,1,210
2021,6,19,0,32,26.4,77,2,210
2021,6,20,0,30.9,26,80,3,210
2021,6,21,0,30,25.1,80,2,210
2021,6,22,0,28.4,25.3,82,2,210
2021,6,23,0,30.3,25.8,80,2,210
2021,6,24,0,31.7,25.9,78,2,210
2021,6,25,0,32.2,25.9,77,1,180
2021,6,26,-1,30.3,26.3,78,1,360
2021,6,27,0,30.8,26.7,79,1,360
2021,6,28,0,31.9,26,77,2,210
2021,6,29,0,31.9,26.2,77,1,210
2021,6,30,0,32.7,26.8,77,1,210
2021,7,1,0,32,26.6,75,1,210
2021,7,2,63,31,22.3,79,1,360
2021,7,3,40,25.3,23.1,86,1,210
2021,7,4,7,30.1,25.1,82,2,210
2021,7,5,-1,30.2,25.9,80,3,210
2021,7,6,8.5,30.5,24.9,81,1,210
2021,7,7,32.5,30.2,25.6,79,1,30
2021,7,8,6.2,30.8,25.1,80,1,60
2021,7,9,2,31.3,25.7,80,2,60
2021,7,10,40.2,28.3,24.7,85,2,60
2021,7,11,30.4,31.1,25.2,80,2,80
2021,7,12,2,30.7,26,80,2,80
2021,7,13,49,29.4,24.5,82,1,80
2021,7,14,0,30.7,26.6,78,1,80
2021,7,15,14.5,32,25.6,77,2,190
2021,7,16,0,29.8,25.9,81,2,210
2021,7,17,25.8,30,25.3,82,3,210
2021,7,18,41,28,25,91,3,210
2021,7,19,9.8,27.9,23.3,86,4,210
2021,7,20,19.3,27,24.6,85,3,210
2021,7,21,87,27,24.1,87,4,210
2021,7,22,53.7,27.2,24,89,4,210
2021,7,23,103.9,26.4,23.8,90,4,210
2021,7,24,15.1,27.3,23.7,85,4,210
2021,7,25,0,29.6,25.6,82,4,210
2021,7,26,0,31,26.7,80,4,210
2021,7,27,4,30.1,25.6,80,4,210
2021,7,28,34,28,24.2,86,4,210
2021,7,29,4,27.3,25,83,3,210
2021,7,30,0.5,30.3,25.5,81,3,210
2021,7,31,0,30,25.5,81,3,210
2021,8,1,-1,31.1,26,80,3,210
2021,8,2,0.3,29,24.9,82,4,210
2021,8,3,0.5,29.9,25.8,82,4,210
2021,8,4,0,30.1,26.3,80,4,210
2021,8,5,0.5,31.2,25.4,80,4,210
2021,8,6,1.5,30.8,25.7,80,4,210
2021,8,7,0,30.8,25.8,80,3,210
2021,8,8,0,31,25.8,80,3,210
2021,8,9,53.5,30.4,23.5,85,2,210
2021,8,10,0,28.7,24.5,84,2,180
2021,8,11,0,31.2,26,80,1,210
2021,8,12,0,30.2,26.3,80,1,360
2021,8,13,1.5,31.3,25.1,79,1,80
2021,8,14,0,30.3,25.9,81,1,210
2021,8,15,0,30.2,25.9,82,1,360
2021,8,16,0,30.4,25.6,80,1,40
2021,8,17,4,30.2,25.5,80,1,30
2021,8,18,2,30.1,25.8,82,1,180
2021,8,19,0.2,31.7,26.4,79,1,360
2021,8,20,1.5,30,25.8,82,1,180
2021,8,21,3.5,29.3,25.7,81,1,180
2021,8,22,3.1,30.6,26,82,1,180
2021,8,23,0,30.8,26,80,2,210
2021,8,24,32.7,29,24.8,83,1,30
2021,8,25,50.5,29.8,23.5,85,1,30
2021,8,26,7.8,27.3,23.5,87,1,40
2021,8,27,8,30.9,25.3,81,1,40
2021,8,28,35.5,30.9,25.6,81,1,80
2021,8,29,0,30.4,26.3,82,1,360
2021,8,30,6,29.1,26.7,82,1,40
2021,8,31,7.5,29.7,25.2,82,1,360
2021,9,1,0,29.3,24.9,83,1,40
2021,9,2,0,30.3,25,82,1,360
2021,9,3,0,31.1,25.8,80,1,210
2021,9,4,0,30.9,26.5,79,1,210
2021,9,5,29,31.1,24.2,81,1,360
2021,9,6,0.4,30.4,25,82,2,30
2021,9,7,55.9,28,23.5,90,4,210
2021,9,8,7,27.5,23.7,87,3,210
2021,9,9,-1,29.7,24.9,83,3,210
2021,9,10,54.7,25.9,23.3,90,3,210
2021,9,11,4,28.8,24.3,83,3,210
2021,9,12,0,30.3,25.7,81,2,210
2021,9,13,0,30,25.9,81,1,360
2021,9,14,0,30.2,25.8,80,1,360
2021,9,15,4,31,26.4,80,1,60
2021,9,16,74.5,28.9,23.9,88,1,60
2021,9,17,-1,28.7,25,85,1,40
2021,9,18,0,30.1,25.4,80,1,360
2021,9,19,19.8,25.8,23.8,87,1,20
2021,9,20,0.5,29,25.2,83,1,60
2021,9,21,0.5,29.1,25,83,1,140
2021,9,22,0,30,25,81,1,180
2021,9,23,3.8,30,25.4,82,1,40
2021,9,24,0,29.5,26,82,2,20
2021,9,25,37.2,30.2,24.5,81,1,40
2021,9,26,21.5,30,24.9,84,1,40
2021,9,27,0,31.3,26,80,1,210
2021,9,28,0,29,26.2,81,1,210
2021,9,29,0,31,26,80,1,210
2021,9,30,0,30.7,25.7,81,1,210
2021,10,1,0,31.2,25.7,81,1,210
2021,10,2,0.5,29.7,26,82,1,30
2021,10,3,13.7,29.4,24.1,84,2,40
2021,10,4,29.5,27.2,24.3,85,3,60
2021,10,5,16.5,28.8,22.9,84,3,180
2021,10,6,0.5,28.7,25.5,83,2,180
2021,10,7,0,30.9,25,81,2,210
2021,10,8,0,29.1,25.9,83,1,210
2021,10,9,0,30.5,25.3,81,2,210
2021,10,10,0,30,26.1,82,2,210
2021,10,11,0.7,30,24.9,80,4,210
2021,10,12,61,26.2,23.8,87,4,210
2021,10,13,11.5,29,23.9,85,3,210
2021,10,14,14,28,24.7,83,1,210
2021,10,15,0.2,28.1,24.9,85,2,210
2021,10,16,22.2,29.9,25,82,1,360
2021,10,17,0.5,30,25,82,2,40
2021,10,18,36,29.2,25.1,83,2,40
2021,10,19,10.5,28.2,25,83,2,40
2021,10,20,2,28.3,24.8,85,2,40
2021,10,21,3,29,25.4,85,2,40
2021,10,22,1.5,29.7,25.6,82,2,40
2021,10,23,7.5,26.4,24.5,85,2,40
2021,10,24,58,28,24.4,86,2,40
2021,10,25,4,26.3,24,86,2,40
2021,10,26,0,29.2,25.4,83,2,40
2021,10,27,3.7,28.2,24.1,85,2,40
2021,10,28,29.2,29.1,24.7,86,2,40
2021,10,29,4.2,27.8,24.6,86,3,40
2021,10,30,0,28.9,25.4,83,3,40
2021,10,31,0,28.8,25,83,3,40
2021,11,1,0,29,25,83,3,40
2021,11,2,0,29,25.6,82,3,40
2021,11,3,4,27.1,25.2,85,4,40
2021,11,4,0.7,29.8,25.6,82,3,40
2021,11,5,1.5,28.8,25,83,1,40
2021,11,6,6.5,29.9,25.2,81,2,40
2021,11,7,0,28.9,25.8,83,2,40
2021,11,8,0,29.8,25.8,82,2,40
2021,11,9,1,29,25.3,83,3,40
2021,11,10,0,29.1,25,82,2,40
2021,11,11,5.5,28,24.5,88,2,40
2021,11,12,16,28.8,24.3,84,2,40
2021,11,13,6.2,28.9,25.1,83,2,40
2021,11,14,4,28.9,25.2,83,2,40
2021,11,15,15.5,28.2,23.9,85,2,40
2021,11,16,2,28.3,25,83,2,40
2021,11,17,1.5,29,25,83,2,40
2021,11,18,0.4,29.1,24.4,83,1,40
2021,11,19,10.6,28.5,24.2,83,2,40
2021,11,20,53,26,24,87,2,40
2021,11,21,1,29.4,25,83,1,40
2021,11,22,1,29.2,25,82,1,40
2021,11,23,2,29.1,24.9,84,2,40
2021,11,24,3.5,27.7,24.7,85,2,40
2021,11,25,20,28.7,24,86,2,40
2021,11,26,27.9,27.3,24.7,86,2,40
2021,11,27,8.5,28.6,25.1,83,2,40
2021,11,28,3.6,27.4,24.9,85,2,40
2021,11,29,8,29.5,24.9,82,2,40
2021,11,30,0,29.2,25.6,82,1,40
2021,12,1,2.6,28.2,24,84,3,40
2021,12,2,0,27.2,24,85,4,40
2021,12,3,0,26.9,24.1,84,4,40
2021,12,4,0.5,27.3,23.4,83,3,40
2021,12,5,0,27.1,23.7,84,4,40
2021,12,6,0,28.1,24.3,84,3,40
2021,12,7,1.9,27.5,23.3,87,3,40
2021,12,8,0,25.2,24.3,87,4,40
2021,12,9,0,26.1,24.1,85,4,40
2021,12,10,3.2,26.8,23.7,83,4,40
2021,12,11,6.5,26.1,24.4,86,4,40
2021,12,12,0.8,26.8,24,86,3,40
2021,12,13,8.7,25.7,22.8,88,3,40
2021,12,14,0,25.7,23.8,86,4,40
2021,12,15,1.7,25.7,24.2,86,4,40
2021,12,16,1.2,26.8,24.2,84,4,40
2021,12,17,0,27,25,84,3,90
2021,12,18,44,28.1,24.3,87,1,40
2021,12,19,0,28.8,25,83,2,60
2021,12,20,0,28.1,24.8,84,2,40
2021,12,21,0,28.6,25,83,2,40
2021,12,22,0,27.7,24,85,1,40
2021,12,23,0,28,24.4,85,1,40
2021,12,24,6,28,24.7,83,2,40
2021,12,25,0,27.7,24.5,83,2,40
2021,12,26,46.3,26.4,22.9,86,2,40
2021,12,27,10.2,24.8,22.7,89,4,40
2021,12,28,0.5,26.3,24,86,4,40
2021,12,29,1,26.1,23.7,86,4,40
2021,12,30,0,27.2,23.9,84,4,40
2021,12,31,0,25.9,23.9,84,4,40
2022,1,1,0.5,26.3,23.3,85,4,40
2022,1,2,0.2,25.3,23.3,87,4,40
2022,1,3,0.5,25.9,23.3,85,4,40
2022,1,4,0,26.8,23.2,85,4,40
2022,1,5,1,27.2,23.2,84,2,40
2022,1,6,0,27.8,23.1,84,2,40
2022,1,7,0,27.5,23.6,82,2,40
2022,1,8,0,27.8,23.9,83,2,40
2022,1,9,0,28.7,24,82,2,40
2022,1,10,0,27.6,24.1,83,2,40
2022,1,11,0,27.9,23.8,82,2,40
2022,1,12,0,27.4,23,84,2,40
2022,1,13,-1,27,22.2,85,2,40
2022,1,14,0,27.3,22.3,83,2,40
2022,1,15,0,26.9,23.2,83,2,40
2022,1,16,0,27.1,23.1,83,2,40
2022,1,17,0.4,26.8,22.9,85,3,40
2022,1,18,-1,26.9,23.4,84,3,40
2022,1,19,0.3,26,23,85,3,40
2022,1,20,0.8,24.8,23.5,86,3,40
2022,1,21,0,27.5,23.7,83,2,40
2022,1,22,0.3,27.9,24.1,82,2,40
2022,1,23,0,28.7,24.4,82,2,40
2022,1,24,0.3,26.7,24.3,84,2,40
2022,1,25,1.7,27.6,24,84,3,40
2022,1,26,0.2,26.1,24.3,84,2,40
2022,1,27,0,29.2,24.6,82,2,60
2022,1,28,16.4,28.1,23.9,82,2,60
2022,1,29,0,30.4,24.3,81,1,180
2022,1,30,0.3,31.1,24,79,1,180
2022,1,31,0,27.7,24,82,3,40
2022,2,1,0.3,27,24.1,83,3,40
2022,2,2,4.7,25.1,24.1,86,3,40
2022,2,3,2.3,26.9,24.2,85,2,40
2022,2,4,47,24.2,22,91,3,40
2022,2,5,0.5,27,23.9,84,4,40
2022,2,6,0.2,26.7,23.8,84,3,40
2022,2,7,6.5,27.8,23.6,83,2,40
2022,2,8,36,25.9,23.6,86,2,40
2022,2,9,0,27.7,23.8,83,2,40
2022,2,10,0,27.4,24,83,2,40
2022,2,11,0,27.4,23.9,84,3,40
2022,2,12,4,26.7,23.7,87,2,40
2022,2,13,9.3,26.7,23.8,85,2,90
2022,2,14,0,28.3,24,82,1,40
2022,2,15,0,28,23.8,84,2,40
2022,2,16,10.6,27.6,23,85,2,40
2022,2,17,0,28.2,23.5,83,2,40
2022,2,18,0,28.8,24.1,82,2,40
2022,2,19,7.5,28.1,23.9,84,2,40
2022,2,20,0.5,28.1,23.9,83,2,40
2022,2,21,1,26.7,24,84,2,40
2022,2,22,19.2,26,23,88,2,60
2022,2,23,12.2,25.7,23.9,87,2,60
2022,2,24,1.2,27.9,24,83,2,40
2022,2,25,0.5,26.9,24,83,3,40
2022,2,26,2.5,28.4,23.9,82,3,40
2022,2,27,4.5,29,24,81,3,40
2022,2,28,0,27.9,24.5,82,3,40
2022,3,1,1.7,27.2,23.3,84,3,40
2022,3,2,3,28.2,24.2,82,2,40
2022,3,3,0,28.2,24.3,82,3,40
2022,3,4,3.5,28.8,24.2,82,2,60
2022,3,5,0,28.4,24.7,80,2,40
2022,3,6,0,26.5,24.7,84,3,40
2022,3,7,6,25.2,24,87,3,40
2022,3,8,0,27.8,24.7,82,4,40
2022,3,9,1.3,27.2,23.4,84,4,40
2022,3,10,6,26.7,23.5,86,3,40
2022,3,11,19.2,28,23.3,84,2,80
2022,3,12,0,28.9,25.1,80,1,360
2022,3,13,26,28,24.8,84,1,80
2022,3,14,0.5,30,25.2,80,1,80
2022,3,15,0,29.6,25.7,80,1,80
2022,3,16,0,29.7,25.7,80,1,80
2022,3,17,0,30.2,25,79,2,90
2022,3,18,0,30,24.7,79,1,90
2022,3,19,0,31,25.6,77,1,80
2022,3,20,0,30.9,25.4,78,2,90
2022,3,21,8.8,29.8,25,81,1,90
2022,3,22,0,30.4,25.9,79,1,90
2022,3,23,0,30.7,25.9,78,2,90
2022,3,24,0,29.8,25.7,79,1,90
2022,3,25,0,30,25.3,79,2,90
2022,3,26,0,30.2,25.2,79,2,90
2022,3,27,0,29.3,24.8,81,2,90
2022,3,28,7,29.4,25.5,81,2,90
2022,3,29,0,30,25.7,79,2,90
2022,3,30,3,30.6,23.2,78,2,90
2022,3,31,7.1,30,25,81,2,90
2022,4,1,1,29.4,25.1,82,3,60
2022,4,2,0,29.8,25.2,79,2,60
2022,4,3,0,30,25,79,2,60
2022,4,4,-1,28.2,25.2,81,3,60
2022,4,5,3.9,26.3,25.1,85,3,60
2022,4,6,0.5,28.2,25,81,3,60
2022,4,7,2.5,27.1,25,83,3,60
2022,4,8,0,28.8,24.3,82,2,60
2022,4,9,0.5,30.1,25.6,79,2,60
2022,4,10,8.6,25.9,23.9,87,2,40
2022,4,11,12,27.3,24.6,87,3,60
2022,4,12,18,25.2,24.2,89,2,210
2022,4,13,11.2,26.7,24.7,84,1,190
2022,4,14,0,29.4,25,81,2,190
2022,4,15,0,30.3,24.7,79,1,90
2022,4,16,0,29.7,24.7,81,1,60
2022,4,17,24.5,29.5,24.9,80,2,60
2022,4,18,13,28.2,24.7,84,2,60
2022,4,19,0,29.1,25,81,1,60
2022,4,20,0.5,30,25.2,79,1,60
2022,4,21,0,30.9,26.2,78,2,60
2022,4,22,0,30.9,25.3,78,2,60
2022,4,23,0,30.2,25.1,79,2,60
2022,4,24,4.7,30,25.1,79,2,60
2022,4,25,2.5,29.4,25.2,80,2,60
2022,4,26,5,30.4,25.3,79,2,60
2022,4,27,4.5,29.2,25.7,81,2,60
2022,4,28,0,29.9,25.7,79,2,60
2022,4,29,11,30.5,24.6,80,1,80
2022,4,30,0,31.3,26,77,2,80
2022,5,1,0,30.8,26,80,2,80
2022,5,2,0,29.8,24.4,81,1,80
2022,5,3,0,30.5,25.4,80,1,90
2022,5,4,0,30.3,25.8,79,2,80
2022,5,5,0,30.5,26,79,1,80
2022,5,6,0,30.9,26,78,2,80
2022,5,7,0,31.3,26,77,2,80
2022,5,8,0,31.3,26.1,76,2,80
2022,5,9,0,30.9,25.8,78,1,80
2022,5,10,0,30.9,26,78,1,80
2022,5,11,0,30.6,26.7,78,1,80
2022,5,12,0,30.9,25.4,78,1,90
2022,5,13,0,30.8,26.3,77,1,90
2022,5,14,20.5,32.1,25.8,75,1,210
2022,5,15,1.5,29.2,25.6,81,1,180
2022,5,16,13,30.7,26,78,2,180
2022,5,17,0,30.7,26.1,78,2,180
2022,5,18,0,30.9,25.8,79,1,180
2022,5,19,0,29.5,25.8,81,1,140
2022,5,20,0,30.3,25.8,79,1,360
2022,5,21,7,29.7,25,84,1,180
2022,5,22,4,30.7,24.9,83,2,190
