YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION
2021,1,1,0,30,25.7,87,5,20
2021,1,2,0,31,26.5,85,5,20
2021,1,3,9,28.8,26.2,88,6,40
2021,1,4,5,30.7,25.6,84,2,40
2021,1,5,-1,30.1,26,85,6,70
2021,1,6,0,29.5,26.4,87,6,40
2021,1,7,7.5,31,26,84,4,20
2021,1,8,0,28.5,26.5,86,6,360
2021,1,9,12,27.4,25,89,6,20
2021,1,10,6,26.5,25.5,92,6,10
2021,1,11,2.5,26.5,25,90,7,10
2021,1,12,0,27.4,25.3,91,6,10
2021,1,13,0,29.2,26,83,5,360
2021,1,14,0,30.5,26.1,83,5,360
2021,1,15,1,30.5,26.5,82,5,360
2021,1,16,6.5,27.6,25.5,89,5,360
2021,1,17,0,28.4,25.8,89,5,10
2021,1,18,2,29,25,86,5,40
2021,1,19,8,27.5,25.7,89,4,360
2021,1,20,0,29,26,86,1,360
2021,1,21,47.5,29.4,24.3,86,1,360
2021,1,22,0,31.2,25,82,1,360
2021,1,23,0,30,25.3,84,1,360
2021,1,24,0,30.5,25.5,83,3,40
2021,1,25,0,30.5,25.7,84,4,40
2021,1,26,0,30.5,26,82,4,40
2021,1,27,4.5,30.5,26,83,5,40
2021,1,28,2.5,28,25.6,88,5,40
2021,1,29,2,27.6,25.2,83,5,360
2021,1,30,-1,26.8,24.8,81,5,360
2021,1,31,-1,29.5,25,79,4,360
2021,2,1,2.5,28.4,25,85,5,360
2021,2,2,19,27.8,24.4,90,7,10
2021,2,3,13.5,26.2,25,94,4,20
2021,2,4,7.5,29.5,25.2,89,5,20
2021,2,5,5,28,26,90,4,20
2021,2,6,0,30,25.6,82,4,360
2021,2,7,23.5,30.2,24.5,83,3,360
2021,2,8,5.5,26,24.5,90,4,40
2021,2,9,12.5,28,24.4,88,4,10
2021,2,10,18,29,24.5,91,2,360
2021,2,11,10,29.5,26,86,1,360
2021,2,12,0,30.5,26,85,1,360
2021,2,13,10,30.5,26,85,2,360
2021,2,14,21,27.5,24.8,88,2,360
2021,2,15,0,29,25.5,86,2,40
2021,2,16,0,29.8,25.6,82,3,40
2021,2,17,0.5,29,25.5,86,5,10
2021,2,18,4,30,25.4,86,6,40
2021,2,19,0,28.6,25.5,85,7,40
2021,2,20,0,26.7,25,82,6,40
2021,2,21,4,27.5,25.2,79,6,360
2021,2,22,3.5,26.5,24.2,88,2,360
2021,2,23,0,30.5,25,84,1,360
2021,2,24,0,30.8,26,81,2,360
2021,2,25,0,30.5,26,81,2,360
2021,2,26,0,31,26,80,2,40
2021,2,27,0,31.6,26.6,83,3,40
2021,2,28,0,31.5,26.8,84,3,40
2021,3,1,0,32,26.7,82,3,40
2021,3,2,0,31.5,26.6,82,4,40
2021,3,3,0,32,26.5,82,4,40
2021,3,4,0,30.2,26,82,3,70
2021,3,5,0,31,26.2,79,3,40
2021,3,6,0,30.9,26.3,78,3,20
2021,3,7,1,31.6,26,80,4,40
2021,3,8,0,32,27,81,5,40
2021,3,9,2.5,31.2,25.9,82,5,40
2021,3,10,2,30.4,25.6,82,5,40
2021,3,11,4.5,27.8,25,91,4,20
2021,3,12,22.5,29,25,87,4,40
2021,3,13,57,28,25,90,5,40
2021,3,14,27.5,28.2,25.6,91,2,360
2021,3,15,0,30.4,25,84,2,10
2021,3,16,0,31.1,26.6,81,2,10
2021,3,17,0,31.5,26.2,81,2,90
2021,3,18,0,31.6,26.5,78,3,360
2021,3,19,0,32,26.8,80,3,40
2021,3,20,2,32,26.5,82,4,40
2021,3,21,0,31.2,27.1,81,3,90
2021,3,22,0,31.8,27.2,79,4,10
2021,3,23,9,32.2,25.7,83,4,90
2021,3,24,-1,30.5,25.5,81,4,90
2021,3,25,0.5,30.7,26.5,81,4,40
2021,3,26,1.5,30.7,27,82,4,40
2021,3,27,0,32,27,81,3,40
2021,3,28,0,31.4,26.9,79,3,20
2021,3,29,0,31.5,26.5,77,3,90
2021,3,30,0,31.6,26.6,78,3,40
2021,3,31,13.5,29.5,26.3,86,2,360
2021,4,1,0,32,27,80,4,40
2021,4,2,0,31.2,27.1,79,3,90
2021,4,3,0,31.4,26.9,79,3,10
2021,4,4,0,30.9,26.6,79,2,40
2021,4,5,0,31.2,27,76,2,40
2021,4,6,5.5,31.5,26.5,79,3,40
2021,4,7,-1,30.5,26.5,77,4,40
2021,4,8,7,30.9,26.1,78,3,40
2021,4,9,0.5,31.1,26.6,80,3,40
2021,4,10,6,31.5,27,81,4,20
2021,4,11,-1,31.5,26.8,83,4,360
2021,4,12,0,31.5,26.9,84,5,360
2021,4,13,0,32,27,81,4,20
2021,4,14,2.5,31.7,25.9,79,2,350
2021,4,15,0,31.5,26.6,80,3,10
2021,4,16,1.5,30.7,26.2,79,2,40
2021,4,17,23.5,31.5,26.5,80,5,320
2021,4,18,1,30,26.4,83,6,290
2021,4,19,0,31.5,26.6,83,4,290
2021,4,20,0.5,31.6,25,81,3,270
2021,4,21,0,32.4,25.5,81,1,360
2021,4,22,0,31.7,26.1,81,1,340
2021,4,23,0,31.5,25.5,79,1,360
2021,4,24,0,32.4,27,79,2,40
2021,4,25,0,32.5,27,81,3,320
2021,4,26,-1,30.9,26.4,82,4,90
2021,4,27,0,31.2,26.4,80,3,40
2021,4,28,0,30.7,26.3,77,2,40
2021,4,29,0,31.2,25.4,78,1,360
2021,4,30,0,32,27,79,2,360
2021,5,1,0,32.4,27,80,3,40
2021,5,2,0,32.5,27.3,77,5,40
2021,5,3,0,31.8,27.1,78,5,40
2021,5,4,-1,30.8,27,81,4,90
2021,5,5,0,32.2,27.4,76,4,70
2021,5,6,0,33,26.9,78,5,40
2021,5,7,0,33,27,78,4,40
2021,5,8,26.5,31.1,25.5,79,3,10
2021,5,9,50.5,32.2,25.5,82,3,10
2021,5,10,-1,31.7,26.4,83,2,40
2021,5,11,0,32.3,26.6,79,2,90
2021,5,12,0,33,27,76,5,90
2021,5,13,17.5,32.5,26.3,79,4,70
2021,5,14,0,32.7,26.8,78,4,70
2021,5,15,10,31.6,26.6,82,3,40
2021,5,16,0,32.3,27,80,3,40
2021,5,17,9.5,31.8,27,80,3,40
2021,5,18,15.5,31,26,82,4,90
2021,5,19,14.5,31.5,26,82,4,90
2021,5,20,7,29.5,26.1,87,1,70
2021,5,21,-1,30.2,25.5,86,1,10
2021,5,22,0,31.7,25.5,78,2,350
2021,5,23,9.5,32.7,26,78,1,360
2021,5,24,0,32.5,27,81,2,40
2021,5,25,0,32.5,27,80,2,20
2021,5,26,0,32.4,26.6,80,2,360
2021,5,27,66.5,32.8,26.4,79,3,10
2021,5,28,15,31.8,26.8,82,1,80
2021,5,29,0,32.3,27.2,80,1,360
2021,5,30,0,33.5,27,78,2,360
2021,5,31,18,33.5,26.3,78,2,160
2021,6,1,81.5,31,23.9,85,5,340
2021,6,2,4.5,28.5,24.2,89,3,180
2021,6,3,1,33.2,26.7,79,1,360
2021,6,4,0,32.7,26.4,80,2,180
2021,6,5,7,33.6,26,78,3,180
2021,6,6,0.5,31,26.4,87,2,210
2021,6,7,0,32.1,25.5,81,1,210
2021,6,8,-1,32.4,25.7,83,2,170
2021,6,9,-1,31.4,25.6,84,1,180
2021,6,10,20,31,25.2,85,1,180
2021,6,11,3.5,31.2,25.9,88,2,140
2021,6,12,-1,31,26.7,83,0,0
2021,6,13,0,30.1,25.2,84,2,140
2021,6,14,0,32.5,25.6,79,1,320
2021,6,15,0,32.4,26,80,1,360
2021,6,16,0,33.5,26.5,77,1,360
2021,6,17,0,33.5,27.3,78,2,360
2021,6,18,0,33,27.1,79,2,360
2021,6,19,19.5,33.1,25,81,2,340
2021,6,20,25.5,32.4,24.9,83,2,180
2021,6,21,3,31,25.5,84,2,180
2021,6,22,0,31.5,26,79,0,0
2021,6,23,0,33,27,79,2,40
2021,6,24,0,32,26.8,81,1,350
2021,6,25,0,32.1,25.2,81,2,360
2021,6,26,7,32.9,26.4,79,2,360
2021,6,27,0,31.6,26.5,84,1,240
2021,6,28,1.5,32.5,25.5,78,2,180
2021,6,29,0,32.7,27,79,2,40
2021,6,30,0,33,27,78,2,350
2021,7,1,17.5,32.4,25.2,79,1,350
2021,7,2,10,30.7,25.2,84,3,360
2021,7,3,2,29.2,25.4,85,2,340
2021,7,4,22.5,32,25,84,2,180
2021,7,5,4,30.5,26.3,85,2,180
2021,7,6,5,32,25.7,83,2,220
2021,7,7,15,32.3,26.1,82,2,360
2021,7,8,4.5,32.3,27.6,80,4,60
2021,7,9,1,32,26.5,80,2,60
2021,7,10,-1,30.4,26.5,82,1,180
2021,7,11,0,32.5,27,79,4,70
2021,7,12,5.5,32.5,27.3,80,3,40
2021,7,13,-1,31.6,25.3,82,2,20
2021,7,14,0,31.2,25.8,82,1,20
2021,7,15,0,33,25.9,81,2,180
2021,7,16,0,33,25.7,80,1,180
2021,7,17,70,31.8,24.9,82,2,180
2021,7,18,15.5,32,25.4,81,2,180
2021,7,19,10,31.9,25.9,83,3,200
2021,7,20,0,33,26,79,2,180
2021,7,21,5.5,32.4,25.5,80,3,230
2021,7,22,4,33,26.3,79,4,180
2021,7,23,0.5,32,26.6,82,4,180
2021,7,24,-1,33.4,26,79,4,180
2021,7,25,0,33.9,26.7,78,2,190
2021,7,26,0,34,26.6,76,2,320
2021,7,27,-1,34,26.5,75,2,180
2021,7,28,0,32.5,27,78,4,180
2021,7,29,0,33.5,26.8,78,3,180
2021,7,30,0,33.5,26.5,77,2,220
2021,7,31,3.5,32.6,26.1,79,2,160
2021,8,1,0,33.9,26.7,76,2,360
2021,8,2,0,33.8,26.8,75,2,180
2021,8,3,4,32.7,26.8,84,2,180
2021,8,4,-1,33.2,27,78,4,180
2021,8,5,1.5,33.7,26.5,77,4,180
2021,8,6,15.5,33.2,25.8,80,3,170
2021,8,7,0,32.5,26.7,79,1,360
2021,8,8,20.5,32.7,25,81,1,360
2021,8,9,20,31.2,26.4,84,2,360
2021,8,10,3.5,29,26.5,87,1,360
2021,8,11,0,31.8,25.9,81,2,360
2021,8,12,0,31.6,27,80,2,360
2021,8,13,6.5,32.8,26.5,77,2,40
2021,8,14,2,29.8,26,84,1,360
2021,8,15,0,32.5,27,80,2,360
2021,8,16,2,33,26.6,80,3,40
2021,8,17,1.5,32.9,25.8,81,2,360
2021,8,18,0,31.1,26.1,81,2,360
2021,8,19,0,32.5,26.5,78,1,360
2021,8,20,-1,32.1,26,79,1,360
2021,8,21,2,32,27,80,2,360
2021,8,22,11,32.5,26,83,1,360
2021,8,23,15.5,32.1,24.6,82,3,360
2021,8,24,11.5,30.9,24.8,84,1,360
2021,8,25,66,32,25,81,2,360
2021,8,26,12,30,24.8,86,1,360
2021,8,27,13,32,26.4,81,3,40
2021,8,28,0.5,31.2,26.6,83,2,360
2021,8,29,12,28.9,24.9,86,3,200
2021,8,30,7.5,30.1,25.8,84,1,360
2021,8,31,33.5,33.5,25,79,2,360
2021,9,1,-1,30.8,25.4,83,1,360
2021,9,2,0,32.5,27,80,2,360
2021,9,3,0.5,33,26.3,81,2,360
2021,9,4,0,31.2,25.1,84,1,360
2021,9,5,19.5,31.4,25.9,83,2,360
2021,9,6,79,31.6,24.8,83,2,320
2021,9,7,23.5,26,24.3,89,3,360
2021,9,8,3,28.6,25.6,86,2,360
2021,9,9,24.5,31.2,26.2,85,2,180
2021,9,10,0.5,30.2,25.1,84,3,180
2021,9,11,-1,32.2,26.1,83,2,360
2021,9,12,0,32.7,26,81,2,360
2021,9,13,0.5,33,25.8,81,1,360
2021,9,14,0,32.4,26.7,80,3,40
2021,9,15,1,33,27.3,78,3,40
2021,9,16,71,29,24.5,89,1,360
2021,9,17,44,30.6,24.7,86,2,360
2021,9,18,-1,32.2,25.7,80,1,360
2021,9,19,-1,29,25.5,85,2,360
2021,9,20,14,28.2,25.2,90,1,360
2021,9,21,2,30.6,26.8,86,2,360
2021,9,22,6,31,25.1,82,2,360
2021,9,23,27,31.4,25,82,3,350
2021,9,24,1,31.4,25.8,81,3,360
2021,9,25,25,33.2,25.8,78,1,360
2021,9,26,0,32.6,27,80,1,360
2021,9,27,0,33,26.7,81,2,360
2021,9,28,0,32.3,25.8,80,2,360
2021,9,29,0,32.6,26.1,79,2,360
2021,9,30,0,32,25.8,81,2,360
2021,10,1,0,32,26.3,80,1,360
2021,10,2,0,32,27,81,1,360
2021,10,3,27,32.6,25.4,82,3,40
2021,10,4,41.5,28.6,25.8,86,4,40
2021,10,5,1,30.1,24.9,86,3,200
2021,10,6,0,31.2,26,82,1,360
2021,10,7,0,32.4,26.5,79,1,360
2021,10,8,3,32,26.8,82,1,360
2021,10,9,4,30.2,26.7,87,3,270
2021,10,10,-1,30.3,25.6,83,1,360
2021,10,11,0.5,33.5,25.4,80,4,190
2021,10,12,0.5,31.8,25.3,81,3,180
2021,10,13,37,32,25.5,84,1,360
2021,10,14,5,31,26,83,1,360
2021,10,15,4.5,31,26,87,2,360
2021,10,16,0,32.6,24.8,83,2,360
2021,10,17,1,31.4,27.5,81,1,360
2021,10,18,9,31.7,26.8,81,3,40
2021,10,19,16,32,25.5,80,3,40
2021,10,20,6.5,29,25.5,87,1,360
2021,10,21,0,32.5,26.7,82,4,360
2021,10,22,7,31.8,25.9,81,4,20
2021,10,23,6,29.2,26.1,87,4,80
2021,10,24,0.5,30.5,25.3,86,1,360
2021,10,25,0,30.3,25.6,84,1,360
2021,10,26,-1,32,26.9,83,4,360
2021,10,27,-1,30,26.6,86,5,40
2021,10,28,2,32.6,26.7,81,4,40
2021,10,29,2,31.2,26.2,85,5,40
2021,10,30,21,30,25.8,86,3,40
2021,10,31,0,31.8,26,78,3,40
2021,11,1,0,32.5,26.7,79,5,40
2021,11,2,10,32,25.8,81,3,360
2021,11,3,1,30.2,25.8,85,3,360
2021,11,4,15,31.8,24.8,83,3,40
2021,11,5,68.5,30.3,24.8,85,1,360
2021,11,6,30,31.5,25.5,81,2,40
2021,11,7,-1,31.5,26.6,84,5,40
2021,11,8,0,33,27.2,80,4,40
2021,11,9,4,32.5,26.7,81,4,40
2021,11,10,5.5,30.3,26.8,84,5,40
2021,11,11,0,30.6,26.5,83,3,40
2021,11,12,3,32.4,26.5,81,3,70
2021,11,13,15.5,32.5,26.2,83,2,360
2021,11,14,0,32.5,27,80,4,40
2021,11,15,28.5,31.1,26.4,84,4,40
2021,11,16,12.5,31.2,27,82,5,40
2021,11,17,0,31.5,26.5,81,3,60
2021,11,18,0,31.5,26.5,80,2,40
2021,11,19,7,31,26,84,2,310
2021,11,20,0,31,26.7,85,2,230
2021,11,21,5.5,30.5,26,87,1,110
2021,11,22,0,31.8,27.6,82,3,20
2021,11,23,1.5,31.8,26.8,81,4,40
2021,11,24,11.5,30.2,25.8,87,4,40
2021,11,25,-1,30.3,26.7,85,3,360
2021,11,26,2.5,32,26.6,83,3,70
2021,11,27,3,30.9,26.9,83,3,70
2021,11,28,0,31.9,27.1,83,3,40
2021,11,29,9,31.8,26,79,2,40
2021,11,30,0,31.2,26.3,79,1,360
2021,12,1,57,32,25.7,84,4,360
2021,12,2,1,29,26.6,86,5,40
2021,12,3,0,29.4,25.9,85,5,20
2021,12,4,0,30.2,25.8,81,5,40
2021,12,5,0,29,25.7,71,4,360
2021,12,6,4.5,30,24.8,72,4,360
2021,12,7,0.5,30.3,26,81,5,10
2021,12,8,-1,27.7,26.2,83,5,360
2021,12,9,0,28.1,26.2,81,6,360
2021,12,10,21.5,29.2,25.5,81,6,360
2021,12,11,0,29.2,25.7,83,3,40
2021,12,12,15,29.8,25.2,82,3,40
2021,12,13,7.5,30,25.7,83,4,70
2021,12,14,0,28.2,26,83,5,10
2021,12,15,1,28.8,26.3,84,6,360
2021,12,16,24.5,28.8,25.7,87,10,360
2021,12,17,-1,28.9,24.3,84,3,360
2021,12,18,0,30.4,25.5,80,1,360
2021,12,19,0,30.5,26.4,83,3,40
2021,12,20,0,31,26.7,83,3,70
2021,12,21,0,30.8,26.9,81,2,70
2021,12,22,-1,30.2,25.8,82,1,40
2021,12,23,0,30.5,25.7,77,3,70
2021,12,24,0,30.8,26,77,3,40
2021,12,25,1.5,31.1,26.2,78,3,40
2021,12,26,8,29.3,25.2,86,3,40
2021,12,27,42,28.8,24,86,6,40
2021,12,28,0,28.8,25,83,5,40
2021,12,29,0,28.2,25.4,82,5,40
2021,12,30,0,28.2,26,80,5,20
2021,12,31,0,28,24.8,76,5,40
2022,1,1,0,27.6,24.7,71,6,40
2022,1,2,1.5,27.5,25.1,79,5,40
2022,1,3,0.5,28.1,25.2,83,5,20
2022,1,4,1.5,30,25,82,4,40
2022,1,5,16,29,25.1,85,3,70
2022,1,6,0,29,25.2,83,3,40
2022,1,7,0,29,25.3,81,4,40
2022,1,8,0,29.2,25.7,80,3,40
2022,1,9,0,29.8,25.6,80,1,40
2022,1,10,0,30,26,84,2,360
2022,1,11,0,30.2,26.2,84,3,10
2022,1,12,0,30,25.4,84,3,40
2022,1,13,-1,28.8,25,77,4,40
2022,1,14,0,28.5,24.5,68,3,40
2022,1,15,0,29,24.7,66,4,40
2022,1,16,0,30,25,77,4,10
2022,1,17,0,29,25.5,83,4,40
2022,1,18,0,28.8,25.6,81,5,40
2022,1,19,0,29,25.6,82,3,40
2022,1,20,0,29.8,25.4,81,3,40
2022,1,21,0,31,25.6,78,3,40
2022,1,22,0,30.3,25.9,78,3,40
2022,1,23,0,30.7,26.3,78,3,40
2022,1,24,0.5,30,26.1,83,4,360
2022,1,25,12,27.7,25.4,87,5,40
2022,1,26,0,30,26.5,86,4,40
2022,1,27,1.5,30.3,26.4,85,4,70
2022,1,28,-1,29.7,25.7,84,2,90
2022,1,29,6,30.8,25.6,82,1,360
2022,1,30,0,30.7,25.7,81,1,360
2022,1,31,0,30.4,26.2,82,3,360
2022,2,1,58.5,29.9,24.5,88,4,20
2022,2,2,16.5,28.9,25.2,86,5,20
2022,2,3,11,29.4,25.2,82,4,40
2022,2,4,8,28.8,24.8,85,4,50
2022,2,5,0,29.2,25.6,83,4,40
2022,2,6,0,28.8,25.1,80,5,360
2022,2,7,1.5,30.3,25.3,83,3,50
2022,2,8,0,28.9,25.4,82,5,70
2022,2,9,0,30,25.5,80,3,40
2022,2,10,0,29,25.8,79,4,20
2022,2,11,0,29,25.6,80,4,20
2022,2,12,0,27.6,24.8,84,4,20
2022,2,13,0,29,25.2,82,3,80
2022,2,14,0,30.4,25.7,80,3,60
2022,2,15,0,30.2,25.5,77,3,360
2022,2,16,0,29.2,25.6,77,3,20
2022,2,17,0,30,25.8,77,4,90
2022,2,18,0,29.8,25.4,80,3,80
2022,2,19,3,29.5,25.5,83,3,10
2022,2,20,7.5,30.8,24.1,79,3,30
2022,2,21,0,29,24.6,83,2,90
2022,2,22,7.5,27.3,23.2,85,2,70
2022,2,23,0,27.5,24.8,82,2,70
2022,2,24,3,29.9,25.7,81,4,360
2022,2,25,0,30.9,25.1,80,4,50
2022,2,26,2,28.4,25.5,81,4,60
2022,2,27,0,31,25.2,78,4,20
2022,2,28,1,28.8,24.8,79,5,40
2022,3,1,0,28.3,25,83,4,20
2022,3,2,0,30,25.7,80,4,20
2022,3,3,0,28.6,25.8,82,4,60
2022,3,4,2,30.1,25.8,80,4,40
2022,3,5,3.5,30,24.7,82,3,360
2022,3,6,3,27.8,24,83,3,40
2022,3,7,0.5,27.3,25,86,4,20
