YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION
2021,1,1,0,34.5,21.5,70,6,20
2021,1,2,1.5,35,22,72,4,30
2021,1,3,5.2,31.8,20.5,80,4,50
2021,1,4,0,34.4,20.9,76,4,60
2021,1,5,0,34.3,21.7,71,4,50
2021,1,6,0,35,20,71,3,40
2021,1,7,0,35,21.5,72,2,270
2021,1,8,0,35,21.8,71,4,30
2021,1,9,0,34.3,22.3,77,5,20
2021,1,10,0,32,20.7,74,6,20
2021,1,11,-1,32.8,20.6,81,3,30
2021,1,12,0,32.7,19.5,77,2,60
2021,1,13,0,33.4,19.8,75,2,60
2021,1,14,0,33.3,21.1,74,2,240
2021,1,15,0,33,19.8,77,2,70
2021,1,16,1.8,33.3,20,80,2,230
2021,1,17,3.5,32.2,20.5,82,3,20
2021,1,18,-1,33.5,22,80,3,30
2021,1,19,-1,32.8,20.5,79,3,30
2021,1,20,0,32.8,21.9,75,2,70
2021,1,21,5.5,33.8,20.2,74,2,120
2021,1,22,-1,32,19.7,79,2,130
2021,1,23,0,32.3,20.2,81,2,230
2021,1,24,0,32.7,19.8,80,2,230
2021,1,25,0,34.2,18,78,2,10
2021,1,26,0,33.1,15.6,79,2,240
2021,1,27,1.8,33,20.5,78,2,270
2021,1,28,-1,33.4,21,79,3,30
2021,1,29,0,34,21.2,74,5,40
2021,1,30,0,33.7,19.8,75,5,10
2021,1,31,0,34,18.4,78,4,10
2021,2,1,0,34.6,18.5,77,2,50
2021,2,2,0,33.8,21.6,76,2,40
2021,2,3,0,34.7,21.5,72,4,50
2021,2,4,0,33,20.7,78,3,40
2021,2,5,1.6,34.5,21.1,75,3,70
2021,2,6,0,34.5,21,77,2,60
2021,2,7,4.1,35.5,21,76,2,70
2021,2,8,0.4,32.7,21.1,78,3,60
2021,2,9,-1,34.4,21,75,3,60
2021,2,10,-1,33.4,21.6,74,2,130
2021,2,11,-1,32.3,20.5,76,2,230
2021,2,12,0,32.8,20.9,74,2,230
2021,2,13,2.1,33.6,20.5,76,2,60
2021,2,14,0,32.8,19.5,75,2,230
2021,2,15,0,32.5,19,77,2,170
2021,2,16,0,34.3,18.6,74,2,220
2021,2,17,-1,33.2,18.7,77,2,200
2021,2,18,0,34.8,20.4,75,3,70
2021,2,19,0,34.3,19.8,76,6,40
2021,2,20,0,33.2,18.2,75,3,20
2021,2,21,-1,31.5,20.4,76,2,260
2021,2,22,1.4,34,20.8,81,2,230
2021,2,23,0,33.5,19.6,74,2,50
2021,2,24,0,35.8,20.5,71,2,90
2021,2,25,0,35.8,17.6,75,3,60
2021,2,26,0,33.8,19.2,77,2,290
2021,2,27,1.8,33.7,19.8,75,2,250
2021,2,28,0,35,21,76,3,70
2021,3,1,0,33.8,18.5,73,3,10
2021,3,2,0,33.9,20.9,74,3,340
2021,3,3,0,36.8,22,68,4,70
2021,3,4,0,35.8,19.5,69,3,60
2021,3,5,0,35.7,21.8,68,4,70
2021,3,6,-1,35.8,19.8,76,3,20
2021,3,7,0,35.8,20,70,3,60
2021,3,8,0,35.5,20.5,68,3,60
2021,3,9,-1,35,19,74,4,60
2021,3,10,0,36,20.2,69,5,60
2021,3,11,3.2,36,21,73,3,10
2021,3,12,4.4,35.2,20.4,76,3,100
2021,3,13,2.4,33.4,20.6,79,2,90
2021,3,14,-1,31.8,21.1,76,2,60
2021,3,15,0.8,32.5,20,76,2,150
2021,3,16,-1,33.2,19.8,71,2,140
2021,3,17,0,34,19.4,75,2,270
2021,3,18,0,34.4,20.3,71,2,260
2021,3,19,0,33.9,19.9,74,2,290
2021,3,20,0,36.3,20.8,73,2,40
2021,3,21,0,37,21.6,65,4,50
2021,3,22,0,37,22.6,65,5,60
2021,3,23,0,35.5,22.5,67,5,60
2021,3,24,0,35.8,22.4,66,4,70
2021,3,25,0,37,21.3,66,3,270
2021,3,26,0.1,37.1,22.2,67,3,60
2021,3,27,0,37.2,20.8,69,3,20
2021,3,28,0,34.4,19.5,74,3,290
2021,3,29,0,36,20,71,3,290
2021,3,30,0,35.6,19.5,70,3,280
2021,3,31,0,35,21.5,71,2,280
2021,4,1,0,36.9,20.1,67,4,40
2021,4,2,0,37.3,21.3,68,3,70
2021,4,3,0,36.5,20.3,67,3,70
2021,4,4,0,36.5,21.5,70,3,60
2021,4,5,0,36.8,21.3,69,2,50
2021,4,6,0,36.3,21.5,68,4,50
2021,4,7,0,36,21.4,72,2,270
2021,4,8,0,35.5,20.5,70,3,330
2021,4,9,0,34.7,21.1,71,2,250
2021,4,10,0,36.8,20.7,71,3,250
2021,4,11,0,35.7,19.5,72,2,250
2021,4,12,0,34,19.7,71,2,50
2021,4,13,0,34,20.8,71,2,230
2021,4,14,1,35,20.5,71,2,230
2021,4,15,1.2,34,20,78,2,30
2021,4,16,0,33.9,19.6,73,2,210
2021,4,17,0,33.9,19.9,71,2,30
2021,4,18,0,34.8,21.5,73,3,290
2021,4,19,1,34.5,22.3,74,5,270
2021,4,20,-1,34,22.3,72,6,280
2021,4,21,0,34,21.6,72,4,270
2021,4,22,-1,34,21.4,70,4,290
2021,4,23,0,33.8,22.4,71,3,280
2021,4,24,0,34.2,20.7,72,4,270
2021,4,25,0,34.8,20,73,4,270
2021,4,26,-1,35,20.5,69,2,60
2021,4,27,0,34.5,20.5,68,3,60
2021,4,28,0,35,20,69,2,40
2021,4,29,0,34,20.7,72,2,220
2021,4,30,0,34,20.6,72,2,10
2021,5,1,0,34.5,20.4,68,2,240
2021,5,2,0,36.7,23.8,60,3,60
2021,5,3,-1,37.5,24,63,5,50
2021,5,4,0,37.7,24.4,62,5,60
2021,5,5,0,37,24,64,5,50
2021,5,6,0,37.8,23.7,65,4,70
2021,5,7,0,37.9,21.2,66,3,40
2021,5,8,0,36.9,23,67,3,270
2021,5,9,-1,37.9,22.7,65,3,80
2021,5,10,0,37,23.5,66,3,280
2021,5,11,0,37.5,23.4,65,4,50
2021,5,12,0,37.5,23.5,66,4,60
2021,5,13,0,37.5,23.6,64,4,60
2021,5,14,0,37.5,23.8,63,6,50
2021,5,15,0,38.2,24.3,63,4,60
2021,5,16,0,38.1,23.8,63,5,50
2021,5,17,0,37,23.2,65,3,70
2021,5,18,-1,38,24.5,62,5,60
2021,5,19,0.1,36,23,63,4,60
2021,5,20,8.1,30.6,21,84,3,90
2021,5,21,-1,33,22,73,2,150
2021,5,22,0,33.9,20.9,73,2,290
2021,5,23,0,35.5,21,76,3,140
2021,5,24,7.8,35,20.5,75,2,360
2021,5,25,-1,35,21.4,71,2,260
2021,5,26,-1,34,21,71,2,310
2021,5,27,0,35,21.7,70,2,330
2021,5,28,4.7,34.2,21.6,74,2,10
2021,5,29,0.2,35.5,21.9,74,2,70
2021,5,30,-1,35.4,21.8,68,2,270
2021,5,31,1.3,35,21.5,73,2,290
2021,6,1,23,34.5,21,76,3,260
2021,6,2,137.3,28.5,20.5,94,5,270
2021,6,3,28.4,32.4,21.8,83,2,210
2021,6,4,6.8,32.8,21.9,76,2,220
2021,6,5,0,34.4,20.7,75,2,10
2021,6,6,0.5,32.5,21.3,73,2,230
2021,6,7,1,32.8,20.5,76,3,200
2021,6,8,-1,32,21,78,2,230
2021,6,9,10.2,33,20.6,75,2,260
2021,6,10,27.1,33,20.7,78,1,20
2021,6,11,14,29.8,20.5,87,2,30
2021,6,12,2.6,32.7,20.6,82,2,140
2021,6,13,-1,31.8,20.5,81,2,270
2021,6,14,0,33,20.5,70,2,230
2021,6,15,0,34,20.7,69,2,20
2021,6,16,0,34,21.5,69,2,230
2021,6,17,0,34,21,69,2,210
2021,6,18,-1,34.6,21.2,73,3,280
2021,6,19,46.1,34.2,20.7,74,3,250
2021,6,20,1.6,32.7,20.8,81,3,290
2021,6,21,40.8,32,20,79,3,290
2021,6,22,-1,29,20.5,77,2,30
2021,6,23,0,32.4,20.5,75,2,10
2021,6,24,0,33,22,72,2,210
2021,6,25,0,33.4,21.2,72,2,190
2021,6,26,0,34,20.4,73,2,30
2021,6,27,1,33.5,20,77,2,270
2021,6,28,0,33.8,20.5,69,2,140
2021,6,29,0,34,21,70,2,130
2021,6,30,0,34.2,21.1,67,1,200
2021,7,1,1.8,34.5,20.6,71,2,320
2021,7,2,0.9,32.5,21.2,74,2,280
2021,7,3,52.1,28.8,20.4,85,2,40
2021,7,4,23.7,31.8,20.5,84,2,190
2021,7,5,24.8,33,20,80,3,210
2021,7,6,6.3,32,20,89,2,10
2021,7,7,0,33.2,21,71,2,260
2021,7,8,0.6,35,21,69,2,10
2021,7,9,0,35.3,22.1,67,4,50
2021,7,10,0.3,32.4,21.3,74,2,60
2021,7,11,0,35.1,21.5,68,3,60
2021,7,12,0,36.5,21.4,71,2,280
2021,7,13,1.6,32.5,20.5,72,2,40
