YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION
2021,1,1,0,29.5,20.2,71,2,360
2021,1,2,0,31,21.7,66,2,360
2021,1,3,0,32.7,23.3,68,2,360
2021,1,4,0,31.6,22.2,79,1,360
2021,1,5,0,30.3,21.7,82,2,360
2021,1,6,0,29.8,21.8,76,2,40
2021,1,7,0,30,21.2,77,2,360
2021,1,8,0,26.3,18.8,79,3,360
2021,1,9,0,28.6,18.9,70,3,360
2021,1,10,0,30,19.5,59,2,40
2021,1,11,0,28.6,18.2,65,2,20
2021,1,12,0,26,18.3,78,3,360
2021,1,13,0,28.3,20.2,69,1,20
2021,1,14,0,30,21,71,1,360
2021,1,15,0,28.6,22,75,1,340
2021,1,16,0,30.4,21.2,65,1,20
2021,1,17,0,27.1,21,74,3,360
2021,1,18,0,31.3,22.5,65,2,360
2021,1,19,0,33.8,24,56,1,90
2021,1,20,0,34.4,25,65,1,40
2021,1,21,4,29.6,24,85,1,250
2021,1,22,18.3,28.4,23.7,91,1,40
2021,1,23,9.5,25.3,22.5,94,1,360
2021,1,24,0,30.9,23,82,1,320
2021,1,25,0,30.4,24.5,79,1,340
2021,1,26,0,30.2,22,83,1,340
2021,1,27,0,30.6,22.8,79,1,360
2021,1,28,0,30.6,21,63,2,360
2021,1,29,0,30.8,20.4,56,2,40
2021,1,30,0,29.8,20,51,2,70
2021,1,31,0,29,19.5,57,1,40
2021,2,1,0,30,20,66,1,270
2021,2,2,0,29.2,20.2,68,1,360
2021,2,3,0,32.2,22.1,56,1,70
2021,2,4,0,30.4,22.1,62,1,40
2021,2,5,0,29.3,22.3,65,1,40
2021,2,6,0,29.2,23,73,1,360
2021,2,7,0,30.2,22.9,80,1,360
2021,2,8,0,33.9,23.1,71,1,320
2021,2,9,0,33.7,25.5,54,1,90
2021,2,10,4,30.8,23,75,1,360
2021,2,11,6.3,28.4,21.5,87,1,70
2021,2,12,0,26.9,20.3,81,1,40
2021,2,13,0,28.8,20.8,67,1,360
2021,2,14,0,29.1,20.2,77,1,250
2021,2,15,0,29.6,22.3,69,1,320
2021,2,16,0,29.8,21,77,1,90
2021,2,17,0,29.2,20.1,75,1,20
2021,2,18,0,29.8,19.5,64,2,360
2021,2,19,0,30.1,17.9,53,2,40
2021,2,20,0,27.3,18.3,54,1,90
2021,2,21,0,28.1,20.1,63,1,270
2021,2,22,0,29.6,23.1,74,1,250
2021,2,23,0,30.2,23.8,83,1,180
