YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION
2021,1,1,5.2,30,23.7,84,2,40
2021,1,2,29.2,28,24,94,2,90
2021,1,3,17.8,29.4,23.5,91,2,70
2021,1,4,7.9,29,22.5,91,2,150
2021,1,5,12.2,30.4,23.6,87,2,90
2021,1,6,35.6,27.7,23.4,93,1,50
2021,1,7,54,26.5,20,98,1,360
2021,1,8,0.5,29,23.4,91,1,10
2021,1,9,0,30.8,25,85,1,20
2021,1,10,32.9,29.4,23.4,93,1,120
2021,1,11,105.8,25.2,19,98,1,210
2021,1,12,97.4,26,18,98,1,350
2021,1,13,11.2,28.8,23.5,89,1,20
2021,1,14,4.3,27.6,19.5,91,1,220
2021,1,15,-1,29.6,23,88,1,10
2021,1,16,27.6,29.2,24.2,91,2,90
2021,1,17,1.7,29,23.6,89,2,150
2021,1,18,117.4,26,23.5,97,1,360
2021,1,19,4,28.4,23.6,91,1,360
2021,1,20,5,30.9,24,89,1,180
2021,1,21,0,30,24,92,1,220
2021,1,22,-1,30.4,24.2,86,1,130
2021,1,23,0,32,24.5,83,1,200
2021,1,24,2.9,30.8,25,86,1,170
2021,1,25,0.8,31.2,24,85,3,10
2021,1,26,11.6,29.2,22.6,90,1,10
2021,1,27,0,30.2,23.6,82,2,90
2021,1,28,30,29.4,23.5,86,3,20
2021,1,29,5.5,29.5,24.3,83,2,50
2021,1,30,46.7,29,22.5,83,4,40
2021,1,31,30.7,29.8,23,82,3,40
2021,2,1,33.2,26.2,23.5,98,2,70
2021,2,2,4.1,28.6,22.6,90,2,230
2021,2,3,22.4,29.8,23.5,86,2,40
2021,2,4,5.4,31.2,24.5,81,3,40
2021,2,5,0.2,32,22.2,83,2,140
2021,2,6,21.4,30.5,23.4,88,3,40
2021,2,7,67.2,29.2,22,93,2,160
2021,2,8,14.8,28.8,23.5,98,1,360
2021,2,9,8.6,30,24.2,92,1,20
2021,2,10,0.2,31.2,24.8,87,2,160
2021,2,11,0,30.6,20.5,88,2,60
2021,2,12,0,30.5,24,86,1,160
2021,2,13,0.2,31.7,24.2,85,1,50
2021,2,14,5.6,30,24.9,87,1,10
2021,2,15,18.6,30,23,92,2,30
2021,2,16,4.5,30,23,88,1,10
2021,2,17,4.7,30.4,23.8,85,2,340
2021,2,18,1.8,28.2,25,78,3,10
2021,2,19,4.3,28.3,23.2,79,3,10
2021,2,20,52.7,25.7,21.5,93,3,20
2021,2,21,70.3,25.6,21,97,2,190
2021,2,22,0,30,24.5,91,1,200
2021,2,23,0,31.8,23.5,80,2,110
2021,2,24,-1,31.6,24,79,3,110
2021,2,25,0,31.2,24,84,2,80
2021,2,26,-1,30,24.2,86,1,20
2021,2,27,0.5,31.9,25.4,83,2,90
2021,2,28,31,28,23.5,94,1,110
2021,3,1,9.6,31,24,90,2,210
2021,3,2,0.8,31.5,24,78,2,50
2021,3,3,0,31,24.5,76,3,70
2021,3,4,0,32.2,23.6,77,3,40
2021,3,5,0.2,31,24.3,78,2,50
2021,3,6,6.8,31.8,23.4,75,3,90
2021,3,7,9.6,29.2,23.5,88,2,70
2021,3,8,9.2,28,23.3,89,2,60
2021,3,9,17.1,29,23.3,85,2,40
2021,3,10,100.8,27.8,23,93,3,40
2021,3,11,38.2,28.6,23.8,96,1,70
2021,3,12,8.8,29.8,23.7,89,1,230
2021,3,13,20.3,30.8,22.8,84,2,10
2021,3,14,0,32,24.5,83,1,160
2021,3,15,0,32,24.8,81,2,160
2021,3,16,0,31.3,24.4,82,2,150
2021,3,17,0.6,31.8,25.5,83,1,90
2021,3,18,-1,32,24,83,3,90
2021,3,19,2.6,32,24,81,1,10
2021,3,20,30.7,29.5,24.7,90,1,90
2021,3,21,3.8,31,24.5,85,2,50
2021,3,22,0.5,32.4,24.5,81,3,80
2021,3,23,12.8,31.6,23.5,80,2,70
2021,3,24,8.8,31.4,24,92,3,70
2021,3,25,10.1,31,24.5,85,2,50
2021,3,26,5.3,31,24.3,83,2,100
2021,3,27,35.3,28.6,23.2,91,1,120
2021,3,28,0.4,31.6,23.5,83,2,40
2021,3,29,0.2,32,25,83,2,50
2021,3,30,30.6,27.4,23.1,97,2,190
2021,3,31,45.4,30,24.3,89,2,150
2021,4,1,39,26.4,23.5,98,2,90
2021,4,2,1.6,30.8,23.6,87,2,190
2021,4,3,10.9,30.4,23,85,2,40
2021,4,4,3.8,31.8,24.8,83,1,10
2021,4,5,0,31,24,84,2,20
2021,4,6,1.8,31.2,23.6,83,2,40
2021,4,7,0,31.7,24.1,82,2,40
2021,4,8,0,31,24.5,83,2,170
2021,4,9,0,31,24.2,82,1,80
2021,4,10,0,31.7,23.5,82,2,40
2021,4,11,15.8,30,24.6,84,1,200
2021,4,12,-1,31,24,89,1,200
2021,4,13,1.2,31.6,24,85,1,210
2021,4,14,0.5,31.4,24.4,83,1,360
2021,4,15,0.2,32,23.5,87,2,10
2021,4,16,24.6,31.4,22.5,87,1,20
2021,4,17,7.3,30,24,85,1,50
2021,4,18,-1,28.7,25.5,75,3,270
2021,4,19,0,31,21,79,3,220
2021,4,20,0,31,23.2,75,1,230
2021,4,21,0,33.6,25.5,72,1,200
2021,4,22,2.4,34.8,22.5,75,1,120
2021,4,23,0,32.6,25,74,2,270
2021,4,24,0,33.2,23,76,2,270
2021,4,25,10,32.6,25,79,1,270
2021,4,26,0.2,31.2,22,84,2,130
2021,4,27,13.2,30.8,23.7,81,1,120
2021,4,28,12.2,29,22.5,93,1,200
2021,4,29,0,32,24,82,2,180
2021,4,30,0,32.2,24.4,80,2,60
2021,5,1,0.8,32.4,25.3,79,2,40
2021,5,2,4.7,31.8,24,84,3,80
2021,5,3,4.9,31.6,21.5,81,2,70
2021,5,4,6.2,31.6,25.2,84,2,90
2021,5,5,4.7,30.8,23,83,3,90
2021,5,6,5,30.6,23.7,81,3,70
2021,5,7,37.9,32,24.2,91,2,220
2021,5,8,14.6,30.4,24.4,88,1,70
2021,5,9,10.5,31,23,86,2,60
2021,5,10,3.2,30,23,89,2,50
2021,5,11,1.5,32.8,24,83,2,60
2021,5,12,15,31.2,23.4,92,1,120
2021,5,13,72.8,28.2,25,95,2,140
2021,5,14,52.8,29,23,94,2,120
2021,5,15,3.9,30.9,24,90,2,70
2021,5,16,4.8,32,24.5,85,2,40
2021,5,17,31,32,25,86,2,160
2021,5,18,23.5,29.5,24.4,95,1,90
2021,5,19,16.1,32,24.8,84,2,20
2021,5,20,1.2,31,25.4,90,1,210
2021,5,21,0,31.5,24,85,1,360
2021,5,22,0,33.2,24.9,81,1,230
2021,5,23,0.8,32.2,23.5,82,1,340
2021,5,24,50,32.2,25,82,1,150
2021,5,25,31.3,30,24.1,91,1,220
2021,5,26,13.5,30.9,24.8,90,1,210
2021,5,27,0,33,25,85,1,360
2021,5,28,0,33,24.7,81,1,180
2021,5,29,2.1,33.4,25.9,80,1,320
2021,5,30,0.6,32,25.4,80,1,200
2021,5,31,20.6,32.4,25,84,2,270
2021,6,1,75.2,28,23.8,94,2,230
2021,6,2,0,32.1,24,81,1,200
2021,6,3,8.8,33.6,23,80,1,10
2021,6,4,2.9,32,24,88,1,210
2021,6,5,0,32.4,23,79,1,220
2021,6,6,7,31,21,89,1,220
2021,6,7,0,33,24.4,81,1,220
2021,6,8,6.7,33,24.4,84,1,220
2021,6,9,4.1,32.6,22.5,82,1,180
2021,6,10,0,33,25.2,78,1,190
2021,6,11,2.5,32.2,24,81,1,30
2021,6,12,7.9,30.5,23.9,89,1,220
2021,6,13,0,32,22,82,1,200
2021,6,14,0,32.2,25,84,1,220
2021,6,15,0,32.3,23.5,78,1,230
2021,6,16,0,33.2,23,76,1,120
2021,6,17,0,33.6,25.5,77,2,220
2021,6,18,0,33.8,24.4,78,1,230
2021,6,19,0,33.4,25.5,78,1,180
2021,6,20,0,33,24.6,77,1,160
2021,6,21,0,32,25.4,80,1,220
2021,6,22,0.1,34,24.5,81,1,180
2021,6,23,0,33.1,25,76,1,200
2021,6,24,0.2,32,24.7,85,1,360
2021,6,25,2.4,33.5,21.5,83,1,230
2021,6,26,1.7,32.6,24,81,1,200
2021,6,27,0,31.4,24.8,85,1,200
2021,6,28,0,33,25.5,76,2,90
2021,6,29,0,34,24.5,78,1,300
2021,6,30,0,33,24,79,1,200
2021,7,1,1.8,33,25.3,80,1,230
2021,7,2,-1,33,24.3,80,1,310
2021,7,3,19.1,32.8,24.6,85,1,320
2021,7,4,0.4,31.5,25.2,80,1,210
2021,7,5,2.4,30.8,22,90,1,40
2021,7,6,0.5,28.5,24.5,89,1,230
2021,7,7,6.6,29,23.5,92,1,200
2021,7,8,24.1,31,19.5,90,2,120
2021,7,9,3.3,32,23.6,85,1,90
2021,7,10,0.9,32.1,24,83,1,200
2021,7,11,-1,32.6,24,81,2,60
2021,7,12,42.6,33,23,79,2,50
2021,7,13,2.5,28.5,23,93,1,200
2021,7,14,0.3,31.7,22.5,82,1,220
2021,7,15,28.2,33.6,18,83,1,200
2021,7,16,8,29.8,24,86,1,220
2021,7,17,0,32,24,77,1,270
2021,7,18,0,32.8,26.5,77,1,180
2021,7,19,0,32.8,18,71,2,270
2021,7,20,0,33,25.8,68,2,230
2021,7,21,0,33.3,26.8,70,2,220
2021,7,22,0,32.4,20,67,2,230
2021,7,23,0,34.6,23.5,65,2,220
2021,7,24,0,34.5,23.4,64,2,220
2021,7,25,0,35,25.4,69,1,210
2021,7,26,0,34.4,28,69,2,270
2021,7,27,0,34.6,24,61,2,230
2021,7,28,0,34.4,26.4,67,1,200
2021,7,29,0,34.8,25.4,70,1,200
2021,7,30,0,33.7,24.7,71,1,270
2021,7,31,0,33.4,26.7,73,1,220
2021,8,1,0,33.8,25,70,1,200
2021,8,2,0,34,26,64,2,230
2021,8,3,0,34,26,69,1,230
2021,8,4,0,35.1,25.8,69,1,200
2021,8,5,0,35,25,71,2,220
2021,8,6,0,35.4,24.7,63,1,200
2021,8,7,0,35.5,22,66,1,200
2021,8,8,15.5,30,24,89,1,200
2021,8,9,4.2,27,23.6,91,1,200
2021,8,10,0,32.4,23,81,1,230
2021,8,11,0,32.9,24.8,76,2,120
2021,8,12,3.8,33,25.2,77,2,40
2021,8,13,0.2,31.2,23.2,83,1,200
2021,8,14,8.7,31.6,22.8,83,1,180
2021,8,15,0,31.6,23,81,1,90
2021,8,16,14.1,31.6,24,89,2,50
2021,8,17,0.2,30.6,23.1,87,1,10
2021,8,18,0,33.5,24.2,78,1,200
2021,8,19,0,34,25,80,1,200
2021,8,20,-1,31.2,23.4,85,1,310
2021,8,21,-1,32.1,24.5,80,1,200
2021,8,22,2.3,31.2,21.2,85,2,30
2021,8,23,8.3,32.6,23.7,83,1,200
2021,8,24,0,31.2,23.6,84,1,290
2021,8,25,55.5,31.5,24.2,81,1,150
2021,8,26,0.4,30,24,90,1,360
2021,8,27,44.8,31.8,22.4,81,1,20
2021,8,28,0.4,29.6,22.5,89,2,20
2021,8,29,0.2,31.8,24.4,81,1,360
2021,8,30,0.2,31.6,24.8,83,1,210
2021,8,31,0,31.2,24.2,84,1,210
2021,9,1,0.2,31.2,23.8,83,1,210
2021,9,2,0,33.6,25,76,2,170
2021,9,3,0,35,23.2,79,1,210
2021,9,4,62,34.6,23.5,76,1,270
2021,9,5,4.4,32,24.8,87,1,200
2021,9,6,42.7,27,23.6,91,2,200
2021,9,7,1,31.7,23.5,80,1,240
2021,9,8,0,33.5,21.6,74,2,250
2021,9,9,0,32,21,76,2,270
2021,9,10,-1,32.7,23.1,77,1,210
2021,9,11,0,34.1,24.8,75,1,270
2021,9,12,1.2,32.6,24.2,79,1,220
2021,9,13,11.4,32,24.5,83,2,120
2021,9,14,22.2,29,23.9,87,2,130
2021,9,15,1,30.8,22,85,1,210
2021,9,16,38.4,29.8,23.8,92,1,220
2021,9,17,0.4,31,21.5,84,1,220
2021,9,18,3.2,32.7,21.5,82,1,220
2021,9,19,3.4,31,22,86,1,220
2021,9,20,1.4,30,23.4,91,1,200
2021,9,21,0,31.3,23.5,84,1,200
2021,9,22,5,31.6,24,87,1,10
2021,9,23,0.2,32,25,83,1,10
2021,9,24,5.9,31,21.7,87,1,200
2021,9,25,3.2,30.9,21.4,86,1,20
2021,9,26,0,32.7,24.3,82,1,220
2021,9,27,3,34,26.5,82,1,210
2021,9,28,0,33.2,23,80,1,270
2021,9,29,0,34.4,24.5,76,1,220
2021,9,30,0,34,25.5,82,1,180
2021,10,1,0,33,23.6,79,1,200
2021,10,2,0.4,32.4,24.2,83,1,220
2021,10,3,107.7,29,22.6,94,1,200
2021,10,4,16.6,31.4,24,90,1,360
2021,10,5,69,30.5,22.5,87,1,160
2021,10,6,0,32.8,24.9,84,1,270
2021,10,7,0.8,31.8,25,84,1,270
2021,10,8,16,28,24,91,1,270
2021,10,9,13.3,28.6,24,87,1,270
2021,10,10,0.6,31,24.7,77,3,270
2021,10,11,0.6,30,24.5,76,2,220
2021,10,12,5,33.6,24,77,1,220
2021,10,13,0,33.8,20.9,80,1,230
2021,10,14,12.6,32,23.3,87,1,200
2021,10,15,1.2,30.4,23.2,89,1,230
2021,10,16,0,32.8,23.9,77,1,20
2021,10,17,1,32,23.5,82,2,110
2021,10,18,0,32.8,25,80,1,20
2021,10,19,0.3,32.4,23.4,84,1,160
2021,10,20,0.4,31.7,24.5,85,1,200
2021,10,21,4.6,32,24.7,83,1,20
2021,10,22,14.5,28.6,23,89,1,40
2021,10,23,3.5,30.9,23.2,88,1,200
2021,10,24,-1,31,23.2,85,1,200
2021,10,25,-1,33.3,25.5,81,1,360
2021,10,26,36.5,30.7,23,92,2,200
2021,10,27,20.1,28.8,22.8,94,1,40
2021,10,28,11.3,31,24.5,89,2,30
2021,10,29,0.4,31.4,24,84,1,360
2021,10,30,320.9,29.9,20,94,1,20
2021,10,31,55.6,26.6,22.3,96,1,30
2021,11,1,42.6,28,23.5,93,1,40
2021,11,2,5.8,27.6,23.1,94,1,360
2021,11,3,0.8,29.7,23.4,90,1,20
2021,11,4,0,30.6,24.5,89,2,220
2021,11,5,2.5,32,22,81,2,70
2021,11,6,2.8,30.7,24.4,87,1,10
2021,11,7,0.6,32,24.2,82,2,90
2021,11,8,22.6,30.6,25,85,3,90
2021,11,9,75.8,28.2,22,98,1,210
2021,11,10,0.8,31.6,23.2,87,2,120
2021,11,11,6.8,31.9,25,87,2,90
2021,11,12,0.9,31,24,87,1,170
2021,11,13,7.9,30.5,23.4,88,2,40
2021,11,14,50,31.8,24.5,85,1,30
2021,11,15,5.6,29.6,25,92,2,60
2021,11,16,11.1,30,23.5,89,1,110
2021,11,17,10.4,30.6,23,86,2,50
2021,11,18,0,31,24.5,87,2,220
