YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION
2021,1,1,3.2,32,24.8,86,3,340
2021,1,2,12,28,24.8,94,2,340
2021,1,3,9.6,30.5,24.6,90,2,320
2021,1,4,7.3,29.4,24.4,92,1,360
2021,1,5,0.6,32,24.3,85,2,90
2021,1,6,8.6,31.5,25.2,89,3,70
2021,1,7,39.6,29.2,24.4,95,2,320
2021,1,8,4.2,28.5,25,92,2,340
2021,1,9,-1,31.3,25.2,88,2,290
2021,1,10,135.2,27.6,23.6,96,3,340
2021,1,11,83.1,25.6,23.8,97,4,320
2021,1,12,12.9,26.5,23.7,91,5,320
2021,1,13,2.9,26.8,23.6,94,3,320
2021,1,14,0,30.5,23.9,88,3,160
2021,1,15,33.5,31.4,24.5,84,2,320
2021,1,16,17,29.8,25,92,2,340
2021,1,17,13,29.4,24.8,86,3,160
2021,1,18,64.2,26,23.4,95,3,320
2021,1,19,0,28.5,23.4,89,2,320
2021,1,20,14.7,30,24.5,89,2,140
2021,1,21,0.2,29.5,25.3,88,4,140
2021,1,22,0,30.8,25.2,83,3,160
2021,1,23,1.2,31,24.3,87,1,320
2021,1,24,0,31.4,25.5,83,2,160
2021,1,25,3.6,30.5,23.6,83,2,320
2021,1,26,4.2,30.8,24.4,84,2,320
2021,1,27,20.8,28.5,24,91,1,360
2021,1,28,17,27.2,24.5,90,3,340
2021,1,29,28.4,31.1,23,84,4,340
2021,1,30,18.2,28,23.4,90,3,340
2021,1,31,0.8,29.3,24.5,82,3,20
2021,2,1,15.5,28.6,23.8,90,2,320
2021,2,2,23,28.2,23.3,92,2,320
2021,2,3,5,30.5,24.2,86,3,340
2021,2,4,0.4,32,24.5,78,3,70
2021,2,5,1.2,31.4,24.9,84,3,140
2021,2,6,4.8,32,25,80,3,70
2021,2,7,128,29.5,23.5,93,2,340
2021,2,8,90,27.2,23.6,95,2,320
2021,2,9,61.4,27.2,23.7,95,2,320
2021,2,10,24.8,28,24.7,94,2,140
