YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION
2021,1,1,9.5,25,21.8,92,4,20
2021,1,2,51,26,22.5,94,4,20
2021,1,3,19,26,23,90,3,20
2021,1,4,7.5,29.5,23,89,3,30
2021,1,5,3,29.5,22.5,90,2,20
2021,1,6,13,29,22.5,83,3,40
2021,1,7,5,28.5,22.5,84,4,20
2021,1,8,5.5,27,22.2,89,4,360
2021,1,9,4,25,20.7,90,5,360
2021,1,10,-1,26,20.4,87,5,360
2021,1,11,-1,26,20.5,78,3,20
2021,1,12,-1,26.5,20,82,3,10
2021,1,13,-1,28.2,21.5,83,3,30
2021,1,14,-1,28,22,85,3,10
2021,1,15,1.5,27.5,22,90,3,40
2021,1,16,0,29,23.3,80,3,360
2021,1,17,35.5,27.8,22,86,3,30
2021,1,18,12.5,27,22,92,4,20
2021,1,19,30.5,25,21.6,92,4,30
2021,1,20,25.8,27,22.5,91,2,340
2021,1,21,5,31,23.5,87,1,60
2021,1,22,2.5,30,23.5,89,1,360
2021,1,23,0,31,22.3,87,1,360
2021,1,24,0,30.7,24,84,2,360
2021,1,25,0,32.5,22.5,86,3,360
2021,1,26,19.2,31.5,23.2,90,3,360
2021,1,27,12.5,26.2,22,90,3,50
2021,1,28,-1,27,21,83,3,20
2021,1,29,-1,27.5,22.4,73,5,40
2021,1,30,0,27.5,19.4,73,4,360
2021,1,31,4.5,27.2,21,79,4,360
2021,2,1,-1,29.5,22,85,4,360
2021,2,2,1,29,21,85,3,10
2021,2,3,9,27,21,88,4,10
2021,2,4,11,27,21.7,84,5,40
2021,2,5,7,27,21,92,4,20
2021,2,6,0.5,28,22.5,86,2,30
2021,2,7,3.5,30.5,23.5,85,3,20
2021,2,8,17.8,29,22,87,4,40
2021,2,9,11.5,27.5,21,90,3,40
2021,2,10,7,26,22,92,1,30
2021,2,11,0,29,22.5,88,1,360
2021,2,12,7.5,31,22.5,86,2,70
2021,2,13,5,30.5,22.6,91,3,360
2021,2,14,0,30.5,22,87,2,40
2021,2,15,0.5,29,22,86,3,360
2021,2,16,-1,28.5,21,86,3,20
2021,2,17,0.5,28,21.4,81,3,350
2021,2,18,7,26,20,82,4,50
2021,2,19,-1,24.4,20,79,4,20
2021,2,20,0,26,20.6,78,4,360
2021,2,21,1,29,21.5,86,4,360
2021,2,22,25,25,22,92,3,10
2021,2,23,-1,29.5,22,86,2,10
2021,2,24,1.5,30,22,86,2,40
2021,2,25,0,30.5,22.4,84,2,340
2021,2,26,0,31.5,22.5,80,2,10
2021,2,27,8,31.5,24.3,84,3,50
2021,2,28,4.5,31,24,85,2,40
2021,3,1,0,30,23,82,2,350
2021,3,2,0.4,31.5,23.8,84,3,360
2021,3,3,13,29,23,89,3,10
2021,3,4,-1,30,22,85,2,40
2021,3,5,0,31.5,22.5,82,2,10
2021,3,6,0,31,23,82,2,360
2021,3,7,3,30,22.5,86,3,360
2021,3,8,49,26.7,22,92,3,10
2021,3,9,17.6,28.5,21.5,89,3,30
2021,3,10,-1,29,22,83,4,20
2021,3,11,12.9,29,22.3,86,4,40
2021,3,12,87.5,26.5,20.5,90,2,20
2021,3,13,9.5,27,21.5,93,4,20
2021,3,14,12,29.5,22,89,4,360
2021,3,15,1,29.5,23,90,2,360
2021,3,16,0,31.7,22.2,83,2,360
2021,3,17,0,32,23.8,82,2,350
2021,3,18,0,33.5,22.5,82,3,50
2021,3,19,0,33.5,22.5,80,2,10
2021,3,20,0,33,24.5,85,2,20
2021,3,21,0,33,24.5,80,2,40
2021,3,22,77.8,29.8,22.8,89,3,30
2021,3,23,1,33,22.5,87,3,30
2021,3,24,9.5,29,23,91,3,20
2021,3,25,3.5,31,23.6,83,3,20
2021,3,26,4.5,33,22.8,90,2,20
2021,3,27,0,32,23.8,83,2,40
2021,3,28,0,33,24,81,2,40
2021,3,29,0,32.7,24,78,3,360
2021,3,30,-1,32.7,23.8,82,3,40
2021,3,31,-1,33,24,86,2,350
2021,4,1,0,33,22.2,81,3,360
2021,4,2,0,30,23,78,2,10
2021,4,3,0,33,24,79,2,360
2021,4,4,0.5,32,22,85,2,20
2021,4,5,0.4,32,24,84,3,30
2021,4,6,-1,29,22,85,3,40
2021,4,7,2,30,23,85,3,20
2021,4,8,0,32,22,83,3,360
2021,4,9,6,30,21.4,83,3,10
2021,4,10,1,30,23.2,78,3,360
2021,4,11,1,31,21,84,3,360
2021,4,12,8.5,31,22.8,85,3,50
