YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION
2021,1,1,0,25,19.5,87,2,360
2021,1,2,0.4,26.8,20,86,2,360
2021,1,3,1,26.4,21.6,93,1,360
2021,1,4,0,28.7,22.1,87,2,10
2021,1,5,4.5,27.2,21.6,95,2,360
2021,1,6,0,28,21.2,87,1,360
2021,1,7,0,27.9,21,89,2,360
2021,1,8,0,26.4,19,87,3,360
2021,1,9,0,25.8,18.2,82,3,360
2021,1,10,0,26.3,19.2,79,2,360
2021,1,11,0,27,16.7,83,1,360
2021,1,12,0,27.2,18.7,82,2,360
2021,1,13,0,26.9,19.9,85,1,360
2021,1,14,0,25,21,90,1,360
2021,1,15,0,27.2,21,85,2,360
2021,1,16,0.2,28.2,19.5,79,2,360
2021,1,17,1.2,26.2,20,89,2,360
2021,1,18,-1,25.4,20,89,3,360
2021,1,19,0,26.7,20.4,91,2,360
2021,1,20,29.3,26.7,22,92,1,360
2021,1,21,11.8,26.7,22.8,95,1,360
2021,1,22,1.3,31,23,91,1,360
2021,1,23,0.3,28.3,22,91,1,360
2021,1,24,0.2,26.6,21.8,92,2,360
2021,1,25,1.8,26.4,22.1,94,1,360
2021,1,26,0.3,27,21.9,94,1,360
2021,1,27,0,27.9,21.5,83,2,350
2021,1,28,0,29.5,18.8,74,2,360
2021,1,29,-1,26.8,18.8,81,2,360
2021,1,30,-1,26.2,18.5,80,1,360
2021,1,31,0.3,25.2,18.5,86,1,360
2021,2,1,-1,28,17.1,83,1,360
2021,2,2,0,28.6,17.5,79,1,360
2021,2,3,0,27,19,82,1,360
2021,2,4,0.1,23.1,19.5,92,1,360
2021,2,5,0,28,20.2,83,1,360
2021,2,6,-1,28.5,21,84,1,360
2021,2,7,6.4,27,22,91,1,360
2021,2,8,13,27.8,21.5,93,1,360
2021,2,9,2.2,26.8,21,89,2,360
2021,2,10,1.3,26.9,21,91,1,360
2021,2,11,0,30.6,21.5,85,2,20
2021,2,12,0,27.2,20.2,81,2,360
2021,2,13,0,30,19,78,1,360
2021,2,14,0,29.6,20,82,1,360
2021,2,15,0,29.4,20.6,75,1,360
2021,2,16,0,30.5,20.7,77,1,150
2021,2,17,0,30.9,20.9,74,1,360
2021,2,18,0,24.6,17.6,81,3,30
2021,2,19,0,26,16.7,75,2,360
2021,2,20,0,26.7,17.7,77,1,180
2021,2,21,0,27.3,18.5,74,1,360
2021,2,22,14.3,29.2,20.4,82,1,360
2021,2,23,5.5,28.1,22.9,90,1,360
2021,2,24,0.5,32.3,23.8,87,1,360
2021,2,25,0,32.7,23.7,83,1,180
2021,2,26,0,33.5,23.7,81,1,360
2021,2,27,0,33,22.2,80,1,360
2021,2,28,0,32.3,23.1,80,1,360
2021,3,1,0,32.4,23.2,80,1,360
2021,3,2,0,33.2,23.4,79,1,360
2021,3,3,-1,30.9,22.1,81,1,360
2021,3,4,0,31.2,21.5,80,1,360
2021,3,5,0,33,22.4,75,1,180
2021,3,6,0,33.4,22.3,74,1,180
2021,3,7,0,32.9,21.5,76,1,360
2021,3,8,0,32.5,21.4,74,1,360
2021,3,9,0,32.2,20,74,1,360
2021,3,10,-1,31.6,21.4,71,1,360
2021,3,11,0,30,21.6,84,1,180
2021,3,12,0,32.4,22,76,1,360
2021,3,13,-1,32,21.5,75,2,340
2021,3,14,0,27,22,86,1,360
2021,3,15,8.1,29.2,22.9,84,1,360
2021,3,16,0.4,29.7,23.5,89,1,360
2021,3,17,4.7,33.8,24.3,82,1,360
2021,3,18,-1,33.7,24.4,84,1,360
2021,3,19,-1,31.7,24,84,1,360
2021,3,20,6.3,34.2,23.7,82,1,360
2021,3,21,1.8,33.2,23,83,1,360
2021,3,22,3.9,26.9,21.4,92,2,360
2021,3,23,-1,26.1,22.1,91,2,360
2021,3,24,0.2,30.2,22.6,87,1,360
2021,3,25,0,33.1,23,80,1,360
2021,3,26,0,33.2,23.2,79,1,360
2021,3,27,0,34,23.4,75,1,360
2021,3,28,0,35.4,24.2,76,1,360
2021,3,29,0,35,24.2,77,1,360
2021,3,30,0,35.2,25,77,2,360
2021,3,31,0,35.1,23.8,72,1,360
2021,4,1,0,35.7,23.4,72,1,180
2021,4,2,0,35.7,22.5,73,1,180
2021,4,3,0,35.4,23.2,71,1,180
2021,4,4,-1,34.4,23,73,1,360
2021,4,5,-1,30.7,22.3,80,2,360
2021,4,6,0,32.4,21.4,73,2,360
2021,4,7,0,32.1,21.2,71,2,360
2021,4,8,0,33,23,70,2,360
2021,4,9,0,32.3,22.3,73,2,360
2021,4,10,0,32.5,21.3,72,1,360
2021,4,11,0,32.6,21.5,71,2,360
2021,4,12,0,35,23.5,70,1,360
2021,4,13,0,34,22.5,76,1,360
2021,4,14,0,36,24.8,72,1,360
2021,4,15,0,36.6,25,68,1,360
2021,4,16,0,36.2,23.8,69,1,150
2021,4,17,0,35.4,22.6,72,2,360
2021,4,18,0,32.2,21.7,75,3,360
2021,4,19,0.2,26,21.6,87,3,360
2021,4,20,3.7,28.7,23,91,4,340
2021,4,21,8.6,28,23.8,94,3,360
2021,4,22,1.4,30.8,25,79,2,30
2021,4,23,-999,-999,-999,-999,-999,-999
2021,4,24,-999,-999,-999,-999,-999,-999
2021,4,25,-999,-999,-999,-999,-999,-999
2021,4,26,-999,-999,-999,-999,-999,-999
2021,4,27,-999,-999,-999,-999,-999,-999
2021,4,28,-999,-999,-999,-999,-999,-999
2021,4,29,-999,-999,-999,-999,-999,-999
2021,4,30,-999,-999,-999,-999,-999,-999
2021,5,1,-999,-999,-999,-999,-999,-999
2021,5,2,-999,-999,-999,-999,-999,-999
2021,5,3,-999,-999,-999,-999,-999,-999
2021,5,4,-999,-999,-999,-999,-999,-999
2021,5,5,-999,-999,-999,-999,-999,-999
2021,5,6,-999,-999,-999,-999,-999,-999
2021,5,7,-999,-999,-999,-999,-999,-999
2021,5,8,-999,-999,-999,-999,-999,-999
2021,5,9,0,37.3,25.6,68,1,180
2021,5,10,0,39.2,26.2,63,2,180
2021,5,11,4,38.8,25.4,67,2,360
2021,5,12,0,39.2,25.3,65,1,140
2021,5,13,0,39,24.2,60,1,180
2021,5,14,0,39,25,55,1,180
2021,5,15,0,38.8,25.6,61,1,180
2021,5,16,0,39.7,26.1,56,1,180
2021,5,17,0,39.9,25,58,2,180
2021,5,18,0,38.7,26.2,60,1,180
2021,5,19,0,39.2,25.3,58,1,180
2021,5,20,0,40.2,25.7,61,2,160
2021,5,21,0,40.1,26.5,61,2,20
2021,5,22,0,39.7,26.2,63,1,360
2021,5,23,11.6,38.3,25.8,67,1,360
2021,5,24,0,38.4,24.7,63,1,30
2021,5,25,0,38.7,26.2,65,2,20
2021,5,26,0,39.1,26,62,1,360
2021,5,27,0,40,27.4,59,1,360
2021,5,28,0,40.2,26.8,65,2,350
2021,5,29,0,40.3,27.1,60,2,10
2021,5,30,0,39.7,26.9,59,2,180
2021,5,31,0,40.1,27.2,60,2,20
2021,6,1,0,40.3,26.3,61,1,20
2021,6,2,0,36.8,26.6,70,2,180
2021,6,3,0,38,27.8,60,3,190
2021,6,4,0,39.7,25.7,56,2,40
2021,6,5,3.6,40.2,26.5,68,1,360
2021,6,6,0,36.9,25.6,70,1,360
2021,6,7,0,38.9,25.2,68,2,190
2021,6,8,0,35.2,25.2,76,2,40
2021,6,9,-1,34,24.8,78,2,250
2021,6,10,4.6,38,25.7,68,2,180
2021,6,11,0,37.5,25.1,67,1,360
2021,6,12,0,37.2,25.7,67,2,30
2021,6,13,15,37,24.8,82,1,180
2021,6,14,-1,35.8,24.8,75,1,50
2021,6,15,16.8,37,25.5,77,1,360
2021,6,16,3.7,37.2,24,73,2,180
2021,6,17,0,37.5,24.3,70,1,150
2021,6,18,0,37.7,25.6,66,2,360
2021,6,19,0,38.1,25,64,2,190
2021,6,20,0,37.9,24.8,63,2,360
2021,6,21,5.6,38.4,24.7,71,1,360
2021,6,22,0.4,36.8,24,71,2,180
2021,6,23,18.6,36.7,24.1,77,2,200
2021,6,24,3.1,35,24.3,78,1,360
2021,6,25,0,33.5,23.6,78,1,250
