MEDSHIELD PHARMA CORP,,,,,,,,,,,,
SALES SUMMARY REPORT,,,,,,,,,,,,
AS OF DECEMBER 2017,,,,,,,,,,,,
,,,,,,,,,,,,
DR,DATE,AREA,PRODUCT, GROSS SALES ,UNIT PRICE,GROSS,DISCOUNT,, QTY , TP , TOTAL , NET INCOME 
,,,,,,,%, AMOUNT ,,,,
10003,5/17/17,GOVERNMENT,#REF!,,, -   ,, -   , -   ,, -   , -   
11472,5/19/17,GOVERNMENT,#REF!, 20.00 ," 2,080.00 "," 41,600.00 ",, -   , 20.00 ,, -   ," 41,600.00 "
11472,5/19/17,GOVERNMENT,#REF!, 20.00 ," 3,150.00 "," 63,000.00 ",, -   , 20.00 ,, -   ," 63,000.00 "
11472,5/19/17,GOVERNMENT,#REF!, 20.00 ," 3,000.00 "," 60,000.00 ",, -   , 20.00 ,, -   ," 60,000.00 "
11472,5/19/17,GOVERNMENT,#REF!, 20.00 ," 3,200.00 "," 64,000.00 ",, -   , 20.00 ,, -   ," 64,000.00 "
11472,5/19/17,GOVERNMENT,#REF!, 20.00 ," 1,725.00 "," 34,500.00 ",, -   , 20.00 ,, -   ," 34,500.00 "
11472,5/19/17,GOVERNMENT,#REF!, 16.67 ," 2,820.00 "," 47,000.00 ",, -   , 16.67 ,, -   ," 47,000.00 "
11472,5/19/17,GOVERNMENT,#REF!, 10.00 ," 5,500.00 "," 55,000.00 ",, -   , 10.00 ,, -   ," 55,000.00 "
11472,5/19/17,GOVERNMENT,#REF!, 20.00 , 880.00 ," 17,600.00 ",, -   , 20.00 ,, -   ," 17,600.00 "
11472,5/19/17,GOVERNMENT,#REF!, 33.33 ," 2,079.00 "," 69,300.00 ",, -   , 33.33 ,, -   ," 69,300.00 "
11472,5/19/17,GOVERNMENT,#REF!, 15.00 , 920.00 ," 13,800.00 ",, -   , 15.00 ,, -   ," 13,800.00 "
11472,5/19/17,GOVERNMENT,#REF!, 144.00 , 123.90 ," 17,841.60 ",, -   , 144.00 ,, -   ," 17,841.60 "
11494,5/19/17,GOVERNMENT,#REF!, 200.00 , 875.00 ," 175,000.00 ",, -   , 200.00 ,, -   ," 175,000.00 "
11494,5/19/17,GOVERNMENT,#REF!, 100.00 , 924.00 ," 92,400.00 ",, -   , 100.00 ,, -   ," 92,400.00 "
11983,3/21/17,PHARMA,#REF!, 3.00 , 855.00 ," 2,565.00 ",, -   , 3.00 , 345.00 ," 1,035.00 "," 1,530.00 "
11983,3/21/17,PHARMA,#REF!, 20.00 , 70.00 ," 1,400.00 ",, -   , 20.00 , 23.00 , 460.00 , 940.00 
11983,3/21/17,PHARMA,#REF!, 2.00 ," 2,400.00 "," 4,800.00 ",, -   , 2.00 , 860.00 ," 1,720.00 "," 3,080.00 "
12197,4/25/17,CAM NORTE,#REF!, 3.00 , 450.00 ," 1,350.00 ",,, 3 , 148.00 , 444.00 , 906.00 
12197,4/25/17,CAM NORTE,#REF!, 3.00 , 310.00 , 930.00 ,,, 3 , 129.70 , 389.10 , 540.90 
12198,4/26/17,CAM NORTE,#REF!, 3.00 , 175.00 , 525.00 ,,, 3 , 42.00 , 126.00 , 399.00 
12198,4/26/17,CAM NORTE,#REF!, 3.00 , 450.00 ," 1,350.00 ",,, 3 , 148.00 , 444.00 , 906.00 
12198,4/26/17,CAM NORTE,#REF!, 3.00 , 190.00 , 570.00 ,,, 3 , 75.60 , 226.80 , 343.20 
12198,4/26/17,CAM NORTE,#REF!, 3.00 , 310.00 , 930.00 ,,, 3 , 129.70 , 389.10 , 540.90 
12198,4/26/17,CAM NORTE,#REF!, 3.00 , 440.00 ," 1,320.00 ",,, 3 , 139.45 , 418.35 , 901.65 
12198,4/26/17,CAM NORTE,#REF!, 6.00 , 80.00 , 480.00 ,,, 6 , 24.47 , 146.82 , 333.18 
12198,4/26/17,CAM NORTE,#REF!, 1.00 , 700.00 , 700.00 ,,, 1 , 250.00 , 250.00 , 450.00 
12198,4/26/17,CAM NORTE,#REF!, 1.00 , 650.00 , 650.00 ,,, 1 , 202.50 , 202.50 , 447.50 
12198,4/26/17,CAM NORTE,#REF!, 1.00 , 540.00 , 540.00 ,,, 1 , 160.00 , 160.00 , 380.00 
