MEDSHIELD PHARMA CORP,,,,,,,,,,,,,,,,,,,
SALES SUMMARY REPORT,,,,,,,,,,,,,,,,,,,
AS OF DECEMBER 2018,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
DRNumber,DRDate,SalesRep,Product,Qty, CP/UNIT , TOTAL CP , Discount , NET CP , TP/UNIT , Total TP , Net Income ,,,,,,,,
15464,01-Mar-18,Albay,VITACORE 100mg,5,"1,500.00"," 7,500.00 ",0.00,"7,500.00",200.00,"1,000.00","6,500.00",,,,,,,,
15465,02-Mar-18,Albay,Alvica Trauma Recovery Gel Ice,2,368.00, 736.00 ,0.00,736.00,195.00,390.00,346.00,,,,,,,,
15466,06-Mar-18,Albay,MULTI GROW 120ml,10,288.00," 2,880.00 ",0.00,"2,880.00",75.00,750.00,"2,130.00",,,,,,,,
15467,07-Mar-18,Albay,XYNETIN 1500mg/200iu,6,325.00," 1,950.00 ",0.00,"1,950.00",310.00,"1,860.00",90.00,,,,,,,,
15472,22-Mar-18,Albay,SUSTACHLOR 125mg/5ml,6,117.60, 705.60 ,0.00,705.60,29.00,174.00,531.60,,,,,,,,
15474,03-Apr-18,Albay,OMEBLOC-20 20mg,2,290.00, 580.00 ,0.00,580.00,93.00,186.00,394.00,,,,,,,,
15475,06-Apr-18,Albay,OMEBLOC-20 20mg,3,290.00, 870.00 ,0.00,870.00,93.00,279.00,591.00,,,,,,,,
15478,03-Apr-18,Albay,SUPMAC 500mg,5,108.00, 540.00 ,0.00,540.00,34.00,170.00,370.00,,,,,,,,
15479,03-Apr-18,Albay,SUPMAC 500mg,10,108.00," 1,080.00 ",0.00,"1,080.00",34.00,340.00,740.00,,,,,,,,
15479,03-Apr-18,Albay,CINNARIGO 25MG,2,198.00, 396.00 ,0.00,396.00,266.00,532.00,-136.00,,,,,,,,
15480,04-Apr-18,Albay,CLAXIC 500mg/125mg,2,"1,674.00"," 3,348.00 ",0.00,"3,348.00","1,174.00","2,348.00","1,000.00",,,,,,,,
15480,04-Apr-18,Albay,LOWAS 10MG,4,325.00," 1,300.00 ",0.00,"1,300.00",165.00,660.00,640.00,,,,,,,,
15480,04-Apr-18,Albay,LEXI B FORTE 300mg/100mg/100mcg,10,600.00," 6,000.00 ",0.00,"6,000.00",323.00,"3,230.00","2,770.00",,,,,,,,
15480,04-Apr-18,Albay,INHIBITA 40mg,10,600.00," 6,000.00 ",0.00,"6,000.00",90.00,900.00,"5,100.00",,,,,,,,
15481,06-Apr-18,Albay,PHILSTAT 20mg,3,206.67, 620.00 ,0.00,620.00,70.00,210.00,410.00,,,,,,,,
15481,06-Apr-18,Albay,FORMET 500mg,3,132.00, 396.00 ,0.00,396.00,59.00,177.00,219.00,,,,,,,,
15482,10-Apr-18,Albay,AMETRIS 500mg,4,390.00," 1,560.00 ",0.00,"1,560.00",170.00,680.00,880.00,,,,,,,,
15483,11-Apr-18,Albay,METMIC 500mg,5,750.00," 3,750.00 ",0.00,"3,750.00",228.00,"1,140.00","2,610.00",,,,,,,,
15484,11-Apr-18,Albay,CEEPRAZOL 20mg,2,"1,800.00"," 3,600.00 ",0.00,"3,600.00",550.00,"1,100.00","2,500.00",,,,,,,,
15485,11-Apr-18,Albay,PHILSTAT 20mg,2,310.00, 620.00 ,0.00,620.00,70.00,140.00,480.00,,,,,,,,
15486,11-Apr-18,Albay,Alvica Trauma Recovery Gel Kids,3,368.00," 1,104.00 ",0.00,"1,104.00",195.00,585.00,519.00,,,,,,,,
15487,11-Apr-18,Albay,Alvica Trauma Recovery Gel Ice,3,368.00," 1,104.00 ",0.00,"1,104.00",224.00,672.00,432.00,,,,,,,,
15488,11-Apr-18,Albay,FORMET 500mg,2,198.00, 396.00 ,0.00,396.00,59.00,118.00,278.00,,,,,,,,
15489,12-Apr-18,Albay,AMETRIS 125mg,12,67.20, 806.40 ,0.00,806.40,35.00,420.00,386.40,,,,,,,,
15490,12-Apr-18,Albay,CLAXIC 250mg/62.5mg/5ml,7,221.43," 1,549.98 ",0.00,"1,549.98",130.00,910.00,639.98,,,,,,,,
