MEDSHIELD PHARMA CORP,,,,,,,,,,,,
SALES SUMMARY REPORT,,,,,,,,,,,,
AS OF DECEMBER 2019,,,,,,,,,,,,
,,,,,,,,,,,,
DRNumber,DRDate,AREA,Product, Qty , ContractPrice , TOTAL CP , Discount , TotalCP , TransferPrice , Total TP , Net Income ,
,,,,,,,,,,,,
,17-Jan-19,Laguna,COMOX 625mg, 1.00 ," 2,820.00 "," 2,820.00 ", -   ," 2,820.00 "," 1,173.60 "," 1,173.60 "," 1,646.40 ",
,17-Jan-19,Laguna,GLOVES (S) - Dr. Choice, 1.00 , 250.00 , 250.00 , -   , 250.00 , 130.00 , 130.00 , 120.00 ,
,17-Jan-19,Laguna,NITROFIX SR 30mg, 1.00 ," 1,300.00 "," 1,300.00 ", -   ," 1,300.00 ", 470.00 , 470.00 , 830.00 ,
,17-Jan-19,Laguna,EUROXONE 1g, 100.00 , 264.00 ," 26,400.00 ", -   ," 26,400.00 ", 73.00 ," 7,300.00 "," 19,100.00 ",
,23-Jan-19,Admin,CORSTAPH 500mg, 4.00 ," 1,500.00 "," 6,000.00 "," 1,800.00 "," 4,200.00 ", 435.00 ," 1,740.00 "," 2,460.00 ",
,23-Jan-19,Admin,CEPROTRON 500mg, 2.00 ," 1,750.00 "," 3,500.00 "," 1,050.00 "," 2,450.00 ", 500.00 ," 1,000.00 "," 1,450.00 ",
00029,29-Mar-19,Hospital,Gyne-tocin 10iu/ml, 400.00 , 900.00 ," 360,000.00 ", -   ," 360,000.00 ", 91.67 ," 36,666.67 "," 323,333.33 ",
00031,23-Mar-19,Government,EUROGYL 5mg/ml (500mg/100ml)," 1,000.00 ", 120.00 ," 120,000.00 ", -   ," 120,000.00 ", 23.00 ," 23,000.00 "," 97,000.00 ",
00031,23-Mar-19,Government,CORBAL 100mg, 100.00 ," 1,200.00 "," 120,000.00 ", -   ," 120,000.00 ", 50.00 ," 5,000.00 "," 115,000.00 ",
00031,23-Mar-19,Government,ZINACARE 750mg w/o Diluent," 1,000.00 ", 250.00 ," 250,000.00 ", -   ," 250,000.00 ", 15.75 ," 15,750.00 "," 234,250.00 ",
00037,20-Mar-19,Cam Sur,MYOCARD 40mg/ml (200mg/5ml), 3.00 ," 2,900.00 "," 8,700.00 ", -   ," 8,700.00 ",,," 8,700.00 ",
00041,21-Mar-19,Hospital,SPASBASCINE, 200.00 , 750.00 ," 150,000.00 ", -   ," 150,000.00 ", 203.33 ," 40,666.67 "," 109,333.33 ",
00041,21-Mar-19,Hospital,EVAPROST 250mcg/ml, 39.00 ," 9,600.00 "," 374,400.00 ", -   ," 374,400.00 "," 3,575.00 "," 139,425.00 "," 234,975.00 ",
00041,21-Mar-19,Hospital,EUROXONE 1g, 300.00 , 380.00 ," 114,000.00 ", -   ," 114,000.00 ", 73.00 ," 21,900.00 "," 92,100.00 ",
00042,27-Mar-19,Hospital,PROFUREX 750mg ," 2,000.00 ", 377.44 ," 754,880.00 ", -   ," 754,880.00 ", 198.70 ," 397,390.40 "," 357,489.60 ",
00045,28-Mar-19,Cam Sur,IMATET, 5.00 , 980.00 ," 4,900.00 ", -   ," 4,900.00 ", 510.00 ," 2,550.00 "," 2,350.00 ",
00045,28-Mar-19,Cam Sur,CEFZIME 750mg, 5.00 ," 3,000.00 "," 15,000.00 ", -   ," 15,000.00 ", 765.00 ," 3,825.00 "," 11,175.00 ",
00045,28-Mar-19,Cam Sur,Ranirex 25mg/ml, 5.00 , 800.00 ," 4,000.00 ", -   ," 4,000.00 ", 40.00 , 200.00 ," 3,800.00 ",
00045,28-Mar-19,Cam Sur,NERVAMIN PLUS 500mg/50mg/100mg/100mcg, 2.00 ," 1,550.00 "," 3,100.00 ", -   ," 3,100.00 ", 244.00 , 488.00 ," 2,612.00 ",
00045,28-Mar-19,Cam Sur,MAXIFER 20mg/ml, 2.00 ," 2,450.00 "," 4,900.00 ", -   ," 4,900.00 ", 951.38 ," 1,902.76 "," 2,997.24 ",
00045,28-Mar-19,Cam Sur,LACTAMOX 500mg/125mg TAB, 2.00 ," 2,800.00 "," 5,600.00 ", -   ," 5,600.00 "," 1,173.20 "," 2,346.40 "," 3,253.60 ",
00045,28-Mar-19,Cam Sur,EUROXONE 1g, 30.00 , 460.00 ," 13,800.00 ", -   ," 13,800.00 ", 73.00 ," 2,190.00 "," 11,610.00 ",
00045,28-Mar-19,Cam Sur,ERGON 125mcg, 2.00 ," 2,000.00 "," 4,000.00 ", -   ," 4,000.00 ", 90.67 , 181.33 ," 3,818.67 ",
00045,28-Mar-19,Cam Sur,CEPROTRON 500mg, 4.00 ," 1,750.00 "," 7,000.00 ", -   ," 7,000.00 ", 500.00 ," 2,000.00 "," 5,000.00 ",
00045,28-Mar-19,Cam Sur,DIFLOSID 75mg/3ml, 5.00 , 750.00 ," 3,750.00 ", -   ," 3,750.00 ", 142.25 , 711.25 ," 3,038.75 ",
00045,28-Mar-19,Cam Sur,BUPIRIGHT 1's VIALS, 30.00 , 620.00 ," 18,600.00 ", -   ," 18,600.00 ", 184.00 ," 5,520.00 "," 13,080.00 ",
00045,28-Mar-19,Cam Sur,ATOVAS 20mg, 2.00 , 750.00 ," 1,500.00 ", -   ," 1,500.00 ", 174.50 , 348.99 ," 1,151.01 ",
00045,28-Mar-19,Cam Sur,ALGICAP 500mg CAP, 1.00 , 780.00 , 780.00 , -   , 780.00 , 227.50 , 227.50 , 552.50 ,
00045,28-Mar-19,Cam Sur,EVAPROST 125mcg/ml, 3.00 ," 3,960.00 "," 11,880.00 ", -   ," 11,880.00 "," 1,872.00 "," 5,616.00 "," 6,264.00 ",
00046,28-Mar-19,Cam Sur,Jackson Pratt 100ml, 5.00 ," 1,450.00 "," 7,250.00 ", -   ," 7,250.00 ", 900.00 ," 4,500.00 "," 2,750.00 ",
00046,28-Mar-19,Cam Sur,NGT F.16, 25.00 , 221.00 ," 5,525.00 ", -   ," 5,525.00 ",,," 5,525.00 ",
0077,30-Apr-19,Government,COMPUTER WITH PRINTER, 1.00 ," 59,000.00 "," 59,000.00 ", -   ," 59,000.00 ",,," 59,000.00 ",
12/18/18,18-Dec-18,BATANGAS,FORTIPLEX, 2.00 , 855.00 ," 1,710.00 ", -   ," 1,710.00 ", 395.00 , 790.00 , 920.00 ,
13556 / SI 2151,28-Jan-19,Supplies,All Silicone Duodenal Tube F.16 - UNIMEX, 25.00 , 221.00 ," 5,525.00 ", -   ," 5,525.00 ", 180.00 ," 4,500.00 "," 1,025.00 ",
13557,28-Jan-19,Admin,RESPINAL 500mg, 1.00 , 639.84 , 639.84 , -   , 639.84 , 426.56 , 426.56 , 213.28 ,
13557,28-Jan-19,Admin,GLOVES (S) - Dr. Choice, 2.00 , 195.00 , 390.00 , -   , 390.00 , 130.00 , 260.00 , 130.00 ,
13557,28-Jan-19,Admin,AMLOTEC 5mg, 3.00 , 49.50 , 148.50 , -   , 148.50 , 18.00 , 54.00 , 94.50 ,
13557,28-Jan-19,Admin,BROXIL-M 15mg/5ml, 10.00 , 44.21 , 442.10 , -   , 442.10 , 29.47 , 294.70 , 147.40 ,
13557,28-Jan-19,Admin,Nebulizer Kit WITH Tubng and Mouth Piece - Hudson, 6.00 , 90.00 , 540.00 , -   , 540.00 ,,, 540.00 ,
13557,28-Jan-19,Admin,Face Mask Earloop, 2.00 , 75.00 , 150.00 , -   , 150.00 , 45.00 , 90.00 , 60.00 ,
13558,29-Jan-19,Admin,XYNETIN 1500mg/200iu, 7.00 , 678.57 ," 4,750.00 ", -   ," 4,750.00 ", 310.00 ," 2,170.00 "," 2,580.00 ",
13558,29-Jan-19,Admin,Floxa 200, 2.00 ," 3,000.00 "," 6,000.00 ", -   ," 6,000.00 ", 298.00 , 596.00 ," 5,404.00 ",
13558,29-Jan-19,Admin,MAXXIVIT PLUS, 7.00 , 857.14 ," 6,000.00 ", -   ," 6,000.00 ", 440.00 ," 3,080.00 "," 2,920.00 ",
13559,29-Jan-19,Admin,NERVAMIN PLUS 500mg/50mg/100mg/100mcg, 2.00 ," 1,708.00 "," 3,416.00 "," 1,024.80 "," 2,391.20 ", 244.00 , 488.00 ," 1,903.20 ",
13559,29-Jan-19,Admin,ZAFEX 250mg/5ml, 2.00 ," 3,000.00 "," 6,000.00 "," 1,800.00 "," 4,200.00 ",,," 4,200.00 ",
13562,31-Jan-19,Admin,MONILIASOL 500mg, 1.00 , 680.00 , 680.00 , 204.00 , 476.00 , 240.00 , 240.00 , 236.00 ,
13563,31-Jan-19,Admin,Isoprine 10mg, 7.00 , 671.43 ," 4,700.00 ", -   ," 4,700.00 ", 215.00 ," 1,505.00 "," 3,195.00 ",
13563,31-Jan-19,Admin,HAV C 500mg, 7.00 , 135.71 , 950.00 , -   , 950.00 , 60.00 , 420.00 , 530.00 ,
13563,31-Jan-19,Admin,XYNETIN 1500mg/200iu, 7.00 , 678.57 ," 4,750.00 ", -   ," 4,750.00 ", 310.00 ," 2,170.00 "," 2,580.00 ",
13564,01-Feb-19,Hospital,Gyne-tocin 10iu/ml, 400.00 , 900.00 ," 360,000.00 ", -   ," 360,000.00 ", 91.67 ," 36,666.67 "," 323,333.33 ",
13565,01-Feb-19,Hospital,MAXIFER 20mg/ml, 120.00 ," 2,450.00 "," 294,000.00 ", -   ," 294,000.00 ", 951.38 ," 114,165.84 "," 179,834.16 ",
13565,01-Feb-19,Hospital,EVAPROST 250mcg/ml, 50.00 ," 9,600.00 "," 480,000.00 ", -   ," 480,000.00 "," 3,575.00 "," 178,750.00 "," 301,250.00 ",
13565,01-Feb-19,Hospital,PROFUREX 750mg ," 2,000.00 ", 377.44 ," 754,880.00 ", -   ," 754,880.00 ", 198.70 ," 397,390.40 "," 357,489.60 ",
13565,01-Feb-19,Hospital,EUROXONE 1g, 300.00 , 380.00 ," 114,000.00 ", -   ," 114,000.00 ", 73.00 ," 21,900.00 "," 92,100.00 ",
