MEDSHIELD PHARMA CORP,,,,,,,,,,,,
SALES SUMMARY REPORT,,,,,,,,,,,,
AS OF DECEMBER 2023,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Area,DR Number,Date Delivered,Product, Qty , CP , Total CP , Disc , Net CP , TP/UNIT , TOTAL TP , Net Income ,%
Batangas,DR 025238,18/02/2023,SITIXON 1G, 60.00 , 54.00 ," 3,240.00 ", -   ," 3,240.00 ", 36.00 ," 2,160.00 "," 1,080.00 ",33%
Batangas,DR 025238,18/02/2023,OPREX 40MG, 5.00 , 500.00 ," 2,500.00 ", -   ," 2,500.00 ", 250.00 ," 1,250.00 "," 1,250.00 ",50%
Batangas,DR 025238,18/02/2023,ZINACARE 750MG WITH DILUENT, 80.00 , 52.00 ," 4,160.00 ", -   ," 4,160.00 ", 26.00 ," 2,080.00 "," 2,080.00 ",50%
Batangas,DR 025237,18/02/2023,TRIZEF 100MG, 3.00 ," 5,400.00 "," 16,200.00 ", -   ," 16,200.00 "," 1,400.00 "," 4,200.00 "," 12,000.00 ",74%
Batangas,DR 025236,18/02/2023,DOLO JAGA 500MG/50MG/100MG/100MCG, 5.00 ," 1,800.00 "," 9,000.00 ", -   ," 9,000.00 ", 615.00 ," 3,075.00 "," 5,925.00 ",66%
Batangas,DR 025246,25/02/2023,ZELEX 200MG, 2.00 ," 2,500.00 "," 5,000.00 ", -   ," 5,000.00 ", 925.00 ," 1,850.00 "," 3,150.00 ",63%
Batangas,DR 025245,25/02/2023,ZELEX 200MG, 2.00 ," 2,500.00 "," 5,000.00 ", -   ," 5,000.00 ", 925.00 ," 1,850.00 "," 3,150.00 ",63%
Batangas,DR 025244,25/02/2023,BENERVA FORTE CAP, 2.00 ," 1,500.00 "," 3,000.00 ", -   ," 3,000.00 ", 525.00 ," 1,050.00 "," 1,950.00 ",65%
Batangas,DR 025243,25/02/2023,BENERVA FORTE CAP, 2.00 ," 1,500.00 "," 3,000.00 ", -   ," 3,000.00 ", 525.00 ," 1,050.00 "," 1,950.00 ",65%
Batangas,DR 025242,25/02/2023,HYCLENS GARGLE (60ML), 10.00 , 153.00 ," 1,530.00 ", -   ," 1,530.00 ", 65.00 , 650.00 , 880.00 ,58%
