MEDSHIELD PHARMA CORP,,,,,,,,,,,,,,,,,,,
SALES SUMMARY REPORT,,,,,,,,,,,,,,,,,,,
AS OF DECEMBER 2018,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
DRNumber,DRDate,SalesRep,Product,Qty,CP/UNIT,TOTAL CP,Discount,NET CP,TP/UNIT,Total TP,Net Income,,,,,,,,
15464,2018-03-01,Albay,VITACORE 100mg,5,1500,7500,0,7500,200,1000,6500,,,,,,,,
15465,2018-03-02,Albay,Alvica Trauma Recovery Gel Ice,2,368,736,0,736,195,390,346,,,,,,,,
15466,2018-03-06,Albay,MULTI GROW 120ml,10,288,2880,0,2880,75,750,2130,,,,,,,,
15467,2018-03-07,Albay,XYNETIN 1500mg/200iu,6,325,1950,0,1950,310,1860,90,,,,,,,,
15472,2018-03-22,Albay,SUSTACHLOR 125mg/5ml,6,117.6,705.5999999999999,0,705.5999999999999,29,174,531.5999999999999,,,,,,,,
15474,2018-04-03,Albay,OMEBLOC-20 20mg,2,290,580,0,580,93,186,394,,,,,,,,
15475,2018-04-06,Albay,OMEBLOC-20 20mg,3,290,870,0,870,93,279,591,,,,,,,,
15478,2018-04-03,Albay,SUPMAC 500mg,5,108,540,0,540,34,170,370,,,,,,,,
15479,2018-04-03,Albay,SUPMAC 500mg,10,108,1080,0,1080,34,340,740,,,,,,,,
15479,2018-04-03,Albay,CINNARIGO 25MG,2,198,396,0,396,266,532,-136,,,,,,,,
15480,2018-04-04,Albay,CLAXIC 500mg/125mg,2,1674,3348,0,3348,1174,2348,1000,,,,,,,,
15480,2018-04-04,Albay,LOWAS 10MG,4,325,1300,0,1300,165,660,640,,,,,,,,
15480,2018-04-04,Albay,LEXI B FORTE 300mg/100mg/100mcg,10,600,6000,0,6000,323,3230,2770,,,,,,,,
15480,2018-04-04,Albay,INHIBITA 40mg,10,600,6000,0,6000,90,900,5100,,,,,,,,
15481,2018-04-06,Albay,PHILSTAT 20mg,3,206.6666,619.9997999999999,0,619.9997999999999,70,210,409.99979999999994,,,,,,,,
15481,2018-04-06,Albay,FORMET 500mg,3,132,396,0,396,59,177,219,,,,,,,,
15482,2018-04-10,Albay,AMETRIS 500mg,4,390,1560,0,1560,170,680,880,,,,,,,,
15483,2018-04-11,Albay,METMIC 500mg,5,750,3750,0,3750,228,1140,2610,,,,,,,,
15484,2018-04-11,Albay,CEEPRAZOL 20mg,2,1800,3600,0,3600,550,1100,2500,,,,,,,,
15485,2018-04-11,Albay,PHILSTAT 20mg,2,310,620,0,620,70,140,480,,,,,,,,
15486,2018-04-11,Albay,Alvica Trauma Recovery Gel Kids,3,368,1104,0,1104,195,585,519,,,,,,,,
15487,2018-04-11,Albay,Alvica Trauma Recovery Gel Ice,3,368,1104,0,1104,224,672,432,,,,,,,,
15488,2018-04-11,Albay,FORMET 500mg,2,198,396,0,396,59,118,278,,,,,,,,
15489,2018-04-12,Albay,AMETRIS 125mg,12,67.2,806.4000000000001,0,806.4000000000001,35,420,386.4000000000001,,,,,,,,
15490,2018-04-12,Albay,CLAXIC 250mg/62.5mg/5ml,7,221.42571428,1549.97999996,0,1549.97999996,130,910,639.97999996,,,,,,,,
15491,2018-04-12,Albay,CLAXIC 125mg/31.25mg/5ml,7,135.714285714,949.999999998,0,949.999999998,76,532,417.999999998,,,,,,,,
15492,2018-04-13,Albay,BROXIL-M 30mg,3,804,2412,0,2412,210,630,1782,,,,,,,,
15493,2018-04-14,Albay,FEBSAN,10,325,3250,0,3250,155,1550,1700,,,,,,,,
