MEDSHIELD PHARMA CORP,,,,,,,,,,,,
SALES SUMMARY REPORT,,,,,,,,,,,,
AS OF DECEMBER 2019,,,,,,,,,,,,
,,,,,,,,,,,,
DRNumber,DRDate,AREA,Product,Qty,ContractPrice,TOTAL CP,Discount,TotalCP,TransferPrice,Total TP,Net Income,
,,,,,,,,,,,,
,2019-01-17,Laguna,COMOX 625mg,1,2820,2820,0,2820,1173.6,1173.6,1646.4,
,2019-01-17,Laguna,GLOVES (S) - Dr. Choice,1,250,250,0,250,130,130,120,
,2019-01-17,Laguna,NITROFIX SR 30mg,1,1300,1300,0,1300,470,470,830,
,2019-01-17,Laguna,EUROXONE 1g,100,264,26400,0,26400,73,7300,19100,
,2019-01-23,Admin,CORSTAPH 500mg,4,1500,6000,1800,4200,435,1740,2460,
,2019-01-23,Admin,CEPROTRON 500mg,2,1750,3500,1050,2450,500,1000,1450,
00029,2019-03-29,Hospital,Gyne-tocin 10iu/ml,400,900,360000,0,360000,91.66666666666667,36666.66666666667,323333.3333333333,
00031,2019-03-23,Government,EUROGYL 5mg/ml (500mg/100ml),1000,120,120000,0,120000,23,23000,97000,
00031,2019-03-23,Government,CORBAL 100mg,100,1200,120000,0,120000,50,5000,115000,
00031,2019-03-23,Government,ZINACARE 750mg w/o Diluent,1000,250,250000,0,250000,15.75,15750,234250,
00037,2019-03-20,Cam Sur,MYOCARD 40mg/ml (200mg/5ml),3,2900,8700,0,8700,,,8700,
00041,2019-03-21,Hospital,SPASBASCINE,200,750,150000,0,150000,203.33333333333334,40666.66666666667,109333.33333333333,
00041,2019-03-21,Hospital,EVAPROST 250mcg/ml,39,9600,374400,0,374400,3575,139425,234975,
00041,2019-03-21,Hospital,EUROXONE 1g,300,380,114000,0,114000,73,21900,92100,
00042,2019-03-27,Hospital,PROFUREX 750mg ,2000,377.44,754880,0,754880,198.6952,397390.4,357489.6,
00045,2019-03-28,Cam Sur,IMATET,5,980,4900,0,4900,510,2550,2350,
00045,2019-03-28,Cam Sur,CEFZIME 750mg,5,3000,15000,0,15000,765,3825,11175,
00045,2019-03-28,Cam Sur,Ranirex 25mg/ml,5,800,4000,0,4000,40,200,3800,
00045,2019-03-28,Cam Sur,NERVAMIN PLUS 500mg/50mg/100mg/100mcg,2,1550,3100,0,3100,244,488,2612,
00045,2019-03-28,Cam Sur,MAXIFER 20mg/ml,2,2450,4900,0,4900,951.382,1902.764,2997.236,
00045,2019-03-28,Cam Sur,LACTAMOX 500mg/125mg TAB,2,2800,5600,0,5600,1173.2,2346.4,3253.6,
00045,2019-03-28,Cam Sur,EUROXONE 1g,30,460,13800,0,13800,73,2190,11610,
00045,2019-03-28,Cam Sur,ERGON 125mcg,2,2000,4000,0,4000,90.66600000000001,181.33200000000002,3818.668,
00045,2019-03-28,Cam Sur,CEPROTRON 500mg,4,1750,7000,0,7000,500,2000,5000,
00045,2019-03-28,Cam Sur,DIFLOSID 75mg/3ml,5,750,3750,0,3750,142.25,711.25,3038.75,
00045,2019-03-28,Cam Sur,BUPIRIGHT 1's VIALS,30,620,18600,0,18600,184,5520,13080,
00045,2019-03-28,Cam Sur,ATOVAS 20mg,2,750,1500,0,1500,174.49666666666667,348.99333333333334,1151.0066666666667,
00045,2019-03-28,Cam Sur,ALGICAP 500mg CAP,1,780,780,0,780,227.5,227.5,552.5,
00045,2019-03-28,Cam Sur,EVAPROST 125mcg/ml,3,3960,11880,0,11880,1872,5616,6264,
