MEDSHIELD PHARMA CORP,,,,,,,,,,,
SALES SUMMARY REPORT,,,,,,,,,,,
AS OF DECEMBER 2020,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Area,DR Number,Date Delivered,Product,Qty,CP,Total CP,Disc,Net CP,TP/UNIT,TOTAL TP,Net Income
Admin,22426,2020-12-22,TRIVASC 35MG MR,2,735,1470,0,1470,490,980,490
Admin,22425,2020-12-22,XYNETRIX CHEWABLE TABLET,7,678.57,4750,0,4750,410.42,2872.92,1877.08
Admin,22425,2020-12-22,SOLVAPRINE 10MG,7,671.43,4700,0,4700,146.8,1027.6,3672.4
Admin,22425,2020-12-22,MULTI GROW OB PLUS,7,803.57,5625,0,5625,487.5,3412.5,2212.5
Admin,22425,2020-12-22,MAXXIVIT PLUS,7,857.14,6000,0,6000,517.33,3621.33,2378.67
Admin,22423,2020-12-20,MAXXIVIT PLUS,7,857.14,6000,0,6000,517.33,3621.33,2378.67
Admin,22423,2020-12-20,XYNETRIX CHEWABLE TABLET,7,678.57,4750,0,4750,410.42,2872.92,1877.08
Admin,22423,2020-12-20,FERGLOBIN 250MG,7,517.86,3625,0,3625,257.5,1802.5,1822.5
Admin,22423,2020-12-20,BENERVA PLUS TAB,7,1220,8540,0,8540,550,3850,4690
Admin,22424,2020-12-20,FERGLOBIN 250MG,7,517.86,3625,0,3625,257.5,1802.5,1822.5
Admin,22424,2020-12-20,ERGON 125MCG,7,714.29,5000,0,5000,138.04,966.29,4033.71
Admin,22424,2020-12-20,HYCLENS WOUND SPRAY 60ML.,7,2358.72,16511.04,0,16511.04,137.15,960.06,15550.980000000001
Admin,22422,2020-12-20,FOLACID 5MG,7,464.29,3250,0,3250,196.88,1378.16,1871.84
Admin,22422,2020-12-20,NITROFURANTOIN 100MG,7,714.29,5000,0,5000,10.12,70.84,4929.16
Admin,22422,2020-12-20,MAXXIVIT PLUS,7,857.14,6000,0,6000,517.33,3621.33,2378.67
Admin,22422,2020-12-20,SOLVAPRINE 10MG,14,671.43,9400,0,9400,146.8,2055.2,7344.8
Admin,22422,2020-12-20,CEFUSAPH,14,471.43,6600,0,6600,156.92,2196.83,4403.17
Admin,22422,2020-12-20,COMOX 625MG,7,2000,14000,0,14000,1173.6,8215.2,5784.799999999999
Admin,22421,2020-12-01,XYNETRIX CHEWABLE TABLET,7,678.57,4750,0,4750,410.42,2872.92,1877.08
Admin,22421,2020-12-01,MAXXIVIT PLUS,7,857.14,6000,0,6000,517.33,3621.33,2378.67
Admin,22421,2020-12-01,SOLVAPRINE 10MG,7,671.43,4700,0,4700,146.8,1027.6,3672.4
Admin,22418,2020-11-26,XYNETRIX CHEWABLE TABLET,5,675,3375,0,3375,410.42,2052.08,1322.92
Admin,22420,2020-11-26,DOPAMET 250MG TAB,7,607.14,4250,0,4250,196.63,1376.38,2873.62
Admin,22420,2020-11-26,MAXXIVIT PLUS,7,857.14,6000,0,6000,517.33,3621.33,2378.67
Admin,22420,2020-11-26,XYNETRIX CHEWABLE TABLET,7,678.57,4750,0,4750,410.42,2872.92,1877.08
Admin,22420,2020-11-26,FERGLOBIN 250MG,7,517.86,3625,0,3625,257.5,1802.5,1822.5
Admin,22420,2020-11-26,URINOX 400mg,7,285.71,2000,0,2000,121.5,850.5,1149.5
Admin,22420,2020-11-26,HEMOSTAP 500mg,7,1500,10500,0,10500,371.67,2601.67,7898.33
Admin,22420,2020-11-26,ENERGEL SOFTGEL,7,1594.29,11160,0,11160,565.13,3955.91,7204.09
Admin,22419,2020-11-26,CEPROTRON 500MG,2,1750,3500,1050,2450,533.33,1066.67,1383.33
Admin,22512,2020-11-21,ATOVAS 20MG,45,750,33750,0,33750,183.46,8255.76,25494.239999999998
