Client Type,Region,Province,lgu_city_muni,ui_subtag,Is_Generated_Default
Regional Hub,CALABARZON,Regional,Quezon City *(Logistical)*,DOH-CHD CALABARZON,Yes
PHO,CALABARZON,Batangas,Batangas City,Batangas Provincial Health Office,Yes
MHO/LGU,CALABARZON,Batangas,Agoncillo,Agoncillo Health Office,Yes
MHO/LGU,CALABARZON,Batangas,Alitagtag,Alitagtag Health Office,Yes
MHO/LGU,CALABARZON,Batangas,Balayan,Balayan Health Office,Yes
MHO/LGU,CALABARZON,Batangas,Balete,Balete Health Office,Yes
CHO/LGU,CALABARZON,Batangas,Batangas City,Batangas City Health Office,Yes
MHO/LGU,CALABARZON,Batangas,Bauan,Bauan Health Office,Yes
MHO/LGU,CALABARZON,Batangas,Calaca,Calaca Health Office,Yes
MHO/LGU,CALABARZON,Batangas,Calatagan,Calatagan Health Office,Yes
MHO/LGU,CALABARZON,Batangas,Cuenca,Cuenca Health Office,Yes
MHO/LGU,CALABARZON,Batangas,Ibaan,Ibaan Health Office,Yes
MHO/LGU,CALABARZON,Batangas,Laurel,Laurel Health Office,Yes
MHO/LGU,CALABARZON,Batangas,Lemery,Lemery Health Office,Yes
MHO/LGU,CALABARZON,Batangas,Lian,Lian Health Office,Yes
MHO/LGU,CALABARZON,Batangas,Lipa,Lipa Health Office,Yes
MHO/LGU,CALABARZON,Batangas,Lobo,Lobo Health Office,Yes
MHO/LGU,CALABARZON,Batangas,Mabini,Mabini Health Office,Yes
MHO/LGU,CALABARZON,Batangas,Malvar,Malvar Health Office,Yes
MHO/LGU,CALABARZON,Batangas,Mataasnakahoy,Mataasnakahoy Health Office,Yes
MHO/LGU,CALABARZON,Batangas,Nasugbu,Nasugbu Health Office,Yes
MHO/LGU,CALABARZON,Batangas,Padre Garcia,Padre Garcia Health Office,Yes
MHO/LGU,CALABARZON,Batangas,Rosario,Rosario Health Office,Yes
MHO/LGU,CALABARZON,Batangas,San Jose,San Jose Health Office,Yes
MHO/LGU,CALABARZON,Batangas,San Juan,San Juan Health Office,Yes
MHO/LGU,CALABARZON,Batangas,San Luis,San Luis Health Office,Yes
MHO/LGU,CALABARZON,Batangas,San Nicolas,San Nicolas Health Office,Yes
MHO/LGU,CALABARZON,Batangas,San Pascual,San Pascual Health Office,Yes
MHO/LGU,CALABARZON,Batangas,Santa Teresita,Santa Teresita Health Office,Yes
MHO/LGU,CALABARZON,Batangas,Santo Tomas,Santo Tomas Health Office,Yes
MHO/LGU,CALABARZON,Batangas,Taal,Taal Health Office,Yes
MHO/LGU,CALABARZON,Batangas,Talisay,Talisay Health Office,Yes
MHO/LGU,CALABARZON,Batangas,Tanauan,Tanauan Health Office,Yes
MHO/LGU,CALABARZON,Batangas,Taysan,Taysan Health Office,Yes
MHO/LGU,CALABARZON,Batangas,Tingloy,Tingloy Health Office,Yes
MHO/LGU,CALABARZON,Batangas,Tuy,Tuy Health Office,Yes
PHO,CALABARZON,Cavite,Trece Martires,Cavite Provincial Health Office,Yes
MHO/LGU,CALABARZON,Cavite,Alfonso,Alfonso Health Office,Yes
MHO/LGU,CALABARZON,Cavite,Amadeo,Amadeo Health Office,Yes
MHO/LGU,CALABARZON,Cavite,Bacoor,Bacoor Health Office,Yes
MHO/LGU,CALABARZON,Cavite,Carmona,Carmona Health Office,Yes
CHO/LGU,CALABARZON,Cavite,Cavite City,Cavite City Health Office,Yes
MHO/LGU,CALABARZON,Cavite,Dasmariñas,Dasmariñas Health Office,Yes
MHO/LGU,CALABARZON,Cavite,General Emilio Aguinaldo,General Emilio Aguinaldo Health Office,Yes
MHO/LGU,CALABARZON,Cavite,General Mariano Alvarez,General Mariano Alvarez Health Office,Yes
MHO/LGU,CALABARZON,Cavite,General Trias,General Trias Health Office,Yes
MHO/LGU,CALABARZON,Cavite,Imus,Imus Health Office,Yes
MHO/LGU,CALABARZON,Cavite,Indang,Indang Health Office,Yes
MHO/LGU,CALABARZON,Cavite,Kawit,Kawit Health Office,Yes
MHO/LGU,CALABARZON,Cavite,Magallanes,Magallanes Health Office,Yes
MHO/LGU,CALABARZON,Cavite,Maragondon,Maragondon Health Office,Yes
MHO/LGU,CALABARZON,Cavite,Mendez,Mendez Health Office,Yes
MHO/LGU,CALABARZON,Cavite,Naic,Naic Health Office,Yes
MHO/LGU,CALABARZON,Cavite,Noveleta,Noveleta Health Office,Yes
MHO/LGU,CALABARZON,Cavite,Rosario,Rosario Health Office,Yes
MHO/LGU,CALABARZON,Cavite,Silang,Silang Health Office,Yes
MHO/LGU,CALABARZON,Cavite,Tagaytay,Tagaytay Health Office,Yes
MHO/LGU,CALABARZON,Cavite,Tanza,Tanza Health Office,Yes
MHO/LGU,CALABARZON,Cavite,Ternate,Ternate Health Office,Yes
MHO/LGU,CALABARZON,Cavite,Trece Martires,Trece Martires Health Office,Yes
PHO,CALABARZON,Laguna,Santa Cruz,Laguna Provincial Health Office,Yes
MHO/LGU,CALABARZON,Laguna,Alaminos,Alaminos Health Office,Yes
MHO/LGU,CALABARZON,Laguna,Bay,Bay Health Office,Yes
MHO/LGU,CALABARZON,Laguna,Biñan,Biñan Health Office,Yes
MHO/LGU,CALABARZON,Laguna,Cabuyao,Cabuyao Health Office,Yes
MHO/LGU,CALABARZON,Laguna,Calamba,Calamba Health Office,Yes
MHO/LGU,CALABARZON,Laguna,Calauan,Calauan Health Office,Yes
MHO/LGU,CALABARZON,Laguna,Cavinti,Cavinti Health Office,Yes
MHO/LGU,CALABARZON,Laguna,Famy,Famy Health Office,Yes
MHO/LGU,CALABARZON,Laguna,Kalayaan,Kalayaan Health Office,Yes
MHO/LGU,CALABARZON,Laguna,Liliw,Liliw Health Office,Yes
MHO/LGU,CALABARZON,Laguna,Los Baños,Los Baños Health Office,Yes
MHO/LGU,CALABARZON,Laguna,Luisiana,Luisiana Health Office,Yes
MHO/LGU,CALABARZON,Laguna,Lumban,Lumban Health Office,Yes
MHO/LGU,CALABARZON,Laguna,Mabitac,Mabitac Health Office,Yes
MHO/LGU,CALABARZON,Laguna,Magdalena,Magdalena Health Office,Yes
MHO/LGU,CALABARZON,Laguna,Majayjay,Majayjay Health Office,Yes
MHO/LGU,CALABARZON,Laguna,Nagcarlan,Nagcarlan Health Office,Yes
MHO/LGU,CALABARZON,Laguna,Paete,Paete Health Office,Yes
MHO/LGU,CALABARZON,Laguna,Pagsanjan,Pagsanjan Health Office,Yes
MHO/LGU,CALABARZON,Laguna,Pakil,Pakil Health Office,Yes
MHO/LGU,CALABARZON,Laguna,Pangil,Pangil Health Office,Yes
MHO/LGU,CALABARZON,Laguna,Pila,Pila Health Office,Yes
MHO/LGU,CALABARZON,Laguna,Rizal,Rizal Health Office,Yes
MHO/LGU,CALABARZON,Laguna,San Pablo,San Pablo Health Office,Yes
MHO/LGU,CALABARZON,Laguna,San Pedro,San Pedro Health Office,Yes
MHO/LGU,CALABARZON,Laguna,Santa Cruz,Santa Cruz Health Office,Yes
MHO/LGU,CALABARZON,Laguna,Santa Maria,Santa Maria Health Office,Yes
MHO/LGU,CALABARZON,Laguna,Santa Rosa,Santa Rosa Health Office,Yes
MHO/LGU,CALABARZON,Laguna,Siniloan,Siniloan Health Office,Yes
MHO/LGU,CALABARZON,Laguna,Victoria,Victoria Health Office,Yes
PHO,CALABARZON,Quezon,Lucena City,Quezon Provincial Health Office,Yes
MHO/LGU,CALABARZON,Quezon,Agdangan,Agdangan Health Office,Yes
MHO/LGU,CALABARZON,Quezon,Alabat,Alabat Health Office,Yes
MHO/LGU,CALABARZON,Quezon,Atimonan,Atimonan Health Office,Yes
MHO/LGU,CALABARZON,Quezon,Buenavista,Buenavista Health Office,Yes
MHO/LGU,CALABARZON,Quezon,Burdeos,Burdeos Health Office,Yes
MHO/LGU,CALABARZON,Quezon,Calauag,Calauag Health Office,Yes
MHO/LGU,CALABARZON,Quezon,Candelaria,Candelaria Health Office,Yes
MHO/LGU,CALABARZON,Quezon,Catanauan,Catanauan Health Office,Yes
MHO/LGU,CALABARZON,Quezon,Dolores,Dolores Health Office,Yes
MHO/LGU,CALABARZON,Quezon,General Luna,General Luna Health Office,Yes
MHO/LGU,CALABARZON,Quezon,General Nakar,General Nakar Health Office,Yes
MHO/LGU,CALABARZON,Quezon,Guinayangan,Guinayangan Health Office,Yes
MHO/LGU,CALABARZON,Quezon,Gumaca,Gumaca Health Office,Yes
MHO/LGU,CALABARZON,Quezon,Infanta,Infanta Health Office,Yes
MHO/LGU,CALABARZON,Quezon,Jomalig,Jomalig Health Office,Yes
MHO/LGU,CALABARZON,Quezon,Lopez,Lopez Health Office,Yes
MHO/LGU,CALABARZON,Quezon,Lucban,Lucban Health Office,Yes
CHO/LGU,CALABARZON,Quezon,Lucena City,Lucena City Health Office,Yes
MHO/LGU,CALABARZON,Quezon,Macalelon,Macalelon Health Office,Yes
MHO/LGU,CALABARZON,Quezon,Mauban,Mauban Health Office,Yes
MHO/LGU,CALABARZON,Quezon,Mulanay,Mulanay Health Office,Yes
MHO/LGU,CALABARZON,Quezon,Padre Burgos,Padre Burgos Health Office,Yes
