Region,Province,Municipality,RHU_Name,Is_Active
CALABARZON,Batangas,Agoncillo,Agoncillo Rural Health Unit,Yes
CALABARZON,Batangas,Alitagtag,Alitagtag Rural Health Unit,Yes
CALABARZON,Batangas,Balayan,Balayan Rural Health Unit,Yes
CALABARZON,Batangas,Balete,Balete Rural Health Unit,Yes
CALABARZON,Batangas,Bauan,Bauan Rural Health Unit,Yes
CALABARZON,Batangas,Calaca,Calaca Rural Health Unit,Yes
CALABARZON,Batangas,Calatagan,Calatagan Rural Health Unit,Yes
CALABARZON,Batangas,Cuenca,Cuenca Rural Health Unit,Yes
CALABARZON,Batangas,Ibaan,Ibaan Rural Health Unit,Yes
CALABARZON,Batangas,Laurel,Laurel Rural Health Unit,Yes
CALABARZON,Batangas,Lemery,Lemery Rural Health Unit,Yes
CALABARZON,Batangas,Lian,Lian Rural Health Unit,Yes
CALABARZON,Batangas,Lipa,Lipa Rural Health Unit,Yes
CALABARZON,Batangas,Lobo,Lobo Rural Health Unit,Yes
CALABARZON,Batangas,Mabini,Mabini Rural Health Unit,Yes
CALABARZON,Batangas,Malvar,Malvar Rural Health Unit,Yes
CALABARZON,Batangas,Mataasnakahoy,Mataasnakahoy Rural Health Unit,Yes
CALABARZON,Batangas,Nasugbu,Nasugbu Rural Health Unit,Yes
CALABARZON,Batangas,Padre Garcia,Padre Garcia Rural Health Unit,Yes
CALABARZON,Batangas,Rosario,Rosario Rural Health Unit,Yes
CALABARZON,Batangas,San Jose,San Jose Rural Health Unit,Yes
CALABARZON,Batangas,San Juan,San Juan Rural Health Unit,Yes
CALABARZON,Batangas,San Luis,San Luis Rural Health Unit,Yes
CALABARZON,Batangas,San Nicolas,San Nicolas Rural Health Unit,Yes
CALABARZON,Batangas,San Pascual,San Pascual Rural Health Unit,Yes
CALABARZON,Batangas,Santa Teresita,Santa Teresita Rural Health Unit,Yes
CALABARZON,Batangas,Santo Tomas,Santo Tomas Rural Health Unit,Yes
CALABARZON,Batangas,Taal,Taal Rural Health Unit,Yes
CALABARZON,Batangas,Talisay,Talisay Rural Health Unit,Yes
CALABARZON,Batangas,Tanauan,Tanauan Rural Health Unit,Yes
CALABARZON,Batangas,Taysan,Taysan Rural Health Unit,Yes
CALABARZON,Batangas,Tingloy,Tingloy Rural Health Unit,Yes
CALABARZON,Batangas,Tuy,Tuy Rural Health Unit,Yes
CALABARZON,Cavite,Alfonso,Alfonso Rural Health Unit,Yes
CALABARZON,Cavite,Amadeo,Amadeo Rural Health Unit,Yes
CALABARZON,Cavite,Bacoor,Bacoor Rural Health Unit,Yes
CALABARZON,Cavite,Carmona,Carmona Rural Health Unit,Yes
CALABARZON,Cavite,Dasmariñas,Dasmariñas Rural Health Unit,Yes
CALABARZON,Cavite,General Emilio Aguinaldo,General Emilio Aguinaldo Rural Health Unit,Yes
CALABARZON,Cavite,General Mariano Alvarez,General Mariano Alvarez Rural Health Unit,Yes
CALABARZON,Cavite,General Trias,General Trias Rural Health Unit,Yes
CALABARZON,Cavite,Imus,Imus Rural Health Unit,Yes
CALABARZON,Cavite,Indang,Indang Rural Health Unit,Yes
CALABARZON,Cavite,Kawit,Kawit Rural Health Unit,Yes
CALABARZON,Cavite,Magallanes,Magallanes Rural Health Unit,Yes
CALABARZON,Cavite,Maragondon,Maragondon Rural Health Unit,Yes
CALABARZON,Cavite,Mendez,Mendez Rural Health Unit,Yes
CALABARZON,Cavite,Naic,Naic Rural Health Unit,Yes
CALABARZON,Cavite,Noveleta,Noveleta Rural Health Unit,Yes
CALABARZON,Cavite,Rosario,Rosario Rural Health Unit,Yes
CALABARZON,Cavite,Silang,Silang Rural Health Unit,Yes
CALABARZON,Cavite,Tagaytay,Tagaytay Rural Health Unit,Yes
CALABARZON,Cavite,Tanza,Tanza Rural Health Unit,Yes
CALABARZON,Cavite,Ternate,Ternate Rural Health Unit,Yes
CALABARZON,Cavite,Trece Martires,Trece Martires Rural Health Unit,Yes
CALABARZON,Laguna,Alaminos,Alaminos Rural Health Unit,Yes
CALABARZON,Laguna,Bay,Bay Rural Health Unit,Yes
CALABARZON,Laguna,Biñan,Biñan Rural Health Unit,Yes
CALABARZON,Laguna,Cabuyao,Cabuyao Rural Health Unit,Yes
CALABARZON,Laguna,Calamba,Calamba Rural Health Unit,Yes
CALABARZON,Laguna,Calauan,Calauan Rural Health Unit,Yes
CALABARZON,Laguna,Cavinti,Cavinti Rural Health Unit,Yes
