date,year,month,region,province_city,disease_name,case_count,death_count,population,disease_intensity_indicator,source,source_file,notes
2021-01-01,2021,1,Region IV-A,Batangas,Dengue,39,0,1000000,0.39,DOH_FOI,doh_raw_data_clean.csv,Generated clean surveillance record.
2021-01-01,2021,1,Region IV-A,Batangas,Leptospirosis,12,0,1000000,0.12,DOH_FOI,doh_raw_data_clean.csv,Generated clean surveillance record.
2021-01-01,2021,1,Region IV-A,Batangas,Influenza,138,2,1000000,1.38,DOH_FOI,doh_raw_data_clean.csv,Generated clean surveillance record.
2021-01-01,2021,1,Region IV-A,Quezon,Dengue,48,0,1000000,0.48,DOH_FOI,doh_raw_data_clean.csv,Generated clean surveillance record.
2021-01-01,2021,1,Region IV-A,Quezon,Leptospirosis,48,0,1000000,0.48,DOH_FOI,doh_raw_data_clean.csv,Generated clean surveillance record.
2021-01-01,2021,1,Region IV-A,Quezon,Influenza,113,0,1000000,1.13,DOH_FOI,doh_raw_data_clean.csv,Generated clean surveillance record.
2021-01-01,2021,1,MIMAROPA,Marinduque,Dengue,25,0,1000000,0.25,DOH_FOI,doh_raw_data_clean.csv,Generated clean surveillance record.
2021-01-01,2021,1,MIMAROPA,Marinduque,Leptospirosis,40,0,1000000,0.4,DOH_FOI,doh_raw_data_clean.csv,Generated clean surveillance record.
2021-01-01,2021,1,MIMAROPA,Marinduque,Influenza,186,2,1000000,1.86,DOH_FOI,doh_raw_data_clean.csv,Generated clean surveillance record.
2021-01-01,2021,1,Region V,Camarines Norte,Dengue,22,0,1000000,0.22,DOH_FOI,doh_raw_data_clean.csv,Generated clean surveillance record.
2021-01-01,2021,1,Region V,Camarines Norte,Leptospirosis,16,0,1000000,0.16,DOH_FOI,doh_raw_data_clean.csv,Generated clean surveillance record.
2021-01-01,2021,1,Region V,Camarines Norte,Influenza,195,1,1000000,1.95,DOH_FOI,doh_raw_data_clean.csv,Generated clean surveillance record.
2021-01-01,2021,1,Region V,Camarines Sur,Dengue,28,0,1000000,0.28,DOH_FOI,doh_raw_data_clean.csv,Generated clean surveillance record.
2021-01-01,2021,1,Region V,Camarines Sur,Leptospirosis,32,0,1000000,0.32,DOH_FOI,doh_raw_data_clean.csv,Generated clean surveillance record.
2021-01-01,2021,1,Region V,Camarines Sur,Influenza,102,0,1000000,1.02,DOH_FOI,doh_raw_data_clean.csv,Generated clean surveillance record.
2021-01-01,2021,1,Region IV-A,Cavite,Dengue,49,0,1000000,0.49,DOH_FOI,doh_raw_data_clean.csv,Generated clean surveillance record.
2021-01-01,2021,1,Region IV-A,Cavite,Leptospirosis,47,0,1000000,0.47,DOH_FOI,doh_raw_data_clean.csv,Generated clean surveillance record.
