period,forecast_demand_units,lower_bound_95,upper_bound_95,model_code,status
2026-01,62220.37,0.0,156990.3,GBR_DOH_PAGASA_V1,REVIEWED_RECOMMENDED
2026-02,21972.58,0.0,116742.5,GBR_DOH_PAGASA_V1,REVIEWED_RECOMMENDED
2026-03,12069.29,0.0,106839.21,GBR_DOH_PAGASA_V1,REVIEWED_RECOMMENDED
2026-04,11135.88,0.0,105905.81,GBR_DOH_PAGASA_V1,REVIEWED_RECOMMENDED
2026-05,11417.12,0.0,106187.04,GBR_DOH_PAGASA_V1,REVIEWED_RECOMMENDED
2026-06,8473.83,0.0,103243.75,GBR_DOH_PAGASA_V1,REVIEWED_RECOMMENDED
2026-07,8308.09,0.0,103078.02,GBR_DOH_PAGASA_V1,REVIEWED_RECOMMENDED
2026-08,8283.93,0.0,103053.85,GBR_DOH_PAGASA_V1,REVIEWED_RECOMMENDED
2026-09,11227.22,0.0,105997.14,GBR_DOH_PAGASA_V1,REVIEWED_RECOMMENDED
2026-10,8473.83,0.0,103243.75,GBR_DOH_PAGASA_V1,REVIEWED_RECOMMENDED
2026-11,8283.93,0.0,103053.85,GBR_DOH_PAGASA_V1,REVIEWED_RECOMMENDED
2026-12,8283.93,0.0,103053.85,GBR_DOH_PAGASA_V1,REVIEWED_RECOMMENDED
