period,sales_demand_units,sales_revenue,transaction_count,dengue_cases,ili_cases,leptospirosis_cases,typhoid_cases,abd_cases,covid_cases,pagasa_rainfall_mm,pagasa_temp_mean_c
2021-01,17887.76,2568258.34,363,10811,7586.0,325,673,732,65115,0.0,0.0
2021-02,5468.8,1196801.75,196,6641,5335.0,158,506,603,39877,0.0,0.0
2021-03,4842.5,892637.62,227,4994,5764.0,101,491,549,142679,0.0,0.0
2021-04,6178.59,1633582.56,168,4359,7468.0,80,451,619,206629,0.0,0.0
2021-05,6585.4400000000005,1596115.5,247,3660,6707.0,72,370,569,127669,0.0,0.0
2021-06,13091.57,1234173.36,220,5600,7395.0,112,394,495,120162,0.0,0.0
2021-07,10706.09,1816717.48,322,11101,10570.0,332,809,543,179585,0.0,0.0
2021-08,32075.27,4536065.84,265,7485,9764.0,142,550,281,361538,0.0,0.0
2021-09,17369.75,3141134.71,305,5227,7575.0,145,419,251,382487,0.0,0.0
2021-10,16133.68,5253594.01,362,8170,5876.0,252,534,442,132153,0.0,0.0
2021-11,18153.24,2706945.66,588,8294,4689.0,156,457,432,18341,0.0,0.0
2021-12,4645.17,1045500.64,149,4577,3393.0,202,404,347,19162,0.0,0.0
2022-01,6559.46,652570.28,220,6664,12271.0,148,717,740,583119,0.0,0.0
2022-02,13807.06,3302345.12,414,5974,4531.0,78,604,552,30568,0.0,0.0
2022-03,18124.07,3138472.37,420,7815,5687.0,204,833,738,7592,0.0,0.0
2022-04,5868.73,1018999.0,203,14533,8501.0,273,1254,1038,5147,0.0,0.0
2022-05,12301.33,1626832.89,367,20892,10595.0,197,1525,1053,3661,0.0,0.0
2022-06,17781.7,2990702.04,485,34590,11787.0,224,1796,1015,13538,0.0,0.0
2022-07,5433.9,1264932.4100000001,328,56656,18058.0,516,2168,1341,73013,0.0,0.0
2022-08,5493.77,1165582.55,282,35955,14864.0,568,1973,950,60405,0.0,0.0
2022-09,4046.47,1170788.48,253,28607,15266.0,481,1930,992,50255,0.0,0.0
2022-10,12678.66,2247923.19,507,23814,16687.0,793,1765,1259,42844,0.0,0.0
2022-11,14886.2,1572687.92,310,17838,14314.0,895,1339,1243,26655,0.0,0.0
2022-12,6696.0,1171112.88,210,11052,9282.0,326,684,868,19132,0.0,0.0
2023-01,20516.34,2665390.57,377,15562,20135.0,633,1940,1764,7309,0.0,0.0
2023-02,4073.09,656437.76,135,10875,15463.0,369,1358,1137,2786,0.0,0.0
2023-03,9194.56,1061895.38,326,8826,14442.0,217,1310,1225,5289,0.0,0.0
2023-04,5404.0,598573.51,241,10985,16487.0,224,1978,1402,24498,0.0,0.0
2023-05,34018.24,6484681.07,578,12446,15567.0,212,2079,1078,44141,0.0,0.0
2023-06,97830.67,22178785.66,1433,18677,15437.0,331,2420,874,15363,0.0,0.0
2023-07,13838.14,1923731.26,338,25971,18338.0,887,2958,909,7656,0.0,0.0
2023-08,18555.66,1234421.04,399,21792,13995.0,1081,2281,654,3203,0.0,0.0
2023-09,6387.7,858007.13,238,23348,21788.0,947,2542,655,4311,0.0,0.0
2023-10,3965.7,1209293.65,287,29213,30361.0,879,3084,650,5554,0.0,0.0
2023-11,53127.47,7719362.23,884,21040,19745.0,403,2027,488,4680,0.0,0.0
2023-12,672.0,156033.19,87,15903,14947.0,380,1641,330,11021,0.0,0.0
2024-01,2111.77,590911.41,227,20910,22666.0,380,2495,616,9589,0.0,0.0
2024-02,2106.84,756058.34,272,15103,16343.0,268,1776,560,1353,0.0,0.0
2024-03,4249.33,675553.97,312,12721,11177.0,141,1611,792,587,0.0,0.0
2024-04,8117.52,1042702.0,239,14175,8568.0,151,2481,1133,1544,0.0,0.0
2024-05,3529.5,1298307.64,330,12741,8736.0,158,1863,916,7066,0.0,0.0
2024-06,8219.38,3920718.94,278,21855,9253.0,321,2240,899,6209,0.0,0.0
2024-07,2325.0,1820005.52,265,64092,17564.0,1683,3718,1330,2268,0.0,0.0
2024-08,4017.0,2280339.14,288,75302,20786.0,1419,3581,866,661,0.0,0.0
2024-09,1697.0,1683287.05,195,63631,22043.0,1412,3591,897,864,0.0,0.0
2024-10,6782.5,2541620.43,273,40473,17284.0,697,2256,709,2600,0.0,0.0
2024-11,4591.12,1546044.76,327,39790,15463.0,798,2138,722,3255,0.0,0.0
2024-12,3455.84,12351001.3,322,33188,10666.0,547,1499,745,2726,0.0,0.0
2025-02,49613.83,18446935.19,648,30409,14694.0,412,2388,1165,215,0.0,0.0
2025-05,24627.33,2456104.08,244,13312,7541.0,331,1906,1193,863,0.0,0.0
2025-06,122025.93,18755707.53,932,19595,9612.0,592,2188,1291,2111,0.0,0.0
2025-08,238.0,39980.0,4,34944,16661.0,1975,2047,889,408,0.0,0.0
2025-09,138584.24,20483932.92,1046,30477,22153.0,1071,2220,877,279,0.0,0.0
2025-11,46700.17,13768849.55,851,13671,12237.0,1680,659,283,186,0.0,0.0
2025-12,39273.33,20809120.98,1174,11810,10155.0,792,944,402,281,0.0,0.0
