date,year,month,region,province_city,station_name,rainfall_mm,temperature_mean_c,humidity_mean_pct,wind_speed_mean_kph,weather_indicator,source,source_file,notes
2021-01-01,2021,1,Region IV-A,Batangas,Batangas Synoptic Station,57.9,30.4,90,9.9,sunny,PAGASA_CADS,pagasa_raw_data_clean.csv,Generated clean station weather record.
2021-01-01,2021,1,Region IV-A,Quezon,Quezon Synoptic Station,46.7,29.1,71,6.8,sunny,PAGASA_CADS,pagasa_raw_data_clean.csv,Generated clean station weather record.
2021-01-01,2021,1,MIMAROPA,Marinduque,Marinduque Synoptic Station,96.6,29.6,79,6.8,sunny,PAGASA_CADS,pagasa_raw_data_clean.csv,Generated clean station weather record.
2021-01-01,2021,1,Region V,Camarines Norte,Camarines Norte Synoptic Station,99.1,27.6,72,10.4,sunny,PAGASA_CADS,pagasa_raw_data_clean.csv,Generated clean station weather record.
2021-01-01,2021,1,Region V,Camarines Sur,Camarines Sur Synoptic Station,46.6,27.8,87,9.7,sunny,PAGASA_CADS,pagasa_raw_data_clean.csv,Generated clean station weather record.
2021-01-01,2021,1,Region IV-A,Cavite,Cavite Synoptic Station,63.4,28.1,85,13.0,sunny,PAGASA_CADS,pagasa_raw_data_clean.csv,Generated clean station weather record.
2021-01-01,2021,1,Region IV-A,Laguna,Laguna Synoptic Station,21.3,28.7,87,14.3,sunny,PAGASA_CADS,pagasa_raw_data_clean.csv,Generated clean station weather record.
2021-01-01,2021,1,Region V,Albay,Albay Synoptic Station,98.4,27.2,79,7.9,sunny,PAGASA_CADS,pagasa_raw_data_clean.csv,Generated clean station weather record.
2021-02-01,2021,2,Region IV-A,Batangas,Batangas Synoptic Station,34.9,27.8,85,14.2,sunny,PAGASA_CADS,pagasa_raw_data_clean.csv,Generated clean station weather record.
2021-02-01,2021,2,Region IV-A,Quezon,Quezon Synoptic Station,45.5,26.2,89,14.4,sunny,PAGASA_CADS,pagasa_raw_data_clean.csv,Generated clean station weather record.
2021-02-01,2021,2,MIMAROPA,Marinduque,Marinduque Synoptic Station,78.9,29.4,78,11.8,sunny,PAGASA_CADS,pagasa_raw_data_clean.csv,Generated clean station weather record.
2021-02-01,2021,2,Region V,Camarines Norte,Camarines Norte Synoptic Station,85.1,26.3,87,14.1,sunny,PAGASA_CADS,pagasa_raw_data_clean.csv,Generated clean station weather record.
2021-02-01,2021,2,Region V,Camarines Sur,Camarines Sur Synoptic Station,24.4,27.6,89,5.5,sunny,PAGASA_CADS,pagasa_raw_data_clean.csv,Generated clean station weather record.
2021-02-01,2021,2,Region IV-A,Cavite,Cavite Synoptic Station,65.5,30.9,90,7.9,sunny,PAGASA_CADS,pagasa_raw_data_clean.csv,Generated clean station weather record.
2021-02-01,2021,2,Region IV-A,Laguna,Laguna Synoptic Station,66.4,25.6,82,12.4,sunny,PAGASA_CADS,pagasa_raw_data_clean.csv,Generated clean station weather record.
2021-02-01,2021,2,Region V,Albay,Albay Synoptic Station,40.5,29.6,85,13.6,sunny,PAGASA_CADS,pagasa_raw_data_clean.csv,Generated clean station weather record.
2021-03-01,2021,3,Region IV-A,Batangas,Batangas Synoptic Station,84.6,30.7,74,11.4,sunny,PAGASA_CADS,pagasa_raw_data_clean.csv,Generated clean station weather record.
2021-03-01,2021,3,Region IV-A,Quezon,Quezon Synoptic Station,64.8,29.3,80,6.8,sunny,PAGASA_CADS,pagasa_raw_data_clean.csv,Generated clean station weather record.
2021-03-01,2021,3,MIMAROPA,Marinduque,Marinduque Synoptic Station,44.0,26.5,77,6.1,sunny,PAGASA_CADS,pagasa_raw_data_clean.csv,Generated clean station weather record.
2021-03-01,2021,3,Region V,Camarines Norte,Camarines Norte Synoptic Station,42.5,27.7,78,14.0,sunny,PAGASA_CADS,pagasa_raw_data_clean.csv,Generated clean station weather record.
2021-03-01,2021,3,Region V,Camarines Sur,Camarines Sur Synoptic Station,86.1,26.5,71,12.8,sunny,PAGASA_CADS,pagasa_raw_data_clean.csv,Generated clean station weather record.
2021-03-01,2021,3,Region IV-A,Cavite,Cavite Synoptic Station,52.9,29.7,78,10.0,sunny,PAGASA_CADS,pagasa_raw_data_clean.csv,Generated clean station weather record.
2021-03-01,2021,3,Region IV-A,Laguna,Laguna Synoptic Station,72.1,29.9,89,8.5,sunny,PAGASA_CADS,pagasa_raw_data_clean.csv,Generated clean station weather record.
2021-03-01,2021,3,Region V,Albay,Albay Synoptic Station,22.5,27.6,88,5.2,sunny,PAGASA_CADS,pagasa_raw_data_clean.csv,Generated clean station weather record.
2021-04-01,2021,4,Region IV-A,Batangas,Batangas Synoptic Station,37.4,27.7,87,8.1,sunny,PAGASA_CADS,pagasa_raw_data_clean.csv,Generated clean station weather record.
2021-04-01,2021,4,Region IV-A,Quezon,Quezon Synoptic Station,91.3,28.0,81,14.1,sunny,PAGASA_CADS,pagasa_raw_data_clean.csv,Generated clean station weather record.
2021-04-01,2021,4,MIMAROPA,Marinduque,Marinduque Synoptic Station,35.2,29.2,71,11.8,sunny,PAGASA_CADS,pagasa_raw_data_clean.csv,Generated clean station weather record.
2021-04-01,2021,4,Region V,Camarines Norte,Camarines Norte Synoptic Station,48.6,26.2,74,12.4,sunny,PAGASA_CADS,pagasa_raw_data_clean.csv,Generated clean station weather record.
2021-04-01,2021,4,Region V,Camarines Sur,Camarines Sur Synoptic Station,40.9,29.1,87,13.6,sunny,PAGASA_CADS,pagasa_raw_data_clean.csv,Generated clean station weather record.
2021-04-01,2021,4,Region IV-A,Cavite,Cavite Synoptic Station,93.5,29.6,85,14.0,sunny,PAGASA_CADS,pagasa_raw_data_clean.csv,Generated clean station weather record.
2021-04-01,2021,4,Region IV-A,Laguna,Laguna Synoptic Station,44.7,29.4,83,6.1,sunny,PAGASA_CADS,pagasa_raw_data_clean.csv,Generated clean station weather record.
2021-04-01,2021,4,Region V,Albay,Albay Synoptic Station,21.3,27.4,74,8.3,sunny,PAGASA_CADS,pagasa_raw_data_clean.csv,Generated clean station weather record.
2021-05-01,2021,5,Region IV-A,Batangas,Batangas Synoptic Station,74.0,27.6,78,11.9,sunny,PAGASA_CADS,pagasa_raw_data_clean.csv,Generated clean station weather record.
2021-05-01,2021,5,Region IV-A,Quezon,Quezon Synoptic Station,67.9,26.7,84,8.0,sunny,PAGASA_CADS,pagasa_raw_data_clean.csv,Generated clean station weather record.
2021-05-01,2021,5,MIMAROPA,Marinduque,Marinduque Synoptic Station,26.9,27.3,70,11.9,sunny,PAGASA_CADS,pagasa_raw_data_clean.csv,Generated clean station weather record.
2021-05-01,2021,5,Region V,Camarines Norte,Camarines Norte Synoptic Station,91.5,26.7,88,10.6,sunny,PAGASA_CADS,pagasa_raw_data_clean.csv,Generated clean station weather record.
2021-05-01,2021,5,Region V,Camarines Sur,Camarines Sur Synoptic Station,81.5,30.8,89,9.9,sunny,PAGASA_CADS,pagasa_raw_data_clean.csv,Generated clean station weather record.
2021-05-01,2021,5,Region IV-A,Cavite,Cavite Synoptic Station,95.3,29.2,88,7.8,sunny,PAGASA_CADS,pagasa_raw_data_clean.csv,Generated clean station weather record.
2021-05-01,2021,5,Region IV-A,Laguna,Laguna Synoptic Station,71.4,28.6,73,6.2,sunny,PAGASA_CADS,pagasa_raw_data_clean.csv,Generated clean station weather record.
2021-05-01,2021,5,Region V,Albay,Albay Synoptic Station,50.8,26.5,85,9.4,sunny,PAGASA_CADS,pagasa_raw_data_clean.csv,Generated clean station weather record.
2021-06-01,2021,6,Region IV-A,Batangas,Batangas Synoptic Station,287.4,30.0,86,32.1,rainy,PAGASA_CADS,pagasa_raw_data_clean.csv,Generated clean station weather record.
2021-06-01,2021,6,Region IV-A,Quezon,Quezon Synoptic Station,497.5,30.8,82,27.7,rainy,PAGASA_CADS,pagasa_raw_data_clean.csv,Generated clean station weather record.
2021-06-01,2021,6,MIMAROPA,Marinduque,Marinduque Synoptic Station,499.9,26.4,85,23.3,rainy,PAGASA_CADS,pagasa_raw_data_clean.csv,Generated clean station weather record.
