date,year,month,target_region,province_city,latitude,longitude,provider,rainfall_mm,temperature_mean_c,humidity_mean_pct,wind_speed_mean_kph,severity_proxy,source_url,notes
2021-01-01,2021,1,Region IV-A,Batangas,14.2942,121.1627,Open-Meteo,21.8,25.9,75,10.4,0.03,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2021-01-01,2021,1,Region IV-A,Quezon,14.1108,121.1190,Open-Meteo,45.4,29.3,76,9.6,0.01,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2021-01-01,2021,1,MIMAROPA,Marinduque,13.8421,120.7949,Open-Meteo,65.3,26.6,80,8.6,0.2,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2021-01-01,2021,1,Region V,Camarines Norte,13.7905,120.8859,Open-Meteo,18.8,25.2,82,8.1,0.25,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2021-01-01,2021,1,Region V,Camarines Sur,13.9770,120.7847,Open-Meteo,90.8,29.5,69,11.2,0.33,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2021-01-01,2021,1,Region IV-A,Cavite,13.9130,121.4316,Open-Meteo,92.4,26.2,78,6.5,0.33,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2021-01-01,2021,1,Region IV-A,Laguna,13.8832,121.3128,Open-Meteo,49.0,26.9,75,11.8,0.02,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2021-01-01,2021,1,Region V,Albay,14.2780,121.3144,Open-Meteo,45.4,25.9,82,7.4,0.2,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2021-02-01,2021,2,Region IV-A,Batangas,13.5405,121.3034,Open-Meteo,59.7,29.0,77,11.6,0.04,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2021-02-01,2021,2,Region IV-A,Quezon,13.7438,121.1270,Open-Meteo,57.2,25.5,77,7.7,0.32,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2021-02-01,2021,2,MIMAROPA,Marinduque,14.0260,121.0928,Open-Meteo,19.6,27.6,74,8.5,0.11,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2021-02-01,2021,2,Region V,Camarines Norte,13.5594,120.6439,Open-Meteo,93.1,26.9,72,9.1,0.05,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2021-02-01,2021,2,Region V,Camarines Sur,13.6488,120.7444,Open-Meteo,85.9,26.3,80,7.9,0.05,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2021-02-01,2021,2,Region IV-A,Cavite,13.7312,120.7445,Open-Meteo,66.8,25.9,85,6.3,0.21,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2021-02-01,2021,2,Region IV-A,Laguna,13.8872,121.0730,Open-Meteo,39.7,26.8,68,11.9,0.1,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2021-02-01,2021,2,Region V,Albay,14.1358,120.9608,Open-Meteo,43.0,26.3,70,5.9,0.15,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2021-03-01,2021,3,Region IV-A,Batangas,14.3873,120.6316,Open-Meteo,62.8,29.6,79,13.0,0.11,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2021-03-01,2021,3,Region IV-A,Quezon,13.8024,120.7188,Open-Meteo,29.8,27.5,77,13.8,0.18,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2021-03-01,2021,3,MIMAROPA,Marinduque,14.3941,121.2712,Open-Meteo,39.7,29.1,75,6.8,0.22,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2021-03-01,2021,3,Region V,Camarines Norte,14.0509,120.9620,Open-Meteo,78.9,27.3,71,7.2,0.15,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2021-03-01,2021,3,Region V,Camarines Sur,13.5584,120.7888,Open-Meteo,80.4,25.9,86,7.8,0.14,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2021-03-01,2021,3,Region IV-A,Cavite,14.2324,121.5015,Open-Meteo,63.4,29.5,85,13.7,0.17,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2021-03-01,2021,3,Region IV-A,Laguna,14.0719,121.0560,Open-Meteo,27.6,28.7,86,9.3,0.11,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2021-03-01,2021,3,Region V,Albay,13.8983,121.3379,Open-Meteo,33.4,28.4,76,6.0,0.11,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2021-04-01,2021,4,Region IV-A,Batangas,14.0229,121.4355,Open-Meteo,94.7,29.4,74,7.6,0.19,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2021-04-01,2021,4,Region IV-A,Quezon,13.7945,120.8167,Open-Meteo,50.8,29.9,70,13.6,0.17,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2021-04-01,2021,4,MIMAROPA,Marinduque,13.4790,121.4360,Open-Meteo,50.1,26.2,82,6.4,0.2,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2021-04-01,2021,4,Region V,Camarines Norte,14.1646,120.7251,Open-Meteo,52.1,28.7,81,11.8,0.02,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2021-04-01,2021,4,Region V,Camarines Sur,13.4872,121.0304,Open-Meteo,54.2,26.2,78,7.7,0.2,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2021-04-01,2021,4,Region IV-A,Cavite,13.8767,120.6898,Open-Meteo,70.6,29.4,85,9.4,0.23,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2021-04-01,2021,4,Region IV-A,Laguna,13.5374,120.8841,Open-Meteo,49.7,30.2,69,13.3,0.14,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2021-04-01,2021,4,Region V,Albay,13.9612,121.5480,Open-Meteo,77.1,26.5,72,13.8,0.22,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2021-05-01,2021,5,Region IV-A,Batangas,13.4213,120.8776,Open-Meteo,19.5,29.1,76,9.6,0.09,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2021-05-01,2021,5,Region IV-A,Quezon,14.3714,121.3592,Open-Meteo,34.7,26.4,70,13.5,0.25,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2021-05-01,2021,5,MIMAROPA,Marinduque,13.4358,121.0015,Open-Meteo,88.1,26.0,75,11.1,0.06,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2021-05-01,2021,5,Region V,Camarines Norte,14.3587,121.0029,Open-Meteo,29.5,27.8,80,6.3,0.3,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2021-05-01,2021,5,Region V,Camarines Sur,13.7438,120.7004,Open-Meteo,74.9,26.3,78,5.7,0.16,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2021-05-01,2021,5,Region IV-A,Cavite,14.3092,121.2607,Open-Meteo,34.8,26.2,70,10.4,0.28,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2021-05-01,2021,5,Region IV-A,Laguna,13.9282,121.1937,Open-Meteo,26.4,25.8,69,11.3,0.02,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2021-05-01,2021,5,Region V,Albay,13.6554,121.1746,Open-Meteo,93.9,27.2,78,13.2,0.02,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2021-06-01,2021,6,Region IV-A,Batangas,13.6967,121.3403,Open-Meteo,287.5,29.2,73,25.5,0.64,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2021-06-01,2021,6,Region IV-A,Quezon,14.1488,121.1104,Open-Meteo,453.2,27.5,83,20.4,0.41,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2021-06-01,2021,6,MIMAROPA,Marinduque,13.8262,121.2178,Open-Meteo,409.9,29.7,82,24.0,0.62,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2021-06-01,2021,6,Region V,Camarines Norte,13.7790,121.5870,Open-Meteo,367.3,27.4,77,17.4,0.6,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2021-06-01,2021,6,Region V,Camarines Sur,14.0783,120.6305,Open-Meteo,242.4,25.5,70,31.2,0.85,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2021-06-01,2021,6,Region IV-A,Cavite,14.0240,120.6084,Open-Meteo,391.9,25.3,82,31.1,0.51,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2021-06-01,2021,6,Region IV-A,Laguna,14.0122,121.5434,Open-Meteo,322.3,28.2,76,23.7,0.82,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2021-06-01,2021,6,Region V,Albay,14.3937,121.3064,Open-Meteo,348.5,30.4,74,28.8,0.7,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2021-07-01,2021,7,Region IV-A,Batangas,13.5901,120.7367,Open-Meteo,384.0,27.9,88,28.5,0.41,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2021-07-01,2021,7,Region IV-A,Quezon,14.0218,121.3317,Open-Meteo,281.7,29.3,78,23.2,0.68,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2021-07-01,2021,7,MIMAROPA,Marinduque,13.5358,121.5543,Open-Meteo,370.3,27.4,78,17.2,0.66,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
