YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION
2021,1,1,0,31,25.5,81,4,30
2021,1,2,29.9,30.4,24.2,84,4,30
2021,1,3,-1,29.2,24.7,88,3,350
2021,1,4,11.2,29.6,24.1,82,4,360
2021,1,5,0.3,30.7,25,84,4,350
2021,1,6,13.3,30.7,25,88,4,30
2021,1,7,3.2,28.6,24.9,88,3,30
2021,1,8,1.3,29.1,24.3,88,3,30
2021,1,9,7.4,30.4,24.6,87,3,360
2021,1,10,15.4,28.8,24,88,7,10
2021,1,11,2,28,24,86,6,10
2021,1,12,3.8,27,24.1,78,6,10
2021,1,13,0,30,25.2,81,4,20
2021,1,14,0,30.5,24.1,87,3,30
2021,1,15,0,31.2,24.4,77,4,10
2021,1,16,27,29.7,24.8,85,4,10
2021,1,17,4.4,30,24.5,82,4,30
2021,1,18,7,27.8,24.5,88,5,10
2021,1,19,0,29.5,25.2,83,3,40
2021,1,20,9.4,31.4,25,87,2,60
2021,1,21,1,30.6,24.8,92,2,60
2021,1,22,-1,30.5,24,92,1,360
2021,1,23,0,32.1,23.9,83,2,40
2021,1,24,0,31.4,25.7,80,4,40
2021,1,25,0,31.3,22.9,77,4,50
2021,1,26,6,31.2,24.4,73,4,40
2021,1,27,0.2,30.3,24.6,82,3,10
2021,1,28,13.2,31.3,23.6,84,6,20
2021,1,29,37.6,31.5,23.4,77,7,10
2021,1,30,14.8,27,23.7,87,7,10
2021,1,31,0.8,30,25,74,6,360
2021,2,1,30.3,28.3,24.2,80,4,40
2021,2,2,21.7,28.2,23.4,85,5,10
2021,2,3,3.2,30,23.9,81,5,10
2021,2,4,0,30.8,24.8,80,4,30
2021,2,5,0,30.9,25.4,85,3,30
2021,2,6,2.8,31.5,25.2,79,4,360
2021,2,7,16,30.7,23.6,85,5,20
2021,2,8,8.6,27.2,23.6,91,4,10
2021,2,9,2.2,29.5,24.7,85,2,360
2021,2,10,0,31.4,25.3,91,1,360
2021,2,11,30,30.4,23.6,92,2,360
2021,2,12,9,31.3,24.8,90,2,50
2021,2,13,6,31.3,25,84,2,360
2021,2,14,2.8,29.1,24.8,89,3,10
2021,2,15,0,30.3,25.9,76,5,360
2021,2,16,0.4,30.8,25.6,77,5,20
2021,2,17,6.4,30.7,24.1,83,6,10
2021,2,18,0,30.6,24.4,74,6,360
2021,2,19,0,30.2,23.9,66,7,20
2021,2,20,-1,27.3,24.6,68,6,10
2021,2,21,13.4,28.7,23.6,84,3,10
2021,2,22,0,29.4,24,88,2,40
2021,2,23,0,31.1,24.6,83,2,40
2021,2,24,0,31.8,23.6,84,3,50
2021,2,25,0,31.3,24.4,82,2,30
2021,2,26,0,31.6,24.8,86,3,50
2021,2,27,0,32,25.7,81,3,60
2021,2,28,3.3,31.2,23.8,76,3,40
2021,3,1,0,31.5,26.2,71,4,20
2021,3,2,0,31.3,25.8,77,5,50
2021,3,3,0,31.2,24.3,69,4,60
2021,3,4,-1,31.2,24.6,77,3,30
2021,3,5,1.2,31.3,24.2,76,3,40
2021,3,6,0,31.6,24.8,73,4,30
2021,3,7,2.6,32,24.2,72,5,30
2021,3,8,6,31,24.7,77,4,40
2021,3,9,2,32,25,79,5,40
2021,3,10,5.2,32.2,24.1,76,5,10
2021,3,11,8.6,26.8,24.6,91,4,10
2021,3,12,6.2,29.6,24.6,84,2,360
2021,3,13,1.8,30.2,25.2,84,2,90
2021,3,14,0,31.6,24.7,78,3,360
2021,3,15,0,32.8,26,76,2,360
2021,3,16,0,32.7,25.8,79,2,360
2021,3,17,0,32.6,24.3,77,3,50
2021,3,18,0,32.3,25.5,72,2,40
2021,3,19,0,32.2,25.6,74,3,50
2021,3,20,2.4,32.3,25.9,74,3,50
2021,3,21,0,32.3,25.6,78,4,60
2021,3,22,0,32,27,73,4,50
2021,3,23,8.6,32.4,25.6,70,4,60
2021,3,24,10.2,31.8,25.7,82,3,30
2021,3,25,2.6,31.3,24.6,80,4,40
2021,3,26,0,31.3,24.4,76,4,40
2021,3,27,0,31.1,25.3,78,3,50
2021,3,28,1,32.5,25.4,77,3,40
