YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION
2021,1,1,0.1,35.2,23.9,83,1,360
2021,1,2,-1,33.3,24,82,2,360
2021,1,3,0.1,33.8,23.4,86,2,360
2021,1,4,16,32.9,23.5,81,1,360
2021,1,5,0,33,24,80,2,220
2021,1,6,7.7,35,23.9,74,2,270
2021,1,7,0.5,30.3,24.3,88,1,90
2021,1,8,-1,32.9,24,81,2,220
2021,1,9,0,34,23.4,78,1,160
2021,1,10,10.7,35,24.3,84,2,360
2021,1,11,0.4,34,24.1,84,2,270
2021,1,12,1,30.7,23.8,86,2,270
2021,1,13,-1,32.7,24.5,80,2,360
2021,1,14,-1,32,23.6,85,1,360
2021,1,15,-1,32.9,24.4,87,1,360
2021,1,16,2.2,32,23.8,84,2,360
2021,1,17,11,33.4,24.1,86,2,270
2021,1,18,2.5,28.9,23,88,1,70
2021,1,19,0.1,32.8,24,84,1,360
2021,1,20,18.4,31.5,23.4,84,2,240
2021,1,21,13.6,33.9,23.6,86,2,270
2021,1,22,2,30,23.5,82,1,40
2021,1,23,0,33.4,23.7,77,1,360
2021,1,24,0,33,23.6,79,1,360
2021,1,25,0,35.5,24,76,2,360
2021,1,26,0,34,23.7,76,2,360
2021,1,27,0,34.4,23.2,78,2,360
2021,1,28,0,33,25,76,2,40
2021,1,29,0,34,22.6,71,2,360
2021,1,30,1.1,35,25.5,72,2,360
2021,1,31,-1,34.7,24.5,72,1,360
2021,2,1,-1,33,23.5,79,2,360
2021,2,2,-1,33.3,24.4,75,2,270
2021,2,3,0,34.4,23.3,73,2,360
2021,2,4,68.4,34.5,23.4,79,2,360
2021,2,5,0,34.8,23.9,74,2,360
2021,2,6,0,35.4,23.5,76,1,360
2021,2,7,0,34.4,24,75,1,270
2021,2,8,0,34,23.5,76,2,360
2021,2,9,0,33.5,24.3,80,2,360
2021,2,10,-1,34.6,24.6,83,2,360
2021,2,11,0,35,23.2,76,1,360
2021,2,12,0,33.2,23.2,78,3,260
2021,2,13,0,32.5,23.7,80,2,360
2021,2,14,7.2,34.1,23.4,82,4,270
2021,2,15,0,33.3,24.1,75,1,360
2021,2,16,2.8,33,24,79,1,360
2021,2,17,17.9,31.5,23.9,86,1,360
2021,2,18,0,34,24.2,62,2,40
2021,2,19,0,33.6,23.3,63,3,20
2021,2,20,0,32.3,23.2,66,2,360
2021,2,21,-1,32.1,24,75,2,200
2021,2,22,0.4,31,24,85,5,270
2021,2,23,0,33.9,24,80,3,260
2021,2,24,0.4,33.3,23.7,79,2,270
2021,2,25,1.9,31,23.5,84,2,90
