raw_product,canonical_sku,brand_name,generic_name,strength,dosage_form,pack_size,product_category,is_medicine,forecast_eligible,mapping_status,review_notes
DOLO JAGA 500MG/50MG/100MG/100MCG,DOLO JAGA 500MG/50MG/100MG/100MCG,DOLO JAGA,,500MG/50MG/100MG/100MCG,,,true,true,proposed,
DOLO-JAGA 500MG/50MG/100MG/100MCG,DOLO JAGA 500MG/50MG/100MG/100MCG,DOLO JAGA,,500MG/50MG/100MG/100MCG,,,true,true,needs_review,Confirm hyphen variant is same SKU.
HYCLENS WOUND SPRAY (60ML),HYCLENS WOUND SPRAY 60ML,HYCLENS,,,spray,60ML,wound care,true,true,needs_review,Confirm whether 2% version is same or separate SKU.
HYCLENS WOUND SPRAY 2% 60ML,HYCLENS WOUND SPRAY 2% 60ML,HYCLENS,,2%,spray,60ML,wound care,true,true,needs_review,Keep separate until strength equivalence is approved.
SANOMAX - FA,SANOMAX-FA,SANOMAX,,,,,medicine,true,true,proposed,
SANOMAX-FA,SANOMAX-FA,SANOMAX,,,,,medicine,true,true,proposed,
CORRECTION TAPE JOY,CORRECTION TAPE JOY,JOY,,,,office_supplies,false,false,proposed,Non-medicine office supply.
T SHIRT WITH PRINT,T SHIRT WITH PRINT,Generic,,,,promotional,false,false,proposed,Promotional apparel.
HARD COPY SUB#20 (8 1/2X13) LONG,HARD COPY SUB#20 LONG,Generic,,,,office_supplies,false,false,proposed,Paper product.
CLEAR BOOK LEGAL/LONG,CLEAR BOOK LEGAL/LONG,Generic,,,,office_supplies,false,false,proposed,Stationery supply.
HBW BLACK BALLPEN,HBW BLACK BALLPEN,HBW,,,,office_supplies,false,false,proposed,Writing instrument.
CORRECTION TAPE 20MM,CORRECTION TAPE 20MM,Generic,,,,office_supplies,false,false,proposed,Office supply.
BALLPEN FINEPOINT,BALLPEN FINEPOINT,Generic,,,,office_supplies,false,false,proposed,Writing supply.
TRASH BAG - BLACK - MEDIUM,TRASH BAG - BLACK - MEDIUM,Generic,,,,supplies,false,false,proposed,Operational cleaning supply.
STAPLE WIRE #35,STAPLE WIRE #35,Generic,,,,office_supplies,false,false,proposed,Office supply.
INK EPSON #003 MAGENTA,INK EPSON #003 MAGENTA,EPSON,,,,office_supplies,false,false,proposed,Printer consumable.
RECORD BOOK 500PAGES (VALIANT),RECORD BOOK 500PAGES,VALIANT,,,,office_supplies,false,false,proposed,Stationery product.
INK EPSON #003 BLACK,INK EPSON #003 BLACK,EPSON,,,,office_supplies,false,false,proposed,Printer consumable.
INK EPSON #003 YELLOW,INK EPSON #003 YELLOW,EPSON,,,,office_supplies,false,false,proposed,Printer consumable.
