contract_prefix,estimated_rows,quantity,net_cost,total_trade_price,net_income
PAGBILAO,1230,246,84730621.16,51826339.93,39708600.23
QMC,255,51,12052056.6,7530374.88,4749955.72
PESO,15,3,3521520,2317160.16,1204359.84
TOURISM,55,11,1416676,921686.79,494989.21
PROVINCIAL TOURISM OFFICE,25,5,836410,855305.26,373249.74
MARINDUQUE,20,4,1245007,823692.8,421314.2
PESO PROVINCIAL,15,3,1070570,710699.22,359870.78
PPDC,70,14,986429.75,614539.86,371889.89
PHO,15,3,166788,109077.31,57710.69
GULANG GULANG,15,3,118855,80151,38704
PPOC,5,1,116500,64000,52500
PADRE BURGOS,5,1,74380,50889,23491
ABOITIZ,5,1,68307.69,44400,23907.69
