source_workbook,source_sheet,source_row_number,date_delivered,area,product,quantity,unit_cost,total_cost,discount,net_cost,trade_price_unit,total_trade_price,net_income,margin_pct,quality_status,quality_notes,allocation_status,allocation_confidence,allocation_method,allocation_profile_level,allocation_profile_rows,allocation_profile_products,allocation_weight,allocation_child_number,allocation_child_count,original_area,original_product,embedded_area_amount,allocated_embedded_area_amount,parent_source_hash,estimated
2024s.csv,2024-02-07,2662,2024-02-07,Pagbilao,CLEAR BOOK LEGAL/LONG,0.206429,10997.001390308531,2270.1,0,2270.1,6455.003899645883,1332.5,937.6,0.4130214527994362,valid,,estimated_backward_allocation,medium,prior_comparable_product_mix_value_frequency_blend,same_area_same_channel_prior_3y,594,373,0.20642927435290614,1,5,Government,"PAGBILAO # 11,077.00",11077,2286.62,e965b4a95c1fb745e5595577833bf9f42b8d8af7ed05d25710688c639a50436f,true
2024s.csv,2024-02-07,2662,2024-02-07,Pagbilao,INK EPSON #003 BLACK,0.243718,10996.971910158461,2680.16,0,2680.16,6454.960240934195,1573.19,1106.96,0.41302011820189843,valid,,estimated_backward_allocation,medium,prior_comparable_product_mix_value_frequency_blend,same_area_same_channel_prior_3y,594,373,0.24371757011216108,2,5,Government,"PAGBILAO # 11,077.00",11077,2699.66,e965b4a95c1fb745e5595577833bf9f42b8d8af7ed05d25710688c639a50436f,true
2024s.csv,2024-02-07,2662,2024-02-07,Pagbilao,RECORD BOOK 500PAGES (VALIANT),0.273194,10996.983828341765,3004.31,0,3004.31,6455.009992898819,1763.47,1240.85,0.4130232898735483,valid,,estimated_backward_allocation,medium,prior_comparable_product_mix_value_frequency_blend,same_area_same_channel_prior_3y,594,373,0.2731939605211663,3,5,Government,"PAGBILAO # 11,077.00",11077,3026.17,e965b4a95c1fb745e5595577833bf9f42b8d8af7ed05d25710688c639a50436f,true
2024s.csv,2024-02-07,2662,2024-02-07,Pagbilao,FLASH DRIVE 32GB (KINGSTON),0.125623,10997.030798500273,1381.48,0,1381.48,6455.028139751478,810.9,570.58,0.4130208182528882,valid,,estimated_backward_allocation,medium,prior_comparable_product_mix_value_frequency_blend,same_area_same_channel_prior_3y,594,373,0.1256230702576882,4,5,Government,"PAGBILAO # 11,077.00",11077,1391.52,e965b4a95c1fb745e5595577833bf9f42b8d8af7ed05d25710688c639a50436f,true
2024s.csv,2024-02-07,2662,2024-02-07,Pagbilao,TRASH BAG - BLACK - MEDIUM,0.151036,10997.04706162769,1660.95,0,1660.95,6455.017346857703,974.94,686.01,0.4130226677503838,valid,,estimated_backward_allocation,medium,prior_comparable_product_mix_value_frequency_blend,same_area_same_channel_prior_3y,594,373,0.15103612475607825,5,5,Government,"PAGBILAO # 11,077.00",11077,1673.03,e965b4a95c1fb745e5595577833bf9f42b8d8af7ed05d25710688c639a50436f,true
2024s.csv,2024-02-07,2654,2024-02-07,Pagbilao,HARD COPY SUB#20 (8 1/2X13) LONG,0.293912,31230.02803560249,9178.88,0,9178.88,15649.207926181985,4599.49,4579.39,0.4989050951750105,valid,,estimated_backward_allocation,medium,prior_comparable_product_mix_value_frequency_blend,same_area_same_channel_prior_3y,594,373,0.2939123668611109,1,5,Government,"PAGBILAO # 31,350.00",31350,9214.15,2ea654c8615577c4afe3c8e6d32960012b336ebee2fa1b6734824a5f1307a0e6,true
2024s.csv,2024-02-07,2654,2024-02-07,Pagbilao,HARD COPY SUB#20 A4,0.253793,31230.057566599553,7925.97,0,7925.97,15649.210183101977,3971.66,3954.3,0.4989042350652349,valid,,estimated_backward_allocation,medium,prior_comparable_product_mix_value_frequency_blend,same_area_same_channel_prior_3y,594,373,0.2537932975615191,2,5,Government,"PAGBILAO # 31,350.00",31350,7956.42,2ea654c8615577c4afe3c8e6d32960012b336ebee2fa1b6734824a5f1307a0e6,true
2024s.csv,2024-02-07,2654,2024-02-07,Pagbilao,TRASH BAG MEDIUM BLACK,0.110656,31229.8474551764,3455.77,0,3455.77,15649.128831694621,1731.67,1724.1,0.49890473034953137,valid,,estimated_backward_allocation,medium,prior_comparable_product_mix_value_frequency_blend,same_area_same_channel_prior_3y,594,373,0.11065553807293173,3,5,Government,"PAGBILAO # 31,350.00",31350,3469.05,2ea654c8615577c4afe3c8e6d32960012b336ebee2fa1b6734824a5f1307a0e6,true
2024s.csv,2024-02-07,2654,2024-02-07,Pagbilao,INK EPSON #003 MAGENTA,0.17082,31229.891113452755,5334.69,0,5334.69,15649.162861491628,2673.19,2661.51,0.4989062157313734,valid,,estimated_backward_allocation,medium,prior_comparable_product_mix_value_frequency_blend,same_area_same_channel_prior_3y,594,373,0.17081939875221921,4,5,Government,"PAGBILAO # 31,350.00",31350,5355.19,2ea654c8615577c4afe3c8e6d32960012b336ebee2fa1b6734824a5f1307a0e6,true
2024s.csv,2024-02-07,2654,2024-02-07,Pagbilao,INK EPSON #003 CYAN,0.170819,31230.073937910885,5334.69,0,5334.69,15649.25447403392,2673.19,2661.5,0.4989043412082052,valid,,estimated_backward_allocation,medium,prior_comparable_product_mix_value_frequency_blend,same_area_same_channel_prior_3y,594,373,0.17081939875221921,5,5,Government,"PAGBILAO # 31,350.00",31350,5355.19,2ea654c8615577c4afe3c8e6d32960012b336ebee2fa1b6734824a5f1307a0e6,true
2024s.csv,2024-02-07,2652,2024-02-07,Pagbilao,MASKING TAPE 1INCH,0.189489,8830.01124075804,1673.19,0,1673.19,4810.991667062468,911.63,761.56,0.4551545251884125,valid,,estimated_backward_allocation,medium,prior_comparable_product_mix_value_frequency_blend,same_area_same_channel_prior_3y,594,373,0.18948854978045201,1,5,Government,"PAGBILAO # 8,930.00",8930,1692.13,92119e120ac136edd058ec26f339c17186a2683433db5ad34c826ddf039b5477,true
