allocation_number,area_label,original_area,original_product,embedded_area_amount,source_workbook,source_row_number,dr_number,date_delivered,original_quality_status,allocation_profile_level,allocation_profile_rows,allocation_profile_products,child_count,child_quantity_total,child_net_cost_total,child_total_trade_price_total,child_net_income_total
1,Pagbilao,Government,"PAGBILAO # 11,077.00",11077,2024s.csv,2662,DR-RT0686,2024-02-07,valid,same_area_same_channel_prior_3y,594,373,5,1,10997,6455,4542
2,Pagbilao,Government,"PAGBILAO # 31,350.00",31350,2024s.csv,2654,DR-RT0685,2024-02-07,valid,same_area_same_channel_prior_3y,594,373,5,1,31229.999999999996,15649.2,15580.800000000001
3,Pagbilao,Government,"PAGBILAO # 8,930.00",8930,2024s.csv,2652,DR-RT0684,2024-02-07,valid,same_area_same_channel_prior_3y,594,373,5,0.9999999999999999,8830,4811,4019
4,Pagbilao,Government,"PAGBILAO # 43,790.00",43790,2024s.csv,2676,DR-RT0737,2024-02-08,valid,same_area_same_channel_prior_3y,594,373,5,1,43790,25501.72,18288.28
5,Pagbilao,Government,"PAGBILAO # 46,930.00",46930,2024s.csv,2679,DR-RT0734,2024-02-08,warning,same_area_same_channel_prior_3y,594,373,5,1,14690.25,30936,16245.75
6,Pagbilao,Government,"PAGBILAO # 21,950.00",21950,2024s.csv,2765,DR-RT0826,2024-02-10,valid,same_area_same_channel_prior_3y,594,373,5,1,21791,14325,7466
7,Pagbilao,Government,"PAGBILAO # 85,000.00",85000,2024s.csv,2764,DR-RT0900,2024-02-10,valid,same_area_same_channel_prior_3y,594,373,5,1,84850,23000,61850.00000000001
8,QMC,Hospital,"QMC # 162,922.00",162922,2024s.csv,2389,DR-RT0880,2024-02-10,valid,same_area_prior_3y,1962,400,5,1,161999.8,92220,69779.8
9,Pagbilao,Government,"PAGBILAO # 80,216.00 LOT 4",80216,2024s.csv,2591,DR-RT0592,2024-04-26,valid,same_area_same_channel_prior_3y,638,404,5,1,79967.5,47295,32672.500000000004
10,Pagbilao,Government,"PAGBILAO #246,628.00",246628,2024s.csv,2623,DR-RT0643,2024-05-06,valid,same_area_same_channel_prior_3y,638,404,5,1,24500,128293.99999999999,103794
11,Pagbilao,Government,"PAGBILAO # 34,405.00",34405,2024s.csv,2655,DR-RT0688,2024-05-07,valid,same_area_same_channel_prior_3y,638,404,5,0.9999999999999999,35890,22178.000000000004,13712
12,Pagbilao,Government,"PAGBILAO # 42,960.00",42960,2024s.csv,2675,DR-RT0744,2024-05-08,valid,same_area_same_channel_prior_3y,638,404,5,1,42651,20550,22101
13,Pagbilao,Government,"PAGBILAO # 43,240.00",43240,2024s.csv,2673,DR-RT0738,2024-05-08,valid,same_area_same_channel_prior_3y,638,404,5,1,28636.5,21762.17,6874.330000000002
14,Pagbilao,Government,"PAGBILAO # 20,695.00",20695,2024s.csv,2725,DR-RT0742,2024-05-09,valid,same_area_same_channel_prior_3y,638,404,5,0.9999999999999999,18815.25,14541.2,4274.05
15,QMC,Hospital,"QMC # 64,459.00",64459,2024s.csv,2242,DR-RT0787,2024-05-09,valid,same_area_prior_3y,2162,547,5,1,64399.999999999985,33771,30629.000000000004
16,Pagbilao,Government,"PAGBILAO # 61,024.00 LOT 14",61024,2024s.csv,2612,DR-RT0606,2024-05-14,valid,same_area_same_channel_prior_3y,638,404,5,0.9999999999999999,26000.000000000004,30096.500000000004,4096.5
17,Pagbilao,Government,"PAGBILAO # 154,415.00 LOT 15",154415,2024s.csv,2615,DR-RT0609,2024-05-16,valid,same_area_same_channel_prior_3y,638,404,5,1,21910,70452.75,48542.75
