date_delivered,year,month,day,dr_number,area,product,quantity,unit_cost,total_cost,discount,net_cost,trade_price_unit,total_trade_price,net_income,margin_pct,quality_status,quality_notes,allocation_status,estimated,original_area,original_product,allocation_method,allocation_confidence,allocation_profile_level,allocation_weight,allocation_child_number,allocation_child_count,embedded_area_amount,allocated_embedded_area_amount,source_workbook,source_sheet,source_row_number,source_hash,business_hash,parent_source_hash,parent_business_hash,input_stage,standardization_applied,duplicate,allocation_profile_rows,allocation_profile_products,sales_acceptance_status,sales_rejection_reason
2021-01-02,2021,01,02,DR-22433,Admin,APCEE 500MG,7,214.29,1500,0,1500,245,1715,215,-0.14,valid,,,,,,,,,,,,,,2021s.csv,2021-01-02,374,93976d73db3d25b9c08c76923512e782f51b8d02bf11ee8a4d4e432754de7296,aaf53c991eae3f20cd2e1b19b748f3e9362f262eee534d30d30a76583e8ee605,,,raw_tabular,"[""dr_number: standardized identifier format"",""discount: blank converted to 0""]",false,,,accepted_clean_sales,
2021-01-02,2021,01,02,DR-22433,Admin,ERGON 125MCG,14,357.14,5000,0,5000,133.33,1866.62,3133.38,0.63,valid,,,,,,,,,,,,,,2021s.csv,2021-01-02,372,26c23ad8dfbbb6c545e9db7fbb7486b52dcdfd0a602e409dc3fd0ad41d3a3baa,478aaa016d565d908a98461b3b5caafc41145667215ea14678622487945cecd7,,,raw_tabular,"[""dr_number: standardized identifier format"",""discount: blank converted to 0""]",false,,,accepted_clean_sales,
2021-01-02,2021,01,02,DR-22433,Admin,EVEBEU 500 CAP 100,10,900,9000,0,9000,200,2000,7000,0.78,valid,,,,,,,,,,,,,,2021s.csv,2021-01-02,375,f806525cfdc19418f7abecace3c43408a87354117519e54d84a8eb217917c04b,3121819ff9dc462a070ffb10377502fad0628d67dc4cdfeaa32625eaca5e6ee8,,,raw_tabular,"[""dr_number: standardized identifier format"",""discount: blank converted to 0""]",false,,,accepted_clean_sales,
2021-01-02,2021,01,02,DR-22433,Admin,FERGLOBIN 250MG,7,517.86,3625,0,3625,325,2275,1350,0.37,valid,,,,,,,,,,,,,,2021s.csv,2021-01-02,373,fca84d99b4128bd1d7509f6f4de2767737e50ecdf571f883051654623639c389,24e5ac616c88bad1190c8ba554987ce62eb08e148c84e84da7173d7c4907f0d0,,,raw_tabular,"[""dr_number: standardized identifier format"",""discount: blank converted to 0""]",false,,,accepted_clean_sales,
2021-01-02,2021,01,02,DR-22433,Admin,FOLACID 5MG,7,464.29,3250,0,3250,196.88,1378.16,1871.84,0.58,valid,,,,,,,,,,,,,,2021s.csv,2021-01-02,369,2faa1fcfda54276951793285f22fad3cbdeb291399e977489ca5bc764c317f66,8675d33d91bf1623066f7e1e7a665e04d168be5077a4f681fdd8b7936cbfbeb4,,,raw_tabular,"[""dr_number: standardized identifier format"",""discount: blank converted to 0""]",false,,,accepted_clean_sales,
2021-01-02,2021,01,02,DR-22433,Admin,MAXXIVIT PLUS,7,857.14,6000,0,6000,560,3920,2080,0.35,valid,,,,,,,,,,,,,,2021s.csv,2021-01-02,371,44870991faeaf1a4cd6b1f39f4d91f1bb9c36cf03b6fbec79e1c01c9c83a48a6,abbf599ce5fc16b912ad635a744849356f8a74a1eadd7a0b313b9fa09a23d25f,,,raw_tabular,"[""dr_number: standardized identifier format"",""discount: blank converted to 0""]",false,,,accepted_clean_sales,
2021-01-02,2021,01,02,DR-22433,Admin,XYNETRIX CHEWABLE TABLET,7,678.57,4750,0,4750,450,3150,1600,0.34,valid,,,,,,,,,,,,,,2021s.csv,2021-01-02,370,d34b419ae77e979da9dceac877c017ddeea15e527550786b8444bdb2c3e763e2,49b1ac018b7de740d30a7bccc2a36993bf00700416993bac3c1edfa28e0953d6,,,raw_tabular,"[""dr_number: standardized identifier format"",""discount: blank converted to 0""]",false,,,accepted_clean_sales,
2021-01-02,2021,01,02,DR-22592,Losses,MONILIASOL 125MG/5ML,2,0,0,0,0,36.76,73.52,73.52,0,valid,,,,,,,,,,,,,,2021s.csv,2021-01-02,2743,9cf1a5504965cc9adca68780d8b066dc48f83dd0d0b866a8e4cfc5250569023e,1e2291e0bc93988e3cc41761ea4f843d5fc3d3d08eb3a11a2ca993b64a26275d,,,raw_tabular,"[""dr_number: standardized identifier format"",""unit_cost: blank converted to 0"",""total_cost: blank converted to 0"",""discount: blank converted to 0"",""net_cost: blank converted to 0""]",false,,,accepted_clean_sales,
2021-01-02,2021,01,02,DR-22593,Losses,MONILIASOL 125MG/5ML,3,0,0,0,0,36.76,110.28,110.28,0,valid,,,,,,,,,,,,,,2021s.csv,2021-01-02,2746,5b896da614856e08d9b9bfa5cf0110eec1a4ccc51b09cb9814deed512085c981,6676a3a64b6275a7e216b87f32a7a40c0d4c8851035161699ab5367cf8c05815,,,raw_tabular,"[""dr_number: standardized identifier format"",""unit_cost: blank converted to 0"",""total_cost: blank converted to 0"",""discount: blank converted to 0"",""net_cost: blank converted to 0""]",false,,,accepted_clean_sales,
2021-01-02,2021,01,02,DR-22593,Losses,PARADOX TAB,10,0,0,0,0,230,2300,2300,0,valid,,,,,,,,,,,,,,2021s.csv,2021-01-02,2745,07bf7c445cb8f5998c55113fca2126f98b166d6de25a8de4ef8a3f3411f35621,c4c2e943411535779f11cfda6084f39aeece07a4baf544ba210a8a001954b97f,,,raw_tabular,"[""dr_number: standardized identifier format"",""unit_cost: blank converted to 0"",""total_cost: blank converted to 0"",""discount: blank converted to 0"",""net_cost: blank converted to 0""]",false,,,accepted_clean_sales,
