date_delivered,date_is_estimated,date_estimation_method,original_date_delivered,nearest_dated_source_row_number,date_source_row_distance,year,month,day,dr_number,area,product,quantity,unit_cost,total_cost,discount,net_cost,trade_price_unit,total_trade_price,net_income,margin_pct,quality_status,quality_notes,allocation_status,estimated,original_area,original_product,allocation_method,allocation_confidence,allocation_profile_level,allocation_weight,allocation_child_number,allocation_child_count,embedded_area_amount,allocated_embedded_area_amount,source_workbook,source_sheet,source_row_number,source_hash,business_hash,parent_source_hash,parent_business_hash,input_stage,standardization_applied,duplicate,allocation_profile_rows,allocation_profile_products,date_issue
2022-01-04,false,source_date_delivered,2022-01-04,,,2022,01,04,DR-024307,Admin,KN95 FACE MASK (BOX),5,400,2000,0,2000,200,1000,1000,0.5,valid,,,,,,,,,,,,,,2022s.csv,2022-01-04,225,b1ad004915b5bf0d9d7b6796a9bbf72b1a652b547d11a9e9951242d49e007d27,ee97e0479bb71ac8704dddc3736ff576da501293558c8af8627d9dabeb7df4a3,,,raw_tabular,"[""dr_number: standardized identifier format"",""discount: blank converted to 0""]",false,,,
2022-01-07,false,source_date_delivered,2022-01-07,,,2022,01,07,DR-024348,Admin,CIXTOR-Z 500MG,7,630,4410,0,4410,210,1470,2940,0.67,valid,,,,,,,,,,,,,,2022s.csv,2022-01-07,370,233879ba80be0f3699579269899e0aa3c345b12947ccd9f6792a0ad7790a4b9d,437ccef51524fa1896788df7fdf8b241fc16411586105cbc3bfe3e189f9ae4ad,,,raw_tabular,"[""dr_number: standardized identifier format"",""discount: blank converted to 0""]",false,,,
2022-01-07,false,source_date_delivered,2022-01-07,,,2022,01,07,DR-024348,Admin,FOLACID 5MG,7,464.29,3250,0,3250,236.25,1653.75,1596.25,0.49,valid,,,,,,,,,,,,,,2022s.csv,2022-01-07,371,51e0318e43d44ed560d98182f672b26231d201177721ed86ade8eb8fb00a7735,088fe6895c4483eb80386e3598ca2698fe532593e8fc2694a6ec447dd8a5f7b0,,,raw_tabular,"[""dr_number: standardized identifier format"",""discount: blank converted to 0""]",false,,,
2022-01-07,false,source_date_delivered,2022-01-07,,,2022,01,07,DR-024348,Admin,APCELAC 500MG HERBAL FOOD SUPPLEMENT,7,655,4585,0,4585,400,2800,1785,0.39,valid,,,,,,,,,,,,,,2022s.csv,2022-01-07,372,de02ee7ac536a25ea3cae70a1ad7a00d330f53546c094311d14c63efa2b57dd4,4a47b17b1fb86f1774c8addab93480c46a024a115575ecbf588ca6ea3907ab02,,,raw_tabular,"[""dr_number: standardized identifier format"",""discount: blank converted to 0""]",false,,,
2022-01-07,false,source_date_delivered,2022-01-07,,,2022,01,07,DR-024348,Admin,SANOMAX - FA,7,857.14,6000,0,6000,560,3920,2080,0.35,valid,,,,,,,,,,,,,,2022s.csv,2022-01-07,373,299f18b7705ff8cc53e821a389bf88bd5184bbba40362ba2df91591116797860,17a934130d37843d2b9d003572ca80cd97aa3d9052012465df52a8763f75728e,,,raw_tabular,"[""dr_number: standardized identifier format"",""discount: blank converted to 0""]",false,,,
2022-01-07,false,source_date_delivered,2022-01-07,,,2022,01,07,DR-024348,Admin,CIUMADE,7,671.43,4700,0,4700,450,3150,1550,0.33,valid,,,,,,,,,,,,,,2022s.csv,2022-01-07,374,10936b1a7f2163db19413583aee56d6ef2fe27f40be5e948003d2c6afe23a657,960e85594958efe014601256b138fb49d016c6bd6948b629139e8d3cf7a1d6de,,,raw_tabular,"[""dr_number: standardized identifier format"",""discount: blank converted to 0""]",false,,,
2022-01-08,false,source_date_delivered,2022-01-08,,,2022,01,08,DR-20310,Admin,ZEFTACARE 1G,12,50,600,0,600,42,504,96,0.16,valid,,,,,,,,,,,,,,2022s.csv,2022-01-08,454,d42555b6e0027babeb90056f7b0bf916b17103d8a95656be40023d56ef962c42,c1fd4fd0bcee232d49b9126b2f0e495bd743cd0dc9f2830ed7a36afeb16f83ba,,,raw_tabular,"[""dr_number: standardized identifier format"",""discount: blank converted to 0""]",false,,,
2022-01-08,false,source_date_delivered,2022-01-08,,,2022,01,08,DR-20310,Admin,GENTAM 40MG,1,90,90,0,90,40,40,50,0.56,valid,,,,,,,,,,,,,,2022s.csv,2022-01-08,455,726a32b2e75ef0aab33316fcfa00a9bac69897111969b0ad1e770f90a401f0b3,559a2321fecb5c73c9ba830bce030531e58bade4ca09ae24c1caa128e12eba26,,,raw_tabular,"[""dr_number: standardized identifier format"",""discount: blank converted to 0""]",false,,,
2022-01-08,false,source_date_delivered,2022-01-08,,,2022,01,08,DR-20310,Admin,FUROXIDE 10MG/2ML,1,90,90,0,90,65,65,25,0.28,valid,,,,,,,,,,,,,,2022s.csv,2022-01-08,456,f4be84cd2318144c0e8f2c1d799f9df54c106d68262e7d8c70e6e9e49c802d41,2b53e13e5f6e87e90390b635d917f2e49f8f64fbf2da10c2b8ec4264285e7b99,,,raw_tabular,"[""dr_number: standardized identifier format"",""discount: blank converted to 0""]",false,,,
2022-01-09,false,source_date_delivered,2022-01-09,,,2022,01,09,DR-20334,Admin,AEROVENT 1MG/ML,10,375,3750,0,3750,265,2650,1100,0.29,valid,,,,,,,,,,,,,,2022s.csv,2022-01-09,490,b6c3671b951af9f01d1f197517cf410e8dca05bba9103c0d4c0963bbef6feb26,35c9a59633c73a2f22561d76e7ea5587487ac038e207ecda6412f38888447d66,,,raw_tabular,"[""dr_number: standardized identifier format"",""discount: blank converted to 0""]",false,,,
