date_delivered,year,month,day,dr_number,area,product,quantity,unit_cost,total_cost,discount,net_cost,trade_price_unit,total_trade_price,net_income,margin_pct,quality_status,quality_notes,allocation_status,estimated,original_area,original_product,allocation_method,allocation_confidence,allocation_profile_level,allocation_weight,allocation_child_number,allocation_child_count,embedded_area_amount,allocated_embedded_area_amount,source_workbook,source_sheet,source_row_number,source_hash,business_hash,parent_source_hash,parent_business_hash,input_stage,standardization_applied,duplicate,allocation_profile_rows,allocation_profile_products,sales_acceptance_status,sales_rejection_reason,original_date_delivered,date_is_estimated,date_estimation_method,nearest_dated_source_row_number,date_source_row_distance
2024-01-02,2024,01,02,DR-24773,Batangas,ANTIZOAL 5MG/ML (500MG/100ML) 100ML,20,34,680,0,680,16,320,360,0.53,valid,,,,,,,,,,,,,,2024s.csv,2024-01-02,956,bf1d13a119ea8fd1923506ed9fbe08c3f566325cf869f60eb084f4b5188b2d6f,7870aa83154226adcfe7e8c2518337cb0bc8eb2e0de706f360ba3f9a26541fa9,,,raw_tabular,"[""dr_number: standardized identifier format"",""discount: blank converted to 0""]",false,,,accepted_clean_sales,,2024-01-02,false,source_date_delivered,,
2024-01-02,2024,01,02,DR-24773,Batangas,AZCORE 500MG TAB,4,570,2280,0,2280,285,1140,1140,0.5,valid,,,,,,,,,,,,,,2024s.csv,2024-01-02,955,0bb7bd69f1e542f0a379c7d3d9fe3c09d7baea9bbf52eed1cdc360fa565dddbf,2c6878d12d243389728734d40dafeb690d1dc7ecb04e6c189bb49144c3da5f6e,,,raw_tabular,"[""dr_number: standardized identifier format"",""discount: blank converted to 0""]",false,,,accepted_clean_sales,,2024-01-02,false,source_date_delivered,,
2024-01-02,2024,01,02,DR-24772,Batangas,FENTIN 50MG/ML 2ML,2,1980,3960,0,3960,825,1650,2310,0.58,valid,,,,,,,,,,,,,,2024s.csv,2024-01-02,957,a94d450de15b9e97f6d2814e45a62ff1fa7470ae527e3ac325429ed31e2fdf65,1c65bfd3967bc5b7ebf56f91685b1dcb584fdcc3b538395bd1c95bbce1e004bb,,,raw_tabular,"[""dr_number: standardized identifier format"",""discount: blank converted to 0""]",false,,,accepted_clean_sales,,2024-01-02,false,source_date_delivered,,
2024-01-02,2024,01,02,DR-24772,Batangas,GOUTSAPH 500MCG,2,220,440,0,440,130,260,180,0.41,valid,,,,,,,,,,,,,,2024s.csv,2024-01-02,960,a1864ee029d3b05846c8bafce31db6a421de9556cf1c34f132d7c496704d4a37,524466e011cdf79335589bca434cc3348ce96608c5c347979732ca6bfaa26cb8,,,raw_tabular,"[""dr_number: standardized identifier format"",""discount: blank converted to 0""]",false,,,accepted_clean_sales,,2024-01-02,false,source_date_delivered,,
2024-01-02,2024,01,02,DR-24772,Batangas,HYTRIX 100MG,8,700,5600,0,5600,250,2000,3600,0.64,valid,,,,,,,,,,,,,,2024s.csv,2024-01-02,958,3b4a705f731d5c4d7997b315a3386c3d683383bcb0d55889f4564e810fb774bf,946e8c2d332d7508f571cddda31f0f1e0854037e5d5888157cf858270b5fd775,,,raw_tabular,"[""dr_number: standardized identifier format"",""discount: blank converted to 0""]",false,,,accepted_clean_sales,,2024-01-02,false,source_date_delivered,,
2024-01-02,2024,01,02,DR-24772,Batangas,RESPI-SAPH 250MCG/ML (500MCG/2ML) 2ML,0.57,2047.5,1170,0,1170,460,262.86,907.14,0.78,valid,,,,,,,,,,,,,,2024s.csv,2024-01-02,959,689032f7ff46aee6e507da77394955f4cd65b2e39221525c77b8ea2d599b8103,54c357c97a41b5be4afdcfbd9fb39fd797801fdf5b33d9fa31484509d8867633,,,raw_tabular,"[""dr_number: standardized identifier format"",""discount: blank converted to 0""]",false,,,accepted_clean_sales,,2024-01-02,false,source_date_delivered,,
2024-01-02,2024,01,02,DR-24773,Batangas,SPASBASCINE 20MG/ML,4,420,1680,0,1680,230,920,760,0.45,valid,,,,,,,,,,,,,,2024s.csv,2024-01-02,954,f6d50d76d15518b2c763ed5130b87041dfc58737b057a82e39c8b8af5d30432d,9ef01b7c92b23710dec96f82f5dadad190382c8f0408be04b405d197fb977f90,,,raw_tabular,"[""dr_number: standardized identifier format"",""discount: blank converted to 0""]",false,,,accepted_clean_sales,,2024-01-02,false,source_date_delivered,,
2024-01-02,2024,01,02,PULLOUT2211,Quezon,RUCEF 500MG,15,3760,56400,0,56400,1030,15450,71850,1.27,valid,,,,,,,,,,,,,,2024s.csv,2024-01-02,459,2837f418bab1430249be17ae78357234d60b397b66ec975f504bf67b2fad424d,053b43ac3ac650f55d6ff4605855910d2534258d4e09be55eb8c8d241f32cfe5,,,raw_tabular,"[""dr_number: standardized identifier format"",""discount: blank converted to 0""]",false,,,accepted_clean_sales,,2024-01-02,false,source_date_delivered,,
2024-01-03,2024,01,03,DR-024137,Admin,BENERVA PLUS 500MG/50MG/100MG/100MCG,2,1708,3416,0,3416,615,1230,2186,0.64,valid,,,,,,,,,,,,,,2024s.csv,2024-01-03,80,e2c1fe6b900bf0f4780f02e80dc1bbae718a97bcf6950a6fac5e86fa84828d2c,f309c8dfcca8bdd5582c4f8f74d8e03333f7edf7569c7d019f2894b3b4a1dfe6,,,raw_tabular,"[""dr_number: standardized identifier format"",""discount: blank converted to 0""]",false,,,accepted_clean_sales,,2024-01-03,false,source_date_delivered,,
2024-01-03,2024,01,03,DR-024137,Admin,CIUMADE TAB,7,678.57,4749.99,0,4749.99,450,3150,1599.99,0.34,valid,,,,,,,,,,,,,,2024s.csv,2024-01-03,76,14ddf592717f4a67249c073de26c23e3fdb026b20afaba98650cb8b5708529b1,3c4b31036ab55c449a88dbd2124c6eeec726640603759da719eef0634a223c2f,,,raw_tabular,"[""dr_number: standardized identifier format"",""discount: blank converted to 0""]",false,,,accepted_clean_sales,,2024-01-03,false,source_date_delivered,,
2024-01-03,2024,01,03,DR-024137,Admin,ENCLOXIL 500MG,7,1392.86,9750.02,0,9750.02,780,5460,4290.02,0.44,valid,,,,,,,,,,,,,,2024s.csv,2024-01-03,79,ebf505a12dd737987f42154d0cd8ef0083351199d47a7b8324b3f00b7e5f7e73,3cc00f69bb8186c3da573c6d245e10e4d7d2a33fa6dfc23d3f903b18d32dd718,,,raw_tabular,"[""dr_number: standardized identifier format"",""discount: blank converted to 0""]",false,,,accepted_clean_sales,,2024-01-03,false,source_date_delivered,,
2024-01-03,2024,01,03,DR-024137,Admin,HAEMOREX 500MG CAP,2,1500,3000,0,3000,430,860,2140,0.71,valid,,,,,,,,,,,,,,2024s.csv,2024-01-03,81,a6cb999891c6fce925861acfdd2a3ebd0f329cdc7caa4f4210a93142e4e8eeeb,14a770cc0ffc71d260037e15f96baf9de49511dc9cf20b1cca0718aba844c217,,,raw_tabular,"[""dr_number: standardized identifier format"",""discount: blank converted to 0""]",false,,,accepted_clean_sales,,2024-01-03,false,source_date_delivered,,
2024-01-03,2024,01,03,DR-024137,Admin,MUCOLIFAR 500MG,2,3500,7000,0,7000,1100,2200,4800,0.69,valid,,,,,,,,,,,,,,2024s.csv,2024-01-03,82,3c20d43a147e3b62f73d989bdd6055d5a2961772e703fdb35a0626e9ef4a8f18,4e0556e9c956668f5c0210169f30f6ff672097e5e520361b14ab55c18c36da00,,,raw_tabular,"[""dr_number: standardized identifier format"",""discount: blank converted to 0""]",false,,,accepted_clean_sales,,2024-01-03,false,source_date_delivered,,
2024-01-03,2024,01,03,DR-024137,Admin,SANOMAX - FA,7,857.14,5999.98,0,5999.98,560,3920,2079.98,0.35,valid,,,,,,,,,,,,,,2024s.csv,2024-01-03,77,df3ef3c86bea58432f1762228d32a7ea61528c7dba1377fe1df9d72b16a6afa9,cdd1ba2598558cf206b103f62aafcedc821cfd610600d59497b2b1d830063b15,,,raw_tabular,"[""dr_number: standardized identifier format"",""discount: blank converted to 0""]",false,,,accepted_clean_sales,,2024-01-03,false,source_date_delivered,,
2024-01-03,2024,01,03,DR-024137,Admin,SOLVAPRINE 10MG,7,671.43,4700.01,0,4700.01,150,1050,3650.01,0.78,valid,,,,,,,,,,,,,,2024s.csv,2024-01-03,78,335a788439c3217e34bfc0f43fc255766c7a89989981ba09ce59f11d3df66b0f,51b0b9be76c9ea316d843f7b6c9622019a7da30263e3fbb6618b2427ef930566,,,raw_tabular,"[""dr_number: standardized identifier format"",""discount: blank converted to 0""]",false,,,accepted_clean_sales,,2024-01-03,false,source_date_delivered,,
2024-01-03,2024,01,03,DR-24801,Batangas,DISPOSABLE DIAPER ADULT LARGE (HEXACARE),1,370,370,0,370,194,194,176,0.48,valid,,,,,,,,,,,,,,2024s.csv,2024-01-03,1043,58c66c19fdf22b547184a595668eff0b2b457ee332b9bbc522b45a492c9b8816,0ce256e6f6c54c8918e1b9f437998bfdb896c9b39eeab57aaf818bbbeb053037,,,raw_tabular,"[""dr_number: standardized identifier format"",""discount: blank converted to 0""]",false,,,accepted_clean_sales,,2024-01-03,false,source_date_delivered,,
2024-01-03,2024,01,03,DR-24801,Batangas,DISPOSABLE DIAPER ADULT MEDIUM (HEXACARE),1,370,370,0,370,172,172,198,0.54,valid,,,,,,,,,,,,,,2024s.csv,2024-01-03,1044,f2852bf95ed1a5ade7c5ba9cbd15b4031454f48c2bb637faf164e828d9614688,27d348c8058143f84c78e1a28be9640ec94cc9467869ca703e42f7488f3b0a2a,,,raw_tabular,"[""dr_number: standardized identifier format"",""discount: blank converted to 0""]",false,,,accepted_clean_sales,,2024-01-03,false,source_date_delivered,,
2024-01-03,2024,01,03,DR-24801,Batangas,DISPOSABLE DIAPER ADULT XL (HEXACARE),2,370,740,0,740,211,422,318,0.43,valid,,,,,,,,,,,,,,2024s.csv,2024-01-03,1042,7bf40af0e93a52244f094cdf0ed85a055f0ec3e0b493a06999a4186562b944f7,05563d425eab94b64642083ad4d641d1c0cfde5212d4ae7080785c34ac307906,,,raw_tabular,"[""dr_number: standardized identifier format"",""discount: blank converted to 0""]",false,,,accepted_clean_sales,,2024-01-03,false,source_date_delivered,,
