date_delivered,year,month,day,dr_number,area,product,quantity,unit_cost,total_cost,discount,net_cost,trade_price_unit,total_trade_price,net_income,margin_pct,quality_status,quality_notes,allocation_status,estimated,original_area,original_product,allocation_method,allocation_confidence,allocation_profile_level,allocation_weight,allocation_child_number,allocation_child_count,embedded_area_amount,allocated_embedded_area_amount,source_workbook,source_sheet,source_row_number,source_hash,business_hash,parent_source_hash,parent_business_hash,input_stage,standardization_applied,duplicate,allocation_profile_rows,allocation_profile_products,sales_acceptance_status,sales_rejection_reason
2025-02-12,2025,02,12,DR-025840,Admin,APCELAC 500MG,7,655,4585,0,4585,400,2800,1785,0.39,valid,,,,,,,,,,,,,,2025s.csv,2025-02-12,3272,2881c7ae4de0ac542eb397a71579892b0f7c59f45c8c951efd19339989a48177,08df710c7504696e1255119f1a70a5c973564d9effa8d65daeadbcdf9918e03c,,,raw_tabular,"[""dr_number: standardized identifier format"",""discount: blank converted to 0""]",false,,,accepted_clean_sales,
2025-02-12,2025,02,12,DR-025840,Admin,BENERVA PLUS 500MG/50MG/100MG/100MCG,2,1200,2400,0,2400,615,1230,1170,0.49,valid,,,,,,,,,,,,,,2025s.csv,2025-02-12,3273,51f21c44faa37889af4aaf00f2a5a6b533a2ac6e8deb052e0c1612a170fec4ee,e1950fa55542c990c0e1cb140e16d2822394d15bc33ff611b775bfa8060ee085,,,raw_tabular,"[""dr_number: standardized identifier format"",""discount: blank converted to 0""]",false,,,accepted_clean_sales,
2025-02-12,2025,02,12,DR-025840,Admin,CALCI-MAX 600- 1500MG/200IU,5,678.57,3392.85,0,3392.85,350,1750,1642.85,0.48,valid,,,,,,,,,,,,,,2025s.csv,2025-02-12,3268,81bd684e7f2d8685efd79fc1f8d003766f790784bc8ce917aaeb1b0dae114ae5,0cc5d123a9aca362a9c74ed1822d9a1424f0146ee4035605061c799448dd71fd,,,raw_tabular,"[""dr_number: standardized identifier format"",""discount: blank converted to 0""]",false,,,accepted_clean_sales,
2025-02-12,2025,02,12,DR-025840,Admin,DOLOGESIC 325MG/37.5MG TAB,3,945,2835,0,2835,270,810,2025,0.71,valid,,,,,,,,,,,,,,2025s.csv,2025-02-12,3275,0e22d83a12e060939a3e573598cca2f58342e897702365324452063831da3efc,95ad9e72e336ae2d77f00e18d1b140a6862faeabae8cf2ac35b0ac611dc6051e,,,raw_tabular,"[""dr_number: standardized identifier format"",""discount: blank converted to 0""]",false,,,accepted_clean_sales,
2025-02-12,2025,02,12,DR-025840,Admin,ENHAMOX 500MG/125MG,3,2800,8400,0,8400,1115,3345,5055,0.6,valid,,,,,,,,,,,,,,2025s.csv,2025-02-12,3274,a022f1f89256d0a887b826c9c09d56102d1f8330f8767ee7ad8b2252ea92b3a7,cd387713a2b085c3099e9295a4d153c73d1fd51fea1d4143564659e79ed00456,,,raw_tabular,"[""dr_number: standardized identifier format"",""discount: blank converted to 0""]",false,,,accepted_clean_sales,
2025-02-12,2025,02,12,DR-025840,Admin,HYCLENS OB WASH 1% 100ML,10,152.5,1525,0,1525,138.6,1386,139,0.09,valid,,,,,,,,,,,,,,2025s.csv,2025-02-12,3270,9629b5c6e6f3c52c6580a46270ed5531b7ebfb716f51130efd8efc62d79feeb4,4cb46772e9dd8a448f23ca5dc3d03fba78c7afa02294a884876481efca23c93f,,,raw_tabular,"[""dr_number: standardized identifier format"",""discount: blank converted to 0""]",false,,,accepted_clean_sales,
2025-02-12,2025,02,12,DR-025840,Admin,HYCLENS WOUND SPRAY 2% 60ML,10,229.32,2293.2,0,2293.2,114.66,1146.6,1146.6,0.5,valid,,,,,,,,,,,,,,2025s.csv,2025-02-12,3271,a2a1350f50fafbaace69cfdac3f52adef5608fc65396b49d76d2c6746ee79b7f,1ae145cdd88ef31afbd5f22d365c496a5e72cb310e3acce76a508d41949d123b,,,raw_tabular,"[""dr_number: standardized identifier format"",""discount: blank converted to 0""]",false,,,accepted_clean_sales,
2025-02-12,2025,02,12,DR-025840,Admin,SANOMAX-FA,7,857.14,5999.98,0,5999.98,560,3920,2079.98,0.35,valid,,,,,,,,,,,,,,2025s.csv,2025-02-12,3269,9679e1a20bb364bcc144b7127d472bf4121764cef1527bef8caa9b77fb6ce091,91bb3e3a20d3dd9fb81739f42ed12f27bf1f7a3e9895291e5611db4e411c2d58,,,raw_tabular,"[""dr_number: standardized identifier format"",""discount: blank converted to 0""]",false,,,accepted_clean_sales,
2025-02-15,2025,02,15,DR-MS03062,Hospital,AFENAX 100MG TAB,1,1935,1935,0,1935,595,595,1340,0.69,valid,,,,,,,,,,,,,,2025s.csv,2025-02-15,382,589e75c9cc863a74bb0d5abfd673155c516cd530528c7f94a006cb4060973375,2360c8897efda68cc6dacb8da7bd9ddb62fee90871028ca3372fd1a21e8b5c3e,,,raw_tabular,"[""dr_number: standardized identifier format"",""discount: blank converted to 0""]",false,,,accepted_clean_sales,
2025-02-15,2025,02,15,DR-MS03065,Hospital,AMINOSOL 25MG/ML (250MG/10ML) 10ML,5,570,2850,0,2850,85,425,2425,0.85,valid,,,,,,,,,,,,,,2025s.csv,2025-02-15,374,5d5372ebff29f660a39d37944334c82ab46b7eb1fd4c19e44d82a0f6c14a0eeb,de0082a8c086f177d8c2f38840d60c60418aa4a81fbb4df5beaa4355efddadde,,,raw_tabular,"[""dr_number: standardized identifier format"",""discount: blank converted to 0""]",false,,,accepted_clean_sales,
2025-02-15,2025,02,15,DR-MS03062,Hospital,ANTIZOAL 5MG/ML (500MG/100ML) 100ML,30,90,2700,0,2700,15,450,2250,0.83,valid,,,,,,,,,,,,,,2025s.csv,2025-02-15,381,d1ad1d04704a7b4ea61f1d762e15267d595a21b6238d8d57cc3363fca96a6d75,f78f8bd5d15559f3ef71fb99dfd72d122a936a80eba150d0d7357202fac83cfa,,,raw_tabular,"[""dr_number: standardized identifier format"",""discount: blank converted to 0""]",false,,,accepted_clean_sales,
2025-02-15,2025,02,15,DR-MS03062,Hospital,DIFLOSID 25MG/ML 3ML,1,750,750,0,750,126,126,624,0.83,valid,,,,,,,,,,,,,,2025s.csv,2025-02-15,384,e77636a56b16fdd11fe3ea70874c37f35a6f1182613c1bbda88fa223f156a1b5,3f17cb0d313dc4cdf269fff2f6b0c6fc6036a4bcd316f93f1befae9d60eb53a2,,,raw_tabular,"[""dr_number: standardized identifier format"",""discount: blank converted to 0""]",false,,,accepted_clean_sales,
2025-02-15,2025,02,15,DR-MS03062,Hospital,DIFLOSID 25MG/ML 3ML,4,750,3000,0,3000,126,504,2496,0.83,valid,,,,,,,,,,,,,,2025s.csv,2025-02-15,385,eb5a58a4f69ed3c2fa02d072a94f39e1e0807b920d2b2fde9919ebcb352b667b,4e4f618dd00f1f8775fe793d194eb246117cc96792b4496777ef3429ac805815,,,raw_tabular,"[""dr_number: standardized identifier format"",""discount: blank converted to 0""]",false,,,accepted_clean_sales,
2025-02-15,2025,02,15,DR-MS03062,Hospital,DOLO-JAGA 500MG/50MG/100MG/100MCG,5,1550,7750,0,7750,615,3075,4675,0.6,valid,,,,,,,,,,,,,,2025s.csv,2025-02-15,390,5bf0a5294d5a7bc760fbad7073337ad4e830b35936ff75af7f0d9ec230f30cc9,b0a39d444ec7cf4f76003279749fe467f9f78d05f28646ae5c79004171e613f7,,,raw_tabular,"[""dr_number: standardized identifier format"",""discount: blank converted to 0""]",false,,,accepted_clean_sales,
2025-02-15,2025,02,15,DR-MS03062,Hospital,ENHAMOX 500MG/125MG,5,2800.2,14001,0,14001,1115,5575,8426,0.6,valid,,,,,,,,,,,,,,2025s.csv,2025-02-15,389,cc605a829bdb5dd4c889667be92f777abf71f4181c2815c53cc6e119f9306762,4f650e325b007b182d0eecec547ebc1c090b579f14bbd57f10e9f184637d9deb,,,raw_tabular,"[""dr_number: standardized identifier format"",""discount: blank converted to 0""]",false,,,accepted_clean_sales,
2025-02-15,2025,02,15,DR-MS03062,Hospital,EROXIME 750MG IV,3,3000,9000,0,9000,175,525,8475,0.94,valid,,,,,,,,,,,,,,2025s.csv,2025-02-15,383,d349e7ed5745f991b4894ce58003e3273dc540318a41aff696ce253a6aaf2719,9f7f330ab238467fdf1a30d6bf4ac8df9c460765f6379fc2e52bf501c0d20218,,,raw_tabular,"[""dr_number: standardized identifier format"",""discount: blank converted to 0""]",false,,,accepted_clean_sales,
2025-02-15,2025,02,15,DR-MS03062,Hospital,EVAPROST 250MCG/ML IV,3,9600,28800,0,28800,3575,10725,18075,0.63,valid,,,,,,,,,,,,,,2025s.csv,2025-02-15,387,aea676606100779e034bd87baa0a06bd6df7240e4ec9fd5c53a011cf73ab3eae,c318d741847cdfb5f2ede32deba2e66760b86f472fc20bda2b8cb31a1e85065e,,,raw_tabular,"[""dr_number: standardized identifier format"",""discount: blank converted to 0""]",false,,,accepted_clean_sales,
2025-02-15,2025,02,15,DR-MS03064,Hospital,HYCLENS WOUND SPRAY 2% 60ML,50,249.49,12474.5,0,12474.5,114.66,5733,6741.5,0.54,valid,,,,,,,,,,,,,,2025s.csv,2025-02-15,376,6e9a0af777a19edd05dc6ca74b59774aedf6f1a1bacb6e9e8cda838f2756b745,d89c4050401fb9f5270b9a5473fa1e0c36d839053316180b8fdbfbbfc3bc7707,,,raw_tabular,"[""dr_number: standardized identifier format"",""discount: blank converted to 0""]",false,,,accepted_clean_sales,
2025-02-15,2025,02,15,DR-MS03062,Hospital,LACTAMOX 500MG/125MG,3,2800.2,8400.6,0,8400.6,1115,3345,5055.6,0.6,valid,,,,,,,,,,,,,,2025s.csv,2025-02-15,388,74cc863167db7e79e737f70901b2db3e9e003e8cd84a2e3a7b8454ce755c071e,2bbe826af0111d672cf0a05c583f7d9570e542ae2e77b6f92fe8ae4a67576a93,,,raw_tabular,"[""dr_number: standardized identifier format"",""discount: blank converted to 0""]",false,,,accepted_clean_sales,
2025-02-15,2025,02,15,DR-MS03062,Hospital,MERGOT 125MCG,1,2000,2000,0,2000,680,680,1320,0.66,valid,,,,,,,,,,,,,,2025s.csv,2025-02-15,386,8b29e1246997697ddd3b37ced6ccb3314a35764648ed72a70b2148bb51337f42,8182575885344b8a8b02a206882b957e6f3fef0b4f673dc5b0f2c13b71cfa60d,,,raw_tabular,"[""dr_number: standardized identifier format"",""discount: blank converted to 0""]",false,,,accepted_clean_sales,
2025-02-15,2025,02,15,DR-MS03002,Hospital,METACORT 4MG/ML (8MG/2ML) 2ML,5,1690,8450,0,8450,500,2500,5950,0.7,valid,,,,,,,,,,,,,,2025s.csv,2025-02-15,373,41c12e461c53ec9efeabe22eeb9b415be7bbe9ddc27a52672894e536b370f873,aef6568e91c1a5172ffdce8f2b542f89aeb6415a23a5804aad5edf323ff8d47b,,,raw_tabular,"[""dr_number: standardized identifier format"",""discount: blank converted to 0""]",false,,,accepted_clean_sales,
2025-02-15,2025,02,15,DR-MS03066,Hospital,RAXIDINE 25MG/ML 2ML,10,555,5550,0,5550,100,1000,4550,0.82,valid,,,,,,,,,,,,,,2025s.csv,2025-02-15,375,4ca129d3e6f4966e98d1fd860caf3f7dff4bf949ea6857fcad5af373af482c15,760c632381bdbd2998cde5e068ddc9e119bdb638c606710e701ce7c1a16922c7,,,raw_tabular,"[""dr_number: standardized identifier format"",""discount: blank converted to 0""]",false,,,accepted_clean_sales,
2025-02-15,2025,02,15,DR-MS03070,Hospital,VITACORE 100MG/100MG/1MG 3ML,2,675,1350,0,1350,110,220,1130,0.84,valid,,,,,,,,,,,,,,2025s.csv,2025-02-15,372,8b2a86b12152468d573bbc5cfe18429ea71e66dcb95b2ded09c68880ad991f1c,5af1080cdccb2da875ce1f5ff7db91f02411bad53329c44bb6f2778a5517fe13,,,raw_tabular,"[""dr_number: standardized identifier format"",""discount: blank converted to 0""]",false,,,accepted_clean_sales,
2025-02-15,2025,02,15,DR-025583,Quezon,KZIDINE 35MG,10,1350,13500,4725,8775,600,6000,2775,0.21,valid,,,,,,,,,,,,,,2025s.csv,2025-02-15,371,cde150c45cadce7354e58320a73aca00e62b54305c61d7cd5db2e944d3d028f5,564dc8d782d1a8f2bdd7cd9ec39a3532fa64e5b74d015cf8846c63b39c07d074,,,raw_tabular,"[""dr_number: standardized identifier format""]",false,,,accepted_clean_sales,
2025-05-04,2025,05,04,DR-025679,Quezon,JAGA 300MG/100MG/100MCG CAP,2,1078,2156,0,2156,530,1060,1096,0.51,valid,,,,,,,,,,,,,,2025s.csv,2025-05-04,869,2c3313583774c34e97d1cbfab691478a953fd195a4000a55e17b6e3fce870884,1c2546e8839e55a5917233d2d0c13fce136eec2a2143172c48c320eac947f92c,,,raw_tabular,"[""dr_number: standardized identifier format"",""discount: blank converted to 0""]",false,,,accepted_clean_sales,
2025-06-09,2025,06,09,DR-MS03397,Hospital,AMBIDOL 50MG/ML (100MG/2ML) 2ML,5,1200,6000,0,6000,62,310,5690,0.95,valid,,,,,,,,,,,,,,2025s.csv,2025-06-09,2434,8727c002efdf933bcb9385dbf86828a6d5be2b9321d960cc24d7085e2cb85b68,bcd564632cbf7142a4d9b10702ca7358101bc8f93a44f318addcf61eea949b0d,,,raw_tabular,"[""dr_number: standardized identifier format"",""discount: blank converted to 0""]",false,,,accepted_clean_sales,
2025-06-09,2025,06,09,DR-MS03397,Hospital,BENERVA PLUS 500MG/50MG/100MG/100MCG,3,1550,4650,0,4650,615,1845,2805,0.6,valid,,,,,,,,,,,,,,2025s.csv,2025-06-09,2433,b9073ad47c98d46857404d7d2537cc1448ebd5653a3c0e1532ae182b2a02eb8e,68aca628e7dfee8186c1640b91d66e9770619ed68e432eddeb4bca69f3f698e7,,,raw_tabular,"[""dr_number: standardized identifier format"",""discount: blank converted to 0""]",false,,,accepted_clean_sales,
2025-06-09,2025,06,09,DR-MS03397,Hospital,BUPIRIGHT 5MG/ML 0.5% IN 8% 4ML,50,620,31000,0,31000,165.18,8259,22741,0.73,valid,,,,,,,,,,,,,,2025s.csv,2025-06-09,2414,f25f9e5837078c7c79df025a5e871ea9f95cf4d2f22f4f3a49e549d4b35b7c7d,1225d16f3324b028ec7bb68d0271fe3b7a54444b2a19481a43bb9190621b84d4,,,raw_tabular,"[""dr_number: standardized identifier format"",""discount: blank converted to 0""]",false,,,accepted_clean_sales,
2025-06-09,2025,06,09,DR-MS03397,Hospital,DIFLOSID 25MG/ML 3ML,10,750,7500,0,7500,126,1260,6240,0.83,valid,,,,,,,,,,,,,,2025s.csv,2025-06-09,2419,0ff80b6f43c8175cef99a5150190ddcfce4c7247c27d61728e0dc9f3d91097e9,3ddd43b7faa7da7b2952eeb4cde1db4735e38edb19bc223bd3bafbb02a95f976,,,raw_tabular,"[""dr_number: standardized identifier format"",""discount: blank converted to 0""]",false,,,accepted_clean_sales,
2025-06-09,2025,06,09,DR-MS03397,Hospital,ENDOPROST 125MCG/ML,6,1980,11880,0,11880,940,5640,6240,0.53,valid,,,,,,,,,,,,,,2025s.csv,2025-06-09,2423,f6f770c9c70367f50904dd17ecb7acf0eb4dd89b5cfbebc50dcb5fd8468ce8dd,5b7df9675c0d7a9ec4a0c534c78f6dcd5c4b154ef9c8f401bd69376fe6fff486,,,raw_tabular,"[""dr_number: standardized identifier format"",""discount: blank converted to 0""]",false,,,accepted_clean_sales,
2025-06-09,2025,06,09,DR-MS03397,Hospital,ENHAMOX 500MG/125MG,6,2800.2,16801.2,0,16801.2,1115,6690,10111.2,0.6,valid,,,,,,,,,,,,,,2025s.csv,2025-06-09,2432,5f92f94bbbf34943680e88304f13d1933078027d8d8df82c55c47ff32aed1dd9,265f31fa6937eadf1da6923c144478a7e3362bc4e6bd3a59e9fa3334274ec589,,,raw_tabular,"[""dr_number: standardized identifier format"",""discount: blank converted to 0""]",false,,,accepted_clean_sales,
2025-06-09,2025,06,09,DR-MS03397,Hospital,EROXIME 750MG IV,40,300,12000,0,12000,175,7000,5000,0.42,valid,,,,,,,,,,,,,,2025s.csv,2025-06-09,2417,1a15744709f5deea16fcc4a920b19b67a77e659f4883c0a5c54a06f7e75e5051,a98b52b80debee7eeece01a469581dc18c7e207666246728d57dd0a96e0f43cf,,,raw_tabular,"[""dr_number: standardized identifier format"",""discount: blank converted to 0""]",false,,,accepted_clean_sales,
2025-06-09,2025,06,09,DR-MS03397,Hospital,EROXIME 750MG IV,10,300,3000,0,3000,175,1750,1250,0.42,valid,,,,,,,,,,,,,,2025s.csv,2025-06-09,2418,7aae994ae7a0a7203c24cede103c5fcb5f83881e732eec88756625d1b7727bd5,b6973a769454076cf1dc676167889e2fe2c62f341efdfb4f06d77ea53900a99d,,,raw_tabular,"[""dr_number: standardized identifier format"",""discount: blank converted to 0""]",false,,,accepted_clean_sales,
2025-06-09,2025,06,09,DR-MS03397,Hospital,EVAPROST 250MCG/ML IV,1,9600,9600,0,9600,3575,3575,6025,0.63,valid,,,,,,,,,,,,,,2025s.csv,2025-06-09,2425,e9f9b907b853218383e2fb6f766b255c5b6748569f4e041bc8a735a8d148d078,40b748d35a0744a500285cff0c5de2b56c5f48228e241ec80c887d47300269b3,,,raw_tabular,"[""dr_number: standardized identifier format"",""discount: blank converted to 0""]",false,,,accepted_clean_sales,
2025-06-09,2025,06,09,DR-MS03397,Hospital,EVAPROST 250MCG/ML IV,1,9600,9600,0,9600,3575,3575,6025,0.63,warning,exact duplicate transaction,,,,,,,,,,,,,2025s.csv,2025-06-09,2426,0e6b43c0c958d43997998aa3521f5c7133d376454dfb73ade791b9cdab19a15b,40b748d35a0744a500285cff0c5de2b56c5f48228e241ec80c887d47300269b3,,,raw_tabular,"[""dr_number: standardized identifier format"",""discount: blank converted to 0""]",true,,,accepted_clean_sales,
2025-06-09,2025,06,09,DR-MS03397,Hospital,HYCLENS WOUND SPRAY 2% 60ML,30,300,9000,0,9000,114.66,3439.8,5560.2,0.62,valid,,,,,,,,,,,,,,2025s.csv,2025-06-09,2437,cc000dcad20260a2887faff9f07e247694e8b02c71f5ef01e8f843734903ed1c,4c40a3ad81d2696a3beb5cc885ea3a49f899f85194da351dbfcb3ba339a3dd4d,,,raw_tabular,"[""dr_number: standardized identifier format"",""discount: blank converted to 0""]",false,,,accepted_clean_sales,
2025-06-09,2025,06,09,DR-MS03397,Hospital,MERGOT 125MCG,1,2000,2000,0,2000,680,680,1320,0.66,valid,,,,,,,,,,,,,,2025s.csv,2025-06-09,2421,38b74d9ab6a8ed34b3728665c59e2b30dddea448478cffcb3fc264960cacf38d,8f9f9c97156fdefc6238742e709b24377c654c58a41243bcde568f1e68688704,,,raw_tabular,"[""dr_number: standardized identifier format"",""discount: blank converted to 0""]",false,,,accepted_clean_sales,
2025-06-09,2025,06,09,DR-MS03397,Hospital,PHYTOBAS 10MG/ML IV,7,900,6300,0,6300,140,980,5320,0.84,valid,,,,,,,,,,,,,,2025s.csv,2025-06-09,2435,79da36cb1bb90262c290cb49faac3e650715cc31f9445180d98a394eb6046db4,c32d01ffed60a6aaca33efec800ef6ff5e4790a48b7c760b92f8dcc1e0d5b3f4,,,raw_tabular,"[""dr_number: standardized identifier format"",""discount: blank converted to 0""]",false,,,accepted_clean_sales,
