source_workbook,source_sheet,source_row_number,date_delivered,area,product,quantity,unit_cost,total_cost,discount,net_cost,trade_price_unit,total_trade_price,net_income,margin_pct,quality_status,quality_notes
2021s.csv,2021-11-15,1601,2021-11-15,Government,SUCTION CATHETER - SURGITECH - FR#5,10,25,250,0,250,15,150,100,0.4,valid,
2021s.csv,2021-11-15,1600,2021-11-15,Government,SUCTION CATHETER - SURGITECH - FR#8,100,25,2500,0,2500,15,1500,1000,0.4,valid,
2022s.csv,2022-05-23,1110,2022-05-23,Marinduque,NYLON #300,2,798,1596,0,1596,380,760,836,0.52,valid,
2022s.csv,2022-05-31,3611,2022-05-31,Government,STERILE LATEX SURGICAL GLOVES #7,15,1350,20250,0,20250,750,11250,9000,0.44,valid,
2022s.csv,2022-05-31,3629,2022-05-31,Government,STERILE LATEX SURGICAL GLOVES #7,15,1820,27300,0,27300,750,11250,16050,0.59,valid,
2022s.csv,2022-06-30,3843,2022-06-30,Government,HARD COPY SUB#20 LONG,5,231,1155,0,1155,168,840,315,0.27,valid,
2022s.csv,2022-06-30,3844,2022-06-30,Government,HARD COPY SUB#20 SHORT,5,270,1350,0,1350,141,705,645,0.48,valid,
2022s.csv,2022-10-09,3943,2022-10-09,Government,SURGICAL BLADES #20,3,1050,3150,0,3150,306,918,2232,0.71,valid,
2023s.csv,2023-01-21,1741,2023-01-21,Government,COMPUTER INK #664 EPSON,30,338,10140,0,10140,263,7890,2250,0.22,valid,
2023s.csv,2023-01-21,1592,2023-01-21,Government,HARD COPY SUB#20 (8 1/2X13) LONG,5,220,1100,0,1100,197,985,115,0.1,valid,
2023s.csv,2023-01-21,1736,2023-01-21,Government,HARD COPY SUB#20 (8 1/2X13) LONG,200,245,49000,0,49000,197,39400,9600,0.2,valid,
2023s.csv,2023-01-21,1591,2023-01-21,Government,HARD COPY SUB#20 A4,5,260,1300,0,1300,193.5,967.5,332.5,0.26,valid,
2023s.csv,2023-01-21,1735,2023-01-21,Government,HARD COPY SUB#20 A4,100,215,21500,0,21500,193.5,19350,2150,0.1,valid,
2023s.csv,2023-01-21,1737,2023-01-21,Government,HARD COPY SUB#20 SHORT,200,210,42000,0,42000,141,28200,13800,0.33,valid,
2023s.csv,2023-01-21,1596,2023-01-21,Government,INK EPSON #003 BLACK,4,2395,9580,0,9580,260,1040,8540,0.89,valid,
2023s.csv,2023-01-21,1742,2023-01-21,Government,INK EPSON #003 BLACK,100,338,33800,0,33800,260,26000,7800,0.23,valid,
2023s.csv,2023-01-21,1574,2023-01-21,Government,INK EPSON #003 CYAN,20,360,7200,0,7200,275,5500,1700,0.24,valid,
2023s.csv,2023-01-21,1575,2023-01-21,Government,INK EPSON #003 MAGENTA,20,360,7200,0,7200,275,5500,1700,0.24,valid,
2023s.csv,2023-01-21,1576,2023-01-21,Government,INK EPSON #003 YELLOW,20,360,7200,0,7200,275,5500,1700,0.24,valid,
2023s.csv,2023-01-21,1750,2023-01-21,Government,STAPLE WIRE #35,100,70,7000,0,7000,42,4200,2800,0.4,valid,
2023s.csv,2023-01-23,3438,2023-01-23,Government,SURGICAL BLADE #11,1,385,385,0,385,280,280,105,0.27,valid,
2023s.csv,2023-01-23,3437,2023-01-23,Government,SURGICAL BLADES #10,1,385,385,0,385,400,400,15,-0.04,valid,
2023s.csv,2023-01-23,3439,2023-01-23,Government,SURGICAL BLADES PARTNERS #15,1,385,385,0,385,310,310,75,0.19,valid,
2023s.csv,2023-01-23,3440,2023-01-23,Government,SURGICAL BLADES SURGITECH #20,1,385,385,0,385,280,280,105,0.27,valid,
2023s.csv,2023-03-14,2517,2023-03-14,Government,GUEDEL AIRWAY #5 (ORMED),2,85,170,0,170,65,130,40,0.24,valid,
2023s.csv,2023-03-14,2516,2023-03-14,Government,GUEDEL AIRWAY ORMED RED #4 SIZE 100MM,2,85,170,0,170,75,150,20,0.12,valid,
2023s.csv,2023-03-14,2514,2023-03-14,Government,GUEDEL AIRWAY SEDASENZ GREEN # 2 1-SM-GAIR02,2,85,170,0,170,75,150,20,0.12,valid,
