source_workbook,source_sheet,source_row_number,date_delivered,area,product,quantity,unit_cost,total_cost,discount,net_cost,trade_price_unit,total_trade_price,net_income,margin_pct,quality_status,quality_notes
2024s.csv,2024-02-07,2662,2024-02-07,Government,"PAGBILAO # 11,077.00",1,10997,10997,0,10997,6455,6455,4542,0.41,valid,
2024s.csv,2024-02-07,2654,2024-02-07,Government,"PAGBILAO # 31,350.00",1,31230,31230,0,31230,15649.2,15649.2,15580.8,0.5,valid,
2024s.csv,2024-02-07,2652,2024-02-07,Government,"PAGBILAO # 8,930.00",1,8830,8830,0,8830,4811,4811,4019,0.46,valid,
2024s.csv,2024-02-08,2676,2024-02-08,Government,"PAGBILAO # 43,790.00",1,43790,43790,0,43790,25501.72,25501.72,18288.28,0.42,valid,
2024s.csv,2024-02-08,2679,2024-02-08,Government,"PAGBILAO # 46,930.00",1,14690.25,14690.25,0,14690.25,30936,30936,16245.75,-1.11,warning,margin percentage is outside the expected range
2024s.csv,2024-02-10,2765,2024-02-10,Government,"PAGBILAO # 21,950.00",1,21791,21791,0,21791,14325,14325,7466,0.34,valid,
2024s.csv,2024-02-10,2764,2024-02-10,Government,"PAGBILAO # 85,000.00",1,84850,84850,0,84850,23000,23000,61850,0.73,valid,
2024s.csv,2024-02-10,2389,2024-02-10,Hospital,"QMC # 162,922.00",1,161999.8,161999.8,0,161999.8,92220,92220,69779.8,0.43,valid,
2024s.csv,2024-04-26,2591,2024-04-26,Government,"PAGBILAO # 80,216.00 LOT 4",1,79967.5,79967.5,0,79967.5,47295,47295,32672.5,0.41,valid,
2024s.csv,2024-05-06,2623,2024-05-06,Government,"PAGBILAO #246,628.00",1,24500,24500,0,24500,128294,128294,103794,-0.0424,valid,
2024s.csv,2024-05-07,2655,2024-05-07,Government,"PAGBILAO # 34,405.00",1,35890,35890,0,35890,22178,22178,13712,0.38,valid,
2024s.csv,2024-05-08,2675,2024-05-08,Government,"PAGBILAO # 42,960.00",1,42651,42651,0,42651,20550,20550,22101,0.52,valid,
2024s.csv,2024-05-08,2673,2024-05-08,Government,"PAGBILAO # 43,240.00",1,28636.5,28636.5,0,28636.5,21762.17,21762.17,6874.33,0.24,valid,
2024s.csv,2024-05-09,2725,2024-05-09,Government,"PAGBILAO # 20,695.00",1,18815.25,18815.25,0,18815.25,14541.2,14541.2,4274.05,0.23,valid,
2024s.csv,2024-05-09,2242,2024-05-09,Hospital,"QMC # 64,459.00",1,64400,64400,0,64400,33771,33771,30629,0.48,valid,
2024s.csv,2024-05-14,2612,2024-05-14,Government,"PAGBILAO # 61,024.00 LOT 14",1,26000,26000,0,26000,30096.5,30096.5,4096.5,-0.16,valid,
2024s.csv,2024-05-16,2615,2024-05-16,Government,"PAGBILAO # 154,415.00 LOT 15",1,21910,21910,0,21910,70452.75,70452.75,48542.75,-0.0222,valid,
2024s.csv,2024-05-20,2620,2024-05-20,Government,"PAGBILAO # 124,234.25",1,70794,70794,0,70794,76895.35,76895.35,6101.35,-0.09,valid,
2024s.csv,2024-05-23,2619,2024-05-23,Government,"PADRE BURGOS # 74,500.00",1,74380,74380,0,74380,50889,50889,23491,0.32,valid,
2024s.csv,2024-05-24,2627,2024-05-24,Government,"PAGBILAO # 80,000.00",1,79900,79900,0,79900,62244,62244,17656,0.22,valid,
2024s.csv,2024-05-28,2626,2024-05-28,Government,"PAGBILAO # 63,225.00",1,63150,63150,0,63150,35299,35299,27851,0.44,valid,
2024s.csv,2024-06-06,2628,2024-06-06,Government,"PAGBILAO # 500,000.00",1,43200,43200,0,43200,226726,226726,183526,-0.0425,valid,
2024s.csv,2024-06-09,2751,2024-06-09,Government,"PAGBILAO # 30,250.00",1,28628.5,28628.5,0,28628.5,17875,17875,10753.5,0.38,valid,
2024s.csv,2024-06-09,2755,2024-06-09,Government,"PAGBILAO # 449,000.00",1,314300,314300,0,314300,208223.75,208223.75,106076.25,0.34,valid,
2024s.csv,2024-06-21,2634,2024-06-21,Government,"PAGBILAO # 34,405.00",1,14475,14475,0,14475,22178,22178,7703,-0.53,valid,
2024s.csv,2024-06-21,2637,2024-06-21,Government,"PAGBILAO # 69,660.00",1,47520,47520,0,47520,37764.5,37764.5,9755.5,0.21,valid,
2024s.csv,2024-06-21,2640,2024-06-21,Government,"PAGBILAO # 83,090.00",1,37590,37590,0,37590,49399,49399,11809,-0.31,valid,
2024s.csv,2024-06-24,2651,2024-06-24,Government,"PAGBILAO # 17,220.00",1,17046,17046,0,17046,11514,11514,5532,0.32,valid,
2024s.csv,2024-06-24,2687,2024-06-24,Government,"PROVINCIAL TOURISM OFFICE # 306,000.00",1,305800,305800,0,305800,202592.5,202592.5,103207.5,0.34,valid,
2024s.csv,2024-06-24,2688,2024-06-24,Government,"PROVINCIAL TOURISM OFFICE # 71,500.00",1,71000,71000,0,71000,47037.5,47037.5,23962.5,0.34,valid,
