normalized_key,raw_product,row_count
DOLO JAGA 500MG 50MG 100MG 100MCG,DOLO JAGA 500MG/50MG/100MG/100MCG,250
DOLO JAGA 500MG 50MG 100MG 100MCG,DOLO-JAGA 500MG/50MG/100MG/100MCG,144
LACTAMOX 500MG 125MG,LACTAMOX 500MG/125MG TAB,162
LACTAMOX 500MG 125MG,LACTAMOX 500MG/125MG,143
JAGA 300MG 100MG 100MCG,JAGA 300MG/100MG/100MCG,162
JAGA 300MG 100MG 100MCG,JAGA 300MG/100MG/100MCG CAP,127
SOLVAPRINE 10MG,SOLVAPRINE 10MG,110
SOLVAPRINE 10MG,SOLVAPRINE 10MG TAB,84
CIUMADE,CIUMADE,108
CIUMADE,CIUMADE TAB,86
FERGLOBIN 250MG,FERGLOBIN 250MG,104
FERGLOBIN 250MG,FERGLOBIN 250MG CAP,87
SANOMAX FA,SANOMAX - FA,97
SANOMAX FA,SANOMAX-FA,66
AFENAX 100MG,AFENAX 100MG TAB,83
AFENAX 100MG,AFENAX 100MG,79
FOLACID 5MG,FOLACID 5MG,103
FOLACID 5MG,FOLACID 5MG CAP,48
CENDALEX 500MG,CENDALEX 500MG,107
CENDALEX 500MG,CENDALEX 500MG CAP,43
VOXOLL 30MG,VOXOLL 30MG,83
VOXOLL 30MG,VOXOLL 30MG TAB,43
ZELEX 200MG,ZELEX 200MG CAP,70
ZELEX 200MG,ZELEX 200MG,48
MUCOLIFAR 500MG,MUCOLIFAR 500MG,62
MUCOLIFAR 500MG,MUCOLIFAR 500MG TAB,51
HYCLENS GARGLE,HYCLENS GARGLE (60ML),63
HYCLENS GARGLE,HYCLENS GARGLE (120ML),40
TRIDEN 160MG,TRIDEN 160MG TAB,88
TRIDEN 160MG,TRIDEN 160MG,14
METMIC 500MG,METMIC 500MG,79
METMIC 500MG,METMIC 500MG CAP,9
CINNABLOC 25MG,CINNABLOC 25MG,56
CINNABLOC 25MG,CINNABLOC 25MG TAB,23
CEPROTRON 500MG,CEPROTRON 500MG,61
CEPROTRON 500MG,CEPROTRON 500MG TAB,16
ERGON 125MCG,ERGON 125MCG,54
ERGON 125MCG,ERGON 125MCG TAB,19
ANEROCIN 300MG,ANEROCIN 300MG,44
ANEROCIN 300MG,ANEROCIN 300MG CAP,29
RANICLAV 625MG,RANICLAV 625MG,50
RANICLAV 625MG,RANICLAV 625MG TAB,14
TRIZEF 100MG,TRIZEF 100MG,56
TRIZEF 100MG,TRIZEF 100MG TAB,6
ENOCEE 500MG,ENOCEE 500MG,58
ENOCEE 500MG,ENOCEE 500MG TAB,3
GLOVES BLUE VINYL NITRILE BLEND,GLOVES BLUE VINYL/NITRILE BLEND (MEDIUM),28
GLOVES BLUE VINYL NITRILE BLEND,GLOVES BLUE VINYL/NITRILE BLEND (SMALL),13
GLOVES BLUE VINYL NITRILE BLEND,GLOVES BLUE VINYL/NITRILE BLEND (LARGE),12
GLOVES BLUE VINYL NITRILE BLEND,GLOVES BLUE VINYL/NITRILE BLEND (XL),4
IRBIN 150MG,IRBIN 150MG,49
IRBIN 150MG,IRBIN 150MG TAB,7
DOPAMET 250MG,DOPAMET 250MG TAB,28
DOPAMET 250MG,DOPAMET 250MG,28
ARTAL H 50MG 12 5MG,ARTAL-H 50MG/12.5MG,30
ARTAL H 50MG 12 5MG,ARTAL-H 50MG/12.5MG TAB,21
CINNABLOC 75MG,CINNABLOC 75MG,38
CINNABLOC 75MG,CINNABLOC 75MG CAP,10
EXECORE 500MG,EXECORE 500MG TAB,40
EXECORE 500MG,EXECORE 500MG,8
GLOVEDOL 6 25MG,GLOVEDOL 6.25MG,44
GLOVEDOL 6 25MG,GLOVEDOL 6.25MG TAB,3
CLOXANE 500MG,CLOXANE 500MG CAP,32
CLOXANE 500MG,CLOXANE 500MG,14
CATAMED 75MCG,CATAMED 75MCG TAB,38
CATAMED 75MCG,CATAMED 75MCG,8
FERGLOBIN FA 60MG 400MCG,FERGLOBIN FA 60MG/400MCG CAP,29
FERGLOBIN FA 60MG 400MCG,FERGLOBIN FA 60MG/400MCG,14
MULTI GROW 120ML,MULTI GROW 120ML,29
MULTI GROW 120ML,MULTI-GROW 120ML,14
TERMAGEN 500MG,TERMAGEN 500MG,32
TERMAGEN 500MG,TERMAGEN 500MG TAB,11
CLOVAS 75MG,CLOVAS 75MG,28
CLOVAS 75MG,CLOVAS 75MG TAB,15
JAGAPLEX,JAGAPLEX TAB,28
JAGAPLEX,JAGAPLEX,15
AZCORE 500MG,AZCORE 500MG TAB,23
AZCORE 500MG,AZCORE 500MG,20
TRIZEF 200MG,TRIZEF 200MG TAB,38
TRIZEF 200MG,TRIZEF 200MG,5
ENCLOXIL 500MG,ENCLOXIL 500MG,33
ENCLOXIL 500MG,ENCLOXIL 500MG CAP,9
VELON 6 25MG,VELON 6.25MG TAB,20
VELON 6 25MG,VELON 6.25MG,15
HAEMOREX 500MG,HAEMOREX 500MG CAP,20
HAEMOREX 500MG,HAEMOREX 500MG,13
TOSYLAM 750MG,TOSYLAM 750MG TAB,26
TOSYLAM 750MG,TOSYLAM 750MG,5
MECID 500MG,MECID 500MG,20
MECID 500MG,MECID 500MG CAP,10
FLAGEX 500MG,FLAGEX 500MG,24
FLAGEX 500MG,FLAGEX 500MG TAB,5
ALLECUR 10MG,ALLECUR 10MG,25
ALLECUR 10MG,ALLECUR 10MG TAB,3
TANAFEN 450MG 35MG,TANAFEN 450MG/35MG,15
TANAFEN 450MG 35MG,TANAFEN 450MG/35MG TAB,13
INHIBITA 40MG,INHIBITA 40MG,19
INHIBITA 40MG,INHIBITA 40MG CAP,8
AXMEL 500MG,AXMEL 500MG,25
AXMEL 500MG,AXMEL 500MG CAP,1
CLIN GEN 300MG,CLIN-GEN 300MG,16
CLIN GEN 300MG,CLIN-GEN 300MG CAP,9
GLOVES MEDIUM NITRILE NONSTERILE,GLOVES MEDIUM NITRILE NONSTERILE (SURGITECH),10
GLOVES MEDIUM NITRILE NONSTERILE,GLOVES MEDIUM NITRILE NONSTERILE (LTN),8
GLOVES MEDIUM NITRILE NONSTERILE,GLOVES MEDIUM NITRILE NONSTERILE (GLOMED),3
GLOVES MEDIUM NITRILE NONSTERILE,GLOVES MEDIUM NITRILE NONSTERILE (DR.GREG),2
EXEL 500MG,EXEL 500MG CAP,14
EXEL 500MG,EXEL 500MG,8
NITROFIX SR 30MG,NITROFIX SR 30MG,17
NITROFIX SR 30MG,NITROFIX SR 30MG TAB,4
CELEKOP 200MG,CELEKOP 200MG CAP,17
CELEKOP 200MG,CELEKOP 200MG,4
VOLUMETRIC SOLUTION INFUSION SET 150ML,VOLUMETRIC SOLUTION INFUSION SET 150ML (POLYVOL),12
VOLUMETRIC SOLUTION INFUSION SET 150ML,VOLUMETRIC SOLUTION INFUSION SET 150ML (COSMED),4
VOLUMETRIC SOLUTION INFUSION SET 150ML,VOLUMETRIC SOLUTION INFUSION SET 150ML (INDOPLAS),3
VOLUMETRIC SOLUTION INFUSION SET 150ML,VOLUMETRIC SOLUTION INFUSION SET 150ML (POLYMED),2
MATERNITY PADS 8S,MATERNITY PADS 8S (MAXIFREE),15
MATERNITY PADS 8S,MATERNITY PADS 8S (SANITEX),5
DIXIN 250MCG,DIXIN 250MCG,10
DIXIN 250MCG,DIXIN 250MCG TAB,9
CYFROX 500MG,CYFROX 500MG,16
CYFROX 500MG,CYFROX 500MG TABLET,3
RANITEIN 150MG,RANITEIN 150MG,17
RANITEIN 150MG,RANITEIN 150MG TAB,2
EMICOX 200MG,EMICOX 200MG CAP,11
EMICOX 200MG,EMICOX 200MG,7
BETZINE 16MG,BETZINE 16MG,11
BETZINE 16MG,BETZINE 16MG TAB,6
APTRADOL 50MG,APTRADOL 50MG,13
APTRADOL 50MG,APTRADOL 50MG CAP,4
CARDIZAR 50MG,CARDIZAR 50MG,12
CARDIZAR 50MG,CARDIZAR 50MG TAB,5
REGIVASC 5MG,REGIVASC 5MG,9
REGIVASC 5MG,REGIVASC 5MG TAB,8
NEBULIZER KIT WITH MASK PEDIA,NEBULIZER KIT WITH MASK PEDIA (PARTNERS),7
NEBULIZER KIT WITH MASK PEDIA,NEBULIZER KIT WITH MASK PEDIA (HEXACARE),5
NEBULIZER KIT WITH MASK PEDIA,NEBULIZER KIT WITH MASK PEDIA (SURGITECH),1
NEBULIZER KIT WITH MASK PEDIA,NEBULIZER KIT WITH MASK PEDIA (TOPCARE),1
GLOVES MEDIUM LATEX NONSTERILE,GLOVES MEDIUM LATEX NONSTERILE (INDOPLAS),7
GLOVES MEDIUM LATEX NONSTERILE,GLOVES MEDIUM LATEX NONSTERILE (SURGITECH),4
GLOVES MEDIUM LATEX NONSTERILE,GLOVES MEDIUM LATEX NONSTERILE (PROCARE),1
GLOVES MEDIUM LATEX NONSTERILE,GLOVES MEDIUM LATEX NONSTERILE (FITONE),1
GLOVES MEDIUM LATEX NONSTERILE,GLOVES MEDIUM LATEX NONSTERILE (SCHULLERMED),1
AEROX 500MG,AEROX 500MG,12
AEROX 500MG,AEROX 500MG TAB,1
GOUTSAPH 500MCG,GOUTSAPH 500MCG,9
GOUTSAPH 500MCG,GOUTSAPH 500MCG TAB,4
VERTEX 25MG,VERTEX 25MG,9
VERTEX 25MG,VERTEX 25MG TAB,4
AMBIMOX 500MG,AMBIMOX 500MG,6
AMBIMOX 500MG,AMBIMOX 500MG CAP,6
GLOVES STERILE LATEX SURE GUARD,GLOVES STERILE LATEX (7.5) SURE-GUARD,7
GLOVES STERILE LATEX SURE GUARD,GLOVES STERILE LATEX (6.5) SURE-GUARD,5
DISPOSABLE DIAPER ADULT XL,DISPOSABLE DIAPER ADULT XL (HEXACARE),7
DISPOSABLE DIAPER ADULT XL,DISPOSABLE DIAPER ADULT XL (EVERWELL),3
DISPOSABLE DIAPER ADULT XL,DISPOSABLE DIAPER ADULT XL (DR.CARE),2
BETZINE 8MG,BETZINE 8MG,10
BETZINE 8MG,BETZINE 8MG TAB,1
MYMET 500MG,MYMET 500MG,7
MYMET 500MG,MYMET 500MG TAB,4
ANESTIN 20MG ML,ANESTIN 20MG/ML,10
ANESTIN 20MG ML,ANESTIN 20MG/ML (2% W/V),1
HARD COPY SUB 20 LONG,HARD COPY SUB#20 (8 1/2X13) LONG,10
HARD COPY SUB 20 LONG,HARD COPY SUB#20 LONG,1
DISPOSABLE INFUSION SET ADULT 20MACRODROPS ML,DISPOSABLE INFUSION SET ADULT 20MACRODROPS/ML (HEXACARE),7
DISPOSABLE INFUSION SET ADULT 20MACRODROPS ML,DISPOSABLE INFUSION SET ADULT 20MACRODROPS/ML (PRIME),2
DISPOSABLE INFUSION SET ADULT 20MACRODROPS ML,DISPOSABLE INFUSION SET ADULT 20MACRODROPS/ML (SURGITECH),2
TRIOPHIL 35MG,TRIOPHIL 35MG,10
TRIOPHIL 35MG,TRIOPHIL 35MG TAB,1
NEBULIZER KIT ADULT,NEBULIZER KIT ADULT (AIRLIFE),6
NEBULIZER KIT ADULT,NEBULIZER KIT ADULT (SURGITECH),5
GLOVES LARGE LATEX NONSTERILE,GLOVES LARGE LATEX NONSTERILE (INDOPLAS),8
GLOVES LARGE LATEX NONSTERILE,GLOVES LARGE LATEX NONSTERILE (DR.CARE),1
GLOVES LARGE LATEX NONSTERILE,GLOVES LARGE LATEX NONSTERILE (PROCARE),1
GLOVES LARGE LATEX NONSTERILE,GLOVES LARGE LATEX NONSTERILE (SCHULLERMED),1
FERRICORE 325MG,FERRICORE 325MG,9
FERRICORE 325MG,FERRICORE 325MG TAB,1
LEUKOPLAST 1,"LEUKOPLAST 1"" (2.5CMX5M)",8
LEUKOPLAST 1,LEUKOPLAST 1'' (2.5CMX5M),2
SOLVASC 5MG,SOLVASC 5MG,6
SOLVASC 5MG,SOLVASC 5MG TAB,4
MYREVIT C 500MG,MYREVIT-C 500MG,7
MYREVIT C 500MG,MYREVIT-C 500MG TAB,3
UNISOL M,UNISOL-M,6
UNISOL M,UNISOL - M,4
SANOVIZ OB PLUS,SANOVIZ OB PLUS,6
SANOVIZ OB PLUS,SANOVIZ OB PLUS CAP,4
DISPOSABLE DIAPER ADULT LARGE,DISPOSABLE DIAPER ADULT LARGE (HEXACARE),3
DISPOSABLE DIAPER ADULT LARGE,DISPOSABLE DIAPER ADULT LARGE (EVERWELL),2
DISPOSABLE DIAPER ADULT LARGE,DISPOSABLE DIAPER ADULT LARGE (TOPCARE),1
DISPOSABLE DIAPER ADULT LARGE,DISPOSABLE DIAPER ADULT LARGE (DR.CARE),1
DISPOSABLE DIAPER ADULT LARGE,DISPOSABLE DIAPER ADULT LARGE (PRIME CARE),1
DISPOSABLE DIAPER ADULT LARGE,DISPOSABLE DIAPER ADULT LARGE (SURE-GUARD),1
DISPOSABLE DIAPER ADULT LARGE,DISPOSABLE DIAPER ADULT LARGE (SURGITECH),1
GLOVES GLOMED,GLOVES (M) - GLOMED,6
GLOVES GLOMED,GLOVES (L) - GLOMED,3
HYPERSTOP 25MG,HYPERSTOP 25MG,5
HYPERSTOP 25MG,HYPERSTOP 25MG TAB,4
LUCAZT 10MG,LUCAZT 10MG,8
LUCAZT 10MG,LUCAZT 10MG TAB,1
DISPOSABLE SYRINGE 23GX1 LUER LOCK DELCARE,DISPOSABLE SYRINGE (10CC/ML) 23GX1 LUER LOCK - DELCARE,4
DISPOSABLE SYRINGE 23GX1 LUER LOCK DELCARE,DISPOSABLE SYRINGE (5CC/ML) 23GX1 LUER LOCK - DELCARE,3
DISPOSABLE SYRINGE 23GX1 LUER LOCK DELCARE,DISPOSABLE SYRINGE (3CC/ML) 23GX1 LUER LOCK - DELCARE,2
UMBILICAL CORD CLAMP,UMBILICAL CORD CLAMP,5
UMBILICAL CORD CLAMP,UMBILICAL CORD CLAMP (SURGITECH),2
UMBILICAL CORD CLAMP,UMBILICAL CORD CLAMP (TOPCARE),1
UMBILICAL CORD CLAMP,UMBILICAL CORD CLAMP (PARTNERS),1
ELASTIC BANDAGE 3X5,ELASTIC BANDAGE 3X5 (SURE-GUARD),3
ELASTIC BANDAGE 3X5,ELASTIC BANDAGE 3X5 (INDOPLAS),3
ELASTIC BANDAGE 3X5,ELASTIC BANDAGE 3X5 (SURGITECH),2
ELASTIC BANDAGE 3X5,ELASTIC BANDAGE 3X5 (PARTNERS),1
IV CANNULA WITH WINGS INJECTION VALVE G20 1 1X32MM,IV CANNULA WITH WINGS & INJECTION VALVE G20 1.1X32MM (CATHULA),7
IV CANNULA WITH WINGS INJECTION VALVE G20 1 1X32MM,IV CANNULA WITH WINGS & INJECTION VALVE G20 1.1X32MM (CANCARE),2
URISOL 100MG,URISOL 100MG,4
URISOL 100MG,URISOL 100MG TAB,4
CAPTOBES 25MG,CAPTOBES 25MG,7
CAPTOBES 25MG,CAPTOBES 25MG TAB,1
NASAL OXYGEN CANNULA SURGITECH,NASAL OXYGEN CANNULA (ADULT) - SURGITECH,5
NASAL OXYGEN CANNULA SURGITECH,NASAL OXYGEN CANNULA (PEDIA) - SURGITECH,3
MYREFEN 500MG,MYREFEN 500MG,5
MYREFEN 500MG,MYREFEN 500MG CAP,3
ELASTIC BANDAGE 6X5,ELASTIC BANDAGE 6X5 (PARTNERS),4
ELASTIC BANDAGE 6X5,ELASTIC BANDAGE 6X5 (INDOPLAS),2
ELASTIC BANDAGE 6X5,ELASTIC BANDAGE 6X5 (SURE-GUARD),1
ELASTIC BANDAGE 6X5,ELASTIC BANDAGE 6X5 (SURGITECH),1
DIGITAL THERMOMETER,DIGITAL THERMOMETER (SURGITECH),7
DIGITAL THERMOMETER,DIGITAL THERMOMETER (BUZZLE),1
ELASTIC BANDAGE 4X5,ELASTIC BANDAGE 4X5 (INDOPLAS),6
ELASTIC BANDAGE 4X5,ELASTIC BANDAGE 4X5 (PARTNERS),2
GABASAPH 300MG,GABASAPH-300MG,5
GABASAPH 300MG,GABASAPH 300MG,3
PREHEXA,PREHEXA,5
PREHEXA,PREHEXA CAPSULE,3
AWANAY FORTE 500MG,AWANAY FORTE 500MG,6
AWANAY FORTE 500MG,AWANAY FORTE 500MG TAB,1
IBUFEN 400MG,IBUFEN 400MG TAB,6
IBUFEN 400MG,IBUFEN 400MG,1
LUBRICATING JELLY 150G,LUBRICATING JELLY 150G,4
LUBRICATING JELLY 150G,LUBRICATING JELLY 150G (PARTNERS),2
LUBRICATING JELLY 150G,LUBRICATING JELLY 150G (NOBRAND),1
FENOCARE 200MG,FENOCARE 200MG CAP,4
FENOCARE 200MG,FENOCARE 200MG,3
DISPOSABLE PREP RAZOR SINGLE EDGE,DISPOSABLE PREP RAZOR-SINGLE EDGE (UNIMEX),6
DISPOSABLE PREP RAZOR SINGLE EDGE,DISPOSABLE PREP RAZOR-SINGLE EDGE (KAI),1
DISPOSABLE SYRINGE 5CC 23GX1,DISPOSABLE SYRINGE 5CC 23GX1 (TERUMO),5
DISPOSABLE SYRINGE 5CC 23GX1,DISPOSABLE SYRINGE 5CC 23GX1 (SURESHOT),1
