product_name,total_transactions,total_quantity,total_net_sales,total_gross_margin,gross_margin_pct,first_year,last_year
"PAGBILAO # 13,500,000",2,2.00,24797580.00,16338881.12,65.89,2025,2025
PROFUREX 750MG,39,37760.00,14252134.40,1930988.40,13.55,2018,2023
"PAGBILAO # 6,334,470",2,2.00,12666000.00,6599934.72,52.11,2024,2025
EVAPROST 250MCG/ML,241,1636.00,10498537.00,5797412.00,55.22,2018,2023
SPEEDA,60,1551.00,9835920.97,7790376.97,79.20,2018,2023
MAXIFER 20MG/ML,146,3769.00,9412580.00,2597673.99,27.60,2018,2023
EUROXONE 1G,309,25563.00,8565452.95,6701324.95,78.24,2018,2023
MONOWEL 1G IV,11,12600.00,8111735.00,478683.00,5.90,2024,2025
DR#0157 SI 0181,1,1.00,7933995.00,0.00,0.00,2020,2020
ZEFXON 40MG,58,10530.00,5692660.00,877859.00,15.42,2018,2022
SITIXON 1G,98,18941.00,5150698.78,4563334.18,88.60,2018,2023
EVAPROST 125MCG/ML,211,1165.00,4734528.00,2727744.00,57.61,2018,2023
BUPIRIGHT AMPULE,178,7391.00,4711236.74,3390531.74,71.97,2021,2023
JUBI -R 100MG,5,750.00,4592500.00,2217500.00,48.29,2021,2022
HYCLENS 0.2% WOUND SPRAY 60ML,115,15238.00,4247254.96,30528.19,0.72,2018,2019
"PAGBILAO # 2,070,000",2,2.00,4138000.00,1390000.00,33.59,2024,2025
MERAZOL 40MG,116,1344.43,4101684.25,3728125.75,90.89,2019,2023
LACTAMOX 500MG/125MG TAB,510,1419.17,4085209.74,2480561.78,60.72,2018,2024
ANTIZOAL 5MG/ML,285,38623.00,3872742.00,2098578.17,54.19,2018,2025
ANTITET 1500IU/0.7ML,14,1447.50,3834892.50,2112380.00,55.08,2024,2025
GYNE-TOCIN 10IU/ML,99,5043.00,3665975.50,1702631.91,46.44,2019,2025
TRIVASC 35MG MR,401,5193.40,3561191.99,2111720.99,59.30,2017,2023
MONOWEL 1G,27,4377.00,3535144.88,289935.99,8.20,2018,2023
"PESO # 3,450,000.00",1,1.00,3448500.00,1179387.00,34.20,2025,2025
BUPIRIGHT 5MG/ML 0.5% IN 8% 4ML,50,7933.00,3220345.25,1817758.17,56.45,2023,2025
DANOXIME 750MG,21,13465.00,3144130.00,2728557.50,86.78,2018,2023
SODAMPEN 1G IM/IV,202,24630.00,3125914.00,2082978.00,66.64,2017,2023
DOLO JAGA 500MG/50MG/100MG/100MCG,546,1988.33,3036395.39,1849735.99,60.92,2018,2023
SPEEDA 2.5IU/0.5ML,5,425.00,2975310.00,970810.00,32.63,2023,2025
HYCLENS 0.2% WOUND SPRAY,36,10447.00,2915115.36,1691930.36,58.04,2018,2018
TROYNOXA-60 60MG/0.6ML,4,2770.00,2887032.50,1767952.50,61.24,2025,2025
CEFUSAPH,110,4415.29,2814047.50,2323162.79,82.56,2018,2023
HAIXONE WITH DILUENT 1G,25,53614.00,2739945.80,1345981.80,49.12,2025,2025
ALBUMINAR-20 20% 50ML,1,1000.00,2697000.00,1297000.00,48.09,2024,2024
ENOXAGET-40 40MG/0.4ML,10,2145.00,2658598.80,1285798.80,48.36,2024,2025
"PAGBILAO # 2,568,250",1,1.00,2566250.00,1629386.00,63.49,2025,2025
SPASBASCINE,62,3742.00,2561115.00,710589.71,27.75,2018,2023
LACTAMOX 500MG/125MG,289,858.33,2531412.92,1544830.51,61.03,2018,2025
VAXIGRIP TETRA INFLUENZA VACCINE,3,1408.00,2424824.95,1439224.95,59.35,2021,2021
"PAGBILAO # 2,316,267-1",1,1.00,2314000.00,981610.00,42.42,2025,2025
FACE MASK,55,5737.00,2230638.58,1729681.93,77.54,2020,2023
CIMEX 500MG,32,740.00,2204700.00,1390700.00,63.08,2019,2022
HYCLENS SKIN CLEANSER (60ML),16,8523.00,2180712.00,1297552.80,59.50,2021,2023
"PAGBILAO # 3,072,944",1,1.00,2173450.00,660629.04,30.40,2025,2025
BUPIRIGHT 1'S VIALS,90,3212.00,2160848.00,1507749.00,69.78,2018,2020
ZINACARE 750MG WITH DILUENT,64,15831.00,2139339.00,1744637.00,81.55,2018,2025
ZINACARE 750MG W/O DILUENT,56,10925.00,2110210.00,1940072.00,91.94,2018,2023
PROHAB 10MG/ML 20ML,1,500.00,2110000.00,1360000.00,64.46,2023,2023
CEFZIME 750MG,118,835.80,2099412.50,1469144.00,69.98,2018,2020
ZINACARE 750MG W/ DILUENT,19,42100.00,2098720.00,1004120.00,47.84,2025,2025
CARDOWIN 1MG,57,1996.00,2098314.32,1129521.32,53.83,2018,2023
AMPICARE 500MG/250MG,17,439.00,2094242.50,1947432.50,92.99,2018,2022
"PAGBILAO # 2,316,267",1,1.00,2084640.30,424640.30,20.37,2024,2024
PPE SET,3,2510.00,2080750.00,1101850.00,52.95,2021,2022
SHARJVAX 1500 I.U. / 0.7ML,31,2078.00,2063130.00,714690.00,34.64,2021,2023
"PAGBILAO # 3,273,976",1,1.00,2062128.00,531905.57,25.79,2025,2025
ATOVAS 20MG,212,2725.94,2025041.17,955766.38,47.20,2017,2023
HYCLENS WOUND SPRAY (60ML),246,7786.00,2012861.59,1153599.55,57.31,2021,2025
CORBAL 100MG,107,1728.00,1880438.00,975574.84,51.88,2018,2023
PPE COVER ALL SET,3,2013.00,1871663.50,1448933.50,77.41,2022,2022
LOMOH-60 60MG/0.6ML,4,1750.00,1823937.50,1132687.50,62.10,2025,2025
PHYTOMEN 10MG/ML,159,2375.20,1813491.00,1409097.50,77.70,2018,2025
"PAGBILAO # 2,166,450",1,1.00,1669225.00,762652.74,45.69,2025,2025
JAGA 300MG/100MG/100MCG,464,1320.98,1646390.18,996333.58,60.52,2017,2024
ENDOPROST 250MCG/ML,9,646.00,1640700.00,784750.00,47.83,2025,2025
EVAPROST 250MCG/ML IV,41,283.00,1636765.00,625040.00,38.19,2023,2025
ISOLATION GOWN,9,3852.00,1613068.60,1252308.60,77.64,2021,2022
PR 1011A-110,1,1.00,1606105.00,838975.00,52.24,2020,2020
SORBIFER 310MG,48,2760.00,1582000.00,414665.90,26.21,2019,2023
HYCLENS WOUND SPRAY 60ML.,47,5672.00,1581254.70,44309.35,2.80,2020,2020
BUPIRIGHT 5MG/ML,96,783.80,1560376.81,276525.90,17.72,2018,2019
MAXXIVIT PLUS,244,1643.92,1559982.10,643369.12,41.24,2018,2022
"PAGBILAO # 3,658,000",2,2.00,1529200.00,-3549497.59,-232.11,2024,2025
ISOLATION GOWN STERILE (GDR),3,3600.00,1481535.39,1049535.39,70.84,2021,2021
RAINCOAT WITH PRINT,1,1000.00,1469632.50,1119632.50,76.18,2021,2021
"MICROPORE 1"" - 1530-1 - 3M",71,1750.00,1445516.00,637696.00,44.12,2021,2025
PPE LAB.,2,1200.00,1439400.00,749400.00,52.06,2020,2021
VOLUMETRIC SOLUTION INFUSION SET 150ML (POLYVOL),6,6780.00,1432410.60,381510.60,26.63,2025,2025
"PAGBILAO # 2,511,299.00",1,1.00,1431072.00,242509.49,16.95,2025,2025
OMCARE 40MG,124,835.50,1420531.04,1203843.59,84.75,2017,2020
MODULAR TENT 79X17X79,1,150.00,1417425.00,742425.00,52.38,2022,2022
ERGON 125MCG,199,1225.21,1407402.00,795227.85,56.50,2018,2023
ALCOHOL ETHYL 70% - ALCORADE,9,1760.00,1405500.00,824700.00,58.68,2021,2022
"HEPA B 10MCG/0.5ML MULTIDOSE, PEDIATRIC",2,4.00,1399400.00,649400.00,46.41,2025,2025
APROCARE 150MG,160,1616.20,1345640.50,984483.70,73.16,2017,2019
CEPROTRON 500MG,326,1051.38,1340071.46,912799.84,68.12,2017,2024
ANTITET 1500IU,21,912.50,1313911.68,465684.18,35.44,2017,2023
MATERNITY PADS 8S (MAXIFREE),15,14258.00,1294831.20,431471.20,33.32,2023,2025
ISORANE 100% V/V 100ML,99,411.00,1275945.84,811795.84,63.62,2018,2023
LUPINSULIN 30:70,20,1821.00,1266542.53,541574.53,42.76,2021,2023
DOCOR 250MG VIAL,9,994.00,1262940.00,508740.00,40.28,2019,2023
REGIVASC 5MG TAB,8,1337.00,1248050.00,1221295.00,97.86,2023,2025
ANTIZOAL 5MG/ML (500MG/100ML) 100ML,94,25890.00,1241446.00,844826.00,68.05,2023,2025
SYVIR 400,1,200.00,1240000.00,840000.00,67.74,2021,2021
TRIZEF 100MG,64,257.00,1238000.00,919431.20,74.27,2020,2023
SHARJVAX,20,1351.00,1224490.00,348334.86,28.45,2018,2020
