product,quantity,revenue,gross_margin_amount,row_count,active_months,estimated_contract_rows,rank,gross_margin_rate,revenue_share,cumulative_revenue_share,abc_class,method,status
MONOWEL 1G IV,12600.0,5780546.0,2331189.0,11,7,0,1,0.403282,0.026161,0.026161,A,ABC/Pareto using total_trade_price revenue,draft
EVAPROST 250MCG/ML,1192.2947,4587511.68,4542500.5,116,35,8,2,0.990188,0.020762,0.046923,A,ABC/Pareto using total_trade_price revenue,draft
CORRECTION TAPE JOY,272.1607,3842121.29,5797820.83,64,18,56,3,1.509016,0.017388,0.064312,A,ABC/Pareto using total_trade_price revenue,draft
T SHIRT WITH PRINT,1679.183,3751363.54,1162797.37,93,21,82,4,0.309967,0.016978,0.081289,A,ABC/Pareto using total_trade_price revenue,draft
SORBIFER 310MG,3845.6297,3200473.28,3067153.49,35,23,4,5,0.958344,0.014485,0.095774,A,ABC/Pareto using total_trade_price revenue,draft
HARD COPY SUB#20 (8 1/2X13) LONG,491.5911,2966931.51,1116884.72,82,19,72,6,0.376444,0.013428,0.109201,A,ABC/Pareto using total_trade_price revenue,draft
CLEAR BOOK LEGAL/LONG,46.9604,2789368.03,2048788.01,60,19,53,7,0.734499,0.012624,0.121825,A,ABC/Pareto using total_trade_price revenue,draft
SHARJVAX 1500 I.U. / 0.7ML,2617.361,2529112.56,1859704.19,33,15,2,8,0.735319,0.011446,0.133271,A,ABC/Pareto using total_trade_price revenue,draft
HBW BLACK BALLPEN,217.1756,2412785.42,3248326.01,49,17,43,9,1.346297,0.01092,0.144191,A,ABC/Pareto using total_trade_price revenue,draft
EVAPROST 125MCG/0.5ML,1089.4216,2389652.52,1937676.85,63,24,12,10,0.810861,0.010815,0.155006,A,ABC/Pareto using total_trade_price revenue,draft
JUBI -R 100MG,750.0,2375000.0,2217500.0,5,4,0,11,0.933684,0.010749,0.165755,A,ABC/Pareto using total_trade_price revenue,draft
HARD COPY SUB#20 A4,285.6178,2250105.15,1624669.4,71,18,62,12,0.722042,0.010183,0.175938,A,ABC/Pareto using total_trade_price revenue,draft
CORRECTION TAPE 20MM,133.3473,2157184.42,2105730.21,65,16,61,13,0.976148,0.009763,0.185701,A,ABC/Pareto using total_trade_price revenue,draft
BALLPEN FINEPOINT,289.5327,2086399.07,2344597.64,35,13,29,14,1.123753,0.009443,0.195143,A,ABC/Pareto using total_trade_price revenue,draft
