scope,calendar_month,seasonal_index,seasonal_strength,interpretation,method,status
Batangas,01,0.754765,0.80846,lower_than_average,monthly average demand divided by overall monthly average demand,draft
Batangas,02,0.997269,0.80846,near_average,monthly average demand divided by overall monthly average demand,draft
Batangas,03,0.750261,0.80846,lower_than_average,monthly average demand divided by overall monthly average demand,draft
Batangas,04,0.526555,0.80846,lower_than_average,monthly average demand divided by overall monthly average demand,draft
Batangas,05,0.667925,0.80846,lower_than_average,monthly average demand divided by overall monthly average demand,draft
Batangas,06,2.749065,0.80846,higher_than_average,monthly average demand divided by overall monthly average demand,draft
Batangas,07,0.845776,0.80846,lower_than_average,monthly average demand divided by overall monthly average demand,draft
Batangas,08,0.779201,0.80846,lower_than_average,monthly average demand divided by overall monthly average demand,draft
Batangas,09,0.910313,0.80846,lower_than_average,monthly average demand divided by overall monthly average demand,draft
Batangas,10,1.044958,0.80846,near_average,monthly average demand divided by overall monthly average demand,draft
Batangas,11,0.967486,0.80846,near_average,monthly average demand divided by overall monthly average demand,draft
Batangas,12,0.746729,0.80846,lower_than_average,monthly average demand divided by overall monthly average demand,draft
Camarines Norte,01,0.706744,0.799974,lower_than_average,monthly average demand divided by overall monthly average demand,draft
Camarines Norte,02,0.819952,0.799974,lower_than_average,monthly average demand divided by overall monthly average demand,draft
Camarines Norte,03,0.88639,0.799974,lower_than_average,monthly average demand divided by overall monthly average demand,draft
Camarines Norte,04,1.263813,0.799974,higher_than_average,monthly average demand divided by overall monthly average demand,draft
Camarines Norte,05,1.000172,0.799974,near_average,monthly average demand divided by overall monthly average demand,draft
Camarines Norte,06,2.243801,0.799974,higher_than_average,monthly average demand divided by overall monthly average demand,draft
Camarines Norte,07,1.007758,0.799974,near_average,monthly average demand divided by overall monthly average demand,draft
Camarines Norte,08,1.183888,0.799974,higher_than_average,monthly average demand divided by overall monthly average demand,draft
Camarines Norte,09,0.788704,0.799974,lower_than_average,monthly average demand divided by overall monthly average demand,draft
Camarines Norte,10,0.499901,0.799974,lower_than_average,monthly average demand divided by overall monthly average demand,draft
Camarines Norte,11,0.448819,0.799974,lower_than_average,monthly average demand divided by overall monthly average demand,draft
Camarines Norte,12,1.28657,0.799974,higher_than_average,monthly average demand divided by overall monthly average demand,draft
Camarines Sur,01,0.99259,0.795083,near_average,monthly average demand divided by overall monthly average demand,draft
Camarines Sur,02,1.018717,0.795083,near_average,monthly average demand divided by overall monthly average demand,draft
Camarines Sur,03,2.209703,0.795083,higher_than_average,monthly average demand divided by overall monthly average demand,draft
Camarines Sur,04,0.452807,0.795083,lower_than_average,monthly average demand divided by overall monthly average demand,draft
Camarines Sur,05,0.556729,0.795083,lower_than_average,monthly average demand divided by overall monthly average demand,draft
Camarines Sur,06,1.076344,0.795083,higher_than_average,monthly average demand divided by overall monthly average demand,draft
Camarines Sur,07,1.372082,0.795083,higher_than_average,monthly average demand divided by overall monthly average demand,draft
Camarines Sur,08,0.586031,0.795083,lower_than_average,monthly average demand divided by overall monthly average demand,draft
Camarines Sur,09,0.670273,0.795083,lower_than_average,monthly average demand divided by overall monthly average demand,draft
Camarines Sur,10,1.600414,0.795083,higher_than_average,monthly average demand divided by overall monthly average demand,draft
Camarines Sur,11,0.600682,0.795083,lower_than_average,monthly average demand divided by overall monthly average demand,draft
Camarines Sur,12,0.890035,0.795083,lower_than_average,monthly average demand divided by overall monthly average demand,draft
Cavite,01,0.326109,0.880329,lower_than_average,monthly average demand divided by overall monthly average demand,draft
Cavite,02,0.890006,0.880329,lower_than_average,monthly average demand divided by overall monthly average demand,draft
Cavite,03,0.63863,0.880329,lower_than_average,monthly average demand divided by overall monthly average demand,draft
Cavite,04,0.508187,0.880329,lower_than_average,monthly average demand divided by overall monthly average demand,draft
Cavite,05,0.397445,0.880329,lower_than_average,monthly average demand divided by overall monthly average demand,draft
Cavite,06,2.725049,0.880329,higher_than_average,monthly average demand divided by overall monthly average demand,draft
Cavite,07,1.005503,0.880329,near_average,monthly average demand divided by overall monthly average demand,draft
Cavite,08,0.80395,0.880329,lower_than_average,monthly average demand divided by overall monthly average demand,draft
Cavite,09,0.97493,0.880329,near_average,monthly average demand divided by overall monthly average demand,draft
