period,prior_period,quantity,revenue,gross_margin_amount,prior_quantity,prior_revenue,quantity_yoy_growth,revenue_yoy_growth,is_2025_partial
2021-01,2020-01,17887.76,2568258.34,6268892.09,,,,,False
2021-02,2020-02,5468.8,1196801.75,1876557.41,,,,,False
2021-03,2020-03,4842.5,892637.62,1778655.66,,,,,False
2021-04,2020-04,6178.59,1633582.56,2814742.51,,,,,False
2021-05,2020-05,6585.44,1596115.5,3516188.48,,,,,False
2021-06,2020-06,13091.57,1234173.36,3789214.33,,,,,False
2021-07,2020-07,10706.09,1816717.48,4165528.98,,,,,False
2021-08,2020-08,32075.27,4536065.84,6114492.31,,,,,False
2021-09,2020-09,17369.75,3141134.71,5349791.61,,,,,False
2021-10,2020-10,16133.68,5253594.01,7254358.03,,,,,False
2021-11,2020-11,18153.24,2706945.66,7336047.19,,,,,False
2021-12,2020-12,4645.17,1045500.64,1742056.27,,,,,False
2022-01,2021-01,6559.46,652570.28,1811995.95,17887.76,2568258.34,-0.633299,-0.745909,False
2022-02,2021-02,13807.06,3302345.12,6284459.61,5468.8,1196801.75,1.524696,1.759308,False
2022-03,2021-03,18124.07,3138472.37,6342342.63,4842.5,892637.62,2.742709,2.515954,False
2022-04,2021-04,5868.73,1018999.0,1668960.63,6178.59,1633582.56,-0.050151,-0.376218,False
2022-05,2021-05,12301.33,1626832.89,2914688.12,6585.44,1596115.5,0.867959,0.019245,False
2022-06,2021-06,17781.7,2990702.04,7419485.99,13091.57,1234173.36,0.358256,1.423243,False
2022-07,2021-07,5433.9,1264932.41,2638013.09,10706.09,1816717.48,-0.492448,-0.303726,False
2022-08,2021-08,5493.77,1165582.55,1651889.69,32075.27,4536065.84,-0.828723,-0.743041,False
2022-09,2021-09,4046.47,1170788.48,1737073.4,17369.75,3141134.71,-0.767039,-0.627272,False
2022-10,2021-10,12678.66,2247923.19,4956428.17,16133.68,5253594.01,-0.21415,-0.572117,False
2022-11,2021-11,14886.2,1572687.92,3533906.3,18153.24,2706945.66,-0.17997,-0.419018,False
2022-12,2021-12,6696.0,1171112.88,1809811.75,4645.17,1045500.64,0.441497,0.120146,False
2023-01,2022-01,20516.34,2665390.57,3479256.03,6559.46,652570.28,2.127748,3.08445,False
2023-02,2022-02,4073.09,656437.76,563115.74,13807.06,3302345.12,-0.704999,-0.801221,False
2023-03,2022-03,9194.56,1061895.38,1213412.18,18124.07,3138472.37,-0.492688,-0.661652,False
2023-04,2022-04,5404.0,598573.51,863575.24,5868.73,1018999.0,-0.079187,-0.412587,False
2023-05,2022-05,34018.24,6484681.07,7815090.23,12301.33,1626832.89,1.765412,2.986077,False
2023-06,2022-06,97830.67,22178785.66,22474610.01,17781.7,2990702.04,4.501761,6.415913,False
2023-07,2022-07,13838.14,1923731.26,3097740.88,5433.9,1264932.41,1.546631,0.520817,False
2023-08,2022-08,18555.66,1234421.04,1601788.12,5493.77,1165582.55,2.377582,0.059059,False
2023-09,2022-09,6387.7,858007.13,4194954.51,4046.47,1170788.48,0.578586,-0.267154,False
2023-10,2022-10,3965.7,1209293.65,1657954.75,12678.66,2247923.19,-0.687215,-0.46204,False
2023-11,2022-11,53127.47,7719362.23,10914018.68,14886.2,1572687.92,2.568907,3.908388,False
2023-12,2022-12,672.0,156033.19,282247.81,6696.0,1171112.88,-0.899642,-0.866765,False
2024-01,2023-01,2111.77,590911.41,1155435.7,20516.34,2665390.57,-0.897069,-0.778302,False
2024-02,2023-02,2106.84,756058.34,1267124.8,4073.09,656437.76,-0.482742,0.151759,False
2024-03,2023-03,4249.33,675553.97,1317230.14,9194.56,1061895.38,-0.537843,-0.363822,False
2024-04,2023-04,8117.52,1042702.0,1057349.08,5404.0,598573.51,0.502132,0.741978,False
2024-05,2023-05,3529.5,1298307.64,2012922.84,34018.24,6484681.07,-0.896247,-0.799789,False
2024-06,2023-06,8219.38,3920718.94,3596851.73,97830.67,22178785.66,-0.915984,-0.823222,False
2024-07,2023-07,2325.0,1820005.52,1800800.55,13838.14,1923731.26,-0.831986,-0.053919,False
2024-08,2023-08,4017.0,2280339.14,1866755.49,18555.66,1234421.04,-0.783516,0.847294,False
2024-09,2023-09,1697.0,1683287.05,1214044.75,6387.7,858007.13,-0.734333,0.961857,False
2024-10,2023-10,6782.5,2541620.43,1872584.64,3965.7,1209293.65,0.710291,1.10174,False
2024-11,2023-11,4591.12,1546044.76,1918609.36,53127.47,7719362.23,-0.913583,-0.799719,False
2024-12,2023-12,3455.84,12351001.3,8633391.7,672.0,156033.19,4.142619,78.156244,False
2025-02,2024-02,49613.83,18446935.19,15432489.35,2106.84,756058.34,22.548931,23.398825,True
2025-05,2024-05,24627.33,2456104.08,2582715.97,3529.5,1298307.64,5.977569,0.891774,True
2025-06,2024-06,122025.93,18755707.53,21080417.61,8219.38,3920718.94,13.846123,3.783742,True
2025-08,2024-08,238.0,39980.0,100932.0,4017.0,2280339.14,-0.940752,-0.982468,True
2025-09,2024-09,138584.24,20483932.92,15994974.36,1697.0,1683287.05,80.664255,11.169008,True
2025-11,2024-11,46700.17,13768849.55,10419780.62,4591.12,1546044.76,9.171847,7.905854,True
2025-12,2024-12,39273.33,20809120.98,13509343.63,3455.84,12351001.3,10.364337,0.684812,True
