territory,period,prior_period,quantity,revenue,gross_margin_amount,prior_quantity,prior_revenue,quantity_yoy_growth,revenue_yoy_growth,is_2025_partial
Batangas,2021-01,2020-01,146.46,42423.05,132688.56,,,,,False
Camarines Norte,2021-01,2020-01,186.0,70748.79,126941.21,,,,,False
Camarines Sur,2021-01,2020-01,149.0,23702.17,68355.83,,,,,False
Cavite,2021-01,2020-01,77.0,10108.87,52966.13,,,,,False
Laguna,2021-01,2020-01,74.0,27848.02,26271.98,,,,,False
Marinduque,2021-01,2020-01,427.0,58463.16,69413.49,,,,,False
Quezon,2021-01,2020-01,318.0,85558.93,176139.57,,,,,False
Batangas,2021-02,2020-02,53.0,33088.23,83806.77,,,,,False
Camarines Norte,2021-02,2020-02,104.8,35773.3,72446.7,,,,,False
Camarines Sur,2021-02,2020-02,213.0,18600.52,20361.48,,,,,False
Cavite,2021-02,2020-02,265.0,43152.71,121981.21,,,,,False
Laguna,2021-02,2020-02,76.0,19270.0,21354.0,,,,,False
Quezon,2021-02,2020-02,415.0,96479.64,179387.3,,,,,False
Batangas,2021-03,2020-03,133.0,24660.25,65919.75,,,,,False
Camarines Norte,2021-03,2020-03,81.4,22503.0,35572.0,,,,,False
Camarines Sur,2021-03,2020-03,86.0,12357.8,24383.2,,,,,False
Cavite,2021-03,2020-03,32.0,3907.32,4172.43,,,,,False
Laguna,2021-03,2020-03,39.0,7090.0,14078.0,,,,,False
Marinduque,2021-03,2020-03,90.0,31623.9,45709.1,,,,,False
Quezon,2021-03,2020-03,395.1,85721.76,192459.03,,,,,False
Batangas,2021-04,2020-04,53.0,12818.46,32881.54,,,,,False
Camarines Norte,2021-04,2020-04,231.4,49516.49,91599.51,,,,,False
Camarines Sur,2021-04,2020-04,46.0,6415.6,10050.4,,,,,False
Cavite,2021-04,2020-04,137.4,30355.61,98244.13,,,,,False
Quezon,2021-04,2020-04,245.0,45128.17,102869.33,,,,,False
Batangas,2021-05,2020-05,56.0,25043.77,57366.23,,,,,False
Camarines Norte,2021-05,2020-05,206.4,62297.6,118017.4,,,,,False
Camarines Sur,2021-05,2020-05,52.0,8318.42,11161.58,,,,,False
Cavite,2021-05,2020-05,59.0,15665.74,45294.67,,,,,False
Marinduque,2021-05,2020-05,174.0,43200.62,65115.38,,,,,False
Quezon,2021-05,2020-05,621.0,139192.88,351896.07,,,,,False
Batangas,2021-06,2020-06,86.98,31919.08,61553.81,,,,,False
Camarines Norte,2021-06,2020-06,60.3,10792.5,13737.5,,,,,False
Camarines Sur,2021-06,2020-06,50.0,13632.7,23414.3,,,,,False
Cavite,2021-06,2020-06,131.0,16336.23,33260.9,,,,,False
Marinduque,2021-06,2020-06,22.0,10849.66,11535.34,,,,,False
Quezon,2021-06,2020-06,189.0,45085.72,78692.42,,,,,False
Batangas,2021-07,2020-07,163.0,45070.62,117168.38,,,,,False
Camarines Norte,2021-07,2020-07,171.4,48750.0,88074.32,,,,,False
Camarines Sur,2021-07,2020-07,21.61,5377.42,12870.08,,,,,False
Cavite,2021-07,2020-07,120.0,36242.4,91466.44,,,,,False
Laguna,2021-07,2020-07,84.0,16030.0,21130.0,,,,,False
Marinduque,2021-07,2020-07,125.0,28535.36,54390.64,,,,,False
Quezon,2021-07,2020-07,466.6,73339.56,177655.4,,,,,False
Batangas,2021-08,2020-08,88.0,22005.5,54863.5,,,,,False
Camarines Norte,2021-08,2020-08,272.6,67683.0,140212.0,,,,,False
Camarines Sur,2021-08,2020-08,99.0,8912.7,20869.3,,,,,False
Cavite,2021-08,2020-08,214.0,25721.4,65730.28,,,,,False
Marinduque,2021-08,2020-08,1046.0,108473.0,231082.0,,,,,False
Quezon,2021-08,2020-08,349.0,66838.95,136906.55,,,,,False
Batangas,2021-09,2020-09,145.0,55087.03,136486.97,,,,,False
Camarines Norte,2021-09,2020-09,164.2,38860.78,71289.22,,,,,False
Camarines Sur,2021-09,2020-09,19.0,3846.35,18923.65,,,,,False
Cavite,2021-09,2020-09,183.0,26269.51,57711.56,,,,,False
Quezon,2021-09,2020-09,434.0,88404.05,245777.45,,,,,False
Batangas,2021-10,2020-10,97.0,42776.6,115267.4,,,,,False
Camarines Norte,2021-10,2020-10,32.2,12900.0,27500.0,,,,,False
Camarines Sur,2021-10,2020-10,333.95,50395.3,94333.7,,,,,False
Cavite,2021-10,2020-10,324.0,57939.93,171076.64,,,,,False
Laguna,2021-10,2020-10,4061.0,842721.9,497056.1,,,,,False
Marinduque,2021-10,2020-10,234.0,196881.28,114018.72,,,,,False
Quezon,2021-10,2020-10,354.0,85466.56,186752.14,,,,,False
Batangas,2021-11,2020-11,66.0,21727.5,51047.5,,,,,False
Camarines Norte,2021-11,2020-11,197.4,43631.05,86637.95,,,,,False
Camarines Sur,2021-11,2020-11,82.0,15559.3,30378.7,,,,,False
Cavite,2021-11,2020-11,300.0,36897.72,96451.82,,,,,False
Marinduque,2021-11,2020-11,94.0,29794.22,48385.78,,,,,False
Quezon,2021-11,2020-11,520.0,117509.7,266911.26,,,,,False
Batangas,2021-12,2020-12,51.0,26146.51,67488.99,,,,,False
Camarines Norte,2021-12,2020-12,193.6,54192.5,61353.5,,,,,False
Camarines Sur,2021-12,2020-12,136.0,28847.6,57798.4,,,,,False
