period,area,product,row_count,estimated_contract_rows,estimated_date_rows,unique_products,unique_dr_numbers,quantity,total_trade_price,net_income,net_cost,discount,total_cost,gross_margin_rate
2024-02,Pagbilao,BATTERY AA,1,1,0,1,1,0.1485,714.41,596.8,1311.21,0.0,1311.21,0.835375
2024-02,Pagbilao,BOND PAPER A4 (HARDCOPY),1,1,0,1,1,0.1489,716.22,598.31,1314.53,0.0,1314.53,0.835372
2024-02,Pagbilao,BOND PAPER LEGAL 80GSM (DOUBLE A),2,2,0,1,2,0.2586,4991.47,3176.95,8168.41,0.0,8168.41,0.636476
2024-02,Pagbilao,BOND PAPER LONG (HARDCOPY),1,1,0,1,1,0.1325,3379.92,2423.87,5803.8,0.0,5803.8,0.717138
2024-02,Pagbilao,CLEAR BOOK LEGAL/LONG,3,3,0,1,3,0.6483,13373.15,17484.59,23173.81,0.0,23173.81,1.30744
2024-02,Pagbilao,CORRECTION TAPE 20MM,2,2,0,1,2,0.2973,3883.7,8995.78,12879.49,0.0,12879.49,2.316291
2024-02,Pagbilao,CORRECTION TAPE JOY,2,2,0,1,2,0.4471,10802.61,18588.61,29391.22,0.0,29391.22,1.720752
2024-02,Pagbilao,DISINFECTANT SPRAY 170G 227ML (LYSOL),2,2,0,1,2,0.2693,4978.24,9037.54,14015.78,0.0,14015.78,1.815409
2024-02,Pagbilao,FLASH DRIVE 32GB (KINGSTON),2,2,0,1,2,0.2344,3585.12,2560.08,6145.2,0.0,6145.2,0.714085
2024-02,Pagbilao,HARD COPY SUB#20 (8 1/2X13) LONG,1,1,0,1,1,0.2939,4599.49,4579.39,9178.88,0.0,9178.88,0.99563
2024-02,Pagbilao,HARD COPY SUB#20 A4,4,4,0,1,4,1.2119,16887.63,25748.12,42635.75,0.0,42635.75,1.524673
2024-02,Pagbilao,INK EPSON #003 BLACK,3,3,0,1,3,0.7858,13976.49,7605.55,12510.12,0.0,12510.12,0.544167
2024-02,Pagbilao,INK EPSON #003 CYAN,1,1,0,1,1,0.1708,2673.19,2661.5,5334.69,0.0,5334.69,0.995627
2024-02,Pagbilao,INK EPSON #003 MAGENTA,1,1,0,1,1,0.1708,2673.19,2661.51,5334.69,0.0,5334.69,0.995631
2024-02,Pagbilao,MASKING TAPE 1INCH,2,2,0,1,2,0.3707,6518.69,3706.06,4335.76,0.0,4335.76,0.568528
2024-02,Pagbilao,RECORD BOOK 500PAGES (VALIANT),1,1,0,1,1,0.2732,1763.47,1240.85,3004.31,0.0,3004.31,0.703641
2024-02,Pagbilao,STAPLER STANDARD TYPE (JOY),1,1,0,1,1,0.1607,4972.41,2611.21,2361.2,0.0,2361.2,0.52514
2024-02,Pagbilao,T SHIRT WITH PRINT,1,1,0,1,1,0.4355,11106.03,7964.57,19070.6,0.0,19070.6,0.717139
2024-02,Pagbilao,TOOTHBRUSH KIDDIE COLGATE,1,1,0,1,1,0.1423,4402.85,2312.11,2090.73,0.0,2090.73,0.525139
2024-02,Pagbilao,TRASH BAG - BLACK - MEDIUM,1,1,0,1,1,0.151,974.94,686.01,1660.95,0.0,1660.95,0.703643
2024-02,Pagbilao,TRASH BAG MEDIUM BLACK,2,2,0,1,2,0.2484,3704.7,2752.42,6457.12,0.0,6457.12,0.742954
2024-02,QMC,EVAPROST 125MCG/0.5ML,1,1,0,1,1,0.1742,16067.29,12157.59,28224.88,0.0,28224.88,0.756667
2024-02,QMC,EVAPROST 250MCG/ML,1,1,0,1,1,0.3104,28620.64,21656.28,50276.92,0.0,50276.92,0.756667
2024-02,QMC,HIVENT PLUS,1,1,0,1,1,0.0983,9068.36,6861.73,15930.09,0.0,15930.09,0.756667
2024-02,QMC,LACTAMOX 500MG/125MG,1,1,0,1,1,0.2103,19397.31,14677.29,34074.6,0.0,34074.6,0.756666
2024-02,QMC,LACTAMOX 500MG/125MG TAB,1,1,0,1,1,0.2067,19066.4,14426.91,33493.31,0.0,33493.31,0.756667
2024-04,Pagbilao,BOND PAPER A4 (HARDCOPY),1,1,0,1,1,0.2125,10048.85,6941.98,16990.83,0.0,16990.83,0.690823
2024-04,Pagbilao,HARD COPY SUB#20 (8 1/2X13) LONG,1,1,0,1,1,0.3211,15184.21,10489.61,25673.82,0.0,25673.82,0.690824
2024-04,Pagbilao,HBW BLACK BALLPEN,1,1,0,1,1,0.1954,9241.46,6384.22,15625.68,0.0,15625.68,0.690824
2024-04,Pagbilao,INK CARTRIDGE TRI COLOR (HP680),1,1,0,1,1,0.1383,6541.3,4518.88,11060.18,0.0,11060.18,0.690823
2024-04,Pagbilao,STAPLER STANDARD TYPE (JOY),1,1,0,1,1,0.1328,6279.18,4337.81,10616.99,0.0,10616.99,0.690824
