period,row_count,estimated_contract_rows,estimated_date_rows,unique_products,unique_dr_numbers,quantity,total_trade_price,net_income,net_cost,discount,total_cost,gross_margin_rate
2021-01,363,0,0,206,134,17887.76,2568258.34,6268892.09,8789896.23,55208.29,8845104.52,2.440912
2021-02,196,0,0,96,111,5468.8,1196801.75,1876557.41,3067470.64,38013.6,3105484.24,1.567977
2021-03,227,0,0,117,103,4842.5,892637.62,1778655.66,2642814.24,61914.3,2704728.54,1.992584
2021-04,168,0,0,106,84,6178.59,1633582.56,2814742.51,4446869.07,21118.5,4467987.57,1.723049
2021-05,247,0,0,136,107,6585.44,1596115.5,3516188.48,5097442.98,71134.2,5168577.18,2.202966
2021-06,220,0,0,149,77,13091.57,1234173.36,3789214.33,5004047.79,31993.3,5036041.09,3.070245
2021-07,322,0,0,168,117,10706.09,1816717.48,4165528.98,5870496.46,36185.28,5906681.74,2.292888
2021-08,265,0,0,149,121,32075.27,4536065.84,6114492.31,10262506.25,65206.9,10327713.15,1.347973
2021-09,305,0,0,193,115,17369.75,3141134.71,5349791.61,8215366.32,22708.45,8238074.77,1.70314
2021-10,362,0,0,198,151,16133.68,5253594.01,7254358.03,12381539.54,41696.5,12423236.04,1.380837
2021-11,588,0,0,277,123,18153.24,2706945.66,7336047.19,9879774.41,75104.6,9954879.01,2.710083
2021-12,149,0,0,94,76,4645.17,1045500.64,1742056.27,2781596.91,29910.3,2811507.21,1.666241
2022-01,220,0,0,143,78,6559.46,652570.28,1811995.95,2460196.23,34393.5,2494589.73,2.776706
2022-02,414,0,0,248,127,13807.06,3302345.12,6284459.61,9554232.23,52232.0,9606464.23,1.903029
2022-03,420,0,0,241,166,18124.07,3138472.37,6342342.63,9447042.16,87992.7,9535034.86,2.020837
2022-04,203,0,0,126,97,5868.73,1018999.0,1668960.63,2621829.63,35995.0,2657824.63,1.637843
2022-05,367,0,0,236,121,12301.33,1626832.89,2914688.12,4541521.01,19327.0,4560848.01,1.791633
2022-06,485,0,0,304,156,17781.7,2990702.04,7419485.99,10395468.03,43592.0,10439060.03,2.480851
2022-07,328,0,0,160,174,5433.9,1264932.41,2638013.09,3719115.58,75334.0,3794449.58,2.085497
2022-08,282,0,0,133,153,5493.77,1165582.55,1651889.69,2808192.24,39697.0,2847889.24,1.417222
2022-09,253,0,0,125,134,4046.47,1170788.48,1737073.4,2907592.88,55852.0,2963444.88,1.483678
2022-10,507,0,0,296,181,12678.66,2247923.19,4956428.17,7101221.04,45511.0,7146732.04,2.204892
2022-11,310,0,0,189,115,14886.2,1572687.92,3533906.3,5010554.22,56193.0,5066747.22,2.247049
2022-12,210,0,0,99,98,6696.0,1171112.88,1809811.75,2976924.63,59043.0,3035967.63,1.545378
2023-01,377,0,0,285,91,20516.34,2665390.57,3479256.03,5088275.2,55960.8,5144236.0,1.305346
2023-02,135,0,0,98,83,4073.09,656437.76,563115.74,1213449.5,31275.1,1244724.6,0.857836
2023-03,326,0,0,258,84,9194.56,1061895.38,1213412.18,2244721.56,43445.0,2288166.56,1.142685
2023-04,241,0,0,179,96,5404.0,598573.51,863575.24,1449276.35,33287.1,1482563.45,1.442722
2023-05,578,0,0,418,139,34018.24,6484681.07,7815090.23,13551117.8,37250.7,13588368.5,1.205162
2023-06,1433,0,0,821,155,97830.67,22178785.66,22474610.01,6346265.23,76390.74,6422655.97,1.013338
2023-07,338,0,0,194,166,13838.14,1923731.26,3097740.88,4953642.8,50797.3,5004440.1,1.610277
2023-08,399,0,0,293,102,18555.66,1234421.04,1601788.12,2821492.5,42885.4,2864377.9,1.297603
2023-09,238,0,0,149,94,6387.7,858007.13,4194954.51,5020290.6,54234.4,5074525.0,4.889184
2023-10,287,0,0,199,112,3965.7,1209293.65,1657954.75,2838304.4,44143.8,2882448.2,1.371011
2023-11,884,0,0,570,177,53127.47,7719362.23,10914018.68,15453158.49,56826.4,15509984.89,1.41385
2023-12,87,0,0,63,43,672.0,156033.19,282247.81,436505.0,24258.0,460763.0,1.808896
2024-01,227,0,0,138,93,2111.77,590911.41,1155435.7,1715397.11,28724.1,1744121.21,1.955345
2024-02,272,40,0,127,107,2106.84,756058.34,1267124.8,1990691.64,21509.0,2012200.64,1.675962
2024-03,312,0,0,222,86,4249.33,675553.97,1317230.14,1992640.11,49989.0,2042629.11,1.949852
2024-04,239,5,0,162,83,8117.52,1042702.0,1057349.08,2098631.08,6364.5,2104995.58,1.014047
2024-05,330,60,0,151,116,3529.5,1298307.64,2012922.84,2897661.28,36018.63,2933679.91,1.550421
2024-06,278,50,0,176,97,8219.38,3920718.94,3596851.73,6876134.67,18413.5,6894548.17,0.917396
2024-07,265,85,0,136,105,2325.0,1820005.52,1800800.55,3145105.07,32153.0,3177258.07,0.989448
2024-08,288,65,0,158,92,4017.0,2280339.14,1866755.49,3579698.01,17300.0,3596998.01,0.818631
2024-09,195,35,0,120,95,1697.0,1683287.05,1214044.75,2163616.8,49686.69,2213303.49,0.721235
2024-10,273,75,0,149,83,6782.5,2541620.43,1872584.64,3949858.63,18517.6,3968376.23,0.736768
2024-11,327,70,0,185,115,4591.12,1546044.76,1918609.36,3449077.72,31033.25,3480110.97,1.240979
2024-12,322,130,0,162,110,3455.84,12351001.3,8633391.7,16564393.76,32572.5,16596966.26,0.699003
2025-02,648,35,624,255,233,49613.83,18446935.19,15432489.35,33879424.54,79984.0,33959408.54,0.836588
2025-05,244,5,243,134,99,24627.33,2456104.08,2582715.97,5038820.05,30772.6,5069592.65,1.05155
2025-06,932,170,860,386,243,122025.93,18755707.53,21080417.61,39836125.14,70952.9,39907078.04,1.123947
2025-08,4,0,0,4,1,238.0,39980.0,100932.0,140912.0,0.0,140912.0,2.524562
2025-09,1046,185,941,418,322,138584.24,20483932.92,15994974.36,36478907.28,80524.8,36559432.08,0.780855
2025-11,851,425,544,319,219,46700.17,13768849.55,10419780.62,24188630.17,51285.7,24239915.87,0.756765
2025-12,1174,290,329,538,264,39273.33,20809120.98,13509343.63,34318464.61,66923.2,34385387.81,0.649203
