product,quantity,revenue,gross_margin_amount,row_count,active_months,estimated_contract_rows,rank,gross_margin_rate,revenue_share,cumulative_revenue_share,abc_class,method,status
CORRECTION TAPE JOY,272.1607,3842121.29,5797820.83,64,18,56,1,1.509016,0.102223,0.102223,A,ABC/Pareto using total_trade_price revenue,draft
T SHIRT WITH PRINT,1679.183,3751363.54,1162797.37,93,21,82,2,0.309967,0.099809,0.202032,A,ABC/Pareto using total_trade_price revenue,draft
HARD COPY SUB#20 (8 1/2X13) LONG,491.5911,2966931.51,1116884.72,82,19,72,3,0.376444,0.078938,0.28097,A,ABC/Pareto using total_trade_price revenue,draft
CLEAR BOOK LEGAL/LONG,46.9604,2789368.03,2048788.01,60,19,53,4,0.734499,0.074214,0.355184,A,ABC/Pareto using total_trade_price revenue,draft
HBW BLACK BALLPEN,217.1756,2412785.42,3248326.01,49,17,43,5,1.346297,0.064194,0.419378,A,ABC/Pareto using total_trade_price revenue,draft
CORRECTION TAPE 20MM,133.3473,2157184.42,2105730.21,65,16,61,6,0.976148,0.057394,0.476772,A,ABC/Pareto using total_trade_price revenue,draft
BALLPEN FINEPOINT,289.5327,2086399.07,2344597.64,35,13,29,7,1.123753,0.055511,0.532283,A,ABC/Pareto using total_trade_price revenue,draft
TRASH BAG - BLACK - MEDIUM,135.4311,1904669.46,2117922.75,37,17,32,8,1.111963,0.050676,0.582958,A,ABC/Pareto using total_trade_price revenue,draft
STAPLE WIRE #35,236.1503,1903599.87,2699166.11,40,16,34,9,1.417927,0.050647,0.633605,A,ABC/Pareto using total_trade_price revenue,draft
INK EPSON #003 MAGENTA,73.7125,1856166.49,1224667.99,46,18,41,10,0.659783,0.049385,0.68299,A,ABC/Pareto using total_trade_price revenue,draft
RECORD BOOK 500PAGES (VALIANT),46.6865,1532034.11,694173.52,60,19,54,11,0.453106,0.040761,0.723751,A,ABC/Pareto using total_trade_price revenue,draft
INK EPSON #003 BLACK,286.1624,1500401.2,619102.57,61,17,55,12,0.412625,0.03992,0.763671,A,ABC/Pareto using total_trade_price revenue,draft
INK EPSON #003 YELLOW,74.4536,1383663.61,136585.9,51,16,46,13,0.098713,0.036814,0.800485,A,ABC/Pareto using total_trade_price revenue,draft
BOND PAPER A4 (HARDCOPY),63.0641,1139401.58,678882.29,37,16,34,14,0.595824,0.030315,0.8308,B,ABC/Pareto using total_trade_price revenue,draft
INK EPSON #003 CYAN,73.6089,1066946.49,877262.21,47,17,42,15,0.822218,0.028387,0.859187,B,ABC/Pareto using total_trade_price revenue,draft
FOLDER ORDINARY WHITE LONG 100'S,9.0864,999540.71,487943.71,31,13,28,16,0.488168,0.026594,0.88578,B,ABC/Pareto using total_trade_price revenue,draft
RECORD BOOK 300PP,120.9727,728209.25,1110930.22,12,7,8,17,1.525565,0.019375,0.905155,B,ABC/Pareto using total_trade_price revenue,draft
BOND PAPER LONG (HARDCOPY),40.0606,568875.65,502252.02,53,16,49,18,0.882885,0.015135,0.920291,B,ABC/Pareto using total_trade_price revenue,draft
SCOTCH TAPE 1'',22.6048,500230.73,533473.02,20,7,18,19,1.066454,0.013309,0.9336,B,ABC/Pareto using total_trade_price revenue,draft
