product,quantity,revenue,gross_margin_amount,row_count,active_months,estimated_contract_rows,net_income_clean,revenue_clean,rank,gross_margin_rate,revenue_share,cumulative_revenue_share,abc_class,method,status
T SHIRT WITH PRINT,1684.6234,4549199.19,2047808.44,99,26,88,1840915.25,4124791.0899999985,1,0.446305,0.111817,0.111817,A,ABC/Pareto using total_trade_price revenue,draft
HARD COPY SUB#20 (8 1/2X13) LONG,490.5097,4480113.39,2725267.6,80,23,70,532659.9900000001,1200458.0699999998,2,0.443714,0.110119,0.221937,A,ABC/Pareto using total_trade_price revenue,draft
HARD COPY SUB#20 A4,283.2831,3488104.62,1648807.26,64,23,55,478802.0700000002,1230997.7900000003,3,0.388954,0.085736,0.307673,A,ABC/Pareto using total_trade_price revenue,draft
HBW BLACK BALLPEN,217.9473,3279173.19,2108762.79,57,22,51,509447.94,1111703.4700000002,4,0.458259,0.080601,0.388273,A,ABC/Pareto using total_trade_price revenue,draft
BOND PAPER LONG (HARDCOPY),39.9257,2591537.19,2101769.84,47,20,43,288146.30999999994,559774.9600000001,5,0.514754,0.063699,0.451972,A,ABC/Pareto using total_trade_price revenue,draft
INK EPSON #003 BLACK,286.5754,2322151.59,1581666.85,67,22,61,559780.1799999999,1059388.2,6,0.528399,0.057077,0.50905,A,ABC/Pareto using total_trade_price revenue,draft
CLEAR BOOK LEGAL/LONG,46.5264,2157247.79,558378.16,56,22,49,490652.64,990332.1799999998,7,0.495442,0.053024,0.562074,A,ABC/Pareto using total_trade_price revenue,draft
CORRECTION TAPE JOY,269.076,1929994.85,861817.76,53,22,45,154647.74,358026.19000000006,8,0.431945,0.047438,0.609512,A,ABC/Pareto using total_trade_price revenue,draft
BOND PAPER A4 (HARDCOPY),65.8408,1686680.86,1095616.05,51,15,48,472361.56,885371.98,9,0.533518,0.041458,0.65097,A,ABC/Pareto using total_trade_price revenue,draft
INK EPSON #003 YELLOW,72.8262,1550781.12,521629.41,44,20,39,465260.61000000004,998005.7400000001,10,0.46619,0.038118,0.689088,A,ABC/Pareto using total_trade_price revenue,draft
CORRECTION TAPE 20MM,131.2967,1538112.29,733950.73,51,20,47,662715.44,1290158.4399999997,11,0.51367,0.037806,0.726894,A,ABC/Pareto using total_trade_price revenue,draft
TRASH BAG - BLACK - MEDIUM,133.8714,1500241.22,850820.8,27,17,21,295502.94999999995,563492.9700000001,12,0.524413,0.036875,0.763769,A,ABC/Pareto using total_trade_price revenue,draft
BALLPEN FINEPOINT,290.9914,1449997.75,879771.93,46,16,40,127729.39999999998,256602.72999999998,13,0.497771,0.03564,0.79941,A,ABC/Pareto using total_trade_price revenue,draft
RECORD BOOK 500PAGES (VALIANT),48.2427,1387208.38,964899.91,64,19,58,192646.00000000006,491804.50000000006,14,0.391713,0.034097,0.833507,B,ABC/Pareto using total_trade_price revenue,draft
ELECTRICAL WIRE #14,54.3985,1282720.19,864822.45,31,12,29,104137.87999999998,285774.8999999999,15,0.364405,0.031529,0.865035,B,ABC/Pareto using total_trade_price revenue,draft
FOLDER ORDINARY WHITE LONG 100'S,10.6696,1230275.59,935316.94,42,14,39,299223.04,458608.73,16,0.652458,0.03024,0.895275,B,ABC/Pareto using total_trade_price revenue,draft
INK EPSON #003 CYAN,73.4148,927902.42,259243.44,48,19,43,251081.04,518626.57999999996,17,0.484127,0.022807,0.918082,B,ABC/Pareto using total_trade_price revenue,draft
INK EPSON #003 MAGENTA,74.6546,909049.52,402333.22,56,20,51,368938.60000000003,786954.02,18,0.468818,0.022344,0.940426,B,ABC/Pareto using total_trade_price revenue,draft
SCOTCH TAPE 1'',22.8823,619487.09,471203.59,25,12,23,64172.18,158083.07,19,0.40594,0.015227,0.955653,C,ABC/Pareto using total_trade_price revenue,draft
STAPLE WIRE #35,235.939,475048.04,197646.76,38,18,32,187692.7,421446.51,20,0.445354,0.011676,0.96733,C,ABC/Pareto using total_trade_price revenue,draft
MASKING TAPE 1INCH,89.6951,420770.05,213173.61,38,17,33,159809.14,308272.19,21,0.518403,0.010342,0.977672,C,ABC/Pareto using total_trade_price revenue,draft
SODAMPEN 1G IM/IV,5596.0,240628.0,233318.0,35,16,0,0.0,0.0,22,0.0,0.005915,0.983587,C,ABC/Pareto using total_trade_price revenue,draft
PAPER TOWEL - JADE,2100.0,94000.0,93550.0,3,3,0,0.0,0.0,23,0.0,0.00231,0.985897,C,ABC/Pareto using total_trade_price revenue,draft
HARD COPY SUB#20 SHORT,405.0,57105.0,24245.0,3,3,0,24245.0,57105.0,24,0.424569,0.001404,0.987301,C,ABC/Pareto using total_trade_price revenue,draft
THERMAL PAPER,14.0,56500.0,18300.0,3,3,0,18300.0,38500.0,25,0.475325,0.001389,0.988689,C,ABC/Pareto using total_trade_price revenue,draft
PAPER TOWEL 175PULL-UPS (FEMME),550.2876,48601.24,28228.74,17,11,2,27320.49,47692.990000000005,26,0.572841,0.001195,0.989884,C,ABC/Pareto using total_trade_price revenue,draft
BOND PAPER LEGAL 80GSM (DOUBLE A),46.2082,44679.93,21314.9,12,6,10,21135.19,43150.219999999994,27,0.489805,0.001098,0.990982,C,ABC/Pareto using total_trade_price revenue,draft
CARDIPEN 1MG/ML 2ML,10.0,23550.0,950.0,1,1,0,950.0,23550.0,28,0.04034,0.000579,0.991561,C,ABC/Pareto using total_trade_price revenue,draft
"AUTOCLAVE TAPE 3/4""",123.0,22540.0,22540.0,5,5,0,0.0,0.0,29,0.0,0.000554,0.992115,C,ABC/Pareto using total_trade_price revenue,draft
STERILE LATEX SURGICAL GLOVES #7,30.0,22500.0,20250.0,2,1,0,9000.0,11250.0,30,0.8,0.000553,0.992668,C,ABC/Pareto using total_trade_price revenue,draft
AUTOCLAVE ORMED TAPE 2CM,100.0,21000.0,15000.0,1,1,0,15000.0,21000.0,31,0.714286,0.000516,0.993184,C,ABC/Pareto using total_trade_price revenue,draft
PAPER MULTI PURPOSE (COPY) LEGAL 70GSM HARDCOPY,100.0,18900.0,4200.0,1,1,0,4200.0,18900.0,32,0.222222,0.000465,0.993649,C,ABC/Pareto using total_trade_price revenue,draft
PAPER MULTI PURPOSE (COPY) A4 70GSM HARDCOPY,100.0,16900.0,10100.0,1,1,0,10100.0,16900.0,33,0.597633,0.000415,0.994064,C,ABC/Pareto using total_trade_price revenue,draft
COMPUTER INK #664 EPSON,64.0,16832.0,4862.0,3,3,0,3810.0,15780.0,34,0.241445,0.000414,0.994478,C,ABC/Pareto using total_trade_price revenue,draft
SURGICAL BLADE #20 SURGITECH,60.0,16800.0,7090.0,5,3,0,90.0,3080.0,35,0.029221,0.000413,0.994891,C,ABC/Pareto using total_trade_price revenue,draft
PAPER MULTICOPY 80GSM 216X330 LONG (HARDCOPY),50.0,11000.0,5350.0,1,1,0,5350.0,11000.0,36,0.486364,0.00027,0.995161,C,ABC/Pareto using total_trade_price revenue,draft
PAPER MULTICOPY 80GSM 210X297 A4 (HARDCOPY),50.0,9800.0,3450.0,1,1,0,3450.0,9800.0,37,0.352041,0.000241,0.995402,C,ABC/Pareto using total_trade_price revenue,draft
BOND PAPER A4 80GSM (DOUBLE A),40.0,9600.0,1800.0,1,1,0,1800.0,9600.0,38,0.1875,0.000236,0.995638,C,ABC/Pareto using total_trade_price revenue,draft
SURGICAL BLADE #21 SURGITECH,34.0,9520.0,4760.0,2,1,0,0.0,0.0,39,0.0,0.000234,0.995872,C,ABC/Pareto using total_trade_price revenue,draft
GIGIL SAW WIRE #20,10.0,9000.0,9000.0,1,1,0,0.0,0.0,40,0.0,0.000221,0.996093,C,ABC/Pareto using total_trade_price revenue,draft
SURGICAL BLADE #10 SURGITECH,31.0,8680.0,2890.0,4,3,0,90.0,3080.0,41,0.029221,0.000213,0.996307,C,ABC/Pareto using total_trade_price revenue,draft
SURGICAL BLADE #11 SURGITECH,30.0,8400.0,4200.0,2,1,0,0.0,0.0,42,0.0,0.000206,0.996513,C,ABC/Pareto using total_trade_price revenue,draft
ECG PAPER 80X20,152.0,7600.0,7350.0,5,5,0,2250.0,2500.0,43,0.9,0.000187,0.9967,C,ABC/Pareto using total_trade_price revenue,draft
CARBON PAPER 8.5X13,10.0,7250.0,1100.0,2,2,0,1100.0,7250.0,44,0.151724,0.000178,0.996878,C,ABC/Pareto using total_trade_price revenue,draft
THERMAL SCANNER WITH AUTOMATIC ALCOHOL DISPENSER,2.0,5400.0,5400.0,1,1,0,0.0,0.0,45,0.0,0.000133,0.997011,C,ABC/Pareto using total_trade_price revenue,draft
BALLPEN BLACK FINE POINT PILOT,200.0,4600.0,950.0,2,1,0,950.0,4600.0,46,0.206522,0.000113,0.997124,C,ABC/Pareto using total_trade_price revenue,draft
MASTER PAPER GESTENER CPMT 15,4.0,4462.08,4462.08,2,2,0,0.0,0.0,47,0.0,0.00011,0.997234,C,ABC/Pareto using total_trade_price revenue,draft
CAUTERY PENCIL (ORMED),18.0,4320.0,1980.0,3,2,0,1980.0,4320.0,48,0.458333,0.000106,0.99734,C,ABC/Pareto using total_trade_price revenue,draft
THERMAL PAPER 110MMX20M (SONY),0.5,4100.0,1550.0,1,1,0,1550.0,4100.0,49,0.378049,0.000101,0.997441,C,ABC/Pareto using total_trade_price revenue,draft
