area_type,standard_area,row_count,estimated_contract_rows,estimated_date_rows,unique_products,unique_dr_numbers,net_income_clean,revenue_clean,quantity,total_trade_price,net_income,net_cost,discount,total_cost,gross_margin_rate
business_line,Admin,2445,0,0,398,613,1700149.4700000004,3053301.5200000023,17403.51,5106849.9695,3555614.2395,11138489.61,129309.69,11267799.3,0.556823
business_line,Equipment,112,0,0,59,48,1499522.8500000003,2021972.91,34011.0,6058595.41,4626145.35,13767259.73,0.0,13767259.73,0.741614
business_line,Losses,20,0,0,17,13,0.0,0.0,40.3,9931.96,5783.58,32792.5,0.0,32792.5,0.0
business_line,Personal,44,0,0,39,17,3946.36,8890.39,79.28,13879.4,5386.21,17493.75,0.0,17493.75,0.443891
business_line,Supplies,354,0,0,146,124,584462.84,903349.16,4575.97,1553483.29,954212.38,3156832.0,0.0,3156832.0,0.646995
customer_type,Government,6644,0,0,2619,686,17939703.253600005,33142254.846399996,590523.14,65174889.9979,44935349.3351,179557802.44,1090.0,179558892.44,0.541294
customer_type,Hospital,4325,0,0,937,1147,19790473.279999986,31802211.48000001,322614.1,53459558.2796,39463340.7996,113538928.61,0.0,113538928.61,0.622299
customer_type,Pharma,73,0,0,23,64,13880.0,25720.0,406.0,200313.49,189628.49,853255.0,0.0,853255.0,0.539658
territory,Albay,14,0,0,12,10,32595.7,47797.7,2067.0,365654.27,351017.4,1043268.97,2056.68,1045325.65,0.681951
territory,Batangas,3062,0,0,428,1653,263519.28,470232.51999999996,19719.68,5184707.7028,4810710.4428,15729278.39,61206.85,15790485.24,0.560402
territory,Camarines Norte,640,0,0,83,464,417946.75,698649.25,6496.19,2151319.47,1471272.79,4402384.12,57390.5,4459774.62,0.598221
territory,Camarines Sur,670,0,0,142,248,169990.25,217275.24999999997,3024.91,570209.094,646475.7436,1697911.9,13548.0,1711459.9,0.782373
territory,Cavite,760,0,0,198,486,177448.92000000004,211424.9200000001,7324.96,1246439.34,1003418.11,3718152.5,67876.75,3786029.25,0.8393
territory,Laguna,235,0,0,164,56,371564.3,769379.7000000001,3425.64,785112.94,604820.76,1202940.3,0.0,1202940.3,0.48294
territory,Marinduque,657,20,0,212,291,1029969.8900000001,1950118.1100000003,17681.0,5041871.42,4041196.12,11188197.04,569123.99,11757321.03,0.528158
territory,Quezon,3074,0,0,408,1921,847678.1200000001,1353716.0599999998,31329.47,7203303.19,6363914.72,20472951.64,1970386.28,22443337.92,0.626186
unmapped,Aboitiz,5,5,0,5,1,23907.690000000002,44400.0,1.0,44400.0,23907.69,68307.69,0.0,68307.69,0.538461
unmapped,Gulang Gulang,15,15,0,12,3,38704.0,80150.99999999999,3.0,80151.0,38704.0,118855.0,0.0,118855.0,0.482889
unmapped,Mindoro,9,0,0,5,4,10059.32,12975.68,743.0,41873.18,14476.82,44040.0,0.0,44040.0,0.775244
unmapped,PESO,15,15,0,14,3,1204359.84,2317160.16,3.0,2317160.16,1204359.84,3521520.0,0.0,3521520.0,0.519757
unmapped,PESO Provincial,15,15,0,14,3,363095.62999999995,697654.37,3.0,710699.22,363095.63,1070570.0,0.0,1070570.0,0.520452
unmapped,PHO,15,15,0,13,3,57710.69,109077.31000000001,3.0,109077.31,57710.69,166788.0,0.0,166788.0,0.529081
unmapped,PPDC,70,70,0,44,14,322389.89,614539.8600000001,14.0,614539.86,322389.89,986429.75,0.0,986429.75,0.524604
unmapped,PPOC,5,5,0,5,1,52500.0,64000.0,1.0,64000.0,52500.0,116500.0,0.0,116500.0,0.820312
unmapped,Padre Burgos,5,5,0,5,1,23491.0,50889.0,1.0,50889.0,23491.0,74380.0,0.0,74380.0,0.461613
unmapped,Pagbilao,1230,1230,0,75,242,11236230.389999993,23956225.77000004,246.0,51826339.93,27910055.34,84730621.16,0.0,84730621.16,0.469032
unmapped,Provincial Tourism Office,25,25,0,21,5,177177.24,345842.76,5.0,855305.26,177177.24,836410.0,0.0,836410.0,0.512306
unmapped,QMC,255,255,0,45,51,3138530.8199999994,5796074.229999998,51.0,7530374.88,4393830.47,12052056.6,0.0,12052056.6,0.541493
unmapped,Tourism,55,55,0,27,11,481101.21,916114.7900000002,11.0,921686.79,486673.21,1416676.0,0.0,1416676.0,0.525154
