period,row_count,estimated_contract_rows,estimated_date_rows,unique_products,unique_dr_numbers,net_income_clean,revenue_clean,quantity,total_trade_price,net_income,net_cost,discount,total_cost,gross_margin_rate
2020-01,441,0,0,186,201,609128.4699999999,712968.2600000002,10307.83,2107673.34,1818142.45,5126709.36,90141.0,5216850.36,0.854356
2020-02,436,0,0,228,160,263094.89999999997,391886.52000000014,6534.28,1138469.1,997679.38,3522174.0,43118.98,3565292.98,0.671355
2020-03,469,0,0,243,171,713029.9099999999,888421.8800000002,15402.19,2181309.08,1988890.19,6640549.08,39133.12,6679682.2,0.80258
2020-04,207,0,0,122,61,47158.799999999996,76532.20000000001,2594.67,488081.63,421740.39,1525751.32,21000.0,1546751.32,0.616196
2020-05,420,0,0,258,82,197465.66999999998,418735.73000000004,19726.92,2758802.31,2296236.1,19394456.3,3767.5,19398223.8,0.471576
2020-06,330,0,0,190,124,228658.80000000002,355414.19,9501.92,1454088.61,1278622.97,4471548.75,37378.32,4508927.07,0.643359
2020-07,170,0,0,107,77,112569.96999999999,166159.48,3294.46,584563.11,526186.93,1553987.81,22163.83,1576151.64,0.677481
2020-08,269,0,0,147,109,105940.33999999998,178280.2,5003.84,1010586.47,929204.68,2983110.79,32723.53,3015834.32,0.594235
2020-09,174,0,0,92,83,198715.97,426148.78,3931.21,853602.15,622548.01,2102633.27,28951.63,2131584.9,0.466307
2020-10,426,0,0,239,156,136638.47999999998,220680.39,3558.92,809458.42,805595.13,2479714.92,43482.0,2523196.92,0.619169
2020-11,252,0,0,158,86,388531.13,579739.8899999998,7711.47,1698949.56,1482656.8,4870933.12,50399.3,4921332.42,0.670182
2020-12,196,0,0,123,65,94891.28,175920.06,6130.34,843729.75,773200.97,3771013.02,31937.4,3802950.42,0.5394
2021-01,258,0,0,157,108,461774.02,703674.52,11330.76,1877230.39,1566118.59,5364380.25,51562.29,5415942.54,0.656232
2021-02,213,0,0,105,117,678619.2336,1003351.2663999998,15652.47,1638141.4964,1302066.4036,3682482.14,44280.6,3726762.74,0.676353
2021-03,207,0,0,109,94,140243.72,272202.32,4120.5,764865.62,627404.5,2318360.72,51346.5,2369707.22,0.515219
2021-04,258,0,0,154,107,165483.1,224106.14,7065.79,1476184.84,1388111.8,4928899.8,28179.0,4957078.8,0.738414
2021-05,183,0,0,108,83,175432.88,469447.98999999993,3980.2,893112.49,597768.18,2012916.83,60633.7,2073550.53,0.3737
2021-06,253,0,0,166,88,228497.54,348177.9,14229.27,1472123.0828,1337792.1028,5225498.2,34933.0,5260431.2,0.656267
2021-07,345,0,0,173,148,475603.52999999997,645312.4299999999,15337.29,2728688.2331,2462419.2031,9573660.33,45558.58,9619218.91,0.737013
2021-08,305,0,0,179,127,1501609.03,1829580.54,23360.6,4556636.53,3926490.02,10533739.53,73173.5,10606913.03,0.82074
2021-09,286,0,0,173,114,515888.37000000005,670759.5199999999,17111.7,3023739.9119,2468169.8415,8287059.6,19413.25,8306472.85,0.769111
2021-10,383,0,0,209,128,2307940.62,3264819.28,20944.55,5925674.82,4689571.16,15334603.64,42796.5,15377400.14,0.706912
2021-11,507,0,0,259,122,262643.06,477008.72,14338.62,1970003.48,1710477.82,6844167.04,67682.8,6911849.84,0.550604
2021-12,217,0,0,134,84,247528.00999999998,312834.1,5674.21,1261487.7596,1188481.6696,4079801.18,29590.5,4109391.68,0.791244
2022-01,377,0,0,219,100,145570.07000000004,332335.42,12004.99,1383889.29,1125754.1,5369633.75,60193.5,5429827.25,0.438022
2022-02,470,0,0,266,159,324265.77,570313.77,16022.82,3465057.62,3134949.62,10572581.73,53954.0,10626535.73,0.568574
2022-03,298,0,0,185,125,465299.72,719641.23,8140.4,1674968.26,1420721.35,5791537.63,69281.7,5860819.33,0.646572
2022-04,314,0,0,191,123,264605.36,448030.86000000004,16723.75,1784248.43,1552801.53,5638889.71,42766.0,5681655.71,0.590596
2022-05,324,0,0,192,115,457075.36,675299.3400000001,10889.03,1407669.06,1189445.08,3871579.02,27775.0,3899354.02,0.676849
2022-06,493,0,0,308,156,648241.0499999999,1079273.1500000004,17890.7,3009019.44,2558405.34,10428221.03,49592.0,10477813.03,0.600627
2022-07,295,0,0,148,148,280581.28,420926.42,3981.0,1106942.94,821226.2,3049922.43,82167.0,3132089.43,0.66658
2022-08,194,0,0,103,107,101098.96,180704.07,2683.7,765704.16,686099.05,2138525.12,37492.0,2176017.12,0.559473
