product,quantity,revenue,gross_margin_amount,row_count,active_months,estimated_contract_rows,net_income_clean,revenue_clean,rank,gross_margin_rate,revenue_share,cumulative_revenue_share,abc_class,method,status
MONOWEL 1G IV,12600.0,5780546.0,2331189.0,11,6,0,2331189.0,5780545.999999999,1,0.403282,0.032393,0.032393,A,ABC/Pareto using total_trade_price revenue,draft
EVAPROST 250MCG/ML,842.0,3010150.0,2080402.0,145,40,0,536002.0,1233375.0,2,0.434582,0.016869,0.049262,A,ABC/Pareto using total_trade_price revenue,draft
JUBI -R 100MG,750.0,2375000.0,1950000.0,5,3,0,1475000.0,1900000.0,3,0.776316,0.013309,0.062571,A,ABC/Pareto using total_trade_price revenue,draft
SPEEDA 2.5IU/0.5ML,425.0,2004500.0,970810.0,5,5,0,970810.0,2004500.0,4,0.484315,0.011233,0.073804,A,ABC/Pareto using total_trade_price revenue,draft
ANTITET 1500IU/0.7ML,1448.6587,1996262.33,1736911.19,20,6,6,183411.19,403449.86000000004,5,0.454607,0.011187,0.084991,A,ABC/Pareto using total_trade_price revenue,draft
"QMC 787,170",9.4518,1928778.38,978044.01,28,10,27,907464.2999999999,1769725.4900000002,6,0.512771,0.010809,0.0958,A,ABC/Pareto using total_trade_price revenue,draft
HAIXONE WITH DILUENT 1G,53617.6411,1927043.99,1550649.85,41,10,16,1485870.79,1750024.62,7,0.849057,0.010799,0.106598,A,ABC/Pareto using total_trade_price revenue,draft
AMCETAM 150MG/ML 2ML,1946.5726,1822822.4,692699.32,34,17,11,511209.22000000003,1468601.1799999997,8,0.348093,0.010215,0.116813,A,ABC/Pareto using total_trade_price revenue,draft
VOLUMETRIC SOLUTION INFUSION SET 150ML (POLYVOL),7202.1033,1766344.57,870285.59,21,4,9,640784.1600000001,1456054.39,9,0.440083,0.009898,0.126712,A,ABC/Pareto using total_trade_price revenue,draft
ENOXAGET-40 40MG/0.4ML,2145.8843,1764259.31,1477024.19,16,8,6,1461475.8500000003,1737113.3199999998,10,0.841324,0.009887,0.136598,A,ABC/Pareto using total_trade_price revenue,draft
ZINACARE 750MG W/ DILUENT,42103.0028,1664252.03,1027683.26,29,8,10,1012083.26,1158259.01,11,0.873797,0.009326,0.145925,A,ABC/Pareto using total_trade_price revenue,draft
BUPIRIGHT 5MG/ML 0.5% IN 8% 4ML,7933.9602,1657118.96,1493254.7,55,29,5,260298.7,424162.96,12,0.613676,0.009286,0.155211,A,ABC/Pareto using total_trade_price revenue,draft
PROFUREX 750MG,8260.0,1577212.66,1508359.34,11,10,0,626093.34,694946.66,13,0.900923,0.008839,0.164049,A,ABC/Pareto using total_trade_price revenue,draft
CAMERA WITH SD CARD AND LENS EOS RP RF24-105MM PRO (CANON),9.5592,1512918.42,802026.81,28,10,27,730550.5100000001,1351845.05,14,0.54041,0.008478,0.172528,A,ABC/Pareto using total_trade_price revenue,draft
MARKER BLACK (PILOT),39.2035,1460249.09,753230.75,39,15,36,203292.46,451641.03,15,0.45012,0.008183,0.180711,A,ABC/Pareto using total_trade_price revenue,draft
SHARJVAX 1500 I.U. / 0.7ML,1539.0,1400460.0,687610.0,31,17,0,659880.0,1271150.0,16,0.51912,0.007848,0.188559,A,ABC/Pareto using total_trade_price revenue,draft
ALBUMINAR-20 20% 50ML,1000.0,1400000.0,1297000.0,1,1,0,1297000.0,1400000.0,17,0.926429,0.007845,0.196404,A,ABC/Pareto using total_trade_price revenue,draft
EVAPROST 250MCG/ML IV,286.7425,1384996.44,749192.51,51,24,8,469124.25999999995,1104928.1900000002,18,0.424574,0.007761,0.204165,A,ABC/Pareto using total_trade_price revenue,draft
BUPIRIGHT AMPULE,7232.22,1350753.02,1321873.06,180,32,2,2093.06,5836.67,19,0.358605,0.007569,0.211735,A,ABC/Pareto using total_trade_price revenue,draft
CORPILYN 500MG,25775.2144,1327486.35,739424.57,50,15,19,466680.92000000004,848262.6699999998,20,0.550161,0.007439,0.219174,A,ABC/Pareto using total_trade_price revenue,draft
MICROPORE 1X10 2.5CMX9.1M (3M),629.9329,1305308.98,633355.59,42,10,14,614295.7699999999,1071433.7300000002,21,0.57334,0.007315,0.226489,A,ABC/Pareto using total_trade_price revenue,draft
TRIVASC 35MG MR,2643.7639,1186466.49,1133441.52,258,42,1,138934.02,207034.89,22,0.671066,0.006649,0.233138,A,ABC/Pareto using total_trade_price revenue,draft
