period,prior_period,quantity,revenue,gross_margin_amount,prior_quantity,prior_revenue,quantity_yoy_growth,revenue_yoy_growth,is_2025_partial,is_partial_period
2020-01,2019-01,10307.83,2107673.34,1818142.45,,,,,False,False
2020-02,2019-02,6534.28,1138469.1,997679.38,,,,,False,False
2020-03,2019-03,15402.19,2181309.08,1988890.19,,,,,False,False
2020-04,2019-04,2594.67,488081.63,421740.39,,,,,False,False
2020-05,2019-05,19726.92,2758802.31,2296236.1,,,,,False,False
2020-06,2019-06,9501.92,1454088.61,1278622.97,,,,,False,False
2020-07,2019-07,3294.46,584563.11,526186.93,,,,,False,False
2020-08,2019-08,5003.84,1010586.47,929204.68,,,,,False,False
2020-09,2019-09,3931.21,853602.15,622548.01,,,,,False,False
2020-10,2019-10,3558.92,809458.42,805595.13,,,,,False,False
2020-11,2019-11,7711.47,1698949.56,1482656.8,,,,,False,False
2020-12,2019-12,6130.34,843729.75,773200.97,,,,,False,False
2021-01,2020-01,11330.76,1877230.39,1566118.59,10307.83,2107673.34,0.099238,-0.109335,False,False
2021-02,2020-02,15652.47,1638141.4964,1302066.4036,6534.28,1138469.1,1.395439,0.438899,False,False
2021-03,2020-03,4120.5,764865.62,627404.5,15402.19,2181309.08,-0.732473,-0.649355,False,False
2021-04,2020-04,7065.79,1476184.84,1388111.8,2594.67,488081.63,1.723194,2.024463,False,False
2021-05,2020-05,3980.2,893112.49,597768.18,19726.92,2758802.31,-0.798235,-0.676268,False,False
2021-06,2020-06,14229.27,1472123.0828,1337792.1028,9501.92,1454088.61,0.497515,0.012403,False,False
2021-07,2020-07,15337.29,2728688.2331,2462419.2031,3294.46,584563.11,3.655479,3.66791,False,False
2021-08,2020-08,23360.6,4556636.53,3926490.02,5003.84,1010586.47,3.668535,3.508903,False,False
2021-09,2020-09,17111.7,3023739.9119,2468169.8415,3931.21,853602.15,3.352782,2.542329,False,False
2021-10,2020-10,20944.55,5925674.82,4689571.16,3558.92,809458.42,4.885086,6.320543,False,False
2021-11,2020-11,14338.62,1970003.48,1710477.82,7711.47,1698949.56,0.859389,0.159542,False,False
2021-12,2020-12,5674.21,1261487.7596,1188481.6696,6130.34,843729.75,-0.074405,0.495132,False,False
2022-01,2021-01,12004.99,1383889.29,1125754.1,11330.76,1877230.39,0.059504,-0.262803,False,False
2022-02,2021-02,16022.82,3465057.62,3134949.62,15652.47,1638141.4964,0.023661,1.115237,False,False
2022-03,2021-03,8140.4,1674968.26,1420721.35,4120.5,764865.62,0.975585,1.189886,False,False
2022-04,2021-04,16723.75,1784248.43,1552801.53,7065.79,1476184.84,1.366862,0.208689,False,False
2022-05,2021-05,10889.03,1407669.06,1189445.08,3980.2,893112.49,1.7358,0.576139,False,False
2022-06,2021-06,17890.7,3009019.44,2558405.34,14229.27,1472123.0828,0.257317,1.044,False,False
2022-07,2021-07,3981.0,1106942.94,821226.2,15337.29,2728688.2331,-0.740437,-0.594331,False,False
2022-08,2021-08,2683.7,765704.16,686099.05,23360.6,4556636.53,-0.885119,-0.831958,False,False
2022-09,2021-09,11326.6,2453379.94,2074445.0,17111.7,3023739.9119,-0.338079,-0.188627,False,False
2022-10,2021-10,6097.2,1351916.18,933168.98,20944.55,5925674.82,-0.708888,-0.771854,False,False
2022-11,2021-11,8152.5,1515612.15,1128379.33,14338.62,1970003.48,-0.431431,-0.230655,False,False
2022-12,2021-12,9551.0,1359533.74,1179717.94,5674.21,1261487.7596,0.68323,0.077722,False,False
2023-01,2022-01,26785.48,3434774.84,2205674.17,12004.99,1383889.29,1.231196,1.481972,False,False
2023-02,2022-02,48728.69,6726958.03,3379264.91,16022.82,3465057.62,2.041206,0.94137,False,False
2023-03,2022-03,8667.83,983171.36,679678.56,8140.4,1674968.26,0.064792,-0.413021,False,False
