period,area,product,row_count,estimated_contract_rows,estimated_date_rows,unique_products,unique_dr_numbers,net_income_clean,revenue_clean,quantity,total_trade_price,net_income,net_cost,discount,total_cost,gross_margin_rate
2024-04,Pagbilao,2656,1,1,0,1,1,3765.27,5098.29,0.1733,5098.29,3765.27,8863.57,0.0,8863.57,0.738536
2024-04,Pagbilao,BALLPEN FINEPOINT,1,1,0,1,1,4877.63,7060.6,0.1493,7060.6,4877.63,11938.22,0.0,11938.22,0.690824
2024-04,Pagbilao,BATHROOM TISSUE 2PLY 12'S (FEMME),2,2,0,1,2,6398.67,9773.34,0.3544,9773.34,6398.67,16172.0,0.0,16172.0,0.654707
2024-04,Pagbilao,BOND PAPER LEGAL 80GSM (DOUBLE A),1,1,0,1,1,3663.02,4959.84,0.1685,4959.84,3663.02,8622.86,0.0,8622.86,0.738536
2024-04,Pagbilao,ELECTRICAL WIRE #14,1,1,0,1,1,4615.16,6249.06,0.2124,6249.06,4615.16,10864.21,0.0,10864.21,0.738537
2024-04,Pagbilao,FOLDER ORDINARY WHITE LONG 100'S,2,2,0,1,2,7236.72,10532.619999999999,0.498,10532.62,7236.72,17769.34,0.0,17769.34,0.687077
2024-04,Pagbilao,HARD COPY SUB#20 (8 1/2X13) LONG,1,1,0,1,1,9824.27,14221.1,0.3007,14221.1,9824.27,24045.38,0.0,24045.38,0.690823
2024-04,Pagbilao,HBW BLACK BALLPEN,1,1,0,1,1,1377.37,2581.34,0.2245,2581.34,1377.37,3958.71,0.0,3958.71,0.533587
2024-04,Pagbilao,INK EPSON #003 BLACK,1,1,0,1,1,7059.87,10219.5,0.2161,10219.5,7059.87,17279.38,0.0,17279.38,0.690823
2024-04,Pagbilao,INK EPSON #003 CYAN,1,1,0,1,1,5709.93,8265.4,0.1748,8265.4,5709.93,13975.33,0.0,13975.33,0.690823
2024-04,Pagbilao,MARKER BLACK (PILOT),1,1,0,1,1,1193.19,2236.16,0.1944,2236.16,1193.19,3429.35,0.0,3429.35,0.533589
2024-04,Pagbilao,MYGEL BLACK,1,1,0,1,1,956.73,1793.02,0.1559,1793.02,956.73,2749.75,0.0,2749.75,0.533586
2024-04,Pagbilao,STAPLER STANDARD TYPE (JOY),1,1,0,1,1,3863.87,5231.78,0.1778,5231.78,3863.87,9095.65,0.0,9095.65,0.738538
2024-05,Padre Burgos,CORRECTION TAPE JOY,1,1,0,1,1,5178.0,11217.2,0.2204,11217.2,5178.0,16395.2,0.0,16395.2,0.461613
2024-05,Padre Burgos,FOLDER ORDINARY WHITE LONG 100'S,1,1,0,1,1,4559.81,9878.01,0.1941,9878.01,4559.81,14437.82,0.0,14437.82,0.461612
2024-05,Padre Burgos,INK EPSON #003 BLACK,1,1,0,1,1,5254.17,11382.21,0.2237,11382.21,5254.17,16636.39,0.0,16636.39,0.461612
2024-05,Padre Burgos,INK EPSON #003 MAGENTA,1,1,0,1,1,4249.51,9205.79,0.1809,9205.79,4249.51,13455.3,0.0,13455.3,0.461613
2024-05,Padre Burgos,INK EPSON #003 YELLOW,1,1,0,1,1,4249.51,9205.79,0.1809,9205.79,4249.51,13455.29,0.0,13455.29,0.461613
