area_type,standard_area,row_count,estimated_contract_rows,estimated_date_rows,unique_products,unique_dr_numbers,quantity,total_trade_price,net_income,net_cost,discount,total_cost,gross_margin_rate
business_line,Admin,4174,0,0,712,1184,27730.49,6934074.83,9756888.59,11187847.81,503220.96,16488663.67,0.872097
business_line,Equipment,115,0,0,62,51,34014.0,6058595.41,9303716.22,13767259.73,0.0,14530259.73,0.675786
business_line,Losses,20,0,0,17,13,112.3,18131.96,41133.94,34569.14,0.0,34569.14,1.189903
business_line,Personal,44,0,0,39,17,79.28,13879.4,8988.67,17493.75,0.0,17493.75,0.513822
business_line,Supplies,574,0,0,207,208,13051.09,2865198.16,3806876.68,3156832.0,0.0,4935105.66,1.205917
customer_type,Government,7569,0,0,2902,799,681932.05,70623072.01,142901291.86,184721622.13,1090.0,207752317.55,0.773603
customer_type,Hospital,5040,0,0,980,1388,441509.85,82667909.62,99672658.15,113951514.61,3173.1,149542736.61,0.874694
customer_type,Pharma,96,0,0,30,78,815.9,288965.24,850014.76,865855.0,0.0,1138980.0,0.981706
territory,Albay,169,0,0,90,118,3659.69,535598.58,1121640.22,1047168.97,36254.91,1659295.47,1.071117
territory,Batangas,4910,0,0,600,3136,42960.2,8514558.86,19910341.54,15817808.41,65382.7,27322748.9,1.258729
territory,Camarines Norte,1745,0,0,183,1087,13031.62,3647985.41,8694502.55,4472154.12,72364.66,11526034.65,1.944142
territory,Camarines Sur,1999,0,0,255,1007,15034.92,2065019.64,5123402.24,2156115.14,34035.4,7098126.58,2.376219
territory,Cavite,1357,0,0,313,890,16961.7,2454990.87,5744879.46,3885888.5,158690.9,7662837.05,1.478395
territory,Laguna,1991,0,0,555,583,67890.88,4748072.88,11571857.71,2371968.5,0.5,15003997.12,4.878588
territory,Marinduque,1101,20,0,294,458,23609.23,5870048.75,7672174.8,11210597.04,847482.83,13993168.64,0.684368
territory,Mindoro,36,0,0,19,15,1843.0,136792.46,88481.54,44040.0,7180.35,198784.0,2.009118
territory,Pagbilao,1230,1230,0,84,242,246.0,51826339.93,39708600.23,84730621.16,0.0,84730621.16,0.468645
territory,Quezon,4358,0,0,515,2504,50336.91,10258006.45,19259720.77,20696859.56,2204707.42,28089991.27,0.930562
unmapped,Aboitiz,5,5,0,5,1,1.0,44400.0,23907.69,68307.69,0.0,68307.69,0.35
unmapped,Bicol,332,0,0,102,163,4049.81,271191.76,929329.67,0.0,116416.82,1199221.43,
unmapped,Gulang Gulang,15,15,0,12,3,3.0,80151.0,38704.0,118855.0,0.0,118855.0,0.32564
unmapped,PESO,15,15,0,14,3,3.0,2317160.16,1204359.84,3521520.0,0.0,3521520.0,0.342
unmapped,PESO Provincial,15,15,0,15,3,3.0,710699.22,359870.78,1070570.0,0.0,1070570.0,0.336149
unmapped,PHO,15,15,0,14,3,3.0,109077.31,57710.69,166788.0,0.0,166788.0,0.346012
unmapped,PPDC,70,70,0,41,14,14.0,614539.86,371889.89,986429.75,0.0,986429.75,0.377006
unmapped,PPOC,5,5,0,5,1,1.0,64000.0,52500.0,116500.0,0.0,116500.0,0.450644
unmapped,Padre Burgos,5,5,0,5,1,1.0,50889.0,23491.0,74380.0,0.0,74380.0,0.315824
unmapped,Provincial Tourism Office,25,25,0,20,5,5.0,855305.26,373249.74,836410.0,0.0,836410.0,0.446252
unmapped,QMC,255,255,0,52,51,51.0,7530374.88,4749955.72,12052056.6,0.0,12052056.6,0.39412
unmapped,Tourism,55,55,0,27,11,11.0,921686.79,494989.21,1416676.0,0.0,1416676.0,0.349402
