canonical_sku,region,period,quantity,source_rows,observation_status,in_evaluation_window
DOLO JAGA 500MG/50MG/100MG/100MCG,All Study Regions,2017-01,3.0,2,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,All Study Regions,2017-02,3.0,2,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,All Study Regions,2017-03,190.0,8,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,All Study Regions,2017-04,10.0,6,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,All Study Regions,2017-05,,0,missing_unknown,False
DOLO JAGA 500MG/50MG/100MG/100MCG,All Study Regions,2017-06,,0,missing_unknown,False
DOLO JAGA 500MG/50MG/100MG/100MCG,All Study Regions,2017-07,,0,missing_unknown,False
DOLO JAGA 500MG/50MG/100MG/100MCG,All Study Regions,2017-08,,0,missing_unknown,False
DOLO JAGA 500MG/50MG/100MG/100MCG,All Study Regions,2017-09,,0,missing_unknown,False
DOLO JAGA 500MG/50MG/100MG/100MCG,All Study Regions,2017-10,,0,missing_unknown,False
DOLO JAGA 500MG/50MG/100MG/100MCG,All Study Regions,2017-11,,0,missing_unknown,False
DOLO JAGA 500MG/50MG/100MG/100MCG,All Study Regions,2017-12,,0,missing_unknown,False
DOLO JAGA 500MG/50MG/100MG/100MCG,All Study Regions,2018-01,,0,missing_unknown,False
DOLO JAGA 500MG/50MG/100MG/100MCG,All Study Regions,2018-02,,0,missing_unknown,False
DOLO JAGA 500MG/50MG/100MG/100MCG,All Study Regions,2018-03,3.0,2,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,All Study Regions,2018-04,18.0,6,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,All Study Regions,2018-05,24.0,9,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,All Study Regions,2018-06,12.0,5,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,All Study Regions,2018-07,6.0,6,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,All Study Regions,2018-08,16.0,5,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,All Study Regions,2018-09,18.0,11,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,All Study Regions,2018-10,15.0,9,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,All Study Regions,2018-11,22.0,7,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,All Study Regions,2018-12,16.0,6,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,All Study Regions,2019-01,25.0,11,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,All Study Regions,2019-02,17.84,7,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,All Study Regions,2019-03,18.0,4,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,All Study Regions,2019-04,16.0,6,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,All Study Regions,2019-05,22.0,8,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,All Study Regions,2019-06,30.0,8,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,All Study Regions,2019-07,24.0,10,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,All Study Regions,2019-08,22.0,6,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,All Study Regions,2019-09,22.0,9,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,All Study Regions,2019-10,,0,missing_unknown,False
DOLO JAGA 500MG/50MG/100MG/100MCG,All Study Regions,2019-11,,0,missing_unknown,False
DOLO JAGA 500MG/50MG/100MG/100MCG,All Study Regions,2019-12,,0,missing_unknown,False
DOLO JAGA 500MG/50MG/100MG/100MCG,All Study Regions,2020-01,38.0,7,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,All Study Regions,2020-02,27.33,11,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,All Study Regions,2020-03,43.33,9,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,All Study Regions,2020-04,27.0,5,observed,False
