canonical_sku,region,period,observed_quantity,trend,seasonal,residual,method
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2020-01,5.0,9.638183,-2.941813,-1.696371,"STL(period=12, robust=True)"
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2020-02,8.0,10.071308,-2.943612,0.872305,"STL(period=12, robust=True)"
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2020-03,12.0,10.500864,4.126082,-2.626946,"STL(period=12, robust=True)"
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2020-04,17.0,10.927579,2.118602,3.95382,"STL(period=12, robust=True)"
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2020-05,11.0,11.352951,-0.281179,-0.071772,"STL(period=12, robust=True)"
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2020-06,12.0,11.777302,-0.970604,1.193302,"STL(period=12, robust=True)"
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2020-07,21.0,12.200184,8.209463,0.590353,"STL(period=12, robust=True)"
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2020-08,12.0,12.619926,1.303014,-1.92294,"STL(period=12, robust=True)"
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2020-09,11.0,13.033377,-3.369211,1.335834,"STL(period=12, robust=True)"
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2020-10,6.0,13.436048,-5.010515,-2.425533,"STL(period=12, robust=True)"
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2020-11,13.0,13.817983,1.092087,-1.91007,"STL(period=12, robust=True)"
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2020-12,18.0,14.158611,1.770754,2.070635,"STL(period=12, robust=True)"
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2021-01,16.0,14.482359,-3.238229,4.75587,"STL(period=12, robust=True)"
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2021-02,11.0,14.840933,-2.412253,-1.42868,"STL(period=12, robust=True)"
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2021-03,23.0,15.221661,1.036247,6.742092,"STL(period=12, robust=True)"
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2021-04,9.0,15.592026,-1.336851,-5.255175,"STL(period=12, robust=True)"
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2021-05,17.0,15.936696,0.566611,0.496693,"STL(period=12, robust=True)"
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2021-06,13.0,16.245551,-0.52588,-2.719671,"STL(period=12, robust=True)"
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2021-07,23.0,16.509527,6.295276,0.195198,"STL(period=12, robust=True)"
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2021-08,22.0,16.739507,3.610108,1.650385,"STL(period=12, robust=True)"
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2021-09,12.0,16.954207,-3.959476,-0.994731,"STL(period=12, robust=True)"
