period,prior_period,quantity,revenue,gross_margin_amount,prior_quantity,prior_revenue,revenue_yoy_change_pesos,quantity_yoy_change_units,quantity_yoy_growth,revenue_yoy_growth,is_2025_partial
2017-01,2016-01,5239.0,0.0,1571186.7,,,,,,,False
2017-02,2016-02,7862.0,0.0,1736473.26,,,,,,,False
2017-03,2016-03,43869.0,0.0,2036179.91,,,,,,,False
2017-04,2016-04,13453.0,0.0,2060734.29,,,,,,,False
2017-09,2016-09,1.0,0.0,325.0,,,,,,,False
2017-11,2016-11,138.0,0.0,61288.9,,,,,,,False
2017-12,2016-12,6302.0,0.0,217490.0,,,,,,,False
2018-03,2017-03,5480.09,0.0,2143211.48,43869.0,0.0,0.0,-38388.91,-0.875081,,False
2018-04,2017-04,10992.25,0.0,3243787.92,13453.0,0.0,0.0,-2460.75,-0.182915,,False
2018-05,2017-05,8063.78,0.0,2713153.7,,,,,,,False
2018-06,2017-06,7412.4,0.0,2403640.64,,,,,,,False
2018-07,2017-07,7392.2,0.0,3121544.64,,,,,,,False
2018-08,2017-08,7761.9,0.0,2146960.58,,,,,,,False
2018-09,2017-09,6487.75,0.0,2442704.0,1.0,0.0,0.0,6486.75,6486.75,,False
2018-10,2017-10,11268.66,0.0,3941468.74,,,,,,,False
2018-11,2017-11,14908.51,0.0,4549269.36,138.0,0.0,0.0,14770.51,107.032681,,False
2018-12,2017-12,7511.91,0.0,3341101.22,6302.0,0.0,0.0,1209.91,0.191988,,False
2019-01,2018-01,9260.24,0.0,3133742.13,,,,,,,False
2019-02,2018-02,9470.65,0.0,3846358.5,,,,,,,False
2019-03,2018-03,12339.72,0.0,5685202.99,5480.09,0.0,0.0,6859.63,1.251737,,False
2019-04,2018-04,27585.22,0.0,7512816.02,10992.25,0.0,0.0,16592.97,1.509515,,False
2019-05,2018-05,22554.13,0.0,6914453.94,8063.78,0.0,0.0,14490.35,1.796967,,False
2019-06,2018-06,16042.85,0.0,5322736.55,7412.4,0.0,0.0,8630.45,1.164326,,False
2019-07,2018-07,23369.62,0.0,5920123.29,7392.2,0.0,0.0,15977.42,2.161389,,False
2019-08,2018-08,10609.35,0.0,4053717.18,7761.9,0.0,0.0,2847.45,0.36685,,False
2019-09,2018-09,15600.9,0.0,3661326.45,6487.75,0.0,0.0,9113.15,1.40467,,False
2020-01,2019-01,15080.41,7699838.15,5563225.37,9260.24,0.0,7699838.15,5820.17,0.628512,,False
2020-02,2019-02,10835.34,7141741.1,5110121.31,9470.65,0.0,7141741.1,1364.69,0.144097,,False
2020-03,2019-03,17880.95,7604735.99,5132902.5,12339.72,0.0,7604735.99,5541.23,0.449056,,False
2020-04,2019-04,2549.67,1661961.32,1193167.6,27585.22,0.0,1661961.32,-25035.55,-0.907571,,False
2020-05,2019-05,19872.92,19478779.97,17160658.86,22554.13,0.0,19478779.97,-2681.21,-0.118879,,False
2020-06,2019-06,9638.18,4477150.25,3143300.32,16042.85,0.0,4477150.25,-6404.67,-0.399223,,False
2020-07,2019-07,7971.79,3677386.72,2607432.1,23369.62,0.0,3677386.72,-15397.83,-0.658882,,False
2020-08,2019-08,3048.0,2473021.69,1561540.39,10609.35,0.0,2473021.69,-7561.35,-0.712706,,False
2020-09,2019-09,3354.38,1498130.28,843952.77,15600.9,0.0,1498130.28,-12246.52,-0.784988,,False
2020-10,2019-10,4542.91,2107690.82,1462677.53,,,,,,,False
2020-11,2019-11,8225.5,5527108.86,3689949.07,,,,,,,False
2020-12,2019-12,3247.34,2235823.72,1608464.33,,,,,,,False
2021-01,2020-01,17887.76,8789896.23,6268892.09,15080.41,7699838.15,1090058.08,2807.35,0.186159,0.141569,False
2021-02,2020-02,5468.8,3067470.64,1876557.41,10835.34,7141741.1,-4074270.46,-5366.54,-0.495281,-0.570487,False
2021-03,2020-03,4842.5,2642814.24,1778655.66,17880.95,7604735.99,-4961921.75,-13038.45,-0.729181,-0.652478,False
2021-04,2020-04,6178.59,4446869.07,2814742.51,2549.67,1661961.32,2784907.75,3628.92,1.42329,1.675675,False
2021-05,2020-05,6585.44,5097442.98,3516188.48,19872.92,19478779.97,-14381336.99,-13287.48,-0.668622,-0.738308,False
2021-06,2020-06,13091.57,5004047.79,3789214.33,9638.18,4477150.25,526897.54,3453.39,0.358303,0.117686,False
2021-07,2020-07,10706.09,5870496.46,4165528.98,7971.79,3677386.72,2193109.74,2734.3,0.342997,0.596377,False
2021-08,2020-08,32075.27,10262506.25,6114492.31,3048.0,2473021.69,7789484.56,29027.27,9.523383,3.149784,False
2021-09,2020-09,17369.75,8215366.32,5349791.61,3354.38,1498130.28,6717236.04,14015.37,4.17823,4.483746,False
2021-10,2020-10,16133.68,12381539.54,7254358.03,4542.91,2107690.82,10273848.72,11590.77,2.551398,4.874457,False
2021-11,2020-11,18525.24,9885768.41,7342041.19,8225.5,5527108.86,4358659.55,10299.74,1.252172,0.788597,False
2021-12,2020-12,4645.17,2781596.91,1742056.27,3247.34,2235823.72,545773.19,1397.83,0.430454,0.244104,False
2022-01,2021-01,6559.46,2460196.23,1811995.95,17887.76,8789896.23,-6329700.0,-11328.3,-0.633299,-0.720111,False
2022-02,2021-02,13807.06,9554232.23,6284459.61,5468.8,3067470.64,6486761.59,8338.26,1.524696,2.114694,False
2022-03,2021-03,18124.07,9447042.16,6342342.63,4842.5,2642814.24,6804227.92,13281.57,2.742709,2.574615,False
2022-04,2021-04,5868.73,2621829.63,1668960.63,6178.59,4446869.07,-1825039.44,-309.86,-0.050151,-0.41041,False
2022-05,2021-05,12301.33,4541521.01,2914688.12,6585.44,5097442.98,-555921.97,5715.89,0.867959,-0.109059,False
2022-06,2021-06,17781.7,10395468.03,7419485.99,13091.57,5004047.79,5391420.24,4690.13,0.358256,1.077412,False
2022-07,2021-07,5433.9,3719115.58,2638013.09,10706.09,5870496.46,-2151380.88,-5272.19,-0.492448,-0.366473,False
2022-08,2021-08,5493.77,2808192.24,1651889.69,32075.27,10262506.25,-7454314.01,-26581.5,-0.828723,-0.726364,False
2022-09,2021-09,4046.47,2907592.88,1737073.4,17369.75,8215366.32,-5307773.44,-13323.28,-0.767039,-0.646079,False
2022-10,2021-10,12728.66,7117371.04,4972578.17,16133.68,12381539.54,-5264168.5,-3405.02,-0.21105,-0.425163,False
2022-11,2021-11,14886.2,5010554.22,3533906.3,18525.24,9885768.41,-4875214.19,-3639.04,-0.196437,-0.493155,False
2022-12,2021-12,6696.0,2976924.63,1809811.75,4645.17,2781596.91,195327.72,2050.83,0.441497,0.070221,False
2023-01,2022-01,20538.34,5126545.2,3517526.03,6559.46,2460196.23,2666348.97,13978.88,2.131102,1.083795,False
2023-02,2022-02,4105.09,1248841.5,598507.74,13807.06,9554232.23,-8305390.73,-9701.97,-0.702682,-0.869289,False
