territory,period,prior_period,quantity,revenue,gross_margin_amount,prior_quantity,prior_revenue,revenue_yoy_change_pesos,quantity_yoy_change_units,quantity_yoy_growth,revenue_yoy_growth,is_2025_partial
Batangas,2017-01,2016-01,1017.0,0.0,346632.69,,,,,,,False
Camarines Norte,2017-01,2016-01,674.0,0.0,189242.65,,,,,,,False
Camarines Sur,2017-01,2016-01,551.0,0.0,136657.8,,,,,,,False
Cavite,2017-01,2016-01,4.0,0.0,2898.5,,,,,,,False
Laguna,2017-01,2016-01,680.0,0.0,194643.9,,,,,,,False
Marinduque,2017-01,2016-01,128.0,0.0,58934.0,,,,,,,False
Quezon,2017-01,2016-01,457.0,0.0,174761.28,,,,,,,False
Batangas,2017-02,2016-02,694.0,0.0,281617.43,,,,,,,False
Camarines Norte,2017-02,2016-02,397.0,0.0,92979.68,,,,,,,False
Camarines Sur,2017-02,2016-02,505.0,0.0,89676.49,,,,,,,False
Cavite,2017-02,2016-02,72.0,0.0,42535.36,,,,,,,False
Laguna,2017-02,2016-02,3460.0,0.0,571012.65,,,,,,,False
Marinduque,2017-02,2016-02,137.0,0.0,43168.0,,,,,,,False
Mindoro,2017-02,2016-02,6.0,0.0,1578.0,,,,,,,False
Quezon,2017-02,2016-02,279.0,0.0,105887.6,,,,,,,False
Batangas,2017-03,2016-03,585.0,0.0,228149.02,,,,,,,False
Camarines Norte,2017-03,2016-03,251.0,0.0,85966.56,,,,,,,False
Camarines Sur,2017-03,2016-03,1130.0,0.0,120238.33,,,,,,,False
Cavite,2017-03,2016-03,114.0,0.0,74547.49,,,,,,,False
Laguna,2017-03,2016-03,35198.0,0.0,858767.92,,,,,,,False
Marinduque,2017-03,2016-03,125.0,0.0,30641.35,,,,,,,False
Mindoro,2017-03,2016-03,128.0,0.0,9891.2,,,,,,,False
Quezon,2017-03,2016-03,216.0,0.0,83155.3,,,,,,,False
Batangas,2017-04,2016-04,622.0,0.0,253421.69,,,,,,,False
Camarines Norte,2017-04,2016-04,238.0,0.0,77576.3,,,,,,,False
Camarines Sur,2017-04,2016-04,490.0,0.0,105330.12,,,,,,,False
Cavite,2017-04,2016-04,53.0,0.0,40949.45,,,,,,,False
Laguna,2017-04,2016-04,1628.0,0.0,328237.04,,,,,,,False
Marinduque,2017-04,2016-04,102.0,0.0,19557.1,,,,,,,False
Quezon,2017-04,2016-04,287.0,0.0,106496.7,,,,,,,False
Cavite,2017-09,2016-09,1.0,0.0,325.0,,,,,,,False
Albay,2018-03,2017-03,29.0,0.0,9633.78,,,,,,,False
Batangas,2018-03,2017-03,1405.5,0.0,520734.63,585.0,0.0,0.0,820.5,1.402564,,False
Camarines Norte,2018-03,2017-03,122.2,0.0,44592.86,251.0,0.0,0.0,-128.8,-0.513147,,False
Camarines Sur,2018-03,2017-03,92.0,0.0,18120.98,1130.0,0.0,0.0,-1038.0,-0.918584,,False
Cavite,2018-03,2017-03,274.0,0.0,63374.15,114.0,0.0,0.0,160.0,1.403509,,False
Laguna,2018-03,2017-03,1066.8,0.0,644960.51,35198.0,0.0,0.0,-34131.2,-0.969691,,False
Marinduque,2018-03,2017-03,439.0,0.0,97717.04,125.0,0.0,0.0,314.0,2.512,,False
Quezon,2018-03,2017-03,326.0,0.0,103168.62,216.0,0.0,0.0,110.0,0.509259,,False
Albay,2018-04,2017-04,223.0,0.0,45813.04,,,,,,,False
Batangas,2018-04,2017-04,270.0,0.0,122957.51,622.0,0.0,0.0,-352.0,-0.565916,,False
Camarines Norte,2018-04,2017-04,156.78,0.0,73677.97,238.0,0.0,0.0,-81.22,-0.341261,,False
Camarines Sur,2018-04,2017-04,385.52,0.0,83741.07,490.0,0.0,0.0,-104.48,-0.213224,,False
Cavite,2018-04,2017-04,260.0,0.0,58217.35,53.0,0.0,0.0,207.0,3.90566,,False
Laguna,2018-04,2017-04,1485.3,0.0,657521.78,1628.0,0.0,0.0,-142.7,-0.087654,,False
Marinduque,2018-04,2017-04,300.11,0.0,86760.15,102.0,0.0,0.0,198.11,1.942255,,False
Quezon,2018-04,2017-04,898.87,0.0,291484.65,287.0,0.0,0.0,611.87,2.131951,,False
Albay,2018-05,2017-05,70.0,0.0,24250.26,,,,,,,False
Batangas,2018-05,2017-05,299.0,0.0,146333.51,,,,,,,False
Camarines Norte,2018-05,2017-05,142.8,0.0,96941.18,,,,,,,False
Camarines Sur,2018-05,2017-05,394.98,0.0,95622.38,,,,,,,False
Cavite,2018-05,2017-05,354.0,0.0,101719.56,,,,,,,False
Laguna,2018-05,2017-05,2456.0,0.0,1006698.79,,,,,,,False
Marinduque,2018-05,2017-05,300.0,0.0,32335.78,,,,,,,False
Quezon,2018-05,2017-05,578.0,0.0,134869.22,,,,,,,False
Albay,2018-06,2017-06,18.0,0.0,6098.38,,,,,,,False
Batangas,2018-06,2017-06,1067.0,0.0,619885.01,,,,,,,False
Camarines Norte,2018-06,2017-06,143.4,0.0,80969.3,,,,,,,False
