period,actual_quantity,seasonal_naive_forecast,error,absolute_error,absolute_percentage_error,evaluation_scope
2023-01,20516.34,6559.46,13956.88,13956.88,0.680281,rolling_validation
2023-02,4073.09,13807.06,-9733.97,9733.97,2.389824,rolling_validation
2023-03,9194.56,18124.07,-8929.51,8929.51,0.971173,rolling_validation
2023-04,5404.0,5868.73,-464.73,464.73,0.085997,rolling_validation
2023-05,34018.24,12301.33,21716.91,21716.91,0.63839,rolling_validation
2023-06,97830.67,17781.7,80048.97,80048.97,0.81824,rolling_validation
2023-07,13838.14,5433.9,8404.24,8404.24,0.607324,rolling_validation
2023-08,18555.66,5493.77,13061.89,13061.89,0.70393,rolling_validation
2023-09,6387.7,4046.47,2341.23,2341.23,0.366522,rolling_validation
2023-10,3965.7,12678.66,-8712.96,8712.96,2.19708,rolling_validation
2023-11,53127.47,14886.2,38241.27,38241.27,0.719802,rolling_validation
2023-12,672.0,6696.0,-6024.0,6024.0,8.964286,rolling_validation
2024-01,2111.77,20516.34,-18404.57,18404.57,8.715234,rolling_validation
2024-02,2106.84,4073.09,-1966.25,1966.25,0.93327,rolling_validation
2024-03,4249.33,9194.56,-4945.23,4945.23,1.163767,rolling_validation
2024-04,8117.52,5404.0,2713.52,2713.52,0.334279,rolling_validation
2024-05,3529.5,34018.24,-30488.74,30488.74,8.63826,rolling_validation
2024-06,8219.38,97830.67,-89611.29,89611.29,10.902439,rolling_validation
2024-07,2325.0,13838.14,-11513.14,11513.14,4.951888,rolling_validation
2024-08,4017.0,18555.66,-14538.66,14538.66,3.619283,rolling_validation
2024-09,1697.0,6387.7,-4690.7,4690.7,2.764113,rolling_validation
2024-10,6782.5,3965.7,2816.8,2816.8,0.415304,rolling_validation
2024-11,4591.12,53127.47,-48536.35,48536.35,10.571789,rolling_validation
2024-12,3455.84,672.0,2783.84,2783.84,0.805547,rolling_validation
2025-02,49613.83,2106.84,47506.99,47506.99,0.957535,partial_2025_context
2025-05,24627.33,3529.5,21097.83,21097.83,0.856684,partial_2025_context
2025-06,122025.93,8219.38,113806.55,113806.55,0.932642,partial_2025_context
2025-08,238.0,4017.0,-3779.0,3779.0,15.878151,partial_2025_context
2025-09,138584.24,1697.0,136887.24,136887.24,0.987755,partial_2025_context
2025-11,46700.17,4591.12,42109.05,42109.05,0.901689,partial_2025_context
2025-12,39273.33,3455.84,35817.49,35817.49,0.912005,partial_2025_context
