product,quantity,revenue,gross_margin,row_count,active_months,rank,revenue_share,cumulative_revenue_share,abc_class,model_code,model_version,review_status
MONOWEL 1G IV,12600.0,5780546.0,2331189.0,11,7,1,0.033409,0.033409,A,ABC_PARETO,sales_only_v1,draft
EVAPROST 250MCG/ML,1192.2947,4587511.68,4542500.5,116,35,2,0.026514,0.059924,A,ABC_PARETO,sales_only_v1,draft
SORBIFER 310MG,3845.6297,3200473.28,3067153.49,35,23,3,0.018498,0.078421,A,ABC_PARETO,sales_only_v1,draft
SHARJVAX 1500 I.U. / 0.7ML,2617.361,2529112.56,1859704.19,33,15,4,0.014617,0.093039,A,ABC_PARETO,sales_only_v1,draft
EVAPROST 125MCG/0.5ML,1089.4216,2389652.52,1937676.85,63,24,5,0.013811,0.10685,A,ABC_PARETO,sales_only_v1,draft
JUBI -R 100MG,750.0,2375000.0,2217500.0,5,4,6,0.013727,0.120577,A,ABC_PARETO,sales_only_v1,draft
SPEEDA 2.5IU/0.5ML,425.0,2004500.0,970810.0,5,5,7,0.011585,0.132162,A,ABC_PARETO,sales_only_v1,draft
BUPIRIGHT AMPULE,7553.8986,1948969.01,3770355.26,196,39,8,0.011264,0.143426,A,ABC_PARETO,sales_only_v1,draft
ANTITET 1500IU/0.7ML,1448.5902,1856413.99,2143819.5,20,5,9,0.010729,0.154156,A,ABC_PARETO,sales_only_v1,draft
"MICROPORE 1"" - 1530-1 - 3M",1751.8816,1631166.63,1488763.79,79,32,10,0.009428,0.163583,A,ABC_PARETO,sales_only_v1,draft
EVAPROST 250MCG/ML IV,287.6221,1570479.09,1020618.99,57,23,11,0.009077,0.17266,A,ABC_PARETO,sales_only_v1,draft
BUPIRIGHT 5MG/ML 0.5% IN 8% 4ML,7933.5703,1494974.36,1907522.03,54,24,12,0.00864,0.1813,A,ABC_PARETO,sales_only_v1,draft
RANICLAV 625MG,4037.6382,1483348.57,1294942.17,57,26,13,0.008573,0.189874,A,ABC_PARETO,sales_only_v1,draft
HAIXONE WITH DILUENT 1G,53614.3374,1425484.65,1362364.87,27,5,14,0.008239,0.198112,A,ABC_PARETO,sales_only_v1,draft
ALBUMINAR-20 20% 50ML,1000.0,1400000.0,1297000.0,1,1,15,0.008091,0.206204,A,ABC_PARETO,sales_only_v1,draft
ENOXAGET-40 40MG/0.4ML,2145.0,1372800.0,1285798.8,10,4,16,0.007934,0.214138,A,ABC_PARETO,sales_only_v1,draft
LACTAMOX 500MG/125MG,553.064,1299511.32,1366309.63,155,24,17,0.007511,0.221649,A,ABC_PARETO,sales_only_v1,draft
CETHERGO 200MCG/ML,881.6,1234240.0,1241115.0,22,7,18,0.007133,0.228782,A,ABC_PARETO,sales_only_v1,draft
MERAZOL 40MG,744.9632,1209762.98,2663361.48,58,26,19,0.006992,0.235774,A,ABC_PARETO,sales_only_v1,draft
SITIXON 1G,11332.3538,1153586.1,2984717.75,42,23,20,0.006667,0.242442,A,ABC_PARETO,sales_only_v1,draft
ZINACARE 750MG W/ DILUENT,42100.147,1128912.57,990936.48,20,6,21,0.006525,0.248966,A,ABC_PARETO,sales_only_v1,draft
TROYNOXA-60 60MG/0.6ML,2770.0,1119080.0,1767952.5,4,3,22,0.006468,0.255434,A,ABC_PARETO,sales_only_v1,draft
VOLUMETRIC SOLUTION INFUSION SET 150ML (POLYVOL),7200.0,1116000.0,405144.0,12,1,23,0.00645,0.261884,A,ABC_PARETO,sales_only_v1,draft
ANTIZOAL 5MG/ML,22857.9662,1081485.98,2258862.75,143,37,24,0.006251,0.268135,A,ABC_PARETO,sales_only_v1,draft
TRIVASC 35MG MR,2345.9449,1076497.06,1614963.12,207,36,25,0.006222,0.274357,A,ABC_PARETO,sales_only_v1,draft
EVAPROST 125MCG/ML,448.2676,1046316.0,1098422.27,81,35,26,0.006047,0.280404,A,ABC_PARETO,sales_only_v1,draft
HIVENT PLUS,2691.3196,1037916.48,1100643.51,41,18,27,0.005999,0.286403,A,ABC_PARETO,sales_only_v1,draft
CLIN-GEN 300MG,3062.0,1026295.0,1077183.75,16,10,28,0.005932,0.292334,A,ABC_PARETO,sales_only_v1,draft
KN95 FACEMASK (PIECE),8553.0,995624.0,550778.05,12,8,29,0.005754,0.298089,A,ABC_PARETO,sales_only_v1,draft
VAXIGRIP TETRA INFLUENZA VACCINE,1408.0,985600.0,1439224.95,3,2,30,0.005696,0.303785,A,ABC_PARETO,sales_only_v1,draft
PPE SET,2510.0,978900.0,1101850.0,3,3,31,0.005658,0.309443,A,ABC_PARETO,sales_only_v1,draft
HYCLENS SKIN CLEANSER (60ML),8535.0,967869.0,1382262.6,16,12,32,0.005594,0.315037,A,ABC_PARETO,sales_only_v1,draft
HYCLENS WOUND SPRAY (60ML),7872.6313,923944.64,1205538.22,250,46,33,0.00534,0.320377,A,ABC_PARETO,sales_only_v1,draft
PROFUREX 750MG,4760.0,882266.0,914348.4,8,7,34,0.005099,0.325476,A,ABC_PARETO,sales_only_v1,draft
MATERNITY PADS 8S (MAXIFREE),14258.0,863360.0,431471.2,15,6,35,0.00499,0.330466,A,ABC_PARETO,sales_only_v1,draft
ENDOPROST 250MCG/ML,646.0,855950.0,784750.0,9,4,36,0.004947,0.335413,A,ABC_PARETO,sales_only_v1,draft
LUPINSULIN 30:70,1821.0,816272.0,632878.53,20,16,37,0.004718,0.340131,A,ABC_PARETO,sales_only_v1,draft
NUTRIBOARD WITHOUT BAG,102.7037,809655.54,298890.81,13,3,38,0.00468,0.34481,A,ABC_PARETO,sales_only_v1,draft
ABHAY-TOX 40IU/0.5ML VIAL,829.4228,803341.88,326664.49,26,6,39,0.004643,0.349453,A,ABC_PARETO,sales_only_v1,draft
ZEFXON 40MG,2700.0,792102.92,648077.08,14,10,40,0.004578,0.354031,A,ABC_PARETO,sales_only_v1,draft
MAXIFER 20MG/ML,742.6066,791645.83,1498759.06,46,29,41,0.004575,0.358607,A,ABC_PARETO,sales_only_v1,draft
ANTITET 1500IU,762.5,766507.5,351744.18,15,13,42,0.00443,0.363037,A,ABC_PARETO,sales_only_v1,draft
GIOZOLE 40MG W/ DILUENT,14611.2336,762806.66,416022.58,16,7,43,0.004409,0.367446,A,ABC_PARETO,sales_only_v1,draft
PHYTOMEN 10MG/ML,1249.0891,750934.28,1101612.26,94,34,44,0.00434,0.371786,A,ABC_PARETO,sales_only_v1,draft
PROHAB 10MG/ML 20ML,500.0,750000.0,1360000.0,1,1,45,0.004335,0.376121,A,ABC_PARETO,sales_only_v1,draft
"HEPA B 10MCG/0.5ML MULTIDOSE, PEDIATRIC",4.0,750000.0,649400.0,2,2,46,0.004335,0.380455,A,ABC_PARETO,sales_only_v1,draft
DOLO JAGA 500MG/50MG/100MG/100MCG,1088.6398,748948.32,1098336.97,253,36,47,0.004329,0.384784,A,ABC_PARETO,sales_only_v1,draft
HYCLENS WOUND SPRAY 2% 60ML,3750.0433,739848.77,812067.23,189,27,48,0.004276,0.38906,A,ABC_PARETO,sales_only_v1,draft
AEROX 500MG,7561.0,721255.0,877384.0,12,5,49,0.004169,0.393229,A,ABC_PARETO,sales_only_v1,draft
LACTAMOX 500MG/125MG TAB,566.1712,715893.94,1050281.59,167,41,50,0.004138,0.397366,A,ABC_PARETO,sales_only_v1,draft
CANCARE IV CANNULA G24,700.0,714000.0,606000.0,2,1,51,0.004127,0.401493,A,ABC_PARETO,sales_only_v1,draft
EUROXONE 1G,8968.8814,709327.71,2778891.13,81,32,52,0.0041,0.405593,A,ABC_PARETO,sales_only_v1,draft
JACKIE DISINFECT SPRAY 500ML,48.399,696693.32,1116397.85,16,8,53,0.004027,0.409619,A,ABC_PARETO,sales_only_v1,draft
MONOWEL 1G,1550.0,696354.0,574820.0,7,4,54,0.004025,0.413644,A,ABC_PARETO,sales_only_v1,draft
ANTIZOAL 5MG/ML (500MG/100ML) 100ML,25893.6381,694417.68,1068054.47,110,26,55,0.004013,0.417657,A,ABC_PARETO,sales_only_v1,draft
LOMOH-60 60MG/0.6ML,1750.0,691250.0,1132687.5,4,2,56,0.003995,0.421653,A,ABC_PARETO,sales_only_v1,draft
EPOGEN 4000IU/0.4ML,1905.0,685800.0,441102.75,5,1,57,0.003964,0.425616,A,ABC_PARETO,sales_only_v1,draft
MODULAR TENT 79X17X79,150.0,675000.0,742425.0,1,1,58,0.003901,0.429518,A,ABC_PARETO,sales_only_v1,draft
CARDOWIN 1MG,934.8963,672653.5,1058664.53,25,14,59,0.003888,0.433405,A,ABC_PARETO,sales_only_v1,draft
DOCOR 250MG VIAL,838.0,666720.0,338820.0,5,5,60,0.003853,0.437259,A,ABC_PARETO,sales_only_v1,draft
CEFUSAPH,3760.9968,641166.13,1259244.49,63,25,61,0.003706,0.440964,A,ABC_PARETO,sales_only_v1,draft
