scope,calendar_month,seasonal_index,seasonal_strength,interpretation,model_code,model_version,review_status
overall,01,0.558045,0.751981,lower_than_average,SEASONAL_INDEX,sales_only_v1,draft
overall,02,0.82078,0.751981,lower_than_average,SEASONAL_INDEX,sales_only_v1,draft
overall,03,1.022804,0.751981,near_average,SEASONAL_INDEX,sales_only_v1,draft
overall,04,0.840897,0.751981,lower_than_average,SEASONAL_INDEX,sales_only_v1,draft
overall,05,1.043128,0.751981,near_average,SEASONAL_INDEX,sales_only_v1,draft
overall,06,2.150797,0.751981,higher_than_average,SEASONAL_INDEX,sales_only_v1,draft
overall,07,0.981487,0.751981,near_average,SEASONAL_INDEX,sales_only_v1,draft
overall,08,0.861266,0.751981,lower_than_average,SEASONAL_INDEX,sales_only_v1,draft
overall,09,1.295294,0.751981,higher_than_average,SEASONAL_INDEX,sales_only_v1,draft
overall,10,0.687666,0.751981,lower_than_average,SEASONAL_INDEX,sales_only_v1,draft
overall,11,1.257406,0.751981,higher_than_average,SEASONAL_INDEX,sales_only_v1,draft
overall,12,0.533439,0.751981,lower_than_average,SEASONAL_INDEX,sales_only_v1,draft
