period,prior_period,quantity,revenue,prior_quantity,prior_revenue,quantity_yoy_growth,revenue_yoy_growth,is_2025_partial
2000-01,1999-01,20.0,3696.6,,,,,False
2001-03,2000-03,3.0,1035.0,,,,,False
2001-12,2000-12,0.0,0.0,,,,,False
2007-11,2006-11,19.0,3833.9,,,,,False
2015-01,2014-01,17.0,2432.2,,,,,False
2016-01,2015-01,3288.0,208081.6,17.0,2432.2,192.411765,84.552833,False
2016-08,2015-08,0.0,0.0,,,,,False
2016-09,2015-09,20.0,6150.0,,,,,False
2016-10,2015-10,43.0,2909.5,,,,,False
2016-11,2015-11,18.0,2584.94,,,,,False
2016-12,2015-12,285.0,26716.97,,,,,False
2017-01,2016-01,5527.0,734084.18,3288.0,208081.6,0.680961,2.527867,False
2017-02,2016-02,7862.0,759887.94,,,,,False
2017-03,2016-03,43902.0,763709.56,,,,,False
2017-04,2016-04,13572.0,748187.71,,,,,False
2017-05,2016-05,5469.2,730646.37,,,,,False
2017-06,2016-06,5091.0,685846.53,,,,,False
2017-07,2016-07,16604.22,1482332.59,,,,,False
2017-08,2016-08,8549.2,1568736.86,0.0,0.0,,,False
2017-09,2016-09,9033.0,1206353.31,20.0,6150.0,450.65,195.15501,False
2017-10,2016-10,7646.84,1346711.92,43.0,2909.5,176.833488,461.867132,False
2017-11,2016-11,7468.11,1318286.76,18.0,2584.94,413.895,508.987373,False
2017-12,2016-12,13112.13,1066081.36,285.0,26716.97,45.007474,38.902779,False
2018-03,2017-03,5480.09,666372.83,43902.0,763709.56,-0.875174,-0.127453,False
2018-04,2017-04,10987.25,1351182.23,13572.0,748187.71,-0.190447,0.80594,False
2018-05,2017-05,8063.78,1088160.87,5469.2,730646.37,0.474398,0.489313,False
2018-06,2017-06,7412.4,998427.36,5091.0,685846.53,0.455981,0.455759,False
2018-07,2017-07,7392.2,1309727.32,16604.22,1482332.59,-0.5548,-0.116442,False
2018-08,2017-08,7761.9,1165635.16,8549.2,1568736.86,-0.09209,-0.256959,False
2018-09,2017-09,6482.75,1079851.39,9033.0,1206353.31,-0.282326,-0.104863,False
2018-10,2017-10,11266.66,1831016.26,7646.84,1346711.92,0.473375,0.35962,False
2018-11,2017-11,14904.51,1809517.83,7468.11,1318286.76,0.995754,0.372628,False
2018-12,2017-12,7510.91,1202631.02,13112.13,1066081.36,-0.427178,0.128086,False
2019-01,2018-01,9262.24,1377897.05,,,,,False
2019-02,2018-02,9470.65,1988246.07,,,,,False
2019-03,2018-03,12339.72,2027713.64,5480.09,666372.83,1.251737,2.042912,False
2019-04,2018-04,27584.22,2444016.94,10987.25,1351182.23,1.510566,0.808799,False
2019-05,2018-05,22554.13,2801484.16,8063.78,1088160.87,1.796967,1.574513,False
2019-06,2018-06,16022.85,1690271.1,7412.4,998427.36,1.161628,0.692933,False
2019-07,2018-07,23369.62,2909970.88,7392.2,1309727.32,2.161389,1.221814,False
2019-08,2018-08,10588.75,1626352.85,7761.9,1165635.16,0.364196,0.39525,False
2019-09,2018-09,15497.9,1777381.17,6482.75,1079851.39,1.390637,0.64595,False
2020-01,2019-01,15074.41,2293831.28,9262.24,1377897.05,0.627512,0.664733,False
2020-02,2019-02,10835.34,2038024.63,9470.65,1988246.07,0.144097,0.025036,False
2020-03,2019-03,17880.95,2844059.27,12339.72,2027713.64,0.449056,0.402594,False
2020-04,2019-04,2549.67,530651.4,27584.22,2444016.94,-0.907568,-0.782877,False
2020-05,2019-05,19870.92,2784831.41,22554.13,2801484.16,-0.118968,-0.005944,False
2020-06,2019-06,9634.18,1451692.67,16022.85,1690271.1,-0.398722,-0.141148,False
2020-07,2019-07,7965.79,1089941.3,23369.62,2909970.88,-0.659139,-0.625446,False
2020-08,2019-08,3016.0,915527.24,10588.75,1626352.85,-0.715169,-0.437067,False
2020-09,2019-09,3354.38,696220.17,15497.9,1777381.17,-0.783559,-0.608289,False
2020-10,2019-10,4542.91,673345.47,,,,,False
2020-11,2019-11,8093.5,1880597.57,,,,,False
2020-12,2019-12,3247.34,627359.39,,,,,False
2021-01,2020-01,17707.76,2250804.84,15074.41,2293831.28,0.17469,-0.018757,False
2021-02,2020-02,5468.8,1196801.75,10835.34,2038024.63,-0.495281,-0.412764,False
2021-03,2020-03,4842.5,892637.62,17880.95,2844059.27,-0.729181,-0.68614,False
2021-04,2020-04,6178.59,1633582.56,2549.67,530651.4,1.42329,2.078448,False
2021-05,2020-05,6585.44,1596115.5,19870.92,2784831.41,-0.668589,-0.426854,False
2021-06,2020-06,12091.57,884173.36,9634.18,1451692.67,0.25507,-0.390936,False
2021-07,2020-07,10385.09,1788010.48,7965.79,1089941.3,0.303711,0.640465,False
2021-08,2020-08,29971.27,3930335.84,3016.0,915527.24,8.937424,3.292975,False
2021-09,2020-09,17359.75,3137005.23,3354.38,696220.17,4.175248,3.505766,False
2021-10,2020-10,12772.68,5083308.02,4542.91,673345.47,1.811564,6.549331,False
2021-11,2020-11,18433.24,2670797.66,8093.5,1880597.57,1.277536,0.420186,False
2021-12,2020-12,4645.17,1045500.64,3247.34,627359.39,0.430454,0.66651,False
2022-01,2021-01,6559.46,652570.28,17707.76,2250804.84,-0.629571,-0.710072,False
2022-02,2021-02,13648.06,3249727.12,5468.8,1196801.75,1.495622,1.715343,False
2022-03,2021-03,17226.07,2992007.37,4842.5,892637.62,2.557268,2.351872,False
2022-04,2021-04,5868.73,1018999.0,6178.59,1633582.56,-0.050151,-0.376218,False
2022-05,2021-05,12571.33,1611630.71,6585.44,1596115.5,0.908958,0.009721,False
2022-06,2021-06,17476.7,2746938.87,12091.57,884173.36,0.445362,2.106788,False
2022-07,2021-07,5433.9,1264932.41,10385.09,1788010.48,-0.476759,-0.292548,False
2022-08,2021-08,5473.77,1154358.8,29971.27,3930335.84,-0.817366,-0.706295,False
2022-09,2021-09,3906.47,1157808.48,17359.75,3137005.23,-0.77497,-0.630919,False
2022-10,2021-10,12372.66,1889035.46,12772.68,5083308.02,-0.031318,-0.628385,False
2022-11,2021-11,14835.2,1561510.87,18433.24,2670797.66,-0.195193,-0.415339,False
2022-12,2021-12,6672.0,1151668.88,4645.17,1045500.64,0.436331,0.101548,False
2023-01,2022-01,21805.34,2433470.5,6559.46,652570.28,2.324258,2.729055,False
2023-02,2022-02,3705.09,568437.76,13648.06,3249727.12,-0.728526,-0.825081,False
2023-03,2022-03,14012.56,1046883.38,17226.07,2992007.37,-0.186549,-0.650107,False
2023-04,2022-04,5671.0,526693.31,5868.73,1018999.0,-0.033692,-0.483127,False
2023-05,2022-05,39614.53,5962433.32,12571.33,1611630.71,2.151181,2.699628,False
2023-06,2022-06,112339.17,21929154.17,17476.7,2746938.87,5.427939,6.983124,False
2023-07,2022-07,13992.14,1865816.26,5433.9,1264932.41,1.574972,0.475032,False
2023-08,2022-08,18764.66,1152301.04,5473.77,1154358.8,2.428105,-0.001783,False
2023-09,2022-09,6033.5,769177.63,3906.47,1157808.48,0.544489,-0.335661,False
2023-10,2022-10,3743.7,1176654.15,12372.66,1889035.46,-0.697422,-0.377114,False
2023-11,2022-11,69917.33,7558010.93,14835.2,1561510.87,3.712935,3.840191,False
2023-12,2022-12,580.0,141147.41,6672.0,1151668.88,-0.91307,-0.877441,False
2024-01,2023-01,2081.77,471359.41,21805.34,2433470.5,-0.904529,-0.806302,False
2024-02,2023-02,2102.1627,642139.05,3705.09,568437.76,-0.432628,0.129656,False
2024-03,2023-03,4238.33,637520.97,14012.56,1046883.38,-0.697533,-0.39103,False
2024-04,2023-04,7682.02,952335.34,5671.0,526693.31,0.354615,0.80814,False
2024-05,2023-05,3418.7284,770302.25,39614.53,5962433.32,-0.9137,-0.870807,False
2024-06,2023-06,8142.7885,3072122.31,112339.17,21929154.17,-0.927516,-0.859907,False
2024-07,2023-07,2310.4138,400869.16,13992.14,1865816.26,-0.834878,-0.785151,False
2024-08,2023-08,3994.6079,1154588.69,18764.66,1152301.04,-0.787121,0.001985,False
2024-09,2023-09,1693.4363,398773.92,6033.5,769177.63,-0.719328,-0.481558,False
