territory,period,prior_period,quantity,revenue,prior_quantity,prior_revenue,quantity_yoy_growth,revenue_yoy_growth,is_2025_partial
Batangas,2000-01,1999-01,20.0,3696.6,,,,,False
Cavite,2001-03,2000-03,3.0,1035.0,,,,,False
Camarines Sur,2007-11,2006-11,19.0,3833.9,,,,,False
Camarines Sur,2016-01,2015-01,4.0,1983.6,,,,,False
Marinduque,2016-09,2015-09,20.0,6150.0,,,,,False
Camarines Norte,2016-11,2015-11,5.0,1555.0,,,,,False
Camarines Sur,2016-12,2015-12,118.0,3333.97,,,,,False
Quezon,2016-12,2015-12,30.0,7285.0,,,,,False
Batangas,2017-01,2016-01,1017.0,166930.71,,,,,False
Camarines Norte,2017-01,2016-01,674.0,91021.35,,,,,False
Camarines Sur,2017-01,2016-01,551.0,72067.2,4.0,1983.6,136.75,35.331518,False
Cavite,2017-01,2016-01,4.0,1296.5,,,,,False
Laguna,2017-01,2016-01,680.0,87587.9,,,,,False
Marinduque,2017-01,2016-01,128.0,27266.0,,,,,False
Quezon,2017-01,2016-01,370.0,68734.0,,,,,False
Batangas,2017-02,2016-02,694.0,130179.57,,,,,False
Camarines Norte,2017-02,2016-02,397.0,37052.32,,,,,False
Camarines Sur,2017-02,2016-02,505.0,53650.51,,,,,False
Cavite,2017-02,2016-02,72.0,28394.64,,,,,False
Laguna,2017-02,2016-02,3460.0,201212.35,,,,,False
Marinduque,2017-02,2016-02,137.0,21102.0,,,,,False
Quezon,2017-02,2016-02,182.0,36994.2,,,,,False
Batangas,2017-03,2016-03,585.0,91347.58,,,,,False
Camarines Norte,2017-03,2016-03,259.0,43015.24,,,,,False
Camarines Sur,2017-03,2016-03,1130.0,67286.97,,,,,False
Cavite,2017-03,2016-03,114.0,44912.51,,,,,False
Laguna,2017-03,2016-03,35198.0,333978.1,,,,,False
Marinduque,2017-03,2016-03,125.0,13334.65,,,,,False
Quezon,2017-03,2016-03,182.0,36314.4,,,,,False
Batangas,2017-04,2016-04,622.0,119771.51,,,,,False
Camarines Norte,2017-04,2016-04,285.0,49766.37,,,,,False
Camarines Sur,2017-04,2016-04,502.0,55064.88,,,,,False
Cavite,2017-04,2016-04,53.0,25670.55,,,,,False
Laguna,2017-04,2016-04,1672.0,244882.96,,,,,False
Marinduque,2017-04,2016-04,102.0,9658.9,,,,,False
Quezon,2017-04,2016-04,133.0,29067.5,,,,,False
Batangas,2017-05,2016-05,845.0,160723.18,,,,,False
Camarines Norte,2017-05,2016-05,120.2,28717.79,,,,,False
Camarines Sur,2017-05,2016-05,321.0,44191.52,,,,,False
Cavite,2017-05,2016-05,46.0,21977.5,,,,,False
Laguna,2017-05,2016-05,823.0,91942.9,,,,,False
Marinduque,2017-05,2016-05,43.0,5865.0,,,,,False
Quezon,2017-05,2016-05,99.0,15243.0,,,,,False
Batangas,2017-06,2016-06,602.0,133292.76,,,,,False
Camarines Norte,2017-06,2016-06,387.0,49669.51,,,,,False
Camarines Sur,2017-06,2016-06,486.0,61236.64,,,,,False
Cavite,2017-06,2016-06,64.0,30859.42,,,,,False
Laguna,2017-06,2016-06,1986.0,160559.33,,,,,False
Batangas,2017-07,2016-07,11274.82,742177.94,,,,,False
Camarines Norte,2017-07,2016-07,1245.4,106892.11,,,,,False
Camarines Sur,2017-07,2016-07,557.0,61394.57,,,,,False
Cavite,2017-07,2016-07,118.0,20253.03,,,,,False
Laguna,2017-07,2016-07,1984.0,148300.02,,,,,False
Marinduque,2017-07,2016-07,174.0,17619.8,,,,,False
Quezon,2017-07,2016-07,133.0,41771.0,,,,,False
Batangas,2017-08,2016-08,1832.2,335580.37,,,,,False
Camarines Norte,2017-08,2016-08,1695.0,63462.81,,,,,False
Camarines Sur,2017-08,2016-08,575.9,73540.87,,,,,False
Cavite,2017-08,2016-08,32.0,9106.56,,,,,False
Laguna,2017-08,2016-08,677.1,113312.56,,,,,False
Marinduque,2017-08,2016-08,271.0,37561.12,,,,,False
Quezon,2017-08,2016-08,398.0,90047.57,,,,,False
Batangas,2017-09,2016-09,5161.8,478229.65,,,,,False
Camarines Norte,2017-09,2016-09,134.2,30278.66,,,,,False
Camarines Sur,2017-09,2016-09,496.0,53084.79,,,,,False
Cavite,2017-09,2016-09,161.0,26248.7,,,,,False
Laguna,2017-09,2016-09,298.0,38007.18,,,,,False
Marinduque,2017-09,2016-09,163.0,57685.68,20.0,6150.0,7.15,8.379785,False
Quezon,2017-09,2016-09,530.0,105238.34,,,,,False
Batangas,2017-10,2016-10,1753.0,173993.46,,,,,False
Camarines Norte,2017-10,2016-10,137.2,32026.6,,,,,False
Camarines Sur,2017-10,2016-10,465.0,52550.9,,,,,False
Cavite,2017-10,2016-10,176.0,42282.12,,,,,False
Laguna,2017-10,2016-10,752.0,127367.15,,,,,False
Marinduque,2017-10,2016-10,429.0,51607.24,,,,,False
Quezon,2017-10,2016-10,566.0,57447.65,,,,,False
Batangas,2017-11,2016-11,392.0,64921.34,,,,,False
Camarines Norte,2017-11,2016-11,233.0,67901.04,5.0,1555.0,45.6,42.666264,False
Camarines Sur,2017-11,2016-11,352.0,47047.88,,,,,False
Cavite,2017-11,2016-11,328.5,44976.36,,,,,False
Laguna,2017-11,2016-11,1918.5,265186.4,,,,,False
Marinduque,2017-11,2016-11,212.32,82884.91,,,,,False
Quezon,2017-11,2016-11,381.0,76382.13,,,,,False
Batangas,2017-12,2016-12,3233.0,349437.4,,,,,False
Camarines Norte,2017-12,2016-12,149.8,41830.72,,,,,False
Camarines Sur,2017-12,2016-12,274.0,41450.59,118.0,3333.97,1.322034,11.432802,False
Cavite,2017-12,2016-12,162.0,19122.35,,,,,False
Laguna,2017-12,2016-12,1432.0,207971.55,,,,,False
Marinduque,2017-12,2016-12,236.0,49843.85,,,,,False
Quezon,2017-12,2016-12,541.0,94415.0,30.0,7285.0,17.033333,11.960192,False
Batangas,2018-03,2017-03,1405.5,121989.18,585.0,91347.58,1.402564,0.33544,False
Camarines Norte,2018-03,2017-03,122.2,22606.34,259.0,43015.24,-0.528185,-0.474457,False
Camarines Sur,2018-03,2017-03,92.0,9321.02,1130.0,67286.97,-0.918584,-0.861474,False
Cavite,2018-03,2017-03,274.0,28995.05,114.0,44912.51,1.403509,-0.35441,False
Laguna,2018-03,2017-03,1066.8,94477.51,35198.0,333978.1,-0.969691,-0.717115,False
Marinduque,2018-03,2017-03,439.0,9805.96,125.0,13334.65,2.512,-0.264626,False
Quezon,2018-03,2017-03,326.0,29522.38,182.0,36314.4,0.791209,-0.187034,False
Batangas,2018-04,2017-04,270.0,47796.69,622.0,119771.51,-0.565916,-0.600934,False
Camarines Norte,2018-04,2017-04,156.78,38529.04,285.0,49766.37,-0.449895,-0.225802,False
Camarines Sur,2018-04,2017-04,385.52,37509.33,502.0,55064.88,-0.232032,-0.318816,False
Cavite,2018-04,2017-04,260.0,38257.65,53.0,25670.55,3.90566,0.490332,False
Laguna,2018-04,2017-04,1485.3,241626.62,1672.0,244882.96,-0.111663,-0.013298,False
Marinduque,2018-04,2017-04,300.11,50846.64,102.0,9658.9,1.942255,4.264227,False
Quezon,2018-04,2017-04,898.87,104445.44,133.0,29067.5,5.758421,2.593203,False
Batangas,2018-05,2017-05,299.0,47108.49,845.0,160723.18,-0.646154,-0.706897,False
Camarines Norte,2018-05,2017-05,142.8,29226.42,120.2,28717.79,0.18802,0.017711,False
Camarines Sur,2018-05,2017-05,394.98,46427.32,321.0,44191.52,0.230467,0.050593,False
Cavite,2018-05,2017-05,354.0,78450.44,46.0,21977.5,6.695652,2.56958,False
Laguna,2018-05,2017-05,2456.0,240388.23,823.0,91942.9,1.984204,1.614538,False
Marinduque,2018-05,2017-05,300.0,26316.82,43.0,5865.0,5.976744,3.487096,False
Quezon,2018-05,2017-05,578.0,60373.84,99.0,15243.0,4.838384,2.960758,False
Batangas,2018-06,2017-06,1067.0,123533.89,602.0,133292.76,0.772425,-0.073214,False
Camarines Norte,2018-06,2017-06,143.4,28096.94,387.0,49669.51,-0.629457,-0.434322,False
